t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B01_A_0000
0.12,(-0.00010992960881332291+2.331168851094888e-05j),(5.443148916095847e-08-5.1107017338908124e-08j),(-3.897061249509042e-13-4.383370496766309e-13j),(8.053884022818612e-10+7.900588130484297e-10j),(1.1743731656576e-11-2.8798902728068355e-12j),(7.087492254417816e-12-1.1079061380386756e-11j),(5.284275752033103e-14-5.021693117761187e-14j),(-1.4530554209532592e-14-2.9197770432405194e-13j),(-2.765209572053269e-14+6.818810558436702e-14j),(-1.1271420206841001e-11-1.2093834915394467e-11j),(-0.00011040301458237737+2.427720341450162e-05j)
0.13,(-8.098275114948856e-05+4.317150499001381e-05j),(4.0264683843456223e-08-4.001516124623181e-08j),(-4.471176872299355e-13-2.1156182383976643e-13j),(1.2366933071105405e-09+8.458930887843336e-10j),(6.417417647956902e-12-3.672870744785557e-12j),(4.343840354564808e-12-1.2855648927426253e-11j),(5.957274749865994e-14-2.1792782720865455e-14j),(-1.406795025864725e-13-3.7776992698519073e-13j),(-3.516427651662267e-14+5.692381961612483e-14j),(-3.3609573715473715e-12-1.2202301360995433e-11j),(-8.11410627104777e-05+4.410417824200731e-05j)
0.14,(-5.377917836000332e-05+5.203033273210563e-05j),(2.9686925708004297e-08-3.065733315012955e-08j),(-4.1345803003928573e-13-1.843882719759909e-14j),(1.7921361290040118e-09+8.053814295547054e-10j),(3.0765638097596804e-12-3.1998017758192933e-12j),(1.2712834213313386e-12-1.3786487576640187e-11j),(5.4717865928100306e-14+2.9001605178035747e-15j),(-3.3244879985289405e-13-4.3398832823746394e-13j),(-3.9526385589946704e-14+4.4935049579776406e-14j),(2.1901142753882917e-12-9.516239988524975e-12j),(-5.368184188773713e-05+5.285056196633689e-05j)
0.15,(-3.054522857408231e-05+5.2737975496286694e-05j),(2.187817810311186e-08-2.3035964119353646e-08j),(-3.23407156993346e-13+1.1717539354234962e-13j),(2.470780561761733e-09+6.135914034116551e-10j),(1.1974867362456415e-12-2.33040859941772e-12j),(-1.8481141157781033e-12-1.386180158146191e-11j),(4.234109146058829e-14+2.0409178293791593e-14j),(-5.898893912937087e-13-4.2940700028068057e-13j),(-4.095553659600262e-14+3.321955272399427e-14j),(5.0921981114548046e-12-5.655966732265969e-12j),(-3.026454834757231e-05+5.3397381929002954e-05j)
0.16,(-1.230164330675885e-05+4.80527415815452e-05j),(1.6150949602976048e-08-1.7004256702387546e-08j),(-2.1104444845882156e-13+1.904437954531424e-13j),(3.25448005326877e-09+2.058158369643612e-10j),(2.6906905764994325e-13-1.4987268145884543e-12j),(-4.7679747289125754e-12-1.3158986593982341e-11j),(2.685640342571332e-14+2.972202148959551e-14j),(-9.006687448848486e-13-3.288807628687698e-13j),(-3.991841550221222e-14+2.25507112474185e-14j),(5.69717700806884e-12-1.894841123407472e-12j),(-1.1910603066639505e-05+4.853203655693733e-05j)
0.17,(8.356190619756783e-07+4.0350675251728866e-05j),(1.1961644041422787e-08-1.2343838225036409e-08j),(-1.0301840167938008e-13+2.099167800688306e-13j),(4.103121609617264e-09-4.863097276986807e-10j),(-1.0906795539398175e-13-8.656457188937061e-13j),(-7.301171969111877e-12-1.1818823880137165e-11j),(1.1950626143827804e-14+3.173029907314916e-14j),(-1.2377097373552006e-12-9.892827179434623e-14j),(-3.7023578745786893e-14+1.3413429453187401e-14j),(4.7038246337987726e-12+9.710426903935236e-13j),(1.2721879710315826e-06+4.065411304242708e-05j)
0.18,(9.346635112707582e-06+3.1484963258146856e-05j),(8.894996778604998e-09-8.816052692803283e-09j),(-1.575994768155385e-14+1.9099346095850403e-13j),(4.9510161108992115e-09-1.5286926713354921e-09j),(-2.076568682212229e-13-4.4774503747668824e-13j),(-9.328410731512769e-12-1.0015048041055327e-11j),(5.2442617895121536e-17+2.8487586657377154e-14j),(-1.559451331836435e-12+2.8655170256244135e-13j),(-3.290283715616149e-14+6.0367715639779094e-15j),(2.8968763143187193e-12+2.613927561707211e-12j),(9.777248406710606e-06+3.163325384486189e-05j)
0.19,(1.4035483784002354e-05+2.276124957526316e-05j),(6.6421841045899615e-09-6.1931468959623454e-09j),(4.397801212047937e-14+1.50325356085333e-13j),(5.704682981525639e-09-2.9769371676088304e-09j),(-1.8795212376620845e-13-2.0211009285654032e-13j),(-1.0795498669812107e-11-7.927940006807907e-12j),(-7.809403539983904e-15+2.2436511533792403e-14j),(-1.8122304859591583e-12+8.407895846069204e-13j),(-2.8134733751772868e-14+4.4390133869058135e-16j),(9.59985862414386e-13+3.076517213047395e-12j),(1.4423918023019845e-05+2.278445109529025e-05j)
0.2,(1.5818119031673105e-05+1.4989949927146946e-05j),(4.9781852278787605e-09-4.274310417686591e-09j),(7.672083976877959e-14+1.0214608636584385e-13j),(6.243232158753215e-09-4.866693619488066e-09j),(-1.339997617962352e-13-7.336142971593613e-14j),(-1.1703676808394008e-11-5.724748666260326e-12j),(-1.1803301078386874e-14+1.5756759316055768e-14j),(-1.9347199912723423e-12+1.55945010411968e-12j),(-2.3199808178284623e-14-3.493779898838854e-15j),(-6.263043487207252e-13+2.6355490552041413e-12j),(1.614281198964539e-05+1.4921371266816786e-05j)
0.21,(1.557608891001275e-05+8.579876651791111e-06j),(3.741174811667594e-09-2.8915907274794013e-09j),(8.734037429281891e-14+5.656668107452002e-14j),(6.421942441964433e-09-7.203425580935942e-09j),(-8.25369898131012e-14-1.4529379769864416e-14j),(-1.2096182678901491e-11-3.5468595969402685e-12j),(-1.2879792973487542e-14+9.960853445559983e-15j),(-1.8640553121902206e-12+2.4176671644826325e-12j),(-1.8460395493046657e-14-6.0007212187862925e-15j),(-1.6115412718679276e-12+1.6671008508994896e-12j),(1.5827933026061782e-05+8.451511427519115e-06j)
0.22,(1.4070344514096227e-05+3.6450591266958933e-06j),(2.8155473509585715e-09-1.9097625793509777e-09j),(8.245333995906458e-14+1.9384995950526246e-14j),(6.0793890936069636e-09-9.952674430469941e-09j),(-4.5055265123217404e-14+7.188470051142455e-15j),(-1.2043896156696903e-11-1.503343466569447e-12j),(-1.2300811899412591e-14+5.7605125485695614e-15j),(-1.5429126181544942e-12+3.3693695841491798e-12j),(-1.416007567995392e-14-7.347377856205332e-15j),(-1.9484948859179923e-12+5.391399853853912e-13j),(1.4249711129413551e-05+3.4846581862116833e-06j)
0.23,(1.1903069700881781e-05+1.0565339699984803e-07j),(2.118794391097548e-09-1.2230455850878738e-09j),(6.855990866941778e-14-7.193995735784519e-15j),(5.04808758404418e-09-1.303205615596166e-08j),(-2.170293841824957e-14+1.175507359810454e-14j),(-1.1632122430357118e-11+3.3026587977834493e-13j),(-1.1237094978849156e-14+3.1557560801948137e-15j),(-9.266394907336407e-13+4.349131708583421e-12j),(-1.0436591613570693e-14-7.81087191723971e-15j),(-1.7365931962543055e-12-4.576716843492802e-13j),(1.2016720198782953e-05-6.473826300570249e-08j)
0.24,(9.513480568981772e-06-2.227783743732167e-06j),(1.5917956473336332e-09-7.505443955613512e-10j),(5.0985619014709314e-14-2.346750263737931e-14j),(3.1681746969086036e-09-1.6306231381139112e-08j),(-8.865526156199473e-15+9.894289139677968e-15j),(-1.0949731156045529e-11+1.909447353018683e-12j),(-1.0505078256246057e-14+1.6614325677297958e-15j),(1.0476735797160969e-14+5.276426610757879e-12j),(-7.342186171898229e-15-7.647624668415306e-15j),(-1.1568366537371782e-12-1.1412959277809667e-12j),(9.57180077305046e-06-2.3921489237426976e-06j)
0.25,(7.194481024163156e-06-3.5907508912108268e-06j),(1.191855470903269e-09-4.3151560045984213e-10j),(3.348691084488989e-14-3.115303196581223e-14j),(3.032025876801915e-10-1.9585928024863518e-08j),(-2.6515647243498106e-15+6.6121048201927465e-15j),(-1.00811491052075e-11+3.2159007860259748e-12j),(-1.046134060142579e-14+5.802498101085882e-16j),(1.2705973110866883e-12+6.061834877882973e-12j),(-4.866347474068677e-15-7.07725807541547e-15j),(-4.133054785454926e-13-1.4392434101921243e-12j),(7.209269811652505e-06-3.738646598036681e-06j)
0.26,(5.119569341229623e-06-4.221561192890621e-06j),(8.87813908544647e-10-2.2103633975023783e-10j),(1.8303506124518937e-14-3.2521055576604666e-14j),(-3.643257863687846e-09-2.263176995306538e-08j),(-1.024355583142326e-16+3.809271603757689e-15j),(-9.101169400483806e-12+4.251748508465512e-12j),(-1.1032049370564566e-14-7.513675456036585e-16j),(2.8299435998531916e-12+6.614517535456792e-12j),(-2.9573890763432644e-15-6.275777079751173e-15j),(3.103849847173241e-13-1.3695788731302015e-12j),(5.10245034824967e-06-4.347225321544397e-06j)
0.27,(3.3724128832435604e-06-4.335405565027197e-06j),(6.566592290113177e-10-8.631564107950191e-11j),(6.448196464165613e-15-2.980972548959633e-14j),(-8.711759204755147e-09-2.5163205686784585e-08j),(6.648316998215186e-16+1.924210610157612e-15j),(-8.072206216399647e-12+5.033677165487604e-12j),(-1.183232883667154e-14-2.7898744570205636e-15j),(4.6389079947606195e-12+6.850126853984563e-12j),(-1.5407396589290548e-15-5.375527924409947e-15j),(8.771492505272647e-13-1.012320155600784e-12j),(3.333828840301875e-06-4.436691373739484e-06j)
0.28,(1.9743492036830734e-06-4.1116750450056226e-06j),(4.811942751712745e-10-3.696685472589264e-12j),(-1.926069226880303e-15-2.4901551500766522e-14j),(-1.4873496677295518e-08-2.68722929381143e-08j),(6.981900708748019e-16+8.339196511814648e-16j),(-7.043463443911044e-12+5.587640158746204e-12j),(-1.2325152056708413e-14-5.69973790216959e-15j),(6.624636193829878e-12+6.698311393448361e-12j),(-5.33033079510694e-16-4.469472829952834e-15j),(1.2065746536641688e-12-4.794883526774757e-13j),(1.9230381107367e-06-4.1890006858672295e-06j)
0.29,(9.073687156560697e-07-3.690479929951314e-06j),(3.484269587730379e-10+4.3700938617251324e-11j),(-7.182254255815915e-15-1.9200376937738457e-14j),(-2.2020716542233172e-08-2.7441546990156577e-08j),(5.091381200296307e-16+2.813423889512484e-16j),(-6.051455214348607e-12+5.944455371456382e-12j),(-1.1976571488796752e-14-9.350047335085542e-15j),(8.695778465988891e-12+6.109060137724811e-12j),(1.4803025414997567e-16-3.6177016416644e-15j),(1.272930360746094e-12+1.1074009141057575e-13j),(8.50199140379748e-07-3.7459055693421435e-06j)
0.3,(1.317743445317188e-07-3.174865766884065e-06j),(2.4845192486777156e-10+6.779163201301378e-11j),(-9.927286559040207e-15-1.3638100556752568e-14j),(-2.996221560578438e-08-2.6564577599149706e-08j),(3.0912036372682417e-16+4.0918000207879317e-17j),(-5.121368600918545e-12+6.136412691636762e-12j),(-1.037794240051865e-14-1.3371453941972514e-14j),(1.0748895427755279e-11+5.0572995077744945e-12j),(5.7754017988373135e-16-2.8546238451045966e-15j),(1.095507485494708e-12+6.530444731001952e-13j),(7.382103484268241e-08-3.2113507850850255e-06j)
0.31,(-4.012578745940957e-07-2.6360259484195582e-06j),(1.7366357761826456e-10+7.688881092640317e-11j),(-1.0824537693777954e-14-8.750150613765151e-15j),(-3.842466846836468e-08-2.396788665612858e-08j),(1.6266264014933012e-16-4.0777961423762254e-17j),(-4.2688539417916244e-12+6.1948557314378426e-12j),(-7.320995447780073e-15-1.7247100530233817e-14j),(1.2675872100031553e-11+3.5453737706968247e-12j),(8.201869171604155e-16-2.195811882175666e-15j),(7.253731662743772e-13+1.0665446234770717e-12j),(-4.5649855761050895e-07-2.656876160209344e-06j)
0.32,(-7.414535319458577e-07-2.119622334512151e-06j),(1.1819309886718095e-10+7.671958116531947e-11j),(-1.0482128951044901e-14-4.775506612821711e-15j),(-4.705995456282982e-08-1.943202598786542e-08j),(7.336371798758926e-17-5.3109428424040036e-17j),(-3.501936094555858e-12+6.148614140326371e-12j),(-2.8245535928124483e-15-2.041286540647735e-14j),(1.437164646829891e-11+1.6032705010794293e-12j),(9.292111911904477e-16-1.643918140730523e-15j),(2.31680617919855e-13+1.299776336656987e-12j),(-7.917849137043003e-07-2.128110905512816e-06j)
0.33,(-9.345914924485788e-07-1.6520252316813594e-06j),(7.749824559228461e-11+7.11703706004229e-11j),(-9.399397095217543e-15-1.7539971375339855e-15j),(-5.545806447694842e-08-1.2810345111568186e-08j),(2.610325382108979e-17-4.1660921581047047e-17j),(-2.8228412880825416e-12+6.0231233651885206e-12j),(2.8794336348300017e-15-2.234799967189029e-14j),(1.5741587491610476e-11-7.133307161613556e-13j),(9.467592258513781e-16-1.1934292039341605e-15j),(-3.104221329263359e-13+1.3305880361600524e-12j),(-9.788274182814288e-07-1.6511577425410215e-06j)
0.34,(-1.020093799204679e-06-1.2458232931997027e-06j),(4.8058940848569243e-11+6.282960655606383e-11j),(-7.952531661626398e-15+3.927927796951685e-16j),(-6.316461798233625e-08-4.043788363596405e-09j),(4.5926344610756946e-18-2.6445384851691453e-17j),(-2.229618898446115e-12+5.840062865973575e-12j),(9.388330495321915e-15-2.2644512612086362e-14j),(1.6707946473449163e-11-3.326927702075612e-12j),(9.050474596439853e-16-8.342499870835915e-16j),(-8.292388404149286e-13+1.162669607690926e-12j),(-1.0577914529975344e-06-1.2382134242259834e-06j)
0.35000000000000003,(-1.0302472597336107e-06-9.043310061944535e-07j),(2.7147583517057882e-11+5.337935311185441e-11j),(-6.403146493125069e-15+1.801364715123349e-15j),(-6.970159041153605e-08+6.829400650164428e-09j),(-3.2036918167690914e-18-1.439529100004441e-17j),(-1.717501890732238e-12+5.6173585361113525e-12j),(1.6186630700310845e-14-2.1050543052976988e-14j),(1.7214934852522802e-11-6.143592914392243e-12j),(8.27897407159985e-16-5.542435307533799e-16j),(-1.2630452244712248e-12+8.202624960446063e-13j),(-1.0614787428730166e-06-8.921550927039904e-07j)
0.36,(-9.90423897425432e-07-6.250599580921137e-07j),(1.2653305893316373e-11+4.387571465386832e-11j),(-4.9177642039149775e-15+2.6258242374374837e-15j),(-7.458937507002656e-08+1.9669679480586947e-08j),(-4.6935173073060664e-18-6.672388981553617e-18j),(-1.2800031512293584e-12+5.369419487737005e-12j),(2.2707734194008853e-14-1.748799102525591e-14j),(1.7231974589035528e-11-9.059506449373614e-12j),(7.323463537410547e-16-3.409184455334507e-16j),(-1.5639039413869977e-12+3.4226699072561644e-13j),(-1.0155923511961063e-06-6.100634443759364e-07j)
0.37,(-9.198399163739879e-07-4.0225274897119724e-07j),(2.9460912175990356e-12+3.4947459638497373e-11j),(-3.590237335749033e-15+3.013208244081124e-15j),(-7.735923808364306e-08+3.423655120039045e-08j),(-3.84908529526212e-18-2.416261318737746e-18j),(-9.100720300502288e-13+5.10747244938621e-12j),(2.8388450440514505e-14-1.2038752815460295e-14j),(1.6748385904122645e-11-1.196984588133252e-11j),(6.30280520748223e-16-1.826174396531908e-16j),(-1.6993254916250952e-12-2.234571497543454e-13j),(-9.395388257826519e-07-3.8578742574974443e-07j)
0.38,(-8.325404148964724e-07-2.286377169915502e-07j),(-3.228258121335441e-12+2.69378034722672e-11j),(-2.4632025129123343e-15+3.0912677334507965e-15j),(-7.757716411402736e-08+5.019062753316284e-08j),(-2.517637132861076e-18-4.064281753652576e-19j),(-6.003142620311723e-13+4.840031083047148e-12j),(3.270629148858187e-14-4.950550900885443e-15j),(1.5778171598139642e-11-1.476916513085263e-11j),(5.296800411292143e-16-6.869348015644533e-17j),(-1.6520735780291387e-12-8.250642048946483e-13j),(-8.474517043733579e-07-2.1171422803441041e-07j)
0.39,(-7.384157656340539e-07-9.657516756640245e-08j),(-6.8321908959246826e-12+2.000244077930446e-11j),(-1.5456152904622651e-15+2.9639348028066286e-15j),(-7.486795440151768e-08+6.710002169612472e-08j),(-1.3988159452032372e-18+3.483586080021192e-19j),(-3.43346794887657e-13+4.573404215990139e-12j),(3.523171374657146e-14+3.3915435101352566e-15j),(1.4361668989057232e-11-1.7357557103790788e-11j),(4.35492731756498e-16+1.025364776160848e-17j),(-1.41895886497224e-12-1.4106052058627672e-12j),(-7.492395444673381e-07-7.99204054899773e-08j)
0.4,(-6.441390831842963e-07+1.2469208119109532e-09j),(-8.601458964243021e-12+1.4176604405534313e-11j),(-8.260612217302897e-16+2.7113539756765384e-15j),(-6.893065525365715e-08+8.445140155140994e-08j),(-6.521372843168087e-19+4.981302373115945e-19j),(-1.3219474154391716e-13+4.312100568601504e-12j),(3.565522479924522e-14+1.2508772677337663e-14j),(1.2560932012078212e-11-1.9647422321058826e-11j),(3.5048714742481053e-16+6.21923726475583e-17j),(-1.0090900934995343e-12-1.9309350732105977e-12j),(-6.515482212807149e-07+1.7134163393543722e-08j)
0.41000000000000003,(-5.539726602348232e-07+7.143489929411798e-08j),(-9.095754805923725e-12+9.421182756204322e-12j),(-2.823397833877756e-16+2.3925095530695193e-15j),(-5.955346530823121e-08+1.0166422656444987e-07j),(-2.2773182256325973e-19+4.1149633853329865e-19j),(3.955980371973849e-14+4.059191794442779e-12j),(3.3798255591292954e-14+2.186531681333658e-14j),(1.0456293204306626e-11-2.1567843009808493e-11j),(2.7591500544952866e-16+9.370804845010099e-17j),(-4.418663417717575e-13-2.3416914276016295e-12j),(-5.585860461809174e-07+8.623376403697715e-08j)
0.42,(-4.704282309315451e-07+1.1972454062483171e-07j),(-8.738345753886058e-12+5.653820637491161e-12j),(1.1210688218051087e-16+2.04886082662307e-15j),(-4.6625360782476766e-08+1.181071182186845e-07j),(-2.3515195105386042e-20+2.7023542814021904e-19j),(1.777048334092107e-13+3.8166264878282155e-12j),(2.961497559773372e-14+3.0901451600159094e-14j),(8.142224585394353e-12-2.306801822846202e-11j),(2.1201433999921898e-16+1.1012881032308675e-16j),(2.549799583571476e-13-2.6044957126615644e-12j),(-4.7279736938464903e-07+1.3324910607237522e-07j)
0.43,(-3.947870101795517e-07+1.509509792952873e-07j),(-7.847009618558705e-12+2.7694970214621277e-12j),(3.841791486177732e-16+1.7081027896116378e-15j),(-3.0144311924177365e-08+1.3311548959246422e-07j),(5.22724235985707e-20+1.4840847079498987e-19j),(2.87378618853655e-13+3.585494643183924e-12j),(2.318791438383337e-14+3.9062199903382204e-14j),(5.72274280533201e-12-2.4119709580504242e-11j),(1.5838036403054993e-16+1.1568696153375523e-16j),(1.0471079879416187e-12-2.6875656852214583e-12j),(-3.953916862403175e-07+1.631147987960875e-07j)
0.44,(-3.2749616224605803e-07+1.6909766669811556e-07j),(-6.6580806023964705e-12+6.538108300876165e-13j),(5.588389388379401e-16+1.3875821329075508e-15j),(-1.022220187092609e-08+1.4600962835961405e-07j),(6.400327625984093e-20+6.570380235504328e-20j),(3.73085271664411e-13+3.366245542439776e-12j),(1.4719783200148158e-14+4.582145114062008e-14j),(3.3065818248419742e-12-2.471870353036793e-11j),(1.1423074971437816e-16+1.1368895476659052e-16j),(1.8949591413285236e-12-2.5659324810133377e-12j),(-3.267459134443097e-07+1.798854279723481e-07j)
0.45,(-2.6846234052721043e-07+1.7738626966335618e-07j),(-5.3450399252190235e-12-8.087124081103907e-13j),(6.580036896383278e-16+1.0971663600729636e-15j),(1.2913245180047977e-08+1.5611255465440626e-07j),(5.034635154248514e-20+1.8667359789571077e-20j),(4.38732288439475e-13+3.1588639259479033e-12j),(4.523272553461347e-15+5.070218597087719e-14j),(1.0023248100645416e-12-2.488533915766108e-11j),(7.858941109124552e-17+1.0667777250694936e-16j),(2.7547715738724192e-12-2.2214440132366594e-12j),(-2.6670135261137044e-07+1.8683175732655111e-07j)
0.46,(-2.1726298441610565e-07+1.78382794281028e-07j),(-4.032797359751008e-12-1.729644866765565e-12j),(7.001890917325908e-16+8.41523991760891e-16j),(3.8919077234331434e-08+1.6276714406164185e-07j),(3.137764366717461e-20-3.1546256845410062e-21j),(4.876803215495582e-13+2.9630100787446054e-12j),(-6.990059588321964e-15+5.3293813851294936e-14j),(-1.086349464126974e-12-2.4664179213719925e-11j),(5.040922247931002e-17+9.657900784796992e-17j),(3.5792213143221053e-12-1.6427181893918891e-12j),(-2.1477673833595155e-07+1.8655217913227606e-07j)
0.47000000000000003,(-1.732940420666523e-07+1.7410481200064532e-07j),(-2.808585718712939e-12-2.2138429193810755e-12j),(7.005943867616464e-16+6.218594790080622e-16j),(6.733973622687763e-08+1.6535219892932094e-07j),(1.5634491703486067e-20-1.0010760256947015e-20j),(5.227983197083776e-13+2.778129529620106e-12j),(-1.9321336980795215e-14+5.326776217855525e-14j),(-2.865187639221253e-12-2.4122918490452098e-11j),(2.865025886402909e-17+8.482692677208173e-17j),(4.3177240299182905e-12-8.251903676564899e-13j),(-1.703165902140496e-07+1.810842851406631e-07j)
