t,B00_z_0000_00,B00_z_0001_00
0.48,(0.8932544279790812+0.4269121062043368j),(0.5922905774969427+0.14434747681991678j)
0.49,(0.8893410229083956+0.4251741075556165j),(0.5901608456046131+0.14613227374512108j)
0.5,(0.8854399972036179+0.42348823225122995j),(0.5880055049570946+0.14792029254328193j)
0.51,(0.8815361178984168+0.4218460464201222j),(0.585821121864433+0.1496980141453651j)
0.52,(0.877614519510014+0.420238980755828j),(0.583604356486342+0.15145179798427835j)
0.53,(0.873660754374471+0.4186583539830163j),(0.5813519836356374+0.1531679344061376j)
0.54,(0.8696608459848757+0.41709539435315635j),(0.5790609167397462+0.1548326979614779j)
0.55,(0.86560134495018+0.4155412594809128j),(0.5767282347653873+0.15643240143720002j)
0.56,(0.8614693871054349+0.4139870548895913j),(0.5743512118336179+0.15795345048430764j)
0.5700000000000001,(0.8572527532211106+0.4124238516850301j),(0.5719273491761374+0.15938239868928256j)
0.58,(0.8529399296814321+0.410842703820312j),(0.5694544090105743+0.16070600292814707j)
0.59,(0.8485201694305807+0.40923466544607606j),(0.5669304498440964+0.16191127883177503j)
0.6,(0.8439835524227055+0.4075908088607281j),(0.5643538626527266+0.16298555617883462j)
0.61,(0.8393210447583357+0.4059022435793572j),(0.5617234073299255+0.16391653401894576j)
0.62,(0.8345245556475078+0.40416013702798825j),(0.5590382487539257+0.16469233531340735j)
0.63,(0.8295869913101072+0.40235573733967367j),(0.5562979917905315+0.16530156086446876j)
0.64,(0.8245023049079994+0.4004803986802532j),(0.5535027145280025+0.16573334228700873j)
0.65,(0.8192655416027803+0.3985256094644427j),(0.5506529990343676+0.16597739375916845j)
0.66,(0.8138728778485825+0.3964830237380815j),(0.5477499589359555+0.16602406227159552j)
0.67,(0.8083216540623217+0.39434449590150367j),(0.5447952631395809+0.16586437607925222j)
0.68,(0.8026103998647424+0.3921021188344957j),(0.5417911550598524+0.16549009104601997j)
0.6900000000000001,(0.7967388511550172+0.3897482653583498j),(0.538740466767141+0.16489373456148365j)
0.7000000000000001,(0.7907079583694017+0.38727563283892397j),(0.53564662754015+0.16406864670216312j)
0.71,(0.7845198853799993+0.3846772906007583j),(0.5325136663885243+0.16300901830694375j)
0.72,(0.7781779986119441+0.3819467296908891j),(0.5293462082039134+0.16170992563929762j)
0.73,(0.771686846094564+0.3790779144069805j),(0.5261494633002968+0.16016736131774142j)
0.74,(0.7650521263119875+0.37606533489258304j),(0.5229292102138203+0.15837826121130427j)
0.75,(0.7582806468782995+0.37290406000733894j),(0.5196917717462303+0.15634052701884674j)
0.76,(0.7513802732282071+0.3695897896058229j),(0.5164439843513964+0.15405304427987426j)
0.77,(0.7443598676822927+0.3661189053087677j),(0.5131931610785126+0.15151569559976738j)
0.78,(0.7372292194120106+0.36248851882711464j),(0.5099470483954932+0.14872936891355457j)
0.79,(0.7299989659891023+0.358696516903955j),(0.5067137773191502+0.14569596065865895j)
0.8,(0.722680507352588+0.3547416019722478j),(0.5035018093724949+0.14241837377738956j)
0.81,(0.715285913159636+0.3506233276861951j),(0.5003198779718548+0.13890051052303126j)
0.8200000000000001,(0.7078278246005076+0.3463421285692294j),(0.4971769259157474+0.13514726009777933j)
0.8300000000000001,(0.700319351849113+0.3418993431285613j),(0.4940820397024029+0.13116448120491794j)
0.84,(0.6927739683869226+0.33729722991109473j),(0.4910443814427627+0.12695897965000597j)
0.85,(0.685205403477394+0.3325389761135405j),(0.4880731191605041+0.12253848117488758j)
0.86,(0.6776275340799288+0.3276286985055744j),(0.48517735628044073+0.1179115997527154j)
0.87,(0.6700542774769735+0.3225714365735896j),(0.4823660611022587+0.11308780161064906j)
0.88,(0.6624994858464077+0.3173731379387285j),(0.4796479970390853+0.1080773652785457j)
0.89,(0.6549768439459496+0.31204063624157025j),(0.4770316543712825+0.10289133798611085j)
0.9,(0.647499770989806+0.30658162181274806j),(0.4745251842267609+0.09754148874731051j)
0.91,(0.6400813276936654+0.3010046055602952j),(0.47213633545180633+0.09204025847933152j)
0.92,(0.6327341293462447+0.29531887659792255j),(0.4698723949827247+0.0864007075043394j)
0.93,(0.6254702656380502+0.28953445421194085j),(0.4677401322703357+0.08063646077632662j)
0.9400000000000001,(0.6183012278448783+0.28366203481731483j),(0.465745748248147+0.07476165116333594j)
0.9500000000000001,(0.6112378438288176+0.27771293458545726j),(0.4638948292724227+0.06879086109837791j)
0.96,(0.6042902211866972+0.2716990284387675j),(0.46219230639959247+0.06273906289166754j)
0.97,(0.5974676987482227+0.26563268610122576j),(0.46064242030456565+0.056621557973721016j)
