t,B00_A_0000
1.35,(0.1041729767830195-0.07921406723941825j)
1.36,(0.08358385340111811-0.08955447247139289j)
1.37,(0.06300423921241104-0.09595768206045059j)
1.3800000000000001,(0.04301623908492535-0.09872517053300708j)
1.3900000000000001,(0.024114091949878284-0.09821822653023105j)
1.4000000000000001,(0.006703453386637229-0.09484119482991354j)
1.41,(-0.008897222430435326-0.08902632235557885j)
1.42,(-0.022453681178207403-0.0812202167794445j)
1.43,(-0.03381163540438215-0.07187185280856347j)
1.44,(-0.042891598504740544-0.06142202006876344j)
1.45,(-0.049683002613834765-0.05029409230653192j)
1.46,(-0.054237748919214374-0.0388860045704319j)
1.47,(-0.056663286337024554-0.02756334717395495j)
1.48,(-0.05711527920102549-0.016653516813134685j)
1.49,(-0.055789906768048694-0.006440900789004357j)
1.5,(-0.052915835992223964+0.0028368950957294555j)
1.51,(-0.04874592227729532+0.010991735134364685j)
1.52,(-0.043548718050664646+0.017886498806406744j)
1.53,(-0.03759990255278751+0.02343541423198004j)
1.54,(-0.03117378413370717+0.02760311781584405j)
1.55,(-0.024535064084342632+0.030402398918077014j)
1.56,(-0.01793108386564063+0.03189062424267511j)
1.57,(-0.011584800844553732+0.03216488582057873j)
1.58,(-0.005688746996420472+0.03135597612986484j)
1.59,(-0.0004002169471249528+0.0296213599010404j)
1.6,(0.004162096172461275+0.02713737922820798j)
1.61,(0.007919847135980698+0.024090990643582322j)
1.62,(0.010835065542205558+0.020671383314227725j)
1.6300000000000001,(0.012908446209736205+0.017061860156911354j)
1.6400000000000001,(0.014175982122898088+0.013432372941864426j)
1.6500000000000001,(0.014704119507159151+0.009933084403423864j)
1.6600000000000001,(0.014583711078951064+0.006689283224537263j)
1.67,(0.013923126819372272+0.003797902468805863j)
1.68,(0.012840942849785007+0.0013257925795683817j)
1.69,(0.011458660493654686-0.0006902165664207093j)
1.7,(0.00989390408648537-0.002241554300080805j)
1.71,(0.008254505514825202-0.003344658743207325j)
1.72,(0.0066338077129122425-0.004036552407593754j)
1.73,(0.0051074144150365505-0.004369636950264633j)
1.74,(0.0037314890881704134-0.004406142789837814j)
1.75,(0.00254257467996747-0.0042126713032375265j)
1.76,(0.0015587814664168762-0.003855228374870882j)
1.77,(0.0007820862494634493-0.003395072726601423j)
1.78,(0.00020141346271443413-0.0028855998559880478j)
1.79,(-0.00020386556832251645-0.0023703651232621307j)
1.8,(-0.00046037292424280584-0.001882231807401639j)
1.81,(-0.0005974186585598189-0.0014435256496731338j)
1.82,(-0.0006441925509991819-0.0010669979122153298j)
1.83,(-0.0006276069460830289-0.0007573515868260995j)
1.84,(-0.0005708513482792039-0.0005130723536287192j)
1.85,(-0.0004926343516146231-0.00032832441722113965j)
1.86,(-0.00040702129226791764-0.00019471445580519783j)
1.87,(-0.0003237326153829834-0.00010278497755290855j)
1.8800000000000001,(-0.00024874985320252755-4.316099465451783e-05j)
1.8900000000000001,(-0.00018508080717043665-7.331757812978375e-06j)
1.9000000000000001,(-0.00013355751991602933+1.1904554588518328e-05j)
1.9100000000000001,(-9.35728878006308e-05+2.0274545240497008e-05j)
1.92,(-6.369723194183177e-05+2.2068221262401738e-05j)
1.93,(-4.214892658489958e-05+2.0308038256498158e-05j)
1.94,(-2.711931852808328e-05+1.6982946310486485e-05j)
1.95,(-1.6969841167936513e-05+1.329685556429993e-05j)
1.96,(-1.0328502163446596e-05+9.897544130228387e-06j)
1.97,(-6.1152133346968385e-06+7.06735731501453e-06j)
1.98,(-3.52282510056133e-06+4.8692477236242755e-06j)
1.99,(-1.9754034660220693e-06+3.2500808927823765e-06j)
2.0,(-1.0790893089436376e-06+2.107864841112687e-06j)
