t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.67,(0.6908898517223417-0.4274381426262909j),(-6.943838427887987e-06-2.4314932727775222e-05j),(5.537738584274964e-07+9.834901791845094e-07j),(-5.928495770787059e-07+2.303957543042286e-06j),(-0.026928534610540636+0.08910874354594552j),(0.3012097184421652+0.08945886190610877j)
0.68,(0.15951194586733775-0.8080565842575762j),(-2.3724348592595177e-05-6.550088731619769e-06j),(6.841845751608985e-07+1.159810100265189e-06j),(1.6885138297723474e-07+1.905471118200139e-06j),(0.043352084685412184+0.08265747550159082j),(0.2780341920777578-0.17345959308638167j)
0.6900000000000001,(-0.4893593991485956-0.6760842772336764j),(-1.876656628568911e-05+1.7174947537855617e-05j),(8.876463131681678e-07+1.382349393274794e-06j),(6.042471496798614e-07+1.3878904893135845e-06j),(0.08951799891491516+0.02863705387536454j),(0.05690188556063769-0.33751625666777507j)
0.7000000000000001,(-0.8381289346039289-0.10298293405964265j),(4.6435610205044e-06+2.7162159714768837e-05j),(1.2069898068678894e-06+1.6460940542737003e-06j),(7.86203269208007e-07+9.113766080105043e-07j),(0.08458937663570702-0.04307012533081472j),(-0.2246336059104319-0.2786844312275134j)
0.71,(-0.6526003189634451+0.5491895784110633j),(2.819758017084627e-05+1.2910132655195893e-05j),(1.69684867830091e-06+1.9396138510215803e-06j),(8.03407525730373e-07+5.213891647578554e-07j),(0.03002820341639681-0.09139981469596518j),(-0.37427398263587747-0.017727633841678775j)
0.72,(-0.042935963946839295+0.8602794168648829j),(3.162148240907193e-05-1.7159239308236834e-05j),(2.4239620815162556e-06+2.23721874615617e-06j),(7.211061676226273e-07+2.2849107355714246e-07j),(-0.044085701097478704-0.08760762270842817j),(-0.2742459537437842+0.2807701865895903j)
0.73,(0.6062506844861135+0.6235859944094563j),(8.132455619253774e-06-4.161704116092012e-05j),(3.4796845541044616e-06+2.4733448759058665e-06j),(5.938899276774153e-07+3.130586678698569e-08j),(-0.09548093372824987-0.03163472542183546j),(0.02874906676728671+0.41031919000628553j)
0.74,(0.8768061846160522-0.019572034624435686j),(-3.031777840270632e-05-4.0019545151807144e-05j),(4.970380014871491e-06+2.520768609571483e-06j),(4.591096173573665e-07-8.728951214029408e-08j),(-0.09263749921917194+0.04659500196880716j),(0.34118326834796914+0.26388381012727785j)
0.75,(0.5873044714517892-0.6600230617987637j),(-5.8584903957571665e-05-7.103134535935509e-06j),(6.992390768954601e-06+2.176389347397526e-06j),(3.345556356176956e-07-1.4816941985930798e-07j),(-0.03371519504136463+0.10205669954800768j),(0.4449971069006185-0.08230865032536427j)
0.76,(-0.0829552766400713-0.8865471125351219j),(-5.458215253368527e-05+4.108921796226383e-05j),(9.607472962088188e-06+1.1272622695467473e-06j),(2.2955250117412767e-07-1.689069391394109e-07j),(0.05027792183971129+0.10018173831684211j),(0.24742801823049299-0.40540017808336215j)
0.77,(-0.7103656241689997-0.548118960083229j),(-1.4432764154365375e-05+7.62028626670867e-05j),(1.27771486156534e-05-1.0877221847428966e-06j),(1.47540680506605e-07-1.6466309247210958e-07j),(0.11140978221543864+0.03726941758712463j),(-0.14288414694207438-0.47749335144229343j)
0.78,(-0.8908731757570709+0.14652443450926467j),(4.353919325523386e-05+7.419807879642996e-05j),(1.6260927530923693e-05-5.075789321626023e-06j),(8.72008086111936e-08-1.4687973436986026e-07j),(0.11074767110440706-0.05467342401478107j),(-0.47241064686959255-0.22396336247146778j)
0.79,(-0.5041722395239696+0.7550601985980149j),(8.783544642181671e-05+3.0810501373860646e-05j),(1.9487452209574513e-05-1.1556753336658992e-05j),(4.5356682542240514e-08-1.2332921489523684e-07j),(0.04255594133301313-0.12297680910290724j),(-0.5063106961932474+0.2098278581177649j)
0.8,(0.20722444341430424+0.8892535046248974j),(9.208410751715118e-05-3.423101284780125e-05j),(2.1377790511559057e-05-2.1260276429832552e-05j),(1.8166969845607258e-08-9.907383883115097e-08j),(-0.0589286793926818-0.1239845104655041j),(-0.19379091325227088+0.54055608175577j)
0.81,(0.7939389584819998+0.4589105097519593j),(5.0762670565103254e-05-8.7598744755125e-05j),(2.0156314235708965e-05-3.4668582360655156e-05j),(1.7201194264473017e-09-7.697286975308325e-08j),(-0.13589958026314936-0.04965836157255997j),(0.2815432053242345+0.5312652932568067j)
0.8200000000000001,(0.8796076324168519-0.26555875888198255j),(-1.6785404238667282e-05-0.0001006346755773084j),(1.3254520126404375e-05-5.1600289717515245e-05j),(-7.287981404083769e-09-5.829390762884954e-08j),(-0.13835301754348073+0.06306220513003784j),(0.6087527588920605+0.1579513282243173j)
0.8300000000000001,(0.4089204705230368-0.8236567353189566j),(-7.63857393588826e-05-6.569516427876125e-05j),(-2.6223544307740413e-06-7.060044533654333e-05j),(-1.1465053246454024e-08-4.33315417854864e-08j),(-0.05648726741601731+0.14892107500631568j),(0.5516484883777412-0.3566186314442062j)
0.84,(-0.32061568363303194-0.8615282378026513j),(-9.774167656835384e-05-6.261205647315691e-07j),(-3.103823866161699e-05-8.815046930795907e-05j),(-1.2734839083112446e-08-3.179814322494058e-08j),(0.06828023810616177+0.15158943854862356j),(0.11673158665614078-0.6748332231772104j)
0.85,(-0.8458539510613714-0.35307534932973156j),(-7.087968858012765e-05+6.093771864771064e-05j),(-7.474267086201372e-05-9.793153829273025e-05j),(-1.2410637155809682e-08-2.3153844599331436e-08j),(0.1621792544751272+0.059711167089878024j),(-0.4324516829659691-0.56651359525992j)
0.86,(-0.8305607225423096+0.3762749060103082j),(-1.1325175691645534e-05+8.773537548921738e-05j),(-0.00013391747397361226-9.059103008331034e-05j),(-1.1328028286001897e-08-1.680125086158098e-08j),(0.16089103673652105-0.07831527835145616j),(-0.7368479493562052-0.07234621137567221j)
0.87,(-0.28707937195407496+0.859839732480129j),(4.850668242286054e-05+6.759919852917658e-05j),(-0.00020387281842563847-5.446860372329645e-05j),(-9.974054850491647e-09-1.2187533223273375e-08j),(0.0545489611927293-0.17672385812227945j),(-0.5766928634135766+0.5065459627159254j)
0.88,(0.43534757605889307+0.7881913124894231j),(7.696282461404968e-05+1.3776618025069657e-05j),(-0.000272635768915576+2.201706903773588e-05j),(-8.612354572664475e-09-8.857562353721975e-09j),(-0.09726433727610466-0.1644554462596057j),(-0.026486882362644126+0.7933342452194263j)
0.89,(0.8683500343687514+0.20748695070965j),(6.0328669955255005e-05-4.2657333117349536e-05j),(-0.0003196518239875774+0.00014585174361589896j),(-7.374330000237567e-09-6.455392649415581e-09j),(-0.1939676292350087-0.03649289443215111j),(0.5764129216612293+0.5810980860700224j)
0.9,(0.7288552474815903-0.5002506003746718j),(1.0038747020790874e-05-6.996078649613356e-05j),(-0.0003173112470576522+0.0003134828180191003j),(-6.305922576183937e-09-4.715022121370883e-09j),(-0.15848019120089774+0.12851026314491956j),(0.8412350654972357-0.019476403150520863j)
0.91,(0.11193952042083066-0.8675715796560546j),(-4.365900883517189e-05-5.3207983282425704e-05j),(-0.0002360929048264223+0.0005051387080843531j),(-5.40785469634532e-09-3.4481141863147464e-09j),(-0.001443692535678387+0.2113454762763522j),(0.5797815024915818-0.63880176263243j)
0.92,(-0.5686374824222513-0.6505300127936345j),(-6.860249289770275e-05-2.9311276259727406e-06j),(-5.443937446359624e-05+0.0006808651850171814j),(-4.667713794108779e-09-2.5179053898216148e-09j),(0.17029830014173006+0.13791286002222808j),(-0.0632519162744356-0.8795699663930016j)
0.93,(-0.8501406201141585+1.3782112847859906e-05j),(-4.9068225853437384e-05+5.0687063009135044e-05j),(0.0002272038828302874+0.0007825342053571476j),(-4.068361875330879e-09-1.823860029797949e-09j),(0.22080686842957742-0.05133558422376838j),(-0.6920849319606535-0.5728997738865811j)
0.9400000000000001,(-0.5451113683104272+0.6290460124362571j),(5.085662796827184e-06+7.462012549246316e-05j),(0.0005738430165172251+0.0007459699236469126j),(-3.588854937587438e-09-1.2977630723977653e-09j),(0.0963956988048267-0.21222055527017847j),(-0.9059305176380424+0.10462300223686782j)
0.9500000000000001,(0.11771006772568549+0.8023600593499585j),(6.32388581962332e-05+5.1671135948534006e-05j),(0.0009111220753094171+0.0005220238240886402j),(-3.2104461714896877e-09-8.940867734228931e-10j),(-0.1120977527730625-0.20950825727067227j),(-0.5585305682094363+0.7338669323564752j)
0.96,(0.6641215873874462+0.42041514093168436j),(9.081555480237752e-05-9.123373866412974e-06j),(0.0011312815634264303+0.00010391005635061658j),(-2.9194113560076837e-09-5.796089364479859e-10j),(-0.23631266848577-0.03938927168492881j),(0.1424670581958346+0.918500693548922j)
