t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B01_A_0005,B01_A_0006,B01_A_0007,B01_A_0008,B01_A_0009,B02_A_0000,B02_A_0001
0.0,(0.021759706994462242+2.0114177453767147e-17j),(0.6963106238227837-3.0174256456713015e-15j),(-2.52144854937139e-16-4.467130354210927e-17j),(-7.750276531202791e-16+5.216197456806919e-16j),(1.9590165487236616e-15+1.3023967500939271e-15j),(8.273450984516661e-17+3.4831584882831246e-16j),(-9.39878564464796e-17-3.4220536075213932e-18j),(0.021759706994467005-5.3544074266083197e-14j),(0.6963106238228673-8.206304600946866e-13j),(-1.6127966062099414e-14+4.7734044550782255e-14j),(4.637454591365726e-15+5.933991108135196e-15j),(-2.448728220445704e-15+3.174000510919926e-15j),(-6.178441162944765e-16+1.2590725452749518e-15j),(-1.2784934151328152e-15-1.3944524281616906e-15j),(-3.0726118686687673e-16+3.616169742241621e-17j),(-9.161969935666872e-15-4.1970217254735005e-15j),(8.946056669219876e-18-1.403782359777741e-17j),(0.02175970699446223+0j),(0.6963106238227914+0j)
0.01,(0.021449473695688157-0.0037302044292649742j),(0.6953164212678623-0.03306116515365106j),(-5.445472011910159e-05-1.8826489903125265e-05j),(-0.00010783121007633636-0.00038073477040856266j),(-0.0007166409090307384+0.0023137711259569984j),(0.0004002211166555506-0.0002473527297808453j),(-7.716742783441608e-05-7.125001658580307e-05j),(0.02143644374016225-0.0036524355907684926j),(0.6953907105232715-0.030507764936886346j),(-6.539234174979235e-05-0.0001385645837985991j),(-8.346046728069738e-05+3.304442370151318e-05j),(-5.093545316279236e-05-5.804824193484693e-05j),(2.530385273906851e-06-5.2789031297508346e-05j),(3.183436100983198e-05-1.0168587750957197e-05j),(1.6466800987807326e-05-3.3482144453281905e-05j),(-0.00047754446921313557-0.0007742723258893735j),(-1.1676018553954764e-06-3.871925652322246e-06j),(0.02143704843215894-0.003733387755876382j),(0.6948159258524002-0.0314693204211602j)
0.02,(0.020505715190875552-0.007350791439613433j),(0.691160781988831-0.06592636785266277j),(-0.00010004358374232896-2.685681589156602e-05j),(-0.0002393586626373651-0.0007903103002728561j),(-0.0012084770328070068+0.0048008443078717145j),(0.0006937196959275129-0.0005549224532893483j),(-0.00014853750264155158-0.0001390758737795951j),(0.0205130197735477-0.007191809965927391j),(0.6916157838100564-0.06084108613041298j),(-0.00018408914942349747-0.00024484873194903663j),(-0.0001418746616644751+9.165906081354093e-05j),(-9.41105866529493e-05-0.00011978193641423838j),(6.657279421164838e-06-0.00011589088980240036j),(6.175257498287373e-05-1.4842657675083248e-05j),(3.282009704260793e-05-7.954593926979756e-05j),(-0.0011859527954216037-0.0014665534013784537j),(-2.0789840715156256e-06-6.639917923932194e-06j),(0.020480100527379613-0.007351999487388256j),(0.6903507698375501-0.06267561881148057j)
0.03,(0.01895936424818305-0.01075159670558772j),(0.6838967907561756-0.09830515962703473j),(-0.00013670064688768116-2.671392296491383e-05j),(-0.0003965801065931267-0.0012259703159983972j),(-0.001456110312264479+0.007424856230530493j),(0.0008765624668533042-0.0008972600326024548j),(-0.0002135259564071657-0.00020330518081566507j),(0.01902059177161185-0.010518597319785921j),(0.6850270683916438-0.09075890230371589j),(-0.00034431993415565707-0.0003037728048462771j),(-0.00017082519193239003+0.00016597548475539848j),(-0.0001290251375683278-0.00018402089371516756j),(1.2192376420092619e-05-0.00019022988766334852j),(8.915526054828326e-05-1.4414877796984244e-05j),(4.7207052267786904e-05-0.00014038545849080728j),(-0.0021121065313028757-0.002025013999027593j),(-2.7232149546705154e-06-8.517528510401442e-06j),(0.01892143265214175-0.010745597679588765j),(0.6829714971766463-0.09336077766515934j)
0.04,(0.016861424556259094-0.01383081683528105j),(0.6736179585403029-0.129917277860497j),(-0.00016475125060701928-2.070854190002945e-05j),(-0.0005814244753269692-0.0016844835191151112j),(-0.001444816241258918+0.010146646951782386j),(0.0009502501474787553-0.0012499056536268186j),(-0.0002717554590991612-0.0002637747398965281j),(0.017007330826627108-0.013541360947605443j),(0.6756997104140835-0.12002723253799565j),(-0.0005305755873298161-0.0003041206209867961j),(-0.00016889429761943257+0.00024592913422579366j),(-0.00015543388363969984-0.0002495163527222347j),(1.8791532854715738e-05-0.0002767195661045818j),(0.0001135084081951573-9.406876879655704e-06j),(5.71835643433091e-05-0.00021812052457762527j),(-0.003231754983639574-0.0024004151058866687j),(-3.1122687492759564e-06-9.687111743857615e-06j),(0.016813648859593917-0.013812775102188226j),(0.6727704529945245-0.12327634526469246j)
0.05,(0.014280684720738514-0.016498836183819122j),(0.6604554707321291-0.16049789946306112j),(-0.0001847506740268541-1.0871281246995919e-05j),(-0.0007956330490160344-0.0021619101277889833j),(-0.0011650772984604313+0.012924705990344438j),(0.0009213027699642201-0.0015899497358612849j),(-0.0003229246778565573-0.00032027514556021765j),(0.014536245367516689-0.016179752401535356j),(0.6637407730405173-0.14842352821160415j),(-0.0007247316059399119-0.00023944502661232397j),(-0.00013747833186657015+0.00032202240667266184j),(-0.00017325532485498802-0.0003149662145313152j),(2.5993226350544353e-05-0.00037620133527836437j),(0.00013434365896878485-4.1719628333255717e-07j),(5.9739127561236705e-05-0.0003146139318023363j),(-0.004509861034528849-0.002548843970992337j),(-3.271461507668187e-06-1.0302176757788428e-05j),(0.014226975953931336-0.016464766897793658j),(0.6598737034912991-0.15218814245966222j)
0.06,(0.011300696285022218-0.018681444380345514j),(0.6445748328037685-0.18980222548468811j),(-0.00019746625452604475+1.1012153036054175e-06j),(-0.0010407488345975302-0.0026537950021902237j),(-0.0006126247600155843+0.015716424272595467j),(0.000800537328148725-0.0018973792140927234j),(-0.0003668878847821556-0.00037260121356110925j),(0.011682678993295413-0.018366905297817943j),(0.6492869274303242-0.17574012790868124j),(-0.0009076006801003193-0.00010853628830802552j),(-8.033547425901117e-05+0.0003860596552383542j),(-0.000182693606676727-0.00037908768676736754j),(3.314981375377253e-05-0.0004894590464306526j),(0.00015130444713492533+1.1855692453922748e-05j),(5.126368807110941e-05-0.0004313724165893756j),(-0.005902332144705339-0.002433757765380645j),(-3.2360585877821697e-06-1.0490573026690398e-05j),(0.011246124467640277-0.01862860747964598j),(0.6444379749710664-0.17987985214683594j)
0.07,(0.00801615667954748-0.020322270231887297j),(0.6261717714256203-0.21760947259988989j),(-0.00020381415307875355+1.3857633287288329e-05j),(-0.0013180965821480903-0.00315531141216893j),(0.0002116207345773777+0.01847920894303138j),(0.0006020681615780255-0.0021559175104281774j),(-0.0004036745223262678-0.0004205826400477977j),(0.008531333491009464-0.0200512845530233j),(0.6325013020938393-0.20178758286956905j),(-0.0010603990666059747+8.455896307909703e-05j),(-3.014101038022833e-06+0.0004316264369265899j),(-0.00018422383124600556-0.00044067897588402714j),(3.9410572709646394e-05-0.0006172032691388296j),(0.00016416639142525163+2.6646932001826303e-05j),(2.75750602378591e-05-0.000569399710180792j),(-0.007357774971009496-0.0020277857435143758j),(-3.0460056935537545e-06-1.0357656548801151e-05j),(0.007966561653011812-0.02024946275837947j),(0.6266469796833191-0.20615661812467087j)
0.08,(0.00452891256543638-0.021384323669653534j),(0.6054674962014386-0.2437261386759831j),(-0.00020478214758543276+2.636999883977616e-05j),(-0.001628746079100682-0.003661338915710151j),(0.0013016926019486343+0.021171432648165317j),(0.00034224690243705156-0.002353417702955193j),(-0.0004334668879499872-0.000464093220325917j),(0.0051730358366874445-0.021197858396394268j),(0.6135697873691572-0.22639746167973226j),(-0.0011661244307330674+0.00033091453131333287j),(8.778267915284301e-05+0.0004543692966301864j),(-0.0001785586616277602-0.000498671438756706j),(4.371307909128129e-05-0.0007600519458363616j),(0.00017284669942824795+4.3162735613004325e-05j),(-1.6015816134909113e-05-0.0007290463258960683j),(-0.008819586167374415-0.0013141006300799807j),(-2.741831970643423e-06-9.989373900523389e-06j),(0.004490447625831432-0.02129204772262221j),(0.6067071734272081-0.2308479446927339j)
0.09,(0.0009438138780240999-0.02185060602156445j),(0.582703540054781-0.2679884469175779j),(-0.00020136655963264635+3.790108031386238e-05j),(-0.0019734791567147868-0.004166546443320356j),(0.002646859987139664+0.023753323334793776j),(3.86056684614851e-05-0.002481991284884319j),(-0.00045657600983146554-0.0005030573293016892j),(0.0017014134615484658-0.021788568253769788j),(0.5926969408147681-0.24942455068000058j),(-0.001210748577730621+0.0006174480577355567j),(0.00018483901489910082+0.000452082888440988j),(-0.0001666058796539693-0.000552171064721814j),(4.478060315956945e-05-0.000918509594424313j),(0.00017740425241546202+6.061670089092058e-05j),(-8.460244224901904e-05-0.0009098676775902061j),(-0.01022828553575348-0.0002872797804376803j),(-2.3617402022945846e-06-9.455153128695992e-06j),(0.0009224644535857559-0.0217411032553381j),(0.5848431341489732-0.25380979190845565j)
0.1,(-0.0026353581941290973-0.02172380378838679j),(0.5581363611210008-0.29026393299669817j),(-0.00019452353518676195+4.7965233994533574e-05j),(-0.0023527613955048677-0.004665477835203228j),(0.004232031685036763+0.026187765905776317j),(-0.0002911358732208668-0.002537895861121702j),(-0.0004734167390434764-0.0005374536103622873j),(-0.001790366682209655-0.02182211258539233j),(0.5701016356830544-0.27074840974695225j),(-0.0011841427877938844+0.0009279161916018847j),(0.00028102328980208026+0.00042462319411453445j),(-0.00014941995935165207-0.0006004879231827963j),(4.112605079550734e-05-0.001092945289219305j),(0.00017803133556279716+7.82629373495032e-05j),(-0.00018354395300942744-0.001110500022978083j),(-0.01152396089253027+0.0010463798999926057j),(-1.9397093043437392e-06-8.810525688165114e-06j),(-0.0026342425705929966-0.021600957403445236j),(0.5612927288139722-0.274925932736121j)
0.11,(-0.006109683445323406-0.021025135168128855j),(0.5320318870996763-0.31045217437882666j),(-0.00018513401471803147+5.628627881697153e-05j),(-0.0027667193371213135-0.005152637139457825j),(0.006038262008215295+0.02844099228226801j),(-0.0006299500396450975-0.002521217861026437j),(-0.0004844830135856089-0.0005673159788887172j),(-0.005212652330373146-0.021313095368066064j),(0.5460125963278144-0.2902742689458059j),(-0.001080681015961068+0.0012440891819997405j),(0.00036979933747433307+0.00037367759510586963j),(-0.00012815082457570098-0.0006431530657597129j),(3.106273615710749e-05-0.0012835697697865013j),(0.0001750384152137075+9.542436367839504e-05j),(-0.00031829323940349603-0.001328563613473402j),(-0.01264869184217881+0.002669094874306937j),(-1.504426400904784e-06-8.099441650376337e-06j),(-0.006081808518761383-0.020894250989164614j),(0.5363022274378684-0.2941085708040919j)
0.12,(-0.009388439558169556-0.01979246435394094j),(0.5046601730436163-0.3284846934382982j),(-0.00017398106744750705+6.275537301382117e-05j),(-0.0032151237909499603-0.005622571170786301j),(0.008043335265045293+0.03048314250086279j),(-0.0009622310917868316-0.0024353950228313444j),(-0.0004903241357137766-0.000592732179852031j),(-0.008482030625338527-0.02029061925844142j),(0.5206639596269671-0.3079332763826883j),(-0.0008994965499384604+0.0015470046049858095j),(0.00044562409266091826+0.00030243012044158966j),(-0.00010399283512262843-0.0006799231831490019j),(1.2722021974381141e-05-0.0014904121463222963j),(0.0001688336577543205+0.0001115150097807437j),(-0.000494197767509678-0.0015606016144642967j),(-0.013548826637697+0.0045523444919638644j),(-1.0788697385330781e-06-7.356270222311646e-06j),(-0.009330907467239576-0.019659951567993668j),(0.5101215147211255-0.31129824490756336j)
0.13,(-0.012391848066698892-0.018077833208926947j),(0.47629032673937355-0.34432409442661965j),(-0.00016173783286561408+6.739118596084699e-05j),(-0.0036973795773351773-0.00606994713049148j),(0.010222403832945814+0.03228868601183141j),(-0.0012743537407408434-0.0022866278027959134j),(-0.0004915227587130885-0.0006138402403644288j),(-0.011523626420936036-0.01879642601148206j),(0.4942909910617448-0.3236821302067327j),(-0.0006443976667106223+0.0018182015199263673j),(0.0005042174254123758+0.00021516322236487457j),(-7.813672269875045e-05-0.0007107740261857853j),(-1.5922381743715985e-05-0.001713296780351459j),(0.0001598990254645798+0.00012605567057623693j),(-0.0007162810780236952-0.0018020618651539866j),(-0.014177001354772902+0.006658077018036552j),(-6.803765966630943e-07-6.6074990702911685e-06j),(-0.012303398392116723-0.017950811959389665j),(0.48299953532684387-0.3264630706069732j)
0.14,(-0.015053139482610882-0.01594458158448879j),(0.4471858336891892-0.3579625178114146j),(-0.0001489640946262724+7.030397713086688e-05j),(-0.004212521790755033-0.006489623474396195j),(0.01254865447892583+0.033836698924462054j),(-0.0015550522814422986-0.0020832291671572002j),(-0.0004886751157756263-0.0006308232251917342j),(-0.014272906634583048-0.016882701526688037j),(0.4671260690262733-0.3375021472091135j),(-0.0003234745625517926+0.0020408464101204253j),(0.0005427026515499527+0.00011683631244918145j),(-5.1726722886060404e-05-0.000735884163966367j),(-5.702389687754967e-05-0.0019518210122831644j),(0.00014876477934692972+0.0001386827586824359j),(-0.0009890147279515054-0.0020473264691147214j),(-0.014493812012273366+0.00894028911137272j),(-3.2104925921433665e-07-5.873159673575415e-06j),(-0.014934277457423923-0.01583044848179124j),(0.45518008976954755-0.33959738934644573j)
0.15,(-0.017319895200948832-0.013464235842790422j),(0.4176003878934308-0.36941951325353684j),(-0.00013610947659394409+7.16645630973481e-05j),(-0.00475921841129231-0.006876712657016797j),(0.014993978496597088+0.03511099918395643j),(-0.0017956249963079528-0.0018349589657327406j),(-0.0004823738546037042-0.0006439027365765428j),(-0.0166769538240066-0.014609669664585755j),(0.4393950324316891-0.34939783618218323j),(5.1548856201508566e-05+0.0022006789913827703j),(0.000559627057544278+1.2676784370715065e-05j),(-2.5824575740319056e-05-0.0007556110428333606j),(-0.00011282696779942665-0.0022053344758269826j),(0.00013598408548734972+0.00014915065317063224j),(-0.0013160916195412487-0.002289791695425593j),(-0.014469075944470696+0.011346879829785786j),(-8.374388502115676e-09-5.1680131005730195e-06j),(-0.017172903639850346-0.01337021946548184j),(0.42689807555944687-0.3507199108609731j)
0.16,(-0.019154669365551744-0.010713340789923217j),(0.3877743068246155-0.37873944424948036j),(-0.00012352135863503858+7.167860910469302e-05j),(-0.0053357788568122785-0.00722663484836078j),(0.017529623227006807+0.03610014723761143j),(-0.0019899788360623113-0.001552383034953565j),(-0.00047319367791519485-0.0006533316022185688j),(-0.01869520211133937-0.012043098032010797j),(0.41131396595167524-0.3593950557585318j),(0.000466150247741728+0.0022867270715774407j),(0.0005548799983167374-9.218765415732429e-05j),(-1.3814516407277522e-06-0.0007704615200972022j),(-0.00018562615612921496-0.00247292077830597j),(0.00012210918689788038+0.00015732821264497027j),(-0.0017002121490526454-0.002521997915731224j),(-0.014082646419193925+0.013821672036938666j),(2.540454296038669e-07-4.502532642762886e-06j),(-0.018983509646087755-0.010646077600188198j),(0.3983762441035048-0.3598714449931383j)
0.17,(-0.02053493432376144-0.007770394925268337j),(0.35793158075219056-0.3859885433131391j),(-0.00011145581812575124+7.056624417841959e-05j),(-0.0059401678652896-0.007535162185988492j),(0.020126805389526065+0.03679732441063546j),(-0.0021345370693691148-0.001246289240208634j),(-0.0004616798411976444-0.0006593861716675439j),(-0.020299674400023563-0.009251843289576156j),(0.3830864708916296-0.36753886409264047j),(0.0009039765959346214+0.0022917631259874107j),(0.0005295285248714783-0.00019303891743569865j),(2.0775539718116204e-05-0.0007810685406940363j),(-0.0002777518146637179-0.002753396326954676j),(0.00010767268363295453+0.00016319133479227109j),(-0.0021429363690681977-0.002735784391228229j),(-0.013324650113045997+0.016306521012077007j),(4.65685211495321e-07-3.883758475491639e-06j),(-0.020345049273547744-0.007735552132054487j),(0.3698225192548023-0.36711232443634056j)
0.18,(-0.021452426243684958-0.004713024520714285j),(0.32827759664073586-0.39125173191610335j),(-0.00010009010204825274+6.854688634959233e-05j),(-0.006570033521357875-0.007798446781811349j),(0.02275725912242557+0.037200078879703835j),(-0.002228039050284436-0.0009271770001279367j),(-0.0004483400446463283-0.0006623579985297506j),(-0.021474821912168353-0.006305567202213707j),(0.35490155314140226-0.3738911269864963j),(0.0013479321221894372+0.0022124976496958547j),(0.0004855894196665065-0.0002858178095340915j),(3.9938965947407343e-05-0.0007882248842826205j),(-0.0003916669294175279-0.003045415008095017j),(9.318293409797534e-05+0.0001668208649384261j),(-0.002644802369596827-0.0029224303006565445j),(-0.012194934551263279+0.01874358696684661j),(6.28246175577732e-07-3.316107591415787e-06j),(-0.021250463572688907-0.004714991423959242j),(0.3414278995330347-0.3725196206524977j)
0.19,(-0.021911993065062498-0.0016154888199659092j),(0.29899795885206265-0.39462934418383633j),(-8.953518106589594e-05+6.583525948462607e-05j),(-0.007222998676209772-0.008012964600873654j),(0.025393491621688892+0.037309544267024645j),(-0.0022713196279849778-0.0006046759290558184j),(-0.000433659679435927-0.0006625455186776915j),(-0.022216753531327717-0.0032724941759456378j),(0.32693202199357346-0.37852781884642717j),(0.001780993189639722+0.0020494797689739725j),(0.0004257985105566923-0.00036724261184384343j),(5.5589367952833424e-05-0.000792787877224824j),(-0.0005297107066281669-0.0033473997054657553j),(7.908880662807424e-05+0.00016838570404745267j),(-0.0032049969773296433-0.0030730334197040434j),(-0.010703400795147975+0.021077031633735192j),(7.453380088514501e-07-2.8016073211028266e-06j),(-0.021705470158776684-0.0016571658165365078j),(0.3133649439266836-0.37618425177201176j)
0.2,(-0.021930061326093545+0.001453359373301424j),(0.27025663837351055-0.3962342949320031j),(-7.985258788415308e-05+6.262581251316945e-05j),(-0.007896289108058289-0.008176017398321678j),(0.028009866879068396+0.037131603242703j),(-0.0022669288986338566-0.0002875351944734634j),(-0.0004180743498648232-0.0006602960965340419j),(-0.022532288071086537-0.00021755034832441093j),(0.2993331498011576-0.3815365888112189j),(0.0021871019116108067+0.0018067727238235123j),(0.00035334441566147796-0.000434892049278792j),(6.737028708803816e-05-0.000795637358259874j),(-0.0006941511705882526-0.0036575284083141786j),(6.576898525547555e-05+0.00016812228142555174j),(-0.0038213539795387288-0.0031786084018971465j),(-0.00886861507544898+0.023254498389936557j),(8.217094096016748e-07-2.3405220870613354e-06j),(-0.02172699248025907+0.001370702033304783j),(0.2857868216262295-0.37820807431526976j)
0.21,(-0.02153282642875848+0.00443168112950462j),(0.2421956818567226-0.3961884782638246j),(-7.106125162795367e-05+5.908651640411574e-05j),(-0.0085868598897831-0.008285451510354694j),(0.030582767876043342+0.03667564036047791j),(-0.0022187283490183287+1.6696617483225322e-05j),(-0.0004019587335898665-0.0006559558564765488j),(-0.02243768561607432+0.0027991955090231864j),(0.2722419956482533-0.3830141550285553j),(0.002551864778686877+0.0014914817475008215j),(0.0002716309213759729-0.0004872111094903522j),(7.507757529746593e-05-0.00079764954504624j),(-0.0008871713497645138-0.003973749615034198j),(5.352662807601652e-05+0.0001663165190347919j),(-0.004490371271282237-0.0032302866253283106j),(-0.006716653502824011+0.025228398951243028j),(8.62741662844114e-07-1.9317556405920827e-06j),(-0.02134134927724913+0.004308444463433606j),(0.2588268895908468-0.3787010408163483j)
0.22,(-0.020754298070978703+0.007265783333928443j),(0.2149355798760561-0.39461958773970557j),(-6.31472193176754e-05+5.535955545637742e-05j),(-0.009291571145785708-0.008339504301108316j),(0.033090629573143425+0.03595358017464995j),(-0.0021315221617288506+0.0003018701380684679j),(-0.00038563454622109536-0.0006498506010821656j),(-0.02195717979043718+0.005723745923859968j),(0.24577720915481988-0.38306375848147456j),(0.002863068733134933+0.0011131726451279996j),(0.0001840703861588048-0.0005234616054797764j),(7.864842202028125e-05-0.0007996702999108758j),(-0.001110834729718043-0.004293795742109478j),(4.258697304010471e-05+0.00016328584478165974j),(-0.005207245873087109-0.003219531784713008j),(-0.004279882914274587+0.026956908816699123j),(8.740528968819609e-07-1.5731712736032214e-06j),(-0.02058231999211322+0.007103988546613236j),(0.2325987488524729-0.37777849366352895j)
0.23,(-0.01963431062891983+0.009910782617135705j),(0.18857582898764322-0.39165830562080484j),(-5.607341465596077e-05+5.1561435502149456e-05j),(-0.010007213701833422-0.008336793727805443j),(0.03551408443334233+0.03497942901960542j),(-0.00201070224661969+0.0005632381271656404j),(-0.0003693727077478038-0.0006422837598774356j),(-0.02112140889234952+0.008509028786557052j),(0.22003925170491115-0.38179275898250153j),(0.003111021273884219+0.0006832311766013766j),(9.391370216881232e-05-0.0005436341197517031j),(7.814626809006173e-05-0.0008024928594769583j),(-0.001367052152192877-0.004615199804406294j),(3.309871244962877e-05+0.00015936238374916878j),(-0.005965948127050508-0.003138344064056186j),(-0.001595647850206024+0.028404671773082226j),(8.611847526628008e-07-1.261869933403957e-06j),(-0.019489191093280907+0.009713948409957249j),(0.2071967210301433-0.3755586524783846j)
0.24,(-0.018216591623138607+0.012330847702206757j),(0.16319588341656427-0.38743576685681447j),(-4.9787570413295966e-05+4.7784507244866785e-05j),(-0.010730531806541231-0.00827630413164028j),(0.0378360382575976+0.03376882660490486j),(-0.0018619374119053492+0.0007973940458493502j),(-0.0003533963845354991-0.0006335349002387853j),(-0.019965824143901068+0.011115403535790696j),(0.19511097944706002-0.37931042083059424j),(0.0032887198967412592+0.0002142097536335238j),(4.1204262134823485e-06-0.000548334744123284j),(7.374299606151797e-05-0.0008068404491452509j),(-0.0016575508477742636-0.004935315134032839j),(2.5138468703179643e-05+0.0001548780223647196j),(-0.006759331073568504-0.0029794455657867463j),(0.0012950724386231616+0.029543219535165026j),(8.293705680968986e-07-9.944300443050186e-07j),(-0.018104872933987586+0.012103810350997021j),(0.1826966805913629-0.37216033887359334j)
0.25,(-0.01654696442511525+0.014499073401758326j),(0.1388564207683573-0.38208133107819725j),(-4.422847995113737e-05+4.4099347468729766e-05j),(-0.011458242829878786-0.008157369538254312j),(0.04004168345348332+0.03233861945924879j),(-0.0016909129777535974+0.001002163122451682j),(-0.0003378846463658074-0.0006238588053949205j),(-0.018529143316478223+0.013510846433957587j),(0.1710585282367427-0.37572592362779705j),(0.003391866552269463-0.0002807988143787748j),(-8.273091351707765e-05-0.0005386589002805998j),(6.569972311849483e-05-0.0008133538566240886j),(-0.0019838462083808252-0.005251337890516145j),(1.871762820751539e-05+0.0001501518030387959j),(-0.0075792696986479065-0.0027364409161344874j),(0.004348980351228488+0.03035112507494682j),(7.833780966533346e-07-7.671114866779556e-07j),(-0.016474158709794306+0.014247765294413552j),(0.15915717572178376-0.36770096912123146j)
0.26,(-0.014671742042521273+0.01639704939892354j),(0.11560084674176754-0.37572068141911924j),(-3.93307665930782e-05+4.055757393981165e-05j),(-0.012187054011553983-0.007979655690209878j),(0.04211845807649717+0.030706465781264323j),(-0.0015031229126836211+0.0011764616602404669j),(-0.00032297650336750425-0.0006134850961250998j),(-0.016851905769006657+0.015670853113519394j),(0.1479324393182934-0.3711466220679036j),(0.0034187501771092152-0.000788729233992407j),(-0.00016449510889311703-0.0005160627164647988j),(5.434738762645459e-05-0.0008225837496075954j),(-0.0023472168183098765-0.005560332107118288j),(1.379077999560816e-05+0.00014547988340867223j),(-0.008416823814509007-0.00240394841060995j),(0.007521702274148171+0.030813917773202474j),(7.274163302404916e-07-5.760256660201711e-07j),(-0.014642177992520126+0.016128251796291522j),(0.1366207708886909-0.3622948326886011j)
0.27,(-0.012636349647208684+0.018014191450539792j),(0.09345696713795128-0.36847425600632444j),(-3.502839223398424e-05+3.7194785971353095e-05j),(-0.012913676483634852-0.007743141926037364j),(0.04405595968433415+0.02889047876810674j),(-0.0013037131952455675+0.001320138522713692j),(-0.0003087751187322499-0.000602618351021411j),(-0.014975171607917904+0.017578103938555786j),(0.12576896562221884-0.36567656760459505j),(0.003370024719052326-0.0012970311241851309j),(-0.0002394798581767608-0.0004822402584124463j),(4.006813662710046e-05-0.0008349873005220002j),(-0.0027486831740867533-0.005859257013815367j),(1.0265047929235366e-05+0.00014112809872302403j),(-0.009262417804774995-0.0019776985982592906j),(0.010768919757912176+0.030923795112585164j),(6.65094525536227e-07-4.1727362870904467e-07j),(-0.012653078648292435+0.017735276284350125j),(0.11511554685782902-0.35605166320023185j)
0.28,(-0.010484195701484364+0.019346902486710196j),(0.07243876093524418-0.360456006750454j),(-3.125712735523347e-05+3.403341946203434e-05j),(-0.013634836922510994-0.0074481038759600035j),(0.04584582327874226+0.026908913110180805j),(-0.0010973726015831825+0.0014338104915502601j),(-0.0002953520270437033-0.0005914386650173298j),(-0.012939394254735991+0.019221941434690047j),(0.10459150166084183-0.35941529514053483j),(0.003248411689936998-0.0017940626575047663j),(-0.00030643846116180646-0.00043901263602460865j),(2.327831125076594e-05-0.0008509285280924842j),(-0.0031889904383134524-0.0061449963740364535j),(8.009686299391228e-06+0.00013732700664477785j),(-0.010106030311844285-0.0014545987285859052j),(0.014047362888847259+0.030679169347097177j),(5.994214670507051e-07-2.8705449457258947e-07j),(-0.010548953823530445+0.019065576290734798j),(0.09465669854548314-0.34907549847968383j)
0.29,(-0.00825579597311523+0.020397627171022795j),(0.052548195232598495-0.35177247087250835j),(-2.795619086679427e-05+3.1085382588302074e-05j),(-0.014347287291601347-0.007095097773196655j),(0.04748157244375679+0.024779897151627015j),(-0.000888265449989545+0.001518700780387623j),(-0.0002827512225349675-0.0005801025767738935j),(-0.010783483026241707+0.020597709511197024j),(0.08441208468351588-0.3524568694990456j),(0.003058355582129195-0.002269385316732309j),(-0.00036454185906783165-0.0003882328399735981j),(4.41360956745287e-06-0.0008706816776341753j),(-0.0036685954940315338-0.00641438956732451j),(6.865414078117085e-06+0.00013426917456547146j),(-0.010937387127099936-0.0008327629159576421j),(0.017315649292245945+0.030084088721111846j),(5.328338598127074e-07-1.8174688335021453e-07j),(-0.008369015893508828+0.02012168801982299j),(0.0752481771409666-0.34146381810591j)
0.3,(-0.005988141942753593+0.021173856830468085j),(0.03377703088541266-0.342522133457397j),(-2.5069245878981902e-05+2.835439759354426e-05j),(-0.015047813215549486-0.006684946991382996j),(0.048958452297595385+0.022521211285189212j),(-0.0006799999009161005+0.0015764876103154038j),(-0.000270993014786465-0.0005687442916588626j),(-0.008544061023107096+0.02170600199279628j),(0.06523292054146212-0.344889179584495j),(0.00280565801206055-0.002713961476492007j),(-0.0004133361246277221-0.0003317082496193268j),(-1.6083202500856647e-05-0.0008944369315325844j),(-0.00418765849532601-0.006664264141821738j),(6.653080185633089e-06+0.0001321083901218107j),(-0.011746151007701187-0.00011150914778277482j),(0.02053496135909833+0.029147571779177747j),(4.672441465305598e-07-9.796637773567711e-08j),(-0.006149007271215498+0.02091097268227787j),(0.05688432991633308-0.33330694046310233j)
0.31,(-0.0037142953239903717+0.021687133245599767j),(0.0161085761418034-0.33279505420093086j),(-2.2544911149565654e-05+2.5838017499341503e-05j),(-0.015733241577528298-0.006218731222007702j),(0.05027325213522672+0.02015011151566623j),(-0.0004756250891906896+0.0016091675599205692j),(-0.0002600775799473152-0.0005574771274856987j),(-0.006254903859204009+0.022551861399059396j),(0.04704785790466165-0.336793446181911j),(0.0024971005683441473-0.00312025400680684j),(-0.0004526899438564166-0.0002711399277084412j),(-3.778031267487683e-05-0.0009223010160387874j),(-0.004746042301016031-0.0068914422711246984j),(7.182423310987161e-06+0.00013095846027289977j),(-0.012522052835649484+0.000708685830974015j),(0.023669507574169753+0.027882783427162338j),(4.0410070129951453e-07-3.259965456035302e-08j),(-0.00392083030877935+0.021444647594255666j),(0.03955153453178498-0.3246876475747116j)
