t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B01_A_0005,B01_A_0006,B01_A_0007,B01_A_0008,B01_A_0009,B02_A_0000,B02_A_0001
1.55,(0.020774954604324096+0.003002097617670998j),(2.312980462432208e-09-1.1872761658349808e-08j),(4.38140083818478e-09-2.1232745177810935e-10j),(-1.5129891714940174e-07+1.41737763615795e-06j),(2.5619302349194434e-08+3.099695568568732e-08j),(1.0177671922207469e-07-2.2775961881877435e-07j),(7.390511899666786e-05-3.860590535070838e-05j),(0.029294287711238685-0.002779399150391028j),(-1.1467340747894628e-09-9.475652880174307e-09j),(-0.006730381417993075+0.012348855745647985j),(-0.0012673815836417458-0.000638176631801247j),(0.00015309250070029185+0.0034788958820016792j),(0.0001732514356052897-0.00031282680362507565j),(0.0049624571663049784-0.008347689458383819j),(-0.0014713304746985791-0.0015371493955069191j),(0.0002366219783208905+0.0012714927644359533j),(0.0002433621292735757-0.0009570168625051602j),(0.022639272622176625+0.003862791441150871j),(-6.690163254417985e-11-9.08788395291661e-09j)
1.56,(0.02094069384309827+0.0014415355096152175j),(1.5363037242130453e-09-1.0568429411206789e-08j),(4.978134406642275e-09+2.612327880138717e-10j),(-3.410840559207311e-07+1.2906822988218667e-06j),(2.120818542913083e-08+2.7161565422466347e-08j),(6.846958216196164e-08-2.4897149372250884e-07j),(7.984970276935625e-05-3.5230177186761045e-05j),(0.028971250629523028-0.005105102641299387j),(-1.384201251368803e-09-8.283782537960215e-09j),(-0.0056934565060435625+0.012884112012552183j),(-0.001335700579757031-0.0005385865470597086j),(5.9976020302316465e-06+0.003545643252336193j),(0.00017798820006379625-0.00028717488241325034j),(0.005222108920014007-0.008439337924110042j),(-0.0014134779774075497-0.0013796330914858377j),(0.0003268069778153224+0.0011843755147695652j),(0.00025059484206844365-0.001019529449954937j),(0.02286698601050135+0.002146655976603371j),(-4.2946019258565586e-10-7.993296498162803e-09j)
1.57,(0.020989325027707905-0.00015133748305702253j),(8.933569518667539e-10-9.380227750475178e-09j),(5.620465712311195e-09+8.80155097744815e-10j),(-5.056447220089868e-07+1.1451926334366096e-06j),(1.7450505630501107e-08+2.3727939230311203e-08j),(3.038498796522622e-08-2.6609187200834733e-07j),(8.599249587245429e-05-3.13070916306432e-05j),(0.028452803740642352-0.007428852470273017j),(-1.5535540529883539e-09-7.220948075237923e-09j),(-0.004598276899402877+0.013336306480283427j),(-0.0013973022615629462-0.00043030002906699143j),(-0.00015120666076980094+0.003608494440417359j),(0.00018179424997423062-0.000261991977748316j),(0.005497942679422043-0.008524017396622757j),(-0.0013510680050555191-0.0012334219041886803j),(0.0004057424941003879+0.001092556355997183j),(0.00025771949216358344-0.0010869189400820277j),(0.022965213447911706+0.00039160243258354105j),(-7.121962692729286e-10-7.0106526525951336e-09j)
1.58,(0.0209147258748129-0.0017713233108800526j),(3.66145773880041e-10-8.29793571344367e-09j),(6.3028968852210226e-09+1.6802733403461325e-09j),(-6.433773829028147e-07+9.83787731764436e-07j),(1.4259833247089473e-08+2.0658272522360295e-08j),(-1.2319790648537704e-08-2.781444819158687e-07j),(9.234052243180683e-05-2.6770675191622376e-05j),(0.02773288464039035-0.009737963943153231j),(-1.6659196205601261e-09-6.273154328347965e-09j),(-0.003448802202483659+0.013698711632318398j),(-0.0014512530735708885-0.00031330067839908915j),(-0.00031954075274584015+0.0036666824940887145j),(0.00018464776275555267-0.00023723971050769712j),(0.005791929566418093-0.008600201775226017j),(-0.0012848553194290094-0.001098178395129102j),(0.0004733281809286311+0.000997039821669551j),(0.00026475495849635864-0.0011597755788283152j),(0.022927036320869162-0.0013965672734660055j),(-9.271965067922985e-10-6.1284779932374235e-09j)
1.59,(0.02071024541571655-0.0034121205115053743j),(-6.069198046314613e-11-7.312949251995509e-09j),(7.014543149606638e-09+2.705961336686828e-09j),(-7.527294171965393e-07+8.095761773197005e-07j),(1.1561843334922933e-08+1.7919471902828322e-08j),(-5.9335866088435745e-08-2.8402748900344656e-07j),(9.889780528266202e-05-2.1544119894383334e-05j),(0.026805479485020774-0.012017969193717495j),(-1.7306972274419004e-09-5.428548307530034e-09j),(-0.0022498238717140913+0.013964145260142153j),(-0.0014964918109998692-0.0001876424991355477j),(-0.0005000265346948496+0.003719240266379471j),(0.0001865147140319813-0.00021289887334289414j),(0.006106023974548836-0.008666108302198185j),(-0.0012155909750721377-0.0009735743072767206j),(0.000529503346194588+0.0008988584613883971j),(0.00027171579022038984-0.0012387603368883109j),(0.02274494859123892-0.003210839619232955j),(-1.0846988299209527e-09-5.337052215945175e-09j)
1.6,(0.02036884465471532-0.005066105301351716j),(-4.00439785294617e-10-6.417922913408443e-09j),(7.736654881246213e-09+4.012108958729304e-09j),(-8.322281550005418e-07+6.259822017226061e-07j),(9.292045686310235e-09+1.5482443131461874e-08j),(-1.1014919287404064e-07-2.8251780029682213e-07j),(0.00010566303715485933-1.5539082117591205e-05j),(0.025664949472672265-0.014252392022759927j),(-1.7559305655764436e-09-4.676973699610576e-09j),(-0.001007158968664947+0.014125051148662596j),(-0.0015318246579306735-5.3481228386669574e-05j),(-0.0006936655210589113+0.003764979182561941j),(0.0001873514850287492-0.0001889701016180026j),(0.006442133172482874-0.008719669992381277j),(-0.0011440212870846111-0.0008592796664561729j),(0.0005742627562933648+0.0007990775287175347j),(0.00027861041803436905-0.0013246121821535257j),(0.022411010773419268-0.005042743951823589j),(-1.1934897028188106e-09-4.628042643222227e-09j)
1.61,(0.019883283798257736-0.006724118540630495j),(-6.64736259479842e-10-5.606475541300435e-09j),(8.439016956288515e-09+5.666340822891949e-09j),(-8.805754311094711e-07+4.368218399590427e-07j),(7.393943867264764e-09+1.332116162037896e-08j),(-1.6397821895253255e-07-2.722871913181628e-07j),(0.00011262785659102626-8.654829172070931e-06j),(0.024306421413704832-0.016422563465647775j),(-1.748583147845262e-09-4.009609777299115e-09j),(0.00027215520146209055+0.014173621678991194j),(-0.0015559251449203827+8.889046757199284e-05j),(-0.0009014124314752139+0.0038024677668998482j),(0.00018710775834196718-0.0001654744944732149j),(0.006802081258183108-0.00875850717805342j),(-0.001070884661531072-0.000754953117493215j),(0.0006076738663108682+0.000698795197503465j),(0.0002854391784796373-0.0014181560455932569j),(0.02191705517892634-0.006882114155208752j),(-1.2612009849289813e-09-3.994203229827449e-09j)
1.62,(0.019246359189716233-0.008375266399857674j),(-8.639003770076622e-10-4.872945395417707e-09j),(9.074898630670277e-09+7.751478596267486e-09j),(-8.967735957524254e-07+2.46355114478292e-07j),(5.817645516224867e-09+1.1411911264584048e-08j),(-2.1970341619968417e-07-2.5193480093890447e-07j),(0.00011977502435616453-7.772913371255154e-07j),(0.02272624217613403-0.018507491580050196j),(-1.7147390387780876e-09-3.418681917558225e-09j),(0.0015796721716785332+0.014101966384782269j),(-0.0015673402157202147+0.0002390042491459747j),(-0.0011241432671979083+0.0038300106545906413j),(0.00018572974660886076-0.00014245411211742534j),(0.007187566624918176-0.008779899118330261j),(-0.0009969065595435917-0.0006602337717627192j),(0.0006298946056813655+0.0005991379711941829j),(0.0002921921121789631-0.0015203114917431567j),(0.021254948856863107-0.008716866047748979j),(-1.2945247287898145e-09-3.4291287432174533e-09j)
1.6300000000000001,(0.018451192946972853-0.01000674372217496j),(-1.0071682570810091e-09-4.212189618572217e-09j),(9.574040486005762e-09+1.0368158845370997e-08j),(-8.802758558601495e-07+5.930908151041596e-08j),(4.518829629850165e-09+9.73272166993968e-09j),(-2.7579055866665e-07-2.2004106938564226e-07j),(0.00012707631835714628+8.22187320731787e-06j),(0.020922494454974704-0.020483800776278798j),(-1.6597466817090257e-09-2.8972332509457513e-09j),(0.002905361316746709+0.013902329894777313j),(-0.0015645037195901748+0.00039617440285569087j),(-0.0013626171577960536+0.0038456290359744566j),(0.00018316378162537523-0.00011997225881087706j),(0.007600112109957151-0.00878075687220032j),(-0.0009227929236468772-0.0005747348123836005j),(0.0006411907286009054+0.0005012510801050884j),(0.00029884649284739567-0.0016321020845961377j),(0.020416910496836856-0.010532798558761223j),(-1.2993818129708451e-09-2.9270628009789613e-09j)
1.6400000000000001,(0.01749157729300294-0.011603690694337337j),(-1.1028608518907458e-09-3.619425342401658e-09j),(9.83299266030126e-09+1.3637395717987794e-08j),(-8.311573373278174e-07-1.1913590381260367e-07j),(3.4579919662301085e-09+8.262974543770897e-09j),(-3.3021123594901775e-07-1.7524880185363094e-07j),(0.00013449011594767772+1.848616932745705e-05j),(0.018895568219964517-0.022325757584114463j),(-1.5883202480487484e-09-2.4389485235598877e-09j),(0.004237456678489579+0.01356736164071336j),(-0.001545758728161999+0.0005594541223886112j),(-0.0016174312819164408+0.003847043728825216j),(0.0001793602700531333-9.811344475431462e-05j),(0.008041007053795887-0.008757598909089977j),(-0.0008492224481592889-0.0004980390572588733j),(0.0006419516319322202+0.0004062838378546108j),(0.0003053640413639212-0.0017546654136169515j),(0.01939589056359481-0.01231343255647708j),(-1.2810292332815303e-09-2.482747234929395e-09j)
