t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00,B01_z_0001_00
1.06,(1.0002290876378745-0.00014907147345019097j),(0.4690293231045702-1.7292808883059385j),(-0.9093905893198952+0.45829678291534304j),(2.0800165464088374-0.4051561725095308j),(1.0950690428842411-2.6076392037027993j),(0.3946044880444976-0.20601381658208506j),(-5.433194586963975+2.195564612950541j),(-1.3926411366724025+0.23954835964679555j),(-0.5422070509322207-0.6342664905860858j),(1.0002290876378745-0.00014907147345019097j),(0.4690293231045702-1.7292808883059385j)
1.07,(1.0002333995455106-0.00014769394693866985j),(0.48470326325895147-1.7868733240172032j),(-0.8973876638634247+0.45270281093423287j),(2.1008356983526655-0.3712225790891105j),(1.1581260301572085-2.7061220895966973j),(0.39824300775284377-0.21663955186219533j),(-5.263572975977432+2.363822450162498j),(-1.3819663345981177+0.2561179221229898j),(-0.5514555602526879-0.6512952001610712j),(1.0002333995455106-0.00014769394693866985j),(0.48470326325895147-1.7868733240172032j)
1.08,(1.0002376315523673-0.0001462672162367633j),(0.5010990827909791-1.8467775681718075j),(-0.8858480496950335+0.4468255433044939j),(2.1197924557769516-0.3363785230878291j),(1.2264343423935264-2.8082858402976245j),(0.40204701477357346-0.22718115924405546j),(-5.083089816779881+2.518167807181122j),(-1.3707842681134814+0.27193044688388285j),(-0.5611615854880471-0.6682474589703121j),(1.0002376315523673-0.0001462672162367633j),(0.5010990827909791-1.8467775681718075j)
1.09,(1.0002417780305892-0.00014480016086548174j),(0.5182473082148449-1.9090537633467979j),(-0.8747750668501025+0.4406983524217546j),(2.136805657064022-0.30081990193807373j),(1.3002828485253544-2.9138878131539894j),(0.40600994624733083-0.23762394221162064j),(-4.893349124430973+2.657746452872233j),(-1.359166421569316+0.2869621459083871j),(-0.5713260681434773-0.685093790959273j),(1.0002417780305892-0.00014480016086548174j),(0.5182473082148449-1.9090537633467979j)
1.1,(1.000245833970398-0.00014330195423291084j),(0.5361773544102065-1.973756629065826j),(-0.8641695541924338+0.4343536537392566j),(2.1518190723662505-0.264751211403924j),(1.3799101377174026-3.0225880835100924j),(0.4101245394983396-0.24795350451571285j),(-4.696100900812966+2.7818997076097043j),(-1.347184393250388+0.30119717149707775j),(-0.5819479068244727-0.7018038421148922j),(1.000245833970398-0.00014330195423291084j),(0.5361773544102065-1.973756629065826j)
1.11,(1.0002497949950593-0.00014178198736515663j),(0.5549168664418472-2.04093387019711j),(-0.8540300763277122+0.4278227315988262j),(2.1648022649130865-0.22838156042771623j),(1.4654832355468461-3.133941734862708j),(0.4143828638247756-0.2581558049374345j),(-4.493207921072938+2.8901961798342635j),(-1.334908915406191+0.31462728266744167j),(-0.5930238304300431-0.7183465276582839j),(1.0002497949950593-0.00014178198736515663j),(0.5549168664418472-2.04093387019711j)
1.12,(1.0002536573681013-0.00014024979118385078j),(0.5744909445804326-2.110624382410191j),(-0.8443531326697483+0.42113559415436913j),(2.1757506979791765-0.19192061700632454j),(1.5570752219557589-3.2473963155530536j),(0.4187763593916395-0.2682172138876762j),(-4.286616133759902+2.9824513905030283j),(-1.3224089725503423+0.3272513909473899j),(-0.6045482882829348-0.7346902030912169j),(1.0002536573681013-0.00014024979118385078j),(0.5744909445804326-2.110624382410191j)
1.1300000000000001,(1.0002574179930166-0.00013871495830881372j),(0.5949212470012714-2.182856258463123j),(-0.8351333650907315+0.4143208554114905j),(2.1846851001284966-0.15557464449398664j),(1.654643836222328-3.3622963760461033j),(0.42329588324276435-0.2781245716302866j),(-4.078307983559356+3.0587459744657286j),(-1.3097510307165945+0.33907500960245535j),(-0.6165133614526779-0.75080285865219j),(1.0002574179930166-0.00013871495830881372j),(0.5949212470012714-2.182856258463123j)
1.1400000000000001,(1.0002610744058213-0.0001371870653250969j),(0.6162249692725617-2.2576446104131214j),(-0.8263637611814942+0.4074056421713284j),(2.1916501387156893-0.11954277731024882j),(1.7580137531640236-3.4778965459443483j),(0.42793176234141594-0.2878652478122331j),(-3.870249423652671+3.119432091852589j),(-1.296998385017325+0.3501096307107291j),(-0.6289086995642583-0.7666523360507234j),(1.0002610744058213-0.0001371870653250969j),(0.6162249692725617-2.2576446104131214j)
1.1500000000000001,(1.0002646247609723-0.00013567559639988014j),(0.6384137064105463-2.3349892377649346j),(-0.8180358507142044+0.4004155235385188j),(2.1967124840121115-0.08401366548771513j),(1.866865454623133-3.593383657024076j),(0.43267385343620757-0.2974272018835257j),(-3.6643337434630587+3.165127170217557j),(-1.284210627938439+0.3603720537841839j),(-0.6417214872848771-0.7822065656043307j),(1.0002646247609723-0.00013567559639988014j),(0.6384137064105463-2.3349892377649346j)
