t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,E
0.16,(0.7106246832836105-0.4667705615751155j),(-0.001579576464375673+0.001190736255710267j),(-0.01856796772562677+0.0644206684762744j),(0.03997062245472183-0.11469158988735487j),(-0.059847654718337556-0.014432825646113135j),(-0.030397433918532717-0.057323742218782205j),(-0.027509101780337213+0.055620428696175186j),(-2.445780029715263e-05+1.5070495639993547e-05j),(-0.031887767640407697+0.024945002126612482j),(0.0002922740677994536+0.00020703962126692062j),(-0.007690212441477906-0.009002755698919968j),(0.05058450361604802+0.3016414357520627j),(-1.104347052822261-0.239900377449631j),(0.269278183316067+0.6630351745401486j),(-0.09460125192594925-0.9031701679187303j),(0.08342893848519915+0.7298639554758738j),(0.4469187649684396+0.015607523949532357j),(-0.1723176355361379-1.1507108565285988j),(-0.8727136994538198+1.58828937055242j),(-0.5254971100254485-0.7280858529328813j),(0.9920223878448222-1.1602748211938005j),(-0.02703758027939515-1.3613276388390219j),0.0
0.17,(0.689792262746604-0.4785474999743042j),(-0.0015414052666698076+0.0013739722981638118j),(-0.026173986079203265+0.06937035823390647j),(0.0359303992471153-0.1180908213289588j),(-0.06628291966055329-0.016290282413080844j),(-0.03341643149719287-0.060696986212303544j),(-0.026653582795830036+0.05735429587227524j),(-2.5011443958241218e-05+1.781177642750677e-05j),(-0.03143802157069595+0.02766830991055853j),(0.0003114770169351188+0.00020286070965531153j),(-0.008250671932040708-0.008870504074986654j),(0.05134118519203552+0.32297182502466154j),(-1.1039169272240725-0.2407373967391641j),(0.2772171226901475+0.6595794925687979j),(-0.09130077292063515-0.9035696130285981j),(0.08738688649576556+0.7304469376373237j),(0.44233319557061207+0.02156713260736364j),(-0.1742107612866723-1.150772740420032j),(-0.8728362946746633+1.5886856420555213j),(-0.5238301966784342-0.7267039344968172j),(0.9923536643344334-1.1599783676121493j),(-0.02739282409985135-1.3621376391496867j),0.0
0.18,(0.6704273304185834-0.48840109508056173j),(-0.0014752738387965804+0.0015532447047084772j),(-0.03468265441062063+0.07364853093032608j),(0.031449555896431634-0.12078646417337645j),(-0.07325487575684575-0.01829975144965494j),(-0.03650462445226906-0.06311896923531066j),(-0.02559381040126453+0.05891622498180072j),(-2.5205139524200556e-05+2.0655125475841663e-05j),(-0.030612351994028984+0.030322614329711582j),(0.0003291128933964332+0.0001955235509807469j),(-0.008770035606103437-0.008649979519551541j),(0.05143962991470225+0.3440341471914188j),(-1.1034171625720026-0.24156927455297442j),(0.2845528364650169+0.6561234120282581j),(-0.08820281446954077-0.90430663525014j),(0.09102861931416456+0.7308197871871135j),(0.43842564550981583+0.02731433545796285j),(-0.17615670962561897-1.1504740145303674j),(-0.8729847236013089+1.5890451387177802j),(-0.522028168416375-0.7253274486037127j),(0.9926618729086946-1.15977276198189j),(-0.02791428572718436-1.3628361367581376j),0.0
0.19,(0.6524237000748712-0.496592519687577j),(-0.0013798938823997484+0.0017255842141878912j),(-0.04377566560422933+0.07727833280341115j),(0.026553111338792276-0.12284473680126805j),(-0.08073912940045067-0.020304965807960717j),(-0.039670516988902775-0.06459987835924946j),(-0.024344036449759313+0.06034231671205738j),(-2.4976125882472993e-05+2.35745036516571e-05j),(-0.029407122501861855+0.03291080756693703j),(0.0003451853857981591+0.00018487344171904294j),(-0.009250864635846092-0.008344364746766456j),(0.05107059014582023+0.3646219397466424j),(-1.1028482686906156-0.2423882266989475j),(0.2912085047587238+0.6526320155603837j),(-0.08527263464875222-0.9053663033821844j),(0.09443028714514738+0.7310624596917429j),(0.4351143567030593+0.03275714686355182j),(-0.1781949666779611-1.1498582652808396j),(-0.873155104283873+1.5893648618859941j),(-0.5201085703295334-0.7239218622626254j),(0.992952243185786-1.1596568562861675j),(-0.02860311218163538-1.3634526045680948j),0.0
0.2,(0.635671158532867-0.5033663537487941j),(-0.001254609488786821+0.0018878471506506773j),(-0.05318571454842959+0.08029899484136144j),(0.021269370964694775-0.1243225596377063j),(-0.0886941613791836-0.02217454841898305j),(-0.04291664200922131-0.06516098084017778j),(-0.02291291253973516+0.06166352661420564j),(-2.4274176419538752e-05+2.653627780169946e-05j),(-0.02782226524830468+0.03542852435750656j),(0.0003596668640789162+0.00017084753492599403j),(-0.00969552161590922-0.007957407910348144j),(0.05040101396631917+0.38456681087428124j),(-1.1022133697502308-0.24318671916849724j),(0.29713581854407445+0.6490830036148945j),(-0.08248050658868962-0.9067301214633912j),(0.0976628736026039+0.7312441379708396j),(0.43233248338638763+0.0378257819624161j),(-0.18035693051974414-1.1489563113664116j),(-0.8733430047838493+1.5896435499696313j),(-0.5180897366984911-0.7224578249470965j),(0.9932289691442642-1.1596275489331727j),(-0.02945825308412013-1.3640058806735953j),0.0
0.21,(0.6200565660736018-0.5089326103689606j),(-0.0011000322593805027+0.0020370755876523653j),(-0.06269366979865067+0.08276612013162646j),(0.015641515924145713-0.12527035705112136j),(-0.09707021582144745-0.02381142597067131j),(-0.04623062715136417-0.06483863816798403j),(-0.021311542301237475+0.06290338223528799j),(-2.3071544225181583e-05+2.9502092784556205e-05j),(-0.025867781878868394+0.03786424400738702j),(0.0003725076480016826+0.00015352760948692185j),(-0.01010527125197537-0.007494710159173142j),(0.04956540591748293+0.4037500999226621j),(-1.101514899515141-0.24395914713807235j),(0.3023069825559226+0.6454802978303789j),(-0.07980242579793553-0.9083746046630511j),(0.10077102844578013+0.7314376826869239j),(0.4300121229073367+0.04247547408671984j),(-0.18265767119273058-1.1477979812908765j),(-0.8735457816430372+1.5898812033070207j),(-0.5159881816571744-0.7209156368526708j),(0.9934949739938348-1.1596794010787335j),(-0.030472023313240705-1.3645111972427562j),0.0
0.22,(0.6054638564417374-0.513466735804127j),(-0.0009180413057186934+0.0021704973482553924j),(-0.07212857357735086+0.08475168386090551j),(0.009727603126660683-0.12573205735330092j),(-0.10580930019623255-0.025152828907939396j),(-0.04958519478948308-0.06368430606638725j),(-0.019553481395936264+0.06407798311822895j),(-2.1362962092488735e-05+3.242887147065591e-05j),(-0.02356374353046472+0.04019929039324044j),(0.00038363600715379505+0.00013314007011667493j),(-0.010480280360769098-0.0069637256372777736j),(0.04866582700094944+0.42210287740448993j),(-1.1007546013436114-0.24470183496915643j),(0.3067147152911698+0.6418540410342948j),(-0.07722011016323482-0.9102712792810859j),(0.10377306757927833+0.7317196323454082j),(0.4280843157249329+0.04668647476250582j),(-0.1850959307043998-1.146412113366857j),(-0.8737625798835427+1.5900790841653514j),(-0.5138185991928538-0.7192852488968958j),(0.9937519101753526-1.1598046366263155j),(-0.03163010300528558-1.3649801805177746j),0.0
0.23,(0.591774036845567-0.5171096094616476j),(-0.0007117832494544894+0.002285526005029102j),(-0.08136764177401748+0.08634403331514758j),(0.003600565241264349-0.12574509279939017j),(-0.11484518531311654-0.026170291432665686j),(-0.05293816203374195-0.06176453449293701j),(-0.01765473751712615+0.06519600080183499j),(-1.9165642517850987e-05+3.526881474226823e-05j),(-0.020940290831406215+0.042407831962423995j),(0.0003929581609469486+0.00011005594735962898j),(-0.01081961787005696-0.006373761483858159j),(0.047771894678710736+0.4396059449968477j),(-1.0999335281878801-0.24541303620826782j),(0.3103722490087648+0.6382605972429696j),(-0.0747209999494948-0.912386682748048j),(0.10666097305305683+0.732170203294597j),(0.42647904540969345+0.05046405370969538j),(-0.1876541230279482-1.1448265557158053j),(-0.8739943330077778+1.5902397167406734j),(-0.5115938631461441-0.7175662627193232j),(0.9940001593608218-1.1599931422270209j),(-0.0329115375542296-1.3654208508149268j),0.0
0.24,(0.5788651879570149-0.5199675439001795j),(-0.0004856722223561842+0.002379760880049743j),(-0.09033626394516682+0.08764788787955138j),(-0.0026517893035095594-0.12534039958789175j),(-0.12410340532226433-0.026869651503693068j),(-0.05623244073031686-0.05916096763901353j),(-0.0156337703897264+0.0662586788207947j),(-1.6519277700962637e-05+3.796940149350387e-05j),(-0.018037633901406266+0.04445688173299001j),(0.00040035827861719655+8.479089758968686e-05j),(-0.011121254818647518-0.005735977833270211j),(0.046920782873112986+0.4562898355411963j),(-1.0990520425941586-0.24609293358695974j),(0.3133133297297044+0.6347825516615997j),(-0.07229825779978513-0.9146823636251209j),(0.10940039306243012+0.7328732897256877j),(0.42512523864362617+0.05383849884208847j),(-0.19029833410228905-1.143068166268004j),(-0.8742437629984611+1.590366887157897j),(-0.5093250272110046-0.7157679306815075j),(0.9942388324533953-1.16023246727959j),(-0.034288737611733976-1.365837622524569j),0.0
0.25,(0.5666124639116366-0.5221122848296834j),(-0.0002453898663072639+0.0024509870449004713j),(-0.09900800331434427+0.08878433903856547j),(-0.008926776319618336-0.12454241786066585j),(-0.13350125771442833-0.02729105083682893j),(-0.05939603746139611-0.055970343929827575j),(-0.01351149177028085+0.0672598327056786j),(-1.3486039544821483e-05+4.047338863031469e-05j),(-0.014906052351579043+0.04630629729368602j),(0.000405698479224951+5.800520301027818e-05j),(-0.011382064356391337-0.005063387815029628j),(0.04611722196685643+0.47223481304337483j),(-1.0981098167026306-0.24674363902182023j),(0.31559221723703246+0.6315287106842509j),(-0.06995076873533787-0.9171148816041187j),(0.11193064194806888+0.7339164636727694j),(0.4239507652202295+0.05686511626736364j),(-0.1929783218320526-1.1411628127625655j),(-0.8745153803186168+1.5904656434707931j),(-0.507021324934739-0.7139091558670065j),(0.9944657695873756-1.1605078239304j),(-0.035727479087146324-1.3662313041111371j),0.0
0.26,(0.5548880923086185-0.5235810111114233j),(2.114666693586297e-06+0.0024971753206713505j),(-0.10740459677212416+0.08989085037588802j),(-0.015106835859510157-0.1233690917029301j),(-0.14294780332094825-0.027508934904845156j),(-0.06234205354518019-0.05230449602442054j),(-0.011311265446958+0.06818584998293933j),(-1.0150579655728853e-05+4.271881107049359e-05j),(-0.01160589528443955+0.04790878080395468j),(0.0004088188316549821+3.0503771654359987e-05j),(-0.011597821744180985-0.004370857553811908j),(0.04533349880299544+0.48757087267360044j),(-1.0971058322474527-0.24736919361447213j),(0.31728368507584087+0.6286341018938583j),(-0.06768314015554744-0.9196358075074867j),(0.11416470019599997+0.735390975012824j),(0.4228824380444927+0.05962423028707804j),(-0.19562751608758602-1.1391353727474314j),(-0.8748154839115757+1.590542295661993j),(-0.504690169717995-0.7120184920813818j),(0.9946775401282143-1.160802087073465j),(-0.037186903147500616-1.3665990981131468j),0.0
0.27,(0.5436025730806147-0.524440735186103j),(0.0002522842945831197+0.002517294017603799j),(-0.1155398486940394+0.0910726898237499j),(-0.021123214927254025-0.12184731151836675j),(-0.15235417985172398-0.027550959684938585j),(-0.06502139583714445-0.048265333060100266j),(-0.009050872367698902+0.0690328516466266j),(-6.5600902826639055e-06+4.4656826571255574e-05j),(-0.008177316500018596+0.04924123597405407j),(0.0004096570827771081+2.7809593120712142e-06j),(-0.011766910637713011-0.0036679258252398828j),(0.04457206365985045+0.502367296169042j),(-1.0960481055737337-0.2479697478560142j),(0.31848181576537765+0.62611523629785j),(-0.06549361565201359-0.9222161301222628j),(0.11611482837542746+0.7372875432299392j),(0.42188129750449616+0.062180057244405895j),(-0.19821727343920714-1.1370093163378796j),(-0.8751427980241381+1.590601121335247j),(-0.5023456867168485-0.7101108869369558j),(0.9948747796191025-1.1611053482402125j),(-0.03864464448699256-1.366943002918982j),0.0
0.28,(0.532759476492131-0.5248386481151266j),(0.0005064526871850823+0.00251231888092271j),(-0.12335100681704611+0.09232669144561723j),(-0.02702072256098025-0.12003053463241489j),(-0.16167283909899863-0.027323075125837724j),(-0.06747453433215127-0.043901776496829935j),(-0.006734058226139466+0.06982458478365525j),(-2.6771567992188768e-06+4.627688123965105e-05j),(-0.004611279129993628+0.05033687830189061j),(0.0004083926811381276-2.5426662404498403e-05j),(-0.011894746945888818-0.0029517552432172167j),(0.043919587087250245+0.516524886686847j),(-1.0949578334993828-0.24853751175362104j),(0.3192633931628131+0.6237581286355769j),(-0.06336442504016149-0.9248698137314724j),(0.1179768724276934+0.7394260978017518j),(0.4209753984498462+0.06451832263853502j),(-0.20080802350724647-1.1348054092807713j),(-0.8754818683479495+1.5906408973733563j),(-0.5000120748489969-0.7081635172486976j),(0.9950660192421946-1.1614246803992232j),(-0.04012196679819059-1.3672779292617316j),0.0
0.29,(0.5223298088263504-0.5248256602987669j),(0.0007616095461391241+0.002482683977635657j),(-0.13084246630495316+0.09368216031288124j),(-0.032773671395552206-0.11795346485026192j),(-0.17086878530958843-0.026835868357070296j),(-0.06968171563084034-0.03927639098494009j),(-0.004372840550754236+0.07056418094275393j),(1.4537355649860141e-06+4.755599991484301e-05j),(-0.0009347291629750246+0.051194111317817155j),(0.0004050921196237612-5.3851143549959974e-05j),(-0.011982957040182231-0.002227642920851607j),(0.04337652419426061+0.5300820444969974j),(-1.093840489532696-0.24907296152392897j),(0.3196815697574926+0.6215426844555886j),(-0.06129462604476503-0.9275828695002334j),(0.11976639883305154+0.7417704894265427j),(0.42015261304171936+0.06665987077885038j),(-0.20339375262206807-1.1325423396619192j),(-0.8758304085515596+1.5906640160128749j),(-0.4976986182059203-0.7061808444010775j),(0.9952523044029107-1.1617564379951641j),(-0.04161122483908396-1.3676078289022722j),0.0
0.3,(0.5122861694991624-0.5244450832672408j),(0.0010148807963533209+0.002428966425760418j),(-0.13802095566148265+0.09516518149355754j),(-0.038358037660136235-0.11564783561335867j),(-0.179911381578991-0.026103201504939583j),(-0.07162530977613574-0.03444664378376849j),(-0.001978135474808018+0.07125398459170908j),(5.787369867161381e-06+4.847446502537788e-05j),(0.0028261396365411064+0.05181164438496933j),(0.0003998243658557344-8.223354679270811e-05j),(-0.012033055918649874-0.0015005808768564495j),(0.04294026377029423+0.5430796653988406j),(-1.0927005137774333-0.24957660399138315j),(0.3197845986386979+0.6194568068659786j),(-0.05928346348067155-0.9303417079829456j),(0.12149145193546429+0.7442919856927591j),(0.4194001342535496+0.06862597471691309j),(-0.2059669995685756-1.1302365680249016j),(-0.8761867651098108+1.5906726285240103j),(-0.49541295832746507-0.7041675197299442j),(0.9954343988354418-1.162097002565506j),(-0.043104678619699556-1.3679357289362981j),0.0
0.31,(0.50260436246825-0.5237355853062002j),(0.001263689329438204+0.002351918504519731j),(-0.14489316152651321+0.09679680328079165j),(-0.043754193750368375-0.11314305064461597j),(-0.18877451345846227-0.02513862199861815j),(-0.07329210154764175-0.029463979934815216j),(0.0004405883119338906+0.07189629117093126j),(1.0280535383103902e-05+4.90165168937552e-05j),(0.006647212114287277+0.05218983378556045j),(0.00039266574164897243-0.00011034374989953366j),(-0.012046599290214758-0.0007749443679744782j),(0.04260795608180797+0.5555562985782196j),(-1.0915417833397314-0.25004870571694093j),(0.3196160872575489+0.6174898656853804j),(-0.05732981533225765-0.9331341971146138j),(0.12315836866139357+0.7469645074253232j),(0.4187059972421267+0.07043675108285652j),(-0.20852122902057732-1.1279023155054344j),(-0.8765494880283082+1.5906685032259216j),(-0.4931615112493366-0.7021273820820381j),(0.9956130295563327-1.162443191810903j),(-0.04459557613217917-1.368264098344336j),0.0
0.32,(0.49326339623308896-0.5227311914567321j),(0.001505755003706766+0.0022524676543412914j),(-0.15146572867608007+0.09859303719285896j),(-0.04894690822835447-0.11046618394840453j),(-0.19743658895501687-0.023955362570147826j),(-0.07467329046164298-0.024373822261742624j),(0.0028753095632057402+0.07249334709345526j),(1.4892027607196425e-05+4.917035373642765e-05j),(0.010506451726224688+0.052330682720881504j),(0.0003836999230116011-0.00013798044573562422j),(-0.012025183574666289-5.449188897774845e-05j),(0.04237651287230285+0.5675481466074734j),(-1.0903676123281063-0.25048929299807193j),(0.3192149974270038+0.6156326974429678j),(-0.0554321927534291-0.9359496622108477j),(0.12477177851980077+0.7497646286856323j),(0.41805907934759634+0.07211116008538629j),(-0.21105083154078635-1.1255515638313707j),(-0.8769173308434196+1.5906530254867204j),(-0.4909494675030996-0.7000634578149917j),(0.995788886864481-1.1627922595951934j),(-0.04607815335077954-1.3685948479917451j),0.0
0.33,(0.48424548383494814-0.5214612835153584j),(0.0017390946441744593+0.0021317164768577548j),(-0.15774526002237507+0.10056485797316479j),(-0.0539253458226702-0.10764197981055508j),(-0.20588053853142801-0.022566341254439716j),(-0.07576449077110425-0.01921557137037532j),(0.005319454476241332+0.07304734974493998j),(1.958264825240793e-05+4.892813166380104e-05j),(0.014383900538543219+0.05223784131130119j),(0.00037301794014494606-0.00016497114226456412j),(-0.011970445902660257+0.0006576348273323613j),(0.04224260736232403+0.5790890654454365j),(-1.0891807518534515-0.25089815186875797j),(0.31861564532185865+0.6138776053784546j),(-0.053588740067620946-0.9387788859678617j),(0.12633460360214677+0.7526715767715588j),(0.4174491000934597+0.0736670055117804j),(-0.21355112358082048-1.1231940553227007j),(-0.8772892506222749+1.5906271977234698j),(-0.4887807921161778-0.6979779607973292j),(0.995962624341138-1.1631418959453972j),(-0.047547634231872374-1.3689293306287171j),0.0
