t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,A_0011,A_0012,A_0013,A_0014,A_0015,A_0016,A_0017,A_0018,A_0019,A_0020,A_0021,A_0022,A_0023,A_0024,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00,z_0015_00,z_0016_00,z_0017_00,z_0018_00,z_0019_00,z_0020_00,z_0021_00,z_0022_00,z_0023_00,z_0024_00,E
0.9400000000000001,(-20.463722927300196+23.961722999783092j),(12.177165174864463+5.649356800059262j),(4.364616579664073+11.992992802280122j),(-14.135777623750785-19.4758410053858j),(3.6767242985156794-0.6112680774012642j),(0.7007855750266002-1.2171187095219043j),(0.4277845195959386-7.140605407313367j),(-8.096829233735924-2.506749307690711j),(-8.260671969298523+1.5551279685895798j),(-0.4297442236258819+0.5074957996123316j),(0.692227770460783-7.116626573905532j),(5.895087262155989-0.9916567706857312j),(1.0326012339927115-0.8934691904493925j),(0.2644008151640993-0.08093468070910353j),(0.44658843837681494+0.1866249083383845j),(4.013618384287841-1.6707108979803609j),(5.396716522541124-0.17906547408161833j),(0.7640969025577783-1.249669623757003j),(0.642434672990929-0.36263111840877715j),(6.176954912960716+2.344337940994181j),(4.24023846398436-1.2247522517707545j),(0.09347960481387778-1.8830192504096095j),(0.32481891668166346+0.01598002212512154j),(0.495637589491987+0.1984044519710443j),(0.04391440303436318-0.22316478212136842j),(-0.306922899378514+0.005405667120201576j),(-0.31154697384646624+0.292219722131588j),(-0.32668777414088507-0.25716059179241346j),(-0.03200632298174508-0.011504074020598264j),(-0.5479470420956536-0.011133205894270668j),(-0.30620637779392706+0.5021107736340132j),(-0.3082813541738676-0.5499421326873821j),(-0.03429813208526269+0.24751332817774177j),(-0.0379136535723462-0.24003602803171253j),(-0.5528020464040421+0.2419075953255484j),(-0.6192188067152633-0.23331154831512418j),(0.1689175206818184-0.017714617001700864j),(-0.770581289654835+0.0013968462947082424j),(-0.3103838069539739+0.9454923963995593j),(-0.24576886517680385-0.8970007284401498j),(0.011086779052222254+0.5820539952310472j),(0.031570867003909736-0.5220845188181039j),(-0.6341235123430127+0.49871323834103176j),(-0.5340963796684052-0.5474852103563421j),(0.2691120705965636+0.22022829693807844j),(0.283848869741985-0.16243705898593866j),(-0.7301107157693147+0.3133946753472396j),(-0.8605092867908928-0.2336530986266757j),(0.36301233549745004+0.052703638079251436j),(-1.1377273840827848+0.12883529448671663j),0.0
0.9500000000000001,(-20.466717023141115+23.960925101430142j),(12.174164039551421+5.6485548916863575j),(4.361628890582019+11.992196441304303j),(-14.138775283092103-19.47663939617319j),(3.673733610462558-0.6120491290812805j),(0.6978069034258991-1.217915340743623j),(0.42481190290336523-7.14142500190206j),(-8.099830439016037-2.507549269832895j),(-8.263669314104616+1.554324053186807j),(-0.43277453820778006+0.5066979155750851j),(0.689232851930866-7.11743379997877j),(5.892093802239555-0.9924600717766722j),(1.0296689523698068-0.8941705487310758j),(0.2615034612129799-0.08153942387192263j),(0.44403044162760935+0.186071765382984j),(4.010608751149367-1.6714820601796998j),(5.393741722280207-0.1798734139899256j),(0.7610882579982877-1.250601501731705j),(0.6395293673547535-0.3633858175233513j),(6.173962457137371+2.343547973728945j),(4.23726804855222-1.2255184965006618j),(0.09036048846790484-1.883777053792165j),(0.321915213710092+0.014985312515520828j),(0.4926049594428692+0.1975423323996488j),(0.04199676838303447-0.22383683247546418j),(-0.3076544235639628+0.00596055933806395j),(-0.3110006541460437+0.29241052073088564j),(-0.3272584515345808-0.25718912318486675j),(-0.03187538295799519-0.011452926644255183j),(-0.548188941517688-0.01158712506593178j),(-0.3064280516777032+0.5020788913504023j),(-0.3082556104472926-0.5510542881430861j),(-0.03418291078291433+0.24765131670817564j),(-0.03752556770732135-0.23991520264444716j),(-0.5529671090818138+0.24180437018583747j),(-0.6209641433324515-0.233015320868814j),(0.16928310322660672-0.01801412153155154j),(-0.7706804152400276+0.00023233055135954764j),(-0.31060917495040696+0.9459373372760332j),(-0.2451444878479286-0.9005193486113515j),(0.010146457531709587+0.58225028982646j),(0.03321770839671215-0.5227120103794746j),(-0.6346544111706907+0.500168781898337j),(-0.5339595638678842-0.5481566777659685j),(0.2698436803314789+0.2218073971988882j),(0.28566973384014777-0.1606130768724751j),(-0.728735636430792+0.3145827277952428j),(-0.860871883378424-0.2331666771148413j),(0.3625470910640283+0.05246183837676095j),(-1.1397644039708648+0.12830156357708278j),0.0
0.96,(-20.46965814412688+23.96044390851275j),(12.171214864591393+5.648069240196901j),(4.358693770366089+11.99171600868847j),(-14.141719429790777-19.477121592445464j),(3.6707974770312446-0.6125158144469702j),(0.6948775052332715-1.2184001840289842j),(0.4218903601935063-7.141926364293589j),(-8.102777545255588-2.5080337508715793j),(-8.26661332201237+1.5538368996814043j),(-0.435749335532743+0.5062222390286848j),(0.6862901170562987-7.117924767482919j),(5.889154184314073-0.9929458544678218j),(1.0267914662625894-0.8945741741925375j),(0.2585364956002437-0.08188074390828254j),(0.44150568741133256+0.18581710754982816j),(4.007649920660808-1.6719404332458814j),(5.390817804376129-0.1803631554462712j),(0.7581045329992254-1.2512028901608512j),(0.6366685287418892-0.3638308800972765j),(6.171021848640652+2.3430743725762646j),(4.234346763893584-1.2259680504146255j),(0.08730883757830454-1.884199886769983j),(0.3190392306251238+0.01432234470428563j),(0.4896373105391221+0.1969997877175606j),(0.04008034913319564-0.22430309701799594j),(-0.3083293478274041+0.00655598577765448j),(-0.31043747354304213+0.2924122071309527j),(-0.3277685061508805-0.25720799277965717j),(-0.0318000881042886-0.01139429477933488j),(-0.548463523281623-0.011968848484699075j),(-0.3066239352183734+0.50208692409262j),(-0.30822116136396455-0.552034895953706j),(-0.034133341031961584+0.2477887525903625j),(-0.03716815628002589-0.23980411254137632j),(-0.5531296740899739+0.2417416954051966j),(-0.6225722081660051-0.23263557231466192j),(0.1696572576728413-0.018232945082057393j),(-0.7708849216053091-0.0007599303889169635j),(-0.31059907062336806+0.9459881323248366j),(-0.24459381276319-0.9037689188716423j),(0.009133222702211077+0.5821821706857142j),(0.03475139539233648-0.5231967629525198j),(-0.6348331393759178+0.5016117792224558j),(-0.5338553385963383-0.5487523989544331j),(0.2702490331969044+0.2233395414810368j),(0.2871979616268599-0.15880800926560024j),(-0.727257656956982+0.3154463414980188j),(-0.8611485392185504-0.23272096010967902j),(0.3621690246615849+0.05220076953400161j),(-1.141708311263497+0.12785707578245045j),0.0
0.97,(-20.47245624082636+23.96027686902832j),(12.168407998362406+5.647897397267835j),(4.355901245852997+11.99154859347117j),(-14.144519779250128-19.477290595676966j),(3.6680063897243746-0.6126716432262412j),(0.6920866806963589-1.2185756565185766j),(0.41910971310076406-7.142111729160446j),(-8.105580281892541-2.5082055971911448j),(-8.26941365044488+1.5536637406287743j),(-0.43857719633958225+0.5060670759257168j),(0.6834892887777381-7.118102331663066j),(5.886358707111093-0.9931167924975538j),(1.024057902901382-0.8946891088834981j),(0.25556697658958666-0.08196776621989092j),(0.439097509855846+0.1858582964748154j),(4.0048319517513775-1.672089668215431j),(5.388034843719047-0.18053693715672947j),(0.7552319218366731-1.2514752354905463j),(0.6339412575332396-0.3639692670065567j),(6.168223240289556+2.3429140168026397j),(4.2315640590824-1.22610358461834j),(0.08441719724963515-1.8842881763090995j),(0.31628085339987366+0.013991392277640138j),(0.4868260240294686+0.19677584223651737j),(0.03816578534774846-0.22463309749907706j),(-0.3089180265837283+0.007201170542343611j),(-0.3098798836246257+0.29221416377058473j),(-0.32820325376725384-0.257222520871923j),(-0.031780352925581054-0.011322222452997709j),(-0.548773672141828-0.012254816829127919j),(-0.3067895631216834+0.5021310884039155j),(-0.3081828292475051-0.5528623212653716j),(-0.03415145523689601+0.24793263762606452j),(-0.03685023596234356-0.23970167226094227j),(-0.5532864822987149+0.2417291588382071j),(-0.6240202247998936-0.2321515263443422j),(0.17003724785306767-0.01835801310805473j),(-0.7712063227665474-0.0015141029762116148j),(-0.3103211391224248+0.9455974329973723j),(-0.24410142101595034-0.9067025580052362j),(0.008070398482786997+0.5818507876549771j),(0.036158761292288136-0.5235118795850242j),(-0.6346083572225372+0.5030697734534408j),(-0.5337839110536217-0.5492681387894836j),(0.2703077534430679+0.22480202053302142j),(0.2883803837217521-0.15701519893024013j),(-0.7256537640467617+0.3159367961970947j),(-0.8613479430461982-0.23232744725945373j),(0.3618906907899927+0.05192640675081375j),(-1.1435408274638728+0.12763058618402068j),0.0
0.98,(-20.475012003453816+23.960417551527858j),(12.165843099351271+5.648033048272623j),(4.353350606149188+11.991687360621338j),(-14.147076757551808-19.47715334844129j),(3.6654601577278703-0.6125241141255141j),(0.6895329377821025-1.2184480315443715j),(0.4165690356125139-7.141987186388697j),(-8.108139093932966-2.5080715670353313j),(-8.27197065834576+1.553797896358449j),(-0.4411572917028318+0.5062269466016283j),(0.680929311246488-7.117973275493823j),(5.883806965780557-0.9929794631964783j),(1.0215665876705327-0.8945290374855904j),(0.25266920799872633-0.08181369332091715j),(0.4368979204701137+0.18618903373993706j),(4.0022541856188925-1.6719374041896866j),(5.385492203864604-0.18040085472898537j),(0.7525654956370046-1.2514239101368594j),(0.631445873449079-0.3638078234635335j),(6.165666066406991+2.3430598302834196j),(4.229018604607762-1.2259316632833357j),(0.0817875646904552-1.8840460705904998j),(0.3137393968026931+0.013989058917294975j),(0.48427194248631916+0.19686578672400867j),(0.03625111238951749-0.22490790563718796j),(-0.3093874420592007+0.007906578705463319j),(-0.3093528211894785+0.29180577929562856j),(-0.3285465502936937-0.25723888111059967j),(-0.03181571092821642-0.011229879049499968j),(-0.5491227278910487-0.012418851846875075j),(-0.306920297147458+0.5022070800776133j),(-0.30814620957404965-0.553513397898514j),(-0.03423902245378615+0.24809084452114677j),(-0.03658151232361312-0.2396065795181028j),(-0.5534339795099539+0.2417774473955525j),(-0.6252842489039123-0.23154016108658645j),(0.17042049842063-0.01837497197692111j),(-0.7716576625545014-0.0019570448896347944j),(-0.30974163480644057+0.9447140372787405j),(-0.2436490132827728-0.9092702772304311j),(0.006984866963378143+0.5812593272221j),(0.037425944099727285-0.5236283126105049j),(-0.6339240247628533+0.5045751334874968j),(-0.533745298190971-0.5496997496058827j),(0.2699991108233062+0.2261700715738624j),(0.2891593950404723-0.15522698341711053j),(-0.7238985568375258+0.3160019774254842j),(-0.8614806065925957-0.2319989393919431j),(0.36172635858456204+0.05164498218101186j),(-1.145241546543341+0.12776693543678747j),0.0
0.99,(-20.47730063563064+23.960833354109425j),(12.163544590674416+5.648444305213719j),(4.351065924227979+11.992100536988769j),(-14.14936615595237-19.476741445180153j),(3.663182634948689-0.612105432215545j),(0.6872408454776131-1.2180487773826334j),(0.41429224412475474-7.141584369354744j),(-8.110429590452854-2.5076635477605778j),(-8.27426008912579+1.5542076218713818j),(-0.4434646770734117+0.506669363330143j),(0.6786341364594274-7.117569217251231j),(5.8815232297579865-0.9925657442962935j),(1.0193384620576929-0.8941273968860693j),(0.24986858514755816-0.08144186397149492j),(0.43492579883722005+0.1867742409047884j),(3.999940837584663-1.6715161337353073j),(5.383213915016502-0.17998664571998726j),(0.7501294220097322-1.2510783706948732j),(0.6292063017639233-0.3633787619066957j),(6.163374800323814+2.3434797780433j),(4.226734330743943-1.2254847580270265j),(0.0794454928736861-1.883503953094968j),(0.3114411401354554+0.014289279024117805j),(0.4820000995602376+0.19723999446719687j),(0.03432024262379336-0.22520978239451256j),(-0.30972161924470126+0.00865534036181797j),(-0.3088625749487504+0.29120333489922473j),(-0.32879032663836266-0.25725908699647493j),(-0.03191090715740156-0.011119854084639924j),(-0.549497839104639-0.012452891012592282j),(-0.3070191546987354+0.5023104149235974j),(-0.30811355145480906-0.5539753656371553j),(-0.03439697614005637+0.24826227176236165j),(-0.03636692273027627-0.23952249833580036j),(-0.5535679306220488+0.24188673990046367j),(-0.6263248864115185-0.2307998867691778j),(0.1707990962690661-0.018286508544342252j),(-0.7722168984807415-0.002058552468195663j),(-0.30887663352217404+0.9433284721098059j),(-0.2432465997373826-0.9114436245806895j),(0.005904488920191811+0.5804072747537586j),(0.03853378808557901-0.5235442431800125j),(-0.6327572607841861+0.5061066469208519j),(-0.5337437754318043-0.5500472744040958j),(0.26932312105802064+0.22741471213362438j),(0.2895097557971144-0.15347750891500114j),(-0.721969618819063+0.31561154105760153j),(-0.8615533447600575-0.23174860579946002j),(0.3616831492631944+0.051369933462652104j),(-1.1468540947655599+0.12836767529605947j),0.0
1.0,(-20.47948604293618+23.96144301921798j),(12.161346925580377+5.649051387444201j),(4.348881695494421+11.992709847472415j),(-14.151553797735986-19.47613251960381j),(3.6610063718326415-0.6114932492538545j),(0.6850479369992243-1.2174563504763332j),(0.41211363487919267-7.140982841152393j),(-8.112617237539089-2.5070603587891322j),(-8.276447846991893+1.554814335814994j),(-0.445666471602952+0.5073106018819742j),(0.6764387815148923-7.116967846536593j),(5.879341702174594-0.9919548084724439j),(1.017202702914366-0.8935480465881274j),(0.247043648484666-0.08089775616966578j),(0.433018601422733+0.1875247868264316j),(3.997726041051158-1.670903783831085j),(5.381033933170089-0.1793741940474445j),(0.7477703080347822-1.250515790260907j),(0.6270589479258096-0.3627626209246606j),(6.161184592621855+2.3440955351342034j),(4.224546384711214-1.224843424861711j),(0.0772235517663046-1.8827454796833627j),(0.3092233735750549+0.014816591987978614j),(0.4798431506445958+0.1978192966839775j),(0.03234751710332216-0.2255174854041101j),(-0.30996654177192906+0.009372510108975827j),(-0.30837722955537833+0.29047608816995274j),(-0.32895581308241884-0.25727020284553986j),(-0.0320790743212165-0.011012718071933767j),(-0.5498565421950703-0.012404390437458144j),(-0.30710384827766635+0.5024358691191695j),(-0.3080892919924802-0.5542492359656466j),(-0.03462433745197348+0.24843010040769084j),(-0.03619690839660201-0.2394601353547374j),(-0.5536856947837838+0.24202869583307404j),(-0.6270906987560696-0.22996837997645195j),(0.17115847992178124-0.01813239579016687j),(-0.7727902537883983-0.0019430836238876962j),(-0.3078146240908071+0.9415142532321223j),(-0.2429818688320032-0.9132472709024414j),(0.004812649137714921+0.5792757901387897j),(0.039453464876418994-0.523308346680883j),(-0.6311973651467204+0.5075410033090647j),(-0.5337987104867831-0.5503196879114047j),(0.2683201104362767+0.22853755486236677j),(0.2894824609003219-0.15185842562065582j),(-0.7199107952605708+0.31481513594465427j),(-0.8615520757291132-0.23156379244600214j),(0.3617377293684969+0.05111422004311383j),(-1.148460910567721+0.12935606520795884j),0.0
1.01,(-20.481537549769136+23.962223797071925j),(12.159281423684723+5.649831054360728j),(4.34682939450494+11.993491754208552j),(-14.153608191827304-19.475350405854645j),(3.6589628450583-0.610710772601978j),(0.6829850946214754-1.2166934967288299j),(0.41006416022079795-7.140205770285746j),(-8.11467096061027-2.506285565361639j),(-8.278502508888222+1.5555944936063968j),(-0.4477315978542669+0.508127178461942j),(0.6743746714051696-7.116192206483781j),(5.877293721798137-0.9911701064171183j),(1.0151931414618538-0.8928113492838512j),(0.2441860938353466-0.08021882179748288j),(0.43120703872058747+0.18841792818926742j),(3.9956401156660943-1.6701231564058423j),(5.3789833672378204-0.17858675229897844j),(0.7455220616292381-1.2497638727676916j),(0.6250352054321302-0.3619848963794187j),(6.159126703187647+2.3448836896918115j),(4.2224853550104955-1.2240304628966268j),(0.07515419432786458-1.8817993246414608j),(0.3071115135667461+0.015538274233063355j),(0.4778318230155546+0.1985771950270001j),(0.030352011142639388-0.22575112226857608j),(-0.31013690475413264+0.010058694010462247j),(-0.3079227227419036+0.28962129410206583j),(-0.3290499853865698-0.2572674542533933j),(-0.032315203599734714-0.01089990124166075j),(-0.5502042119914459-0.012280863175098584j),(-0.3071705371470145+0.5025763892370442j),(-0.3080979480874271-0.5542964422005853j),(-0.03492068407168952+0.2486069002151682j),(-0.03607331870976966-0.23941307770507883j),(-0.5537883001429416+0.2422000847021527j),(-0.627586767561724-0.22901445613475555j),(0.171503481864989-0.017903785298958804j),(-0.7733838423448435-0.0016580567677124752j),(-0.3064795452083933+0.9392281862801781j),(-0.2428748922829893-0.9146476007717367j),(0.0036618882009822793+0.5778544730888655j),(0.04016944630084733-0.5228845638164289j),(-0.6292739652469911+0.5089236597072805j),(-0.5339241269076227-0.5505149410574314j),(0.26697427103822263+0.22958183790066747j),(0.28903891266355075-0.15032213394023938j),(-0.7178052635950486+0.3136294082116881j),(-0.8614660047634443-0.23141121744097487j),(0.36187966624765255+0.05085859798494726j),(-1.1498854704569978+0.13074300439716768j),0.0
1.02,(-20.483416217601132+23.963156796328807j),(12.157387713430598+5.650763885930102j),(4.344948785090186+11.99442646469217j),(-14.15548955512086-19.47441521244335j),(3.6570919224022322-0.609777536467922j),(0.681091355564507-1.215779208611997j),(0.4081831184035777-7.13927252441606j),(-8.116551386752082-2.5053589514397285j),(-8.280384327666635+1.556528303588599j),(-0.4496205539519994+0.5090996649881314j),(0.6724814767751711-7.115261664707703j),(5.875418940139238-0.9902312896529446j),(1.0133520227419088-0.8919352475378725j),(0.24130059074179838-0.07944242276557109j),(0.4295299517736985+0.18943544757028918j),(3.993721787808062-1.6691934178740921j),(5.377101673322882-0.177643758462917j),(0.7434261407118344-1.2488465946410197j),(0.6231745682763755-0.36106728307510333j),(6.157240648756067+2.3458245507286675j),(4.220590160989446-1.2230649115480259j),(0.07327805876699475-1.880689771004471j),(0.30513935348350146+0.016426295670239545j),(0.4760058363956082+0.19949162145951388j),(0.02835144182319792-0.225843644867538j),(-0.31024347310585537+0.010719624544925858j),(-0.30752561694917185+0.2886339589385294j),(-0.3290780794565551-0.2572473880929795j),(-0.03261270141653895-0.010772386444972309j),(-0.5505480235768432-0.012085907411524833j),(-0.3072148186571936+0.5027252378880919j),(-0.30816250368957226-0.5540799024254526j),(-0.035285096913659636+0.2488056845118748j),(-0.035998985146659626-0.2393743307029698j),(-0.5538768096102107+0.24239963199313425j),(-0.6278207076394066-0.22790619249850444j),(0.17184009941103257-0.017587969773271754j),(-0.7740107736981678-0.0012385414962846051j),(-0.30479311720890984+0.9364395728694637j),(-0.24293855371692125-0.91561051351236j),(0.0024138684053173322+0.576136154927263j),(0.040668509484921185-0.5222347412347416j),(-0.6270129736552518+0.5103082524454031j),(-0.5341334806434931-0.5506292342436644j),(0.26527041506191723+0.23058822188812392j),(0.28814107956026586-0.14882174732481376j),(-0.7157265609929337+0.312069936574259j),(-0.8612849365993159-0.231261951757235j),(0.36210543496511605+0.050585331513594976j),(-1.1509651169911916+0.13254873322701766j),0.0
1.03,(-20.48509009747651+23.96422272928987j),(12.155698322527309+5.651830154424436j),(4.343272513982241+11.995493935693037j),(-14.157165248943773-19.473347255390877j),(3.6554263089822787-0.6087133578128731j),(0.6793987653927369-1.2147327878016114j),(0.4065027665767902-7.138202792412343j),(-8.118226233538895-2.504300553823739j),(-8.282060671227464+1.5575957061881203j),(-0.45130094531065984+0.5102082811490837j),(0.6707917538755304-7.114195896524377j),(5.873749894851246-0.9891582789935255j),(1.01171412447763-0.8909382835144418j),(0.2383953110604848-0.07860677808515365j),(0.4280193150626142+0.19055885230554356j),(3.9920028204127216-1.6681340941276994j),(5.375421228485147-0.17656497591759981j),(0.7415169563020487-1.247787939135809j),(0.6215093788815323-0.3600317312303121j),(6.155558849620891+2.346898146870099j),(4.218892753812739-1.2219662534064464j),(0.07162830985899306-1.8794408636495596j),(0.3033341654600021+0.017453955115959728j),(0.4743983934671939+0.20054100795390223j),(0.02635941734240696-0.22574194546339663j),(-0.3102962315195852+0.011360721661061567j),(-0.3072089355447336+0.2875120616627844j),(-0.32904505431760944-0.2572070936209819j),(-0.03296454357638957-0.010622765395151447j),(-0.5508936295716872-0.011822669602251682j),(-0.3072332689297198+0.502876095898064j),(-0.3083032762724218-0.5535666388308993j),(-0.035716063891432795+0.24903789625275913j),(-0.03597675872960099-0.23933742184346546j),(-0.5539521613411574+0.24262598554000758j),(-0.6277993467426749-0.22661572243150732j),(0.17217429909051649-0.017171858053657122j),(-0.7746840976939291-0.0007149444448823709j),(-0.3026857038294549+0.9331393184753027j),(-0.24318396573109355-0.9161059942224884j),(0.0010403238999066554+0.5741160870421427j),(0.04093886163164599-0.5213245288133015j),(-0.6244425856917063+0.5117449747160513j),(-0.5344403101449847-0.5506577775414218j),(0.2631981239256739+0.231593152632953j),(0.28675843875490775-0.14732029639953073j),(-0.7137376692735194+0.3101550450976864j),(-0.8609985788181614-0.23109209101458122j),(0.3624172146117595+0.0502800300916449j),(-1.151567009602016+0.13479374959270563j),0.0
1.04,(-20.48653423001234+23.965401911900038j),(12.154238677950328+5.653009824421158j),(4.341826110814619+11.996673873255695j),(-14.158609779055748-19.472167058228454j),(3.6539915472575513-0.6075383363511976j),(0.6779323780148605-1.2135738451773541j),(0.40504832078494507-7.137016584351348j),(-8.11967030903377-2.503130662152712j),(-8.283506022519516+1.5587763739149911j),(-0.4527474846346261+0.511432894403796j),(0.6693309445626021-7.11301488495093j),(5.872312009730226-0.987971264543439j),(1.010306757073462-0.889839598977429j),(0.235481928962134-0.0777509638680522j),(0.42670023650551564+0.1917693744901307j),(3.9905080129727994-1.6669650705358798j),(5.373967330741181-0.17537049343137814j),(0.7398218725201012-1.2466118963361026j),(0.6200648281000835-0.35890044647810687j),(6.154106629634793+2.34808422635422j),(4.21741811646206-1.2207544142367113j),(0.07023063894582662-1.8780764092958506j),(0.30171670039263737+0.018595880292261457j),(0.4730361798726922+0.20170428649168282j),(0.024385437013632036-0.2254068567013262j),(-0.3103043844657545+0.01198709277761057j),(-0.3069921628228438+0.2862565539987478j),(-0.3289555921144634-0.25714420247782377j),(-0.033363275265224535-0.010445238667612742j),(-0.5512451601337507-0.011493844472297487j),(-0.30722344285721187+0.5030230623075924j),(-0.30853791683306514-0.5527277777147467j),(-0.036211479917651765+0.24931340802063717j),(-0.0360095100263715-0.23929640080053136j),(-0.5540151687362255+0.24287771552531615j),(-0.6275287255677201-0.22511923540696563j),(0.17251201665230664-0.016641975118664j),(-0.7754168044751526-0.00011300928744773365j),(-0.30009631221024813+0.929339932432852j),(-0.2436204698935147-0.9161081137746909j),(-0.0004769393122000523+0.5717919408865488j),(0.04097014002097541-0.5201233796589789j),(-0.6215932794265087+0.5132805765745585j),(-0.5348582363641096-0.5505947906918502j),(0.2607517482680605+0.23262886111199108j),(0.2848679761028922-0.14579072896363207j),(-0.711891014904955+0.3079058031970531j),(-0.8605965418465827-0.2308827554797543j),(0.36282288830487214+0.04993164841883034j),(-1.1515881245950965+0.13749880892129382j),0.0
1.05,(-20.48773064539839+23.96667426374795j),(12.153027105941286+5.654282552803004j),(4.34062798812227+11.997945732699463j),(-14.159804795649084-19.470895351997587j),(3.6528060170284333-0.6062728545504423j),(0.6767102556838499-1.2123223008228088j),(0.40383795596780303-7.135734231517579j),(-8.120865511788454-2.5018698189043933j),(-8.284701979540067+1.5600497113627518j),(-0.4539419919181436+0.512753019981722j),(0.6681173762984629-7.1117389207056005j),(5.871123594714965-0.986690705698238j),(1.0091497636151965-0.8886589352903228j),(0.23257562093173903-0.07691491332668683j),(0.42559095745821685+0.1930479709782042j),(3.989255201538092-1.6657065919452005j),(5.372758199064235-0.17408072516261505j),(0.738361206586955-1.245342463155068j),(0.6188589552140078-0.35769588986601375j),(6.152902216209343+2.349362257031926j),(4.21618426373611-1.2194497629779286j),(0.06910326393613181-1.8766199765044247j),(0.3003011879395051+0.019828027826767305j),(0.4719393642144266+0.2029608890635075j),(0.022434891266194995-0.22481315160927434j),(-0.31027635619274024+0.012603532783360344j),(-0.30689124400446194+0.2848713604108121j),(-0.32881409811134293-0.2570568886876679j),(-0.03380101105015942-0.01023561569990234j),(-0.5516052229581542-0.011101675016184169j),(-0.3071838741033909+0.5031606543721898j),(-0.3088814098921751-0.5515385494819862j),(-0.03676864690405311+0.24964052202619252j),(-0.03610012915019757-0.23924583942704306j),(-0.5540665204407358+0.2431533144801577j),(-0.6270140977533664-0.22339697700747377j),(0.1728591570635304-0.015984462084839175j),(-0.7762218244823307+0.0005461832634136654j),(-0.29697259289463024+0.9250755279371015j),(-0.2442556367429073-0.9155950288159286j),(-0.002146043374089959+0.5691638079784095j),(0.04075341200981134-0.5186045501080335j),(-0.6184978156797631+0.5149583649389736j),(-0.5354009627543003-0.5504335031059258j),(0.25793040794789995+0.233723363470694j),(0.2824541861506105-0.14421590999044936j),(-0.7102284690042459+0.30534602563720553j),(-0.8600683389563503-0.23062009006643683j),(0.3633360431881604+0.04953248643202997j),(-1.1509552551499707+0.14068492417170964j),0.0
1.06,(-20.488668363397167+23.968019308065934j),(12.152074832007974+5.655627688758025j),(4.339689441341574+11.999288718618432j),(-14.160739093348662-19.469553075250044j),(3.651880935436581-0.6049375776313338j),(0.675743468996955-1.2109983840254628j),(0.40288280596037584-7.134376386403288j),(-8.121800830843389-2.5005388193952354j),(-8.285637255334873+1.5613948552084544j),(-0.45487339444532526+0.5141478208827709j),(0.6671622621509102-7.110388602207737j),(5.870195845886969-0.9853373311444508j),(1.0082555198699708-0.887416633416231j),(0.22969506576855783-0.07613941677407593j),(0.42470285271416486+0.19437532338297103j),(3.988255258715462-1.6643792626795801j),(5.371804973384251-0.17271641065968515j),(0.7371482288243156-1.2440036433349984j),(0.6179026479347806-0.35644077785602324j),(6.151956740315012+2.350711426366899j),(4.215202242250605-1.2180731117434929j),(0.06825692930521417-1.8750948956783207j),(0.29909533652041176+0.02112768325268486j),(0.47112159805466364+0.2042907476691625j),(0.020509061645373996-0.22394954359796193j),(-0.31021979072686395+0.013214524037144655j),(-0.3069185852372522+0.2833633781038458j),(-0.3286247006919696-0.2569438686584167j),(-0.03426943487948742-0.009991314791697962j),(-0.5519749032773659-0.010647952497937204j),(-0.3071140751030804+0.5032838075622498j),(-0.3093460734940079-0.5499782886447794j),(-0.03738427376146723+0.25002597010797617j),(-0.03625152575975431-0.2391808317547864j),(-0.5541067803448869+0.24345119728418452j),(-0.6262599298810707-0.22143324892501884j),(0.17322159450957633-0.015185076206727143j),(-0.7771120284534229+0.0012462154564325026j),(-0.2932708398290632+0.9204018220428745j),(-0.2450952657887079-0.9145489817675544j),(-0.003965038574987102+0.5662341999005367j),(0.04028117503200393-0.5167450997261145j),(-0.6151912380215239+0.51681820359006j),(-0.5360822752704105-0.5501661538644529j),(0.25473799204426945+0.23490046102313705j),(0.2795090721354292-0.1425886216274042j),(-0.7087813473372532+0.3025022725327536j),(-0.8594033862644026-0.23029526433525352j),(0.3639759704317478+0.049078189305267805j),(-1.149625011320089+0.14437336583474578j),0.0
