t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00
0.48,(-0.028593929449737474+0.3188894660738616j),(-0.6674358015315294+1.3315432898785862j),(1.683765588150967+2.0814130711039622j),(0.7467381149100262+0.3336519582029858j),(0.1389996042691699-0.1822253586778391j),(-0.4241332914175097-0.41885403917953173j),(0.10908511294283592-0.6302468237828388j),(-1.309223945809649-1.055231394524404j),(0.4640422536837918+0.9919061885302008j),(-0.6429078174235217-0.15338078840293967j),(0.9267807690980538+0.48860178595061016j)
0.49,(-0.02576524576780575+0.3218142704816437j),(-0.6674616326668882+1.3316745418335676j),(1.6837946207999208+2.0814448061755813j),(0.7462250052497402+0.3345496321734597j),(0.13857555515046588-0.18935303213553378j),(-0.42249425256439027-0.42031037709724367j),(0.10693426859845344-0.6274478385228943j),(-1.3090282988710795-1.0552670410938176j),(0.46375938698322305+0.9919797989306619j),(-0.641518451919462-0.15516413151508024j),(0.927548665887309+0.48850945004836815j)
0.5,(-0.023013074048899494+0.32482921436605394j),(-0.667490635856908+1.33181559338177j),(1.683825444027562+2.0814738221037774j),(0.7456700035103982+0.3354262195116143j),(0.13825841025226185-0.19645814124799527j),(-0.42088100946892154-0.42180795842679386j),(0.10475823572877577-0.6245802538657359j),(-1.3088315470406113-1.0553048433886987j),(0.4635009992821307+0.9920489147316256j),(-0.6400950502323932-0.15697918175438233j),(0.9283146658183448+0.48838694736787974j)
0.51,(-0.020349831486818775+0.32793430032008714j),(-0.6675250285917447+1.3319655032041111j),(1.6838584385431388+2.0815008946667213j),(0.7450918660302732+0.33627773733876337j),(0.13804520423752548-0.20356575686140652j),(-0.4192922223349695-0.42333844595128833j),(0.10255303414312927-0.621632397206936j),(-1.308632555332798-1.0553441818991502j),(0.46326727253943273+0.992115470644678j),(-0.6386298271737041-0.15882420481839613j),(0.9290699016089653+0.4882395984517788j)
0.52,(-0.017772808363076258+0.33109884033615006j),(-0.6675641553948776+1.33212196157851j),(1.6838929980502872+2.0815263829854707j),(0.7444948940944459+0.33711115276864667j),(0.1379351705643688-0.21067475985243392j),(-0.41772863534772114-0.42488729096598804j),(0.10031930932430652-0.618612198812687j),(-1.3084321398217253-1.0553839538695244j),(0.4630550585885406+0.9921786354664172j),(-0.637123007985026-0.16068994160219527j),(0.9298067269037401+0.4880691186748283j)
0.53,(-0.015276786829839328+0.33428830106341206j),(-0.6676067113111488+1.332282769748247j),(1.6839283960796023+2.0815504334199693j),(0.7438786707442733+0.33793462039469185j),(0.13792719849054844-0.21777887472265767j),(-0.4161914811818189-0.42644160855491825j),(0.0980600567941743-0.6155335371695968j),(-1.3082315040371608-1.0554231790948807j),(0.4628610770106295+0.992237385017176j),(-0.6355779431403705-0.16256745521517324j),(0.9305200492766326+0.4878756938644382j)
0.54,(-0.012857070021726112+0.33747192328239795j),(-0.6676515258124727+1.3324459704394453j),(1.6839639903135797+2.0815731732543314j),(0.7432430434736212+0.33875533629531707j),(0.13801834596887078-0.22487313679904514j),(-0.4146814398112699-0.42798979456040426j),(0.09577870021383651-0.6124107555665522j),(-1.30803171112466-1.055460992652995j),(0.462682415633352+0.9922908773017972j),(-0.6339981469283025-0.16444919618400997j),(0.9312053243993507+0.487659571544478j)
0.55,(-0.010509482055805468+0.34062272190498805j),(-0.6676975627978352+1.3326098478610715j),(1.6839992225866156+2.0815947106968413j),(0.7425881242288658+0.339579538033931j),(0.13820383964719193-0.23195389223395105j),(-0.413198638509446-0.4295215255830713j),(0.0934790913836342-0.6092586620947197j),(-1.3078336838455689-1.0554966449043586j),(0.46251653053083835+0.9923384525096334j),(-0.6323872974519391-0.166329002452672j),(0.9318585560413462+0.48742106093527654j)
0.56,(-0.00823036803159699+0.3437174859744182j),(-0.6677439205932946+1.3327729277049343j),(1.684033618885007+2.081615134879955j),(0.7419142894088921+0.34041250465893264j),(0.13847707486841782-0.23901879800511733j),(-0.4117426518490835-0.4310277589818444j),(0.09116551024314551-0.6060925296475441j),(-1.3076382045770214-1.0555295014921788j),(0.46236124602369655+0.992379633014547j),(-0.6307492366289504-0.16820209938241235j),(0.9324762960698152+0.48716053295362216j)
0.5700000000000001,(-0.006016594031071017+0.34673677866527963j),(-0.6677898319519808+1.3329339771456856j),(1.6840667893469503+2.0816345158602965j),(0.7412221798650953+0.3412585567037115j),(0.13882961567050403-0.2460668219156732j),(-0.4103125017022835-0.4325007328739487j),(0.08884266487118572-0.6029280959207501j),(-1.307445915311942-1.0555590433423792j),(0.4622147546790121+0.9924141233749105j),(-0.6290879701915594-0.17006509975177056j),(0.9330556444496982+0.4868784202127625j)
0.58,(-0.003865547118648633+0.349664937283519j),(-0.6678346640540963+1.3330920048408206j),(1.6840984282625435+2.0816529046186623j),(0.7405127009013797+0.34212105618664757j),(0.13925119478645595-0.25309824259413494j),(-0.4089066572405119-0.43393396613490914j),(0.08651569148580723-0.5997815634123411j),(-1.3072573176590432-1.0555848666635985j),(0.4620756173103479+0.9924418103336061j),(-0.6274076676865414-0.1719160037565727j),(0.9335942492436798+0.4865752170224048j)
0.59,(-0.0017751353412016023+0.35249007326643855j),(-0.6678779185069149+1.3332462609306768j),(1.6841283140737844+2.0816703330600186j),(0.7397870222741594+0.3430024066111112j),(0.13972971364432873-0.26011464949440655j),(-0.40752303493459907-0.4353222583985506j),(0.08419015444429952-0.5966695994225998j),(-1.3070727728428273-1.0556066829471917j),(0.4619427629777449+0.992462762818026j),(-0.6257126624752248-0.17375419900993141j),(0.9340903066121886+0.48625147938871555j)
0.6,(0.0002562122719475188+0.355204072182696j),(-0.667919231344783+1.3333962370384347j),(1.6841563093745717+2.0816868140135014j),(0.7390465781923579+0.3439040529654631j),(0.14025124236722725-0.26711894289577875j),(-0.40615899855474014-0.436661690056998j),(0.08187204624318922-0.5936093360540877j),(-1.306892501703586-1.0556243189672296j),(0.46181548898772135+0.9924772319400723j),(-0.6240074517334906-0.17558046054224574j),(0.9345425608133977+0.4859078250143207j)
0.61,(0.002229545709025449+0.3578025937323045j),(-0.6679583730291186+1.3335416662701178j),(1.6841823609107043+2.081702341232418j),(0.7382930673174084+0.34482648172305463j),(0.14080001977330608-0.2741153339029299j),(-0.40481135917049493-0.437949622260676j),(0.0795677875182401-0.590618370211646j),(-1.3067165846973994-1.055637716780499j),(0.4616934608932731+0.9924856509961569j),(-0.6222966964517724-0.1773969508012014j),(0.9349503042032241+0.4855449332983056j)
0.62,(0.004145393975808178+0.3602850717466326j),(-0.667995248448412+1.3336825232145926j),(1.6842064995798811+2.081716889394245j),(0.7375284527632537+0.34576922084222744j),(0.1413584533757697-0.28110934444592545j),(-0.4034763751507878-0.4391846969183094j),(0.07728422704445301-0.5877147636023945j),(-1.3065449618961373-1.0556469337265018j),(0.4615767124938738+0.9924886354672018j),(-0.620585221435057-0.17920721965177053j),(0.9353133772353293+0.48516354533621514j)
