t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010
0.22,(0.4125433877478785-0.22875699903313082j),(-0.0002448307272327385-3.7996444767499726e-05j),(1.821475386443955e-06-1.1887961051689171e-06j),(0.037878372137219146-0.033763449346408646j),(0.07583097954390142-0.381976872832748j),(0.016934882717858677-0.02528207408978547j),(-0.003826914907191371-0.005406181577981707j),(-3.2260256628678465e-05-1.4714522215038978e-05j),(0.007660570488786615+0.0008047503600815033j),(-0.010015904569412475-0.02179252127440323j),(0.0031376956418743443+0.0172771652968115j)
0.23,(0.4046377936737467-0.2391833082246633j),(-0.00025212003208930603-3.17622615772351e-05j),(1.8296431982927444e-06-1.3021836301749164e-06j),(0.036110499725672-0.037050696993216364j),(0.06621692053804024-0.3966616574940128j),(0.0178884376890837-0.027644467913703983j),(-0.0042792346900915575-0.005719460237743352j),(-3.4201901823058626e-05-1.4584987525592727e-05j),(0.007803077604129529+0.00038356979675685694j),(-0.010927261487119028-0.023102332755025552j),(0.004229070806569384+0.01736919695846575j)
0.24,(0.39586113380618004-0.24898542955392275j),(-0.00025887699585189943-2.4166033605670478e-05j),(1.8247782550572326e-06-1.421381840045192e-06j),(0.03395764323949853-0.04023631541541742j),(0.055725951992390624-0.4104598319025836j),(0.018671251803132956-0.030186002348416972j),(-0.004786074344177537-0.0060180185979232985j),(-3.616815186558984e-05-1.4242634827364786e-05j),(0.007911539484350034-6.963089878764218e-05j),(-0.011967940866250163-0.02432353277560342j),(0.005359707535887142+0.01735259442972136j)
0.25,(0.3862859154621435-0.25813250552198264j),(-0.0002649944922853541-1.527237803991394e-05j),(1.8062741780321903e-06-1.5451095616590798e-06j),(0.03143549945086447-0.04327786382909552j),(0.04444613281884437-0.4233463016552172j),(0.01924686168597064-0.032897932163601214j),(-0.00535017548925156-0.006296352497884121j),(-3.814192253880031e-05-1.3679953540258401e-05j),(0.007983061472150974-0.0005502431644979684j),(-0.01313828996644631-0.025435186901418997j),(0.006517519196863528+0.017226293742172456j)
0.26,(0.37598371015739174-0.26660010939975237j),(-0.00027037414525146443-5.155897499180925e-06j),(1.7737073162361362e-06-1.6720679079452248e-06j),(0.02856415069581726-0.04613654312444883j),(0.03246282132905931-0.4353025249618688j),(0.01958200963537858-0.03576764218935357j),(-0.005973815371121866-0.006548830949136391j),(-4.0106185041647544e-05-1.2891946370896295e-05j),(0.008015205435515257-0.0010535934675452614j),(-0.014436417961279206-0.02641834329394975j),(0.00769033221019459+0.016990384145650624j)
0.27,(0.36502515360646887-0.2743702452279773j),(-0.00027492632870898396+6.098819965205877e-06j),(1.7268367464113383e-06-1.8009402778815803e-06j),(0.02536806487428598-0.04877719586578991j),(0.019858675234459278-0.4463165126456923j),(0.019646643620956306-0.038778647316191045j),(-0.006658806861602699-0.00676969613533869j),(-4.204396598951845e-05-1.1876129312620653e-05j),(0.008005989767705848-0.0015749433043258285j),(-0.015858195938251912-0.02725603271086848j),(0.008865886050236515+0.016646108108224946j)
0.28,(0.35347994572270874-0.2814313478172387j),(-0.0002785701667136254+1.839720086981659e-05j),(1.6656042730238138e-06-1.9303923564954092e-06j),(0.021876095450081335-0.0511683062915458j),(0.006713651646233998-0.45638282814304015j),(0.019413917284120997-0.041910592495050775j),(-0.007406498458514299-0.0069530634122976j),(-4.393834741422927e-05-1.0632531645493123e-05j),(0.007953889387265784-0.0021094892004611477j),(-0.017397256898798813-0.027933268506043305j),(0.010031833245005633+0.016195861316201966j)
0.29,(0.3414168506182347-0.2877782827479538j),(-0.00028123353341806036+3.16346862991139e-05j),(1.5901344282633292e-06-2.059072114863283e-06j),(0.01812148145089576-0.053282000314257935j),(-0.006894992924660698-0.4655025875034636j),(0.018860189938107515-0.04513925273728997j),(-0.008217774285682896-0.0070929213079677055j),(-4.577246676402563e-05-9.163695936294832e-06j),(0.007857835738018154-0.0026523627107978604j),(-0.01904499575828561-0.02843704662953766j),(0.011175739376178415+0.01564319267412572j)
0.3,(0.32890369660395957-0.29341234637037583j),(-0.00028285305307191975+4.569673190545349e-05j),(1.5007344720433981e-06-2.185609810111083e-06j),(0.014141847468303246-0.05509404552058222j),(-0.020892702567503238-0.4736834593897125j),(0.017965026567968386-0.04843653311468604j),(-0.00909305409294074-0.0071831315224515965j),(-4.7529516903582524e-05-7.474678038526351e-06j),(0.007717216789066115-0.0031986304194077894j),(-0.020790569346009348-0.028756345627610307j),(0.012285083079091494+0.014992804304777702j)
0.31,(0.3160073761895861-0.29834126580459397j),(-0.0002833741000217934+6.045880790908351e-05j),(1.3978943920012856e-06-2.3086179854139985e-06j),(0.009979203657759513-0.05658385117128899j),(-0.035207621971805894-0.4809396650777353j),(0.0167111978305738-0.05177046875943647j),(-0.010032293256126057-0.007217428927999865j),(-4.919274611400428e-05-5.5730470924077345e-06j),(0.007531877034792882-0.0037432939395879105j),(-0.022620896405198362-0.028882126642715333j),(0.013347256042741612+0.014250551549176895j)
