t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.8200000000000001,(-0.15238024882055828-0.8927820587083869j),(0.00010274455379504208-5.541981564265823e-05j),(1.560844601698064e-05-7.588141865730751e-05j),(1.6947192798231566e-06+1.8987838844130136e-06j),(-0.0012492526988990866-0.0017922772211167264j),(0.1454601333625966-0.8042114893192523j)
0.8300000000000001,(-0.66785806563548-0.609208023211179j),(9.273575872652876e-05-0.00011363795090072652j),(-5.007231457451962e-05-6.623869894575467e-05j),(1.5936732890278768e-06+1.3284688607022532e-06j),(-0.003373328570174006-0.0004968494828651503j),(-0.3823082822794062-0.7279977577415042j)
0.84,(-0.9025679702878341-0.06757592227929957j),(1.4350398348988588e-05-0.0001659715141198521j),(-8.623021210475763e-05+6.590211457465398e-06j),(1.3399653901125702e-06+1.3660024508296575e-06j),(-0.00452000368598719+0.0024789285886266423j),(-0.7648361009417259-0.3431218449074748j)
0.85,(-0.7515622283178485+0.523171811569331j),(-0.00011413222041423134-0.00011055781080622642j),(-1.95587591400047e-05+9.273796983475763e-05j),(1.3323748661715424e-06+1.4355927110669327e-06j),(-0.0026087869378847582+0.006496317252871355j),(-0.8218661302517712+0.21857951351421187j)
0.86,(-0.2332767595908639+0.9030755570166179j),(-0.00010086622667980702+9.326279909689701e-05j),(0.00012613937134537174+3.502808452929218e-05j),(1.442244012279506e-06+1.5542381561528365e-06j),(0.003720229244500659+0.007420002875635949j),(-0.49099951165256495+0.7162607653454148j)
0.87,(0.4455898874395372+0.8363203697674706j),(0.00014383402453079218+7.95176862159354e-05j),(5.455700985044996e-05-0.00013616913849200907j),(1.716815912776149e-06+1.3792911029156214e-06j),(0.006792762350353562+0.0003563987473753582j),(0.12020345359552097+0.8725302552516919j)
0.88,(0.910410839448359+0.2939448622257593j),(1.2042092388526933e-05-0.000136271792941569j),(-6.654661811284771e-05-2.3042994878748988e-05j),(1.4983134995553435e-06+1.2136679060488477e-06j),(-0.0008454293487937397-0.0014740835279610117j),(0.6864533839924866+0.553054830648058j)
0.89,(0.8568936021348794-0.4236942258531676j),(-5.724036766043874e-05+0.00018032303077085402j),(6.564591388549033e-05-1.810671478901527e-05j),(1.8091086580339089e-06+1.422455455622741e-06j),(0.0013157279977228386+0.00676369521176686j),(0.867840313463768-0.06561827487445504j)
0.9,(0.3387618954168442-0.8810699414734069j),(0.00039312054219268333+7.939558649054739e-05j),(-1.472553457069933e-05-0.00014750273883537405j),(1.8831756595736104e-06+6.659684582444698e-07j),(0.010355076668033186+0.0020866972912177667j),(0.5914916696098946-0.6177675196935493j)
0.91,(-0.3104328598918558-0.8811961812465181j),(0.00020830317014910364-0.0003560202486273474j),(-0.0001307109985527284-5.407390999712116e-05j),(9.974795355964162e-07+8.751997270476274e-07j),(0.0064557714111759925-0.006586833807931817j),(0.05166222540529092-0.8360259621727717j)
0.92,(-0.7857126799737622-0.48737993048823197j),(-0.00016740838511250072-0.00021571228435529827j),(-7.974267848554009e-05+5.111592609752741e-05j),(1.4276430095417887e-06+1.861402471594885e-06j),(-0.0012882960082081672-0.005863077400364642j),(-0.47408721308852986-0.6696913608105348j)
0.93,(-0.9177436947334133+0.09951769114127157j),(-0.00011563320204080628+7.5145729138083e-05j),(-4.5806509510493216e-06+4.4979652437189375e-05j),(2.4389214653867513e-06+1.2811446734010714e-06j),(-0.0035390904195205775-0.000641368119961157j),(-0.7828891345158818-0.23422788404595857j)
0.9400000000000001,(-0.6641935091477409+0.6459494186853532j),(0.0001111398125115594+0.0001151511524184719j),(1.2802147938955274e-05+9.93341150123366e-07j),(1.8635572329941083e-06+4.202053814671382e-07j),(-0.0015344833757873272+0.0031455837173433865j),(-0.7646636597244209+0.29898760696765136j)
0.9500000000000001,(-0.11157850618263401+0.9271719663849991j),(0.00023954393113943495-3.3458060786319856e-05j),(-8.192740772095193e-06-2.406297146934534e-05j),(1.290071378967129e-06+7.372139662057236e-07j),(0.0017311951884192531+0.0043110367779565254j),(-0.4110249797963168+0.7195535244877663j)
0.96,(0.5257382785029844+0.7924262800593447j),(0.00019140368184102695-0.00023287013442376057j),(-3.7520677821194e-05-2.0997575581332778e-05j),(1.2947316508680577e-06+1.1942194180012422e-06j),(0.004944621346617845+0.0031014305463798264j),(0.1551709837525003+0.8270652311978239j)
