t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.18,(-0.06818303775881049+0.09141591364438774j),(-0.15172040378008902+1.3681710861871028j),(-1.4294903265411094+0.3482376512909961j),(1.9311019623743833-0.9298001214093299j),(0.18611337281232393-0.8394168284989327j),(-0.06818303775881049+0.09141591364438774j)
0.19,(0.004875411130040613+0.1263099705504324j),(-0.030845378556535352+1.3783674802987762j),(-1.3867632070114047+0.4932651349592857j),(1.863332130626177-1.057399410472709j),(0.08895920961130316-0.8521939541092212j),(0.004875411130040613+0.1263099705504324j)
0.2,(0.08044167432460886+0.11258341150099914j),(0.08817499747860486+1.3780694386777204j),(-1.3299893000713028+0.6324086380728491j),(1.7865477128891851-1.1808045993499077j),(-0.012059563747631286-0.8537088636654251j),(0.08044167432460886+0.11258341150099914j)
0.21,(0.1327633397379647+0.06142020339276834j),(0.20450142769335722+1.36783904629626j),(-1.2601535450177495+0.7640945638130776j),(1.7009013176226417-1.2994305795823118j),(-0.11576693565369855-0.8428018030391774j),(0.1327633397379647+0.06142020339276834j)
0.22,(0.14837348978379658-0.008090420125294505j),(0.31741024546021135+1.3482737309289916j),(-1.1783668241249932+0.8869842691197697j),(1.606571277713602-1.412681195327163j),(-0.22052648119609636-0.8184640614682221j),(0.14837348978379658-0.008090420125294505j)
0.23,(0.12387541115797181-0.07526062098121652j),(0.426293414156119+1.3200062631527842j),(-1.0858659626445875+0.9999740646911289j),(1.5037736253950575-1.5199613124689235j),(-0.3244076240502745-0.7798722870774377j),(0.12387541115797181-0.07526062098121652j)
0.24,(0.0647170401123384-0.11951885167690315j),(0.5306585271624952+1.2837047563467785j),(-0.9840137288053898+1.1021952149837655j),(1.392786295788702-1.6206844016044666j),(-0.4252227376386405-0.7265634656745836j),(0.0647170401123384-0.11951885167690315j)
0.25,(-0.012952843918393561-0.12276765738202491j),(0.6301246849149498+1.240066912914414j),(-0.8742988338135608+1.193013938212697j),(1.2738537693343677-1.7141547772995887j),(-0.520526439531332-0.6584376170275256j),(-0.012952843918393561-0.12276765738202491j)
0.26,(-0.08087073693551401-0.07717013827564925j),(0.7243342172146167+1.1896923215306467j),(-0.7581919510605958+1.271962120167835j),(1.1472829361416796-1.799676578683391j),(-0.6076189523185687-0.5757578547405745j),(-0.08087073693551401-0.07717013827564925j)
0.27,(-0.10699525949264624+0.0030943396577335705j),(0.8129990598825636+1.133159835450641j),(-0.6370980484933714+1.3387510617181502j),(1.0134564981995235-1.8765685004255939j),(-0.683756282616735-0.4793575804580311j),(-0.10699525949264624+0.0030943396577335705j)
0.28,(-0.07706128774025722+0.0818970804665619j),(0.8958927171637738+1.0710477649843495j),(-0.5124349106359138+1.3933024389995892j),(0.8728329693760465-1.9441637927365365j),(-0.7462318802548398-0.37106445677625766j),(-0.07706128774025722+0.0818970804665619j)
0.29,(-0.007329076505990302+0.1241638761914047j),(0.9728290162443716+1.0039074414950253j),(-0.3855190623795044+1.4356780798481394j),(0.7259466754186573-2.0018102613671775j),(-0.792742918937214-0.253227081243164j),(-0.007329076505990302+0.1241638761914047j)
0.3,(0.06982430317490458+0.11753037413700909j),(1.0436621072516226+0.9322632173992194j),(-0.2575657491783967+1.4660799529368689j),(0.5734077539540233-2.0488702676090957j),(-0.8215415151472926-0.12860715735109107j),(0.06982430317490458+0.11753037413700909j)
0.31,(0.12687441690666368+0.07096974245613995j),(1.108286463253933+0.8566124661667834j),(-0.12968893704982098+1.484850167775924j),(0.4159021544880759-2.0847207282944864j),(-0.8314347281476112-0.0003794945368154057j),(0.12687441690666368+0.07096974245613995j)
0.32,(0.14855388878002318+0.0029530958906969634j),(1.1666368802608502+0.7774255823208684j),(-0.002901312573981296+1.4924709747125315j),(0.2541916384060068-2.108753115796166j),(-0.8218096191678375+0.12790537707856886j),(0.14855388878002318+0.0029530958906969634j)
0.33,(0.13011346402322665-0.06591331873463561j),(1.2186884772230626+0.6951459814379248j),(0.12188657685908943+1.4895326637042643j),(0.0891122792991343-2.1203760421618387j),(-0.7931074125912471+0.2527030722139134j),(0.13011346402322665-0.06591331873463561j)
0.34,(0.07554867166211135-0.11499223959278708j),(1.2644520207063719+0.6101906265620085j),(0.2438749788387436+1.4765430071867505j),(-0.07845515143094561-2.1190851559876673j),(-0.7466909359681267+0.37064520798716954j),(0.07554867166211135-0.11499223959278708j)
0.35000000000000003,(-0.0008456335906530509-0.12541469071976266j),(1.303891444944124+0.522954395949727j),(0.36236177259429114+1.4540987362125808j),(-0.2474743243277932-2.104343513414569j),(-0.6843643236298796+0.47890774820009857j),(-0.0008456335906530509-0.12541469071976266j)
0.36,(-0.0724259484134725-0.08704392231851867j),(1.3369769570030374+0.43380517465692253j),(0.47673084247003533+1.4228152487742163j),(-0.4168105710127774-2.0756884854354767j),(-0.6083588569120733+0.5752680190302839j),(-0.0724259484134725-0.08704392231851867j)
0.37,(-0.10658397899368625-0.01014957179957103j),(1.3636968093609498+0.34309952968019125j),(0.5864519262651683+1.3833064348034076j),(-0.5852684518497435-2.032792968506059j),(-0.5213302273971662+0.6581033660375335j),(-0.10658397899368625-0.01014957179957103j)
0.38,(-0.08491425806664224+0.0715007108789421j),(1.3840431793601362+0.251186142075735j),(0.6910806152337672+1.3361846761711957j),(-0.751591755945008-1.9754653845447194j),(-0.4260703865707679+0.7263765812665766j),(-0.08491425806664224+0.0715007108789421j)
0.39,(-0.019312446508665787+0.12081918354673604j),(1.3980121692073115+0.1584058069593589j),(0.7902583540847967+1.2820608466879104j),(-0.9144635011473619-1.9036496809325971j),(-0.3252705053110337+0.7798075713151278j),(-0.019312446508665787+0.12081918354673604j)
0.4,(0.05875359622284347+0.12149386315695228j),(1.4056038059736298+0.0650914335064724j),(0.8837124409821087+1.221544312103172j),(-1.0725059340480687-1.8174253305135664j),(-0.22141808208011782+0.8185406231455257j),(0.05875359622284347+0.12149386315695228j)
0.41000000000000003,(0.12017115846790832+0.07997984624125683j),(1.4068220415946844-0.028431955047911628j),(0.9712524832494756+1.1552405501626117j),(-1.224280529980867-1.7170073315942367j),(-0.11669803978136872+0.8430257445042372j),(0.12017115846790832+0.07997984624125683j)
0.42,(0.14780599185779328+0.013933359762226726j),(1.4016747528705078-0.12184722140917481j),(1.0526745538523645+1.0836867730318427j),(-1.3683643283155704-1.6027409187059944j),(-0.01299272575932997+0.8540186639218574j),(0.14780599185779328+0.013933359762226726j)
0.43,(0.13544638168878698-0.05614264000858335j),(1.3901737414655715-0.21484511422309782j),(1.1278107825747747+1.007394082034922j),(-1.5033274963661196-1.4751624273522295j),(0.08811808820026257+0.8525808307131101j),(0.13544638168878698-0.05614264000858335j)
0.44,(0.08576692746485126-0.10953146306030662j),(1.372336956208653-0.3071208250110254j),(1.1965396813504736+0.9268655544430314j),(-1.6276097352692713-1.3350295256240587j),(0.18533505211080348+0.8399469444872978j),(0.08576692746485126-0.10953146306030662j)
0.45,(0.01132038066407505-0.1268811129202637j),(1.3481756218759748-0.39833973892098473j),(1.2587627598151636+0.842581517842758j),(-1.7397907029044566-1.1832660953797083j),(0.2777011621085334+0.8172081247646369j),(0.01132038066407505-0.1268811129202637j)
0.46,(-0.0631314703090001-0.09593831587999561j),(1.3176562595881722-0.488156142158628j),(1.314404525306482+0.7549995501360953j),(-1.8385981678616523-1.0209608848040093j),(0.3645385956460436+0.7855001365460731j),(-0.0631314703090001-0.09593831587999561j)
0.47000000000000003,(-0.10482990660589578-0.0232215251205201j),(1.2807572793686886-0.5762097634029724j),(1.363412482864001+0.6645544795404423j),(-1.9229080094413817-0.849367508408399j),(0.44530327055243946+0.7458944821399959j),(-0.10482990660589578-0.0232215251205201j)
0.48,(-0.09167888268122154+0.0603595523200578j),(1.2374764408686003-0.6621220779432302j),(1.405757135229228+0.5716583845886051j),(-1.9917442176547135-0.6699044470309223j),(0.5195827287206372+0.6993942082417973j),(-0.09167888268122154+0.0603595523200578j)
0.49,(-0.03096209821376984+0.1163204570312933j),(1.1878308533666166-0.7454963076788108j),(1.4414319828456044+0.47670059412879373j),(-2.0442788932232636-0.484155047836226j),(0.5870961361073641+0.6469339059338712j),(-0.03096209821376984+0.1163204570312933j)
0.5,(0.04732337528031451+0.12443888622138644j),(1.1318569757690793-0.825917421119318j),(1.4704530222563565+0.3800480384232932j),(-2.079834285343937-0.29384786803567386j),(0.6476942827331579+0.5893797106856147j),(0.04732337528031451+0.12443888622138644j)
0.51,(0.1126822005664922+0.08836100058747166j),(1.0696106166099635-0.9029521333845516j),(1.4928132355953148+0.28206865765080386j),(-2.0979302597653797-0.10067787415706142j),(0.7013595263815767+0.5275293101359703j),(0.1126822005664922+0.08836100058747166j)
0.52,(0.14608794829309338+0.02476014303999359j),(1.0011669340508766-0.9761489062045071j),(1.5084856142219538+0.18311626076993937j),(-2.098313437926424+0.09343197880703602j),(0.7480980841285364+0.4621044820099925j),(0.14608794829309338+0.02476014303999359j)
0.53,(0.1398805183815705-0.046027692682256226j),(0.9266204358810597-1.045037947919376j),(1.5174577448597641+0.08353316042412368j),(-2.080958142317888+0.2865711531060773j),(0.7878984205858262+0.39370264500494945j),(0.1398805183815705-0.046027692682256226j)
0.54,(0.0953671895028231-0.10327996454241432j),(0.8460849795173865-1.1091312134795457j),(1.5197216377521023-0.016337298948761347j),(-2.046069623626808+0.47691683894720915j),(0.8207997097251434+0.3228657094242391j),(0.0953671895028231-0.10327996454241432j)
0.55,(0.023394733745385185-0.1271651934205304j),(0.759704263010754-1.1679209615517245j),(1.5152737266621918-0.11615074111637635j),(-1.994084060736442+0.6627339544952651j),(0.8468368071514378+0.25010957166211j),(0.023394733745385185-0.1271651934205304j)
0.56,(-0.05308325014453415-0.10376436037864005j),(0.6676810721136981-1.220825157986289j),(1.504114868873122-0.21556175805192357j),(-1.9256685607262658+0.8423751458727677j),(0.8660402501029117+0.17592411420366072j),(-0.05308325014453415-0.10376436037864005j)
0.5700000000000001,(-0.10172426488925777-0.03596034842435113j),(0.5702504813682058-1.2671986523291927j),(1.486250345187849-0.3142239099341483j),(-1.8417211588719746+1.0142807871599253j),(0.8784362574510195+0.1007732056248406j),(-0.10172426488925777-0.03596034842435113j)
0.58,(-0.09725537611524243+0.048576878527900574j),(0.46772982760652865-1.306401092353875j),(1.4616898599291954-0.41178972514733636j),(-1.7433334098980136+1.1769925338899336j),(0.8840467297004677+0.025094700592449892j),(-0.09725537611524243+0.048576878527900574j)
0.59,(-0.04215709204594692+0.11067692126555621j),(0.36052317015470925-1.3377996402521242j),(1.4304475409398498-0.5079107002813187j),(-1.6315960194938812+1.3292377823656576j),(0.8828892489892155-0.050699560135863075j),(-0.04215709204594692+0.11067692126555621j)
0.6,(0.03561625056413371+0.12632737661944654j),(0.24912129083258883-1.3607689726340761j),(1.392543290956172-0.6022372768854745j),(-1.5078344929422884+1.4698710413710123j),(0.8749771339557039-0.12622299929472533j),(0.03561625056413371+0.12632737661944654j)
0.61,(0.10447559593695267+0.09607992835112632j),(0.13410169395380178-1.3746912805282143j),(1.348025081965254-0.6944033673390766j),(-1.3734308420492887+1.5979350191615591j),(0.8603068404154676-0.2010503801883794j),(0.10447559593695267+0.09607992835112632j)
0.62,(0.14347294620396733+0.03538485195234843j),(0.016128606325777173-1.3789562693813704j),(1.2968890979163166-0.7839956603463141j),(-1.2297875558382338+1.7126728883599582j),(0.8388231113377936-0.27476148780786164j),(0.14347294620396733+0.03538485195234843j)
0.63,(0.14338447454496323-0.035644136151548836j),(-0.10404702275026101-1.3729611590587245j),(1.2391377730395727-0.8705779845774793j),(-1.078327600549776+1.81352828595597j),(0.8104726946342065-0.3469211807555945j),(0.14338447454496323-0.035644136151548836j)
0.64,(0.10423979089804015-0.09625030115852862j),(-0.22558152413576502-1.3561600915319387j),(1.1748090388192731-0.9536965040670733j),(-0.9204944196418655+1.9001453133064543j),(0.775218966966592-0.4170373278240483j),(0.10423979089804015-0.09625030115852862j)
0.65,(0.035307063787543704-0.12634827468956322j),(-0.3474154713210121-1.328043000363427j),(1.1039763239937055-1.032879718213807j),(-0.7577519337897525+1.9723685361353693j),(0.7330419337471981-0.48456080799574136j),(0.035307063787543704-0.12634827468956322j)
0.66,(-0.04244776058246209-0.11049057320562584j),(-0.4683542701897545-1.2881797410751663j),(1.0267485545551946-1.1076384617805992j),(-0.5915189971502085+2.0301739591103534j),(0.6839382291386339-0.5488855104432393j),(-0.04244776058246209-0.11049057320562584j)
