t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.71,(0.003574846275611105-0.0052951612052108184j),(-0.039154677416307716+0.025398001739375512j),(-0.001077624999720133+0.003720028133834964j),(-6.842714645098962e-06+2.6093317425193615e-05j),(0.0009006293739789904-0.001711946577995839j),(0.004506091350901402-0.004333931463211268j)
0.72,(0.0005382850410336018-0.005689729030512028j),(-0.02463711986253978+0.040811070700284585j),(0.0004294467108807352+0.003463126656931186j),(-8.086897221112126e-07+2.232362326919129e-05j),(-9.304866451787089e-05-0.0018351051491076783j),(0.0017169254515085786-0.005340006867995234j)
0.73,(-0.002025845601485058-0.004668171937346177j),(-0.004371768532179546+0.04838518349044658j),(0.0015736555721637929+0.002692266517138989j),(3.1931128254211014e-06+1.799506385203907e-05j),(-0.000969485881727668-0.001444877439265045j),(-0.0009312517644738717-0.004923184809236531j)
0.74,(-0.003581066829194292-0.0027406030581544j),(0.01757184016061327+0.04615732303885125j),(0.0022225309351640134+0.0016412178935447743j),(5.4560019660301295e-06+1.3720984396642237e-05j),(-0.001490187860429712-0.0006906759998103462j),(-0.002833823257752852-0.0034379048114611646j)
0.75,(-0.003936988405765448-0.0005574520039496369j),(0.03656211960484472+0.03421612367956276j),(0.0023619468478294934+0.0005533652634221235j),(6.371775008569698e-06+9.902168447645922e-06j),(-0.0015347289567993751+0.00018096618585023347j),(-0.003669778555373442-0.0014422880974429189j)
0.76,(-0.003244054159085654+0.0012821891291903836j),(0.04841626604104513+0.014791323073626697j),(0.00207770519229967-0.0003692412720370657j),(6.34759871550113e-06+6.747004367439571e-06j),(-0.001131906395821306+0.0009048996086912185j),(-0.003440056733027738+0.00047427581264566617j)
0.77,(-0.001897049024705125+0.002380699131812529j),(0.050368848261700516-0.008145736423165312j),(0.0015187790973853455-0.0009991358424618268j),(5.7485686135846635e-06+4.312218620544137e-06j),(-0.0004435510513551041+0.0012796270625503496j),(-0.002416986673221049+0.00184881297878385j)
0.78,(-0.00038619849821837707+0.0026138220078387345j),(0.04176496022820355-0.029710096941446797j),(0.0008536413407943829-0.0012942839075293982j),(4.866291338099434e-06+2.550931529644161e-06j),(0.00029341814987327865+0.0012266927102130708j),(-0.0010263442056861157+0.002446382308382353j)
0.79,(0.0008543560775696069+0.0021146531565023473j),(0.02429324084120007-0.04518851402231856j),(0.00023102682856848835-0.0012880094325176644j),(3.909297230466696e-06+1.3580185745715865e-06j),(0.0008469401415790066+0.0008079509456722308j),(0.0002939034389023388+0.0022818848051018685j)
0.8,(0.0015564321761874242+0.0011873214277703867j),(0.0016744641610775858-0.051134934074637796j),(-0.0002465617604230785-0.0010643711066744813j),(3.0089738566253106e-06+6.06630644668094e-07j),(0.0010644816688084552+0.00019587467686346574j),(0.0012135428423243391+0.0015700659687442116j)
0.81,(0.0016601346113883577+0.00018682500286556797j),(-0.0211485675712605-0.04620820111264665j),(-0.000532970047230949-0.0007278000387901877j),(2.2342174727545408e-06+1.734297275055161e-07j),(0.0009170888336262771-0.00039157572885002966j),(0.001581725856733073+0.0006289669622076743j)
0.8200000000000001,(0.0012872017392930146-0.000593330615696698j),(-0.039144376009715584-0.03153170638057054j),(-0.0006333334868382666-0.0003755091456844426j),(1.6090263258542402e-06-4.696595651003411e-08j),(0.000498681787103679-0.0007675637405678811j),(0.0014333393140521912-0.00023197764859132666j)
0.8300000000000001,(0.0006656750972406714-0.0009928790192201002j),(-0.048380384105201756-0.010464029693555388j),(-0.000588645619946485-7.866649279810687e-05j),(1.1290892410911443e-06-1.3622266007634623e-07j),(-1.7080246879706883e-05-0.00083689718269453j),(0.0009386526256208298-0.000797071010555248j)
0.84,(3.827424707522414e-05-0.0010013762632604113j),(-0.04696708998319592+0.012183598402210177j),(-0.00045631697034768557+0.00012529681703963042j),(7.751753005756595e-07-1.524646760570497e-07j),(-0.00044455385247123383-0.0006196573240806504j),(0.00032585149235066343-0.0009858181888579354j)
0.85,(-0.0004135982160064623-0.0007253599200408816j),(-0.03551098901412651+0.03130050535600679j),(-0.00029256697861802935+0.00023033997004374065j),(5.226023055341396e-07-1.337474165578599e-07j),(-0.0006522504994485073-0.0002317262752498358j),(-0.00020058616636285664-0.0008469812239158531j)
0.86,(-0.0006093718478497946-0.0003268524083402757j),(-0.01694862735901675+0.04271257392843825j),(-0.0001404833808731774+0.0002528614758492198j),(3.4706447646151694e-07-1.0281365119878136e-07j),(-0.0006030849227775159+0.00016740687069285138j),(-0.0005145857110351419-0.0005110888371960727j)
0.87,(-0.0005676907142645543+4.070045993731916e-05j),(0.004204448658847612+0.0441818592886213j),(-2.501945763985334e-05+0.00022036279108534945j),(2.2759460369654435e-07-7.175950204065603e-08j),(-0.000355867432325762+0.0004373059741251457j),(-0.0005859004700920165-0.00013258565662809576j)
