t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00,B01_z_0001_00,B01_z_0002_00,B01_z_0003_00,B01_z_0004_00,B02_z_0000_00
1.52,(-0.17744121655774173-0.6605943258214678j),(-0.08709207208564132-0.7396276919607775j),(-0.21422707395636914-0.7077214078981048j),(-0.8653682345218461-1.1599764225476148j),(-0.23245950136529464-0.9114156874076547j),(-0.5408616928195011-1.4566635275837192j),(0.06677908312845837-1.4277957245467647j),(-0.15323659413954688-1.3335050618206357j),(-0.1796746239529905-1.3306807354170118j),(-0.17744121655774173-0.6605943258214678j),(0.009076381616893819-1.6346383745609303j),(-0.25949976485868786-1.1236985850910899j),(-0.1394150420978972-1.113608286995593j),(0.006791955402959043-1.1610099075874425j),(-0.17744121655774173-0.6605943258214678j)
1.53,(-0.17903181204455387-0.6614847958984539j),(-0.08963977894123425-0.740520742080884j),(-0.2154063709556312-0.7085801739029395j),(-0.8645892134743356-1.161272572723446j),(-0.23366398277763004-0.9120861423341139j),(-0.5422020491042748-1.4568623478345877j),(0.06226042259356662-1.428715306852311j),(-0.15614749507760822-1.3339062245512447j),(-0.18239332204018704-1.3310574429562658j),(-0.17903181204455387-0.6614847958984539j),(0.0042065103619424934-1.6353143115044606j),(-0.2610253460410938-1.1241784410388114j),(-0.1418035161881754-1.1141404294735004j),(0.0032498415566171446-1.1618506495941163j),(-0.17903181204455387-0.6614847958984539j)
1.54,(-0.18058048017851341-0.6623967610093896j),(-0.0921391377808461-0.7414279322637846j),(-0.21654434985682308-0.7094646219492138j),(-0.863771725266921-1.1626048603950814j),(-0.23484061383486982-0.9127709847489569j),(-0.5435072341542717-1.4570803453713943j),(0.057762411592125695-1.4296276626070312j),(-0.15902504184600857-1.3343155623740843j),(-0.1850772352480346-1.331444297167661j),(-0.18058048017851341-0.6623967610093896j),(-0.0006427810647793436-1.6359829218202484j),(-0.26251768876123366-1.1246744445814452j),(-0.1441626334179208-1.1146809544244556j),(-0.0002681470020042265-1.1626888369198713j),(-0.18058048017851341-0.6623967610093896j)
1.55,(-0.182081269352394-0.6633364166903427j),(-0.09458658853571969-0.7423545721081519j),(-0.21763398141480694-0.7103811570312415j),(-0.8628976376277306-1.1639888679689998j),(-0.23598273575972367-0.9134753568535675j),(-0.5447678322265852-1.4573233837829773j),(0.053283349658586526-1.4305360227740571j),(-0.16186473676094287-1.3347368368236987j),(-0.18772211530782654-1.3318447650809795j),(-0.182081269352394-0.6633364166903427j),(-0.005468100543307888-1.636647678530404j),(-0.263970720392091-1.1251908673015052j),(-0.14648693004372254-1.1152345294127948j),(-0.003761834640023262-1.1635276478189311j),(-0.182081269352394-0.6633364166903427j)
1.56,(-0.1835283082498309-0.6643098588667087j),(-0.09697873420439172-0.7433057384313045j),(-0.2186685289443571-0.7113359397775503j),(-0.8619484262035557-1.1654402907009842j),(-0.23708365874542242-0.9142044388688232j),(-0.5459745074501734-1.4575973074332695j),(0.048821737416606836-1.4314436099483598j),(-0.16466227644859355-1.3351736566812895j),(-0.19032385140612632-1.3322622020267811j),(-0.1835283082498309-0.6643098588667087j),(-0.010266189676586088-1.6373119084012595j),(-0.2653785253784766-1.1257318889676926j),(-0.14877122029792283-1.1158056081299488j),(-0.007230774484097757-1.1643702447196107j),(-0.1835283082498309-0.6643098588667087j)
1.57,(-0.18491580584532136-0.6653230838532106j),(-0.09931234085269283-0.7442862752692058j),(-0.2196415483201598-0.7123348864508823j),(-0.8609051745598502-1.1669749366961206j),(-0.2381366619557179-0.9149634490350963j),(-0.5471180038258596-1.4579079414612979j),(0.04437627657905116-1.4323536383567492j),(-0.1674135518451304-1.3356294779747167j),(-0.19287847018476742-1.3326998516364048j),(-0.18491580584532136-0.6653230838532106j),(-0.01503392379046363-1.6379787919433686j),(-0.26673534523702835-1.1263015975348971j),(-0.15101059638861683-1.1163984303944432j),(-0.01067424842042515-1.165219774224317j),(-0.18491580584532136-0.6653230838532106j)
1.58,(-0.18623805140422434-0.6663819883538994j),(-0.10158433761374752-0.7453007938764646j),(-0.22054688797681338-0.7133836689481939j),(-0.8597485741807307-1.1686087269087988j),(-0.23913499352488302-0.9157576436122529j),(-0.5481891452263322-1.4582610917811838j),(0.03994586994799065-1.4332693138578738j),(-0.1701146481967108-1.3361076039784976j),(-0.19538213574085336-1.3331608458419673j),(-0.18623805140422434-0.6663819883538994j),(-0.01976831193369695-1.6386513634115067j),(-0.26803557855621146-1.1269039891441954j),(-0.1532004284996527-1.1170170221518974j),(-0.014091267094742427-1.1660793671095502j),(-0.18623805140422434-0.6663819883538994j)
1.59,(-0.18748941448276063-0.6674923694621535j),(-0.10379181668797424-0.7463536727263351j),(-0.22137868890882817-0.7144877148006558j),(-0.8584677489045126-1.1703546267828318j),(-0.2400718705577118-0.9165923168796535j),(-0.5491788353961444-1.4586625450821429j),(0.03552773717171332-1.4341924451156416j),(-0.17276184505947953-1.3366111852138076j),(-0.19783114962675777-1.3336482048763634j),(-0.18748941448276063-0.6674923694621535j),(-0.024466496877949245-1.639332510804671j),(-0.2692737809963184-1.1275429681228526j),(-0.15533636479063176-1.117665195475026j),(-0.017480569912326174-1.1669521383259007j),(-0.18748941448276063-0.6674923694621535j)
1.6,(-0.18866434492801287-0.6686599246606794j),(-0.10593203334308532-0.7474490575107167j),(-0.22213138467062657-0.7156522071736531j),(-0.8570582908846696-1.172220594864419j),(-0.24094047912951924-0.9174728011361528j),(-0.5500780579517144-1.459118068828485j),(0.031121716167649045-1.435124269544747j),(-0.17535161629956886-1.3371432194484798j),(-0.20022195085012426-1.3341648372732664j),(-0.18866434492801287-0.6686599246606794j),(-0.029125755117790433-1.6400249758660803j),(-0.2704446652894688-1.1282223469843211j),(-0.15741433139690816-1.1183465485636375j),(-0.02084062503799268-1.167841186998052j),(-0.18866434492801287-0.6686599246606794j)
1.61,(-0.1897573728779254-0.6698902518215107j),(-0.108002405914087-0.7485908611401538j),(-0.22279970137654304-0.7168820848667848j),(-0.8555073717298077-1.1742154723630935j),(-0.2417339742861415-0.9184044667000999j),(-0.5508778763813252-1.4596334112596148j),(0.02673170579746761-1.4360675521089972j),(-0.1778806300930985-1.3377065516970048j),(-0.20255111587386654-1.334713539867128j),(-0.1897573728779254-0.6698902518215107j),(-0.0337434968706972-1.6407313540831752j),(-0.2715431012396096-1.1289458464282416j),(-0.15943053242958918-1.1190644657446354j),(-0.024169629396097667-1.1687495964247796j),(-0.1897573728779254-0.6698902518215107j)
1.62,(-0.1907631087613045-0.6711888492060092j),(-0.11000051580327942-0.7497827637438368j),(-0.22337865770082402-0.718182042313865j),(-0.8538031611275797-1.1763472401559842j),(-0.24244548004393573-0.9193927219093379j),(-0.5515694340451254-1.4602143013900302j),(0.0223614507670875-1.4370249086131937j),(-0.1803457489261757-1.3383038742205315j),(-0.2048153586161683-1.335296997793178j),(-0.1907631087613045-0.6711888492060092j),(-0.038317266077052964-1.6414540946876175j),(-0.27256411572251504-1.1297170953404423j),(-0.16138144997553508-1.119822117472017j),(-0.027465508670536584-1.1696804340789508j),(-0.1907631087613045-0.6711888492060092j)
1.6300000000000001,(-0.19167624329781816-0.672561115464864j),(-0.11192410748025666-0.7510282126696005j),(-0.22386356487762804-0.7195565295829213j),(-0.8519348745595228-1.1786230057756633j),(-0.2430680893897802-0.9204430131212041j),(-0.5521439541751276-1.4608664490093242j),(0.01801453034390688-1.43799879981389j),(-0.18274402959489505-1.3389377265268663j),(-0.20701153045048343-1.3359177844874242j),(-0.19167624329781816-0.672561115464864j),(-0.042844740400147935-1.6421955006552913j),(-0.27350289268578637-1.130539630792939j),(-0.16326384409735914-1.120622460326875j),(-0.030725917304744443-1.1706367516075245j),(-0.19167624329781816-0.672561115464864j)
1.6400000000000001,(-0.1924915474979962-0.6740123496380922j),(-0.11377108848190666-0.7523304224839257j),(-0.22425002670102556-0.7210097523761959j),(-0.8498927733010592-1.1810490034101457j),(-0.24359486428107424-0.9215608247125303j),(-0.5525927398752105-1.461595544682184j),(0.013694358356803608-1.4389915314193895j),(-0.18507272320533874-1.339610495370473j),(-0.2091366202055357-1.336578361686653j),(-0.1924915474979962-0.6740123496380922j),(-0.047323731226178986-1.6429577287063017j),(-0.27435477314885226-1.1314168980439359j),(-0.1650747528334277-1.1214682370173956j),(-0.03394823850169587-1.1716215848315523j),(-0.1924915474979962-0.6740123496380922j)
1.6500000000000001,(-0.1932038726632303-0.6755477511550384j),(-0.11553952941241127-0.753692374971938j),(-0.22453393952499925-0.7225456720301454j),(-0.8476681644214962-1.1836305939028902j),(-0.24401883564573817-0.9227516790796424j),(-0.5529071741211169-1.462407259748391j),(0.009404183196135237-1.4400052540897477j),(-0.18732927517357634-1.340324414752474j),(-0.21118775416531899-1.3372810794284289j),(-0.1932038726632303-0.6755477511550384j),(-0.05175218366424979-1.6437427893049765j),(-0.27511525520296864-1.1323522505378247j),(-0.16681149219786-1.1223619763788604j),(-0.03712958422390511-1.1726379537461775j),(-0.1932038726632303-0.6755477511550384j)
1.6600000000000001,(-0.19380815038577387-0.6771724198343749j),(-0.11722766394324631-0.7551168191374085j),(-0.22471149226344364-0.7241680055154406j),(-0.8452534007840258-1.1863722647527983j),(-0.24433300338221348-0.9240211366383603j),(-0.5530787197604551-1.463307246322821j),(0.005147087813739015-1.4410419634367708j),(-0.1895113252256649-1.3410815659206488j),(-0.21316219606909725-1.338028176051095j),(-0.19380815038577387-0.6771724198343749j),(-0.05612817654637074-1.6445525466598638j),(-0.2757799940112185-1.1333489499051848j),(-0.1684716561805285-1.123305993373645j),(-0.040266795193425936-1.1736888625206354j),(-0.19380815038577387-0.6771724198343749j)
1.67,(-0.19429939254874212-0.6788913558841018j),(-0.1188338888131814-0.7566062712027536j),(-0.22477916639016543-0.7258802254369666j),(-0.842641881045725-1.1892776301142147j),(-0.24453054427134438-0.9253745964294874j),(-0.553098919512698-1.4643011372954438j),(0.0009259897229319455-1.4421035000240159j),(-0.19161670739764894-1.341883877369435j),(-0.21505734711140445-1.3388217781937721j),(-0.19429939254874212-0.6788913558841018j),(-0.06044992242745896-1.6453887187237348j),(-0.27634480180851223-1.1344101659627832j),(-0.1700531167470584-1.124302389091219j),(-0.04335673631642008-1.174777131278235j),(-0.19429939254874212-0.6788913558841018j)
1.68,(-0.19467269132611226-0.6807094599015466j),(-0.12035676382828014-0.7581630146090349j),(-0.22473373593888324-0.7276855600338229j),(-0.8398280496575554-1.1923494307969276j),(-0.24460952623290275-0.9268134953178552j),(-0.5529593959691838-1.4653945463313236j),(-0.003256359001489552-1.4431915493667913j),(-0.19364345003556055-1.342733124839928j),(-0.21687074594204472-1.3396639007963596j),(-0.19467269132611226-0.6807094599015466j),(-0.06471576758533854-1.6462528771935812j),(-0.27680564790158746-1.1355389767135753j),(-0.17155402383882817-1.1253530507481477j),(-0.046398853023797426-1.1759037272776376j),(-0.19467269132611226-0.6807094599015466j)
1.69,(-0.19492321918272304-0.682631532873365j),(-0.12179501186190006-0.7597891000159593j),(-0.2245722675032278-0.7295869931793232j),(-0.8368073968643637-1.1955895342661684j),(-0.24457160042421386-0.9283373652503006j),(-0.552652025155345-1.4665929635660688j),(-0.007397371723249058-1.4443076419321563j),(-0.19558977579541909-1.3436309313198804j),(-0.2186000686660921-1.340556447099535j),(-0.19492321918272304-0.682631532873365j),(-0.06892419202073996-1.647146447510617j),(-0.2771586586690089-1.1367383683467038j),(-0.17297280537296922-1.1264596516880898j),(-0.04939106899411738-1.177069964955236j),(-0.19492321918272304-0.682631532873365j)
1.7,(-0.19504659461799723-0.684661996002426j),(-0.12314751885469251-0.761486345301879j),(-0.22429212023674192-0.7315872643809955j),(-0.8335764587048814-1.1989989346426115j),(-0.24441848785374112-0.9299458802273356j),(-0.5521757260502155-1.4678974595408467j),(-0.011494627244590556-1.4454531531389216j),(-0.19745410164323154-1.3445787670437037j),(-0.2202431288438907-1.3415012086447542j),(-0.19504659461799723-0.684661996002426j),(-0.0730738094573007-1.6480707088602777j),(-0.27740011756116867-1.1380112352374998j),(-0.17430816724236584-1.127623651381799j),(-0.052330884151817025-1.1782773031849747j),(-0.19504659461799723-0.684661996002426j)
1.71,(-0.19504336252358884-0.6868013368060831j),(-0.1244133338146028-0.7632563355637915j),(-0.2238909458528803-0.733688868780582j),(-0.830132817011725-1.2025777527023747j),(-0.24415215750113856-0.9316385120403603j),(-0.5515333065633566-1.4693062294824162j),(-0.015545869806278423-1.4466293033576485j),(-0.19923503885499227-1.3455779494924662j),(-0.2217978774910547-1.3424998652742512j),(-0.19504336252358884-0.6868013368060831j),(-0.07716336734156484-1.6490267941722205j),(-0.277526465100286-1.1393603799474812j),(-0.17555909331565556-1.1288462954271234j),(-0.055216029064098573-1.1795270166229144j),(-0.19504336252358884-0.6868013368060831j)
1.72,(-0.19491732443111134-0.6890473267155351j),(-0.12559166881687012-0.7651004231173394j),(-0.2233666886250098-0.7358940571540397j),(-0.8264750994113957-1.2063252358770187j),(-0.2437748263172507-0.9334145302716628j),(-0.5507268065297403-1.4708178639148064j),(-0.01954900908759724-1.4478371579106497j),(-0.20093139301668317-1.3466296433938945j),(-0.2232624030784684-1.3435539851310385j),(-0.19491732443111134-0.6890473267155351j),(-0.08119174684298334-1.6500156901203245j),(-0.2775342988804075-1.1407885132243547j),(-0.17672484543722872-1.1301286155490053j),(-0.05804446494092939-1.180820195707235j),(-0.19491732443111134-0.6890473267155351j)
