t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.3,(-0.12037895676331309-0.6330847247066351j),(-0.012261407517179596+0.0006257771998841861j),(0.11347781509783329+0.033474028113534136j),(7.637667144346139e-05+0.0003390725947413462j),(0.06812419656399832+0.11206062263178643j),(-0.0015408211169900445+0.00027665850959197825j),(0.0008756343888935351-0.0002275539843751602j),(0.010005185883104274+0.03268289721391423j),(0.016440790752715803-0.03420034322983465j),(0.23391618066537154-0.48389820982824494j),(0.00016017814002422287-0.0005653661901416289j),(0.009442716142575245-0.00198203691297575j),(0.0014906146762924618-0.023447155802957174j),(-0.0011524436347522227-0.005517301159431506j),(0.3927670925029935-0.5262306449919137j)
0.31,(-0.16496371860756912-0.6079602034340248j),(-0.012422695762518449+0.0007088773133820686j),(0.11847712596912541+0.023558849399099316j),(0.00011492707987754279+0.0003288729096565325j),(0.08001179511193937+0.11012822713501025j),(-0.0015578424369137311+0.00042539024486662073j),(0.0009068459597503006-0.0002492268626750833j),(0.011787800059396109+0.03419209546578967j),(0.015921839652160336-0.03686924351701244j),(0.21096097423982094-0.4776786438052768j),(0.00013908673383538565-0.0005822900418610889j),(0.009595307444369816-0.0026367044617000577j),(0.0008689215393353477-0.02443682552409228j),(-0.0012821752002961971-0.005683173247274325j),(0.37741809294798023-0.5273009839091352j)
0.32,(-0.20708216704285046-0.5802153168898297j),(-0.012580811343663784+0.0007798861357157928j),(0.12248869732857112+0.013052777824434418j),(0.00015184055060948656+0.0003143384463311633j),(0.09185603133616597+0.10696482019805545j),(-0.001559878977862308+0.000577836896965009j),(0.0009378431116534037-0.0002719658905472859j),(0.013689529797747318+0.03565456799611531j),(0.015244794758001884-0.039579648136826705j),(0.18895149030626426-0.47098462689356285j),(0.00011634375836367201-0.0005979343373051294j),(0.009688884414136465-0.003294988044537077j),(0.0001745468663362172-0.025395127050437453j),(-0.0014271730164517027-0.005846468927332943j),(0.36244983077741405-0.5281162650974711j)
0.33,(-0.2463514319705969-0.550140906253664j),(-0.012766633325169542+0.0008832343767030578j),(0.12543003921676144+0.0022025253200293575j),(0.00018655781070180013+0.00029635883809314223j),(0.10340454414422803+0.10256171987063963j),(-0.0015458651923631033+0.0007320249002478673j),(0.0009674628034775412-0.0003002597774022117j),(0.01581386224734341+0.03697612474272491j),(0.014267157615150936-0.04231741773715989j),(0.1678720422970319-0.4638686818800144j),(9.203555692049665e-05-0.0006123137847906681j),(0.00972475732401783-0.00395118138284359j),(-0.0005908359587276275-0.026319335787002407j),(-0.0015876606830874176-0.006007107575500486j),(0.34787788528126845-0.5287336006702128j)
0.34,(-0.28281638560701644-0.5179174205687582j),(-0.01295995752589829+0.0009879238313696289j),(0.1273145460707704-0.008978340507212041j),(0.00021879379484756434+0.00027486675270109093j),(0.1146254977569993+0.09697294986366627j),(-0.0015163743578350032+0.0008864994638014815j),(0.0009964764712636295-0.000330876558816819j),(0.018082157144392076+0.038207997381464916j),(0.013081960958909254-0.045071236455835835j),(0.14764498412020624-0.456372396889974j),(6.66327903314799e-05-0.0006251131678457725j),(0.009705673035730134-0.004599318110200857j),(-0.0014082053226009473-0.02719985090558136j),(-0.0017579927402486416-0.006161896209158069j),(0.3337293143941811-0.5292172165842098j)
0.35000000000000003,(-0.31645745507639184-0.4837524578223344j),(-0.013153637824718309+0.0010831635795079321j),(0.1281506999824224-0.020425608030599715j),(0.0002482836173100943+0.00025007502831059686j),(0.12544834462390464+0.09025178524662567j),(-0.0014717897931965894+0.001039954486011155j),(0.001025168194560945-0.0003625805521460045j),(0.020462983445922484+0.039366108894946766j),(0.011724341238854089-0.04783126778094844j),(0.12814566587445625-0.44852036366468157j),(4.0992154825800384e-05-0.0006359060724579449j),(0.009634946242509912-0.0052373377199073255j),(-0.0022401997651434317-0.02803135181329373j),(-0.0019258170582759644-0.00630848240417707j),(0.32003944680632146-0.5296356546969117j)
0.36,(-0.3469859294522562-0.447985999580131j),(-0.01337022575854174+0.0012069617301700807j),(0.1279103920800179-0.03190341041721538j),(0.0002747021385347769+0.00022290129588340148j),(0.13564400231837545+0.08245762261866918j),(-0.0014119522881851107+0.0011900372448106137j),(0.0010522745679684784-0.00039872775010359006j),(0.023025653304445063+0.040359677318675916j),(0.010083473561800237-0.05056249733579033j),(0.10927050019382882-0.4403349554498659j),(1.579880140529705e-05-0.0006443726447743997j),(0.00951594032563126-0.005863510870560748j),(-0.003056780693935994-0.028809375490966984j),(-0.002081528254729428-0.006444807264963374j),(0.30676491504971237-0.5299870851844358j)
0.37,(-0.37434578063096147-0.4108447171578535j),(-0.013609006951127713+0.0013598713430993253j),(0.12660637303698735-0.043315520925403805j),(0.0002978849321043592+0.0001937457651403867j),(0.14511702071139132+0.07365692287890549j),(-0.001337422425030008+0.0013351680488408277j),(0.0010776306918664534-0.0004391460295838646j),(0.025758991350964704+0.04117712833583497j),(0.008161832930879428-0.05324495666207213j),(0.09130872700879403-0.43190078385819985j),(-1.1019666160333541e-05-0.0006520314889464456j),(0.009347854983442818-0.006469718184017478j),(-0.003960068239602743-0.029547154429189693j),(-0.0022617650551120844-0.00657924656793132j),(0.2939010979467175-0.5303018374385853j)
0.38,(-0.39875694104462656-0.3723593976436207j),(-0.013845850173923218+0.0014982503607327822j),(0.12428132338403244-0.0547489457278276j),(0.0003177908769300752+0.00016237555252303148j),(0.15394424220044184+0.0638894945697924j),(-0.0012491494742214772+0.0014752730135731973j),(0.0011027236016453814-0.0004800183869538742j),(0.028579363133235447+0.041910691073796046j),(0.006082686393375756-0.05590070790821501j),(0.07413430032721652-0.4232193532088841j),(-3.864656058342465e-05-0.0006584171268830474j),(0.009133599162634967-0.007054942602161635j),(-0.004913133399094183-0.030239289479960154j),(-0.002454121628784402-0.006708941334262569j),(0.28144320794135586-0.5306034401139447j)
0.39,(-0.4200614440557371-0.33284910911977705j),(-0.014093304844949792+0.0016485655790872936j),(0.12095290107551762-0.06602280234742458j),(0.00033438035066551605+0.0001294236372391873j),(0.16196259028414323+0.05325143681666025j),(-0.001147579492755839+0.0016085940773447232j),(0.0011264966530803635-0.0005232925625273463j),(0.03151917283556337+0.04249337589581742j),(0.00378092874063237-0.05849122076656326j),(0.05756245081589771-0.4142768204821876j),(-6.58763083498038e-05-0.0006628327839400432j),(0.008877160007547378-0.007620510208514085j),(-0.005856780569804291-0.030879564610141567j),(-0.002638610178752324-0.0068297777508827375j),(0.2693399268819175-0.5308674628523827j)
0.4,(-0.4380587039227927-0.29265944153482215j),(-0.014366596130619521+0.001844032114392873j),(0.116635506963022-0.07692965553571951j),(0.0003475959118385885+9.562437083139133e-05j),(0.1689843064668244+0.04184759194094255j),(-0.0010332514728185673+0.0017330253888532632j),(0.0011475250135722763-0.0005714047246544922j),(0.03461650349401943+0.04283910017685429j),(0.0011757591650578755-0.06096529305806582j),(0.0418173581285484-0.40514373998180264j),(-9.431460865072619e-05-0.0006663439205489115j),(0.008578035892119638-0.008158539288215716j),(-0.006875475840100361-0.031472769868079634j),(-0.0028454833276510064-0.0069470712303128165j),(0.2574934060209634-0.531021516283051j)
