t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019,B00_A_0020,B00_A_0021,B00_A_0022,B00_A_0023,B00_A_0024,B00_A_0025,B00_A_0026,B00_A_0027,B00_A_0028,B00_A_0029,B00_A_0030,B00_A_0031,B00_A_0032,B00_A_0033,B00_A_0034,B00_A_0035,B00_A_0036,B00_A_0037,B00_A_0038,B00_A_0039,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B01_A_0005,B01_A_0006,B01_A_0007,B01_A_0008,B01_A_0009,B02_A_0000
0.105,(0.0028266004953312325-0.012138010124204679j),(8.007051467994498e-06-3.562032701877322e-05j),(8.472111206780224e-06-6.476317932707752e-06j),(5.20852181098217e-06-4.950641780902517e-06j),(-1.9103785766191834e-06+1.2483857624716898e-06j),(-9.804958169760757e-07+4.2522983564939643e-07j),(-7.078914920219326e-09+2.7070665992231147e-08j),(1.3620538704318528e-06+4.65436820758206e-06j),(-8.351505202134028e-06-1.2493744323628974e-05j),(0.0006115395844412684-0.00013349621808955866j),(-6.0875095193024205e-06+9.277273367398755e-06j),(8.999516741966301e-07-7.087988269257622e-07j),(3.5994854227285216e-08-6.947572779811506e-08j),(3.1419721299253245e-07-1.9047847788602442e-07j),(3.7381034072409065e-05-0.00016038207588795915j),(-1.0153613288828874e-07-1.7406029089126859e-07j),(1.945279542867921e-06+0.00013234032969603834j),(3.45503625589629e-06+8.007380653359502e-06j),(-7.395269241121272e-07+4.607478825081252e-06j),(-5.106324707277089e-06+1.578162379516965e-07j),(-0.00023097111522265003+0.00023506330458462573j),(-3.513000499791702e-05+6.401352762834286e-05j),(2.6965415284598312e-05+8.852452975014827e-06j),(1.9107755254620615e-05+8.664382427861844e-06j),(-9.728593455009922e-06-3.898441773033044e-05j),(1.4239189635146832e-07-6.853461894068736e-07j),(2.387362505790808e-06+1.1617326070300896e-06j),(1.0173860819575648e-07-1.698774145372495e-08j),(0.0023561171199362914-0.003248194445581866j),(-6.109582281183445e-07+2.072693275360574e-06j),(-0.00018006659402908096+0.0013857775642810136j),(3.686784676565998e-06+1.2049511811982533e-05j),(2.8611452434243547e-05-2.6821523074425556e-05j),(-2.3267452038934615e-08+4.7501330780699927e-08j),(3.1502486641570165e-06-3.9685843025347356e-05j),(1.0979079096548405e-07+2.3326119975827201e-07j),(7.687805673223555e-07-4.196569714668876e-06j),(1.5453993613157258e-07-1.2922944162310302e-07j),(4.3782064565797413e-07+5.728311644791118e-08j),(4.0457576031434574e-07+1.2856117132649615e-06j),(0.028985736263777317-0.008497258969660818j),(-1.1044937665205017e-05-3.52488231626494e-06j),(2.294063895916627e-07+2.645866208356227e-07j),(1.9958146777903472e-05+2.3407481588838064e-05j),(2.9719744461369725e-05+0.00010023561047369105j),(-8.338611439027332e-08-1.7247635261099787e-07j),(2.7349518066170437e-08+4.6191970015970685e-08j),(-0.0005434551731665935-0.0007824226435840422j),(2.695159844658016e-06+6.92339997777819e-07j),(-1.4036565352932422e-06-1.9192560027644294e-07j),(0.028603114634495705-0.0034273567305584127j)
0.11,(0.0016745553237888285-0.011732691270052352j),(6.291391966160246e-06-3.5682028959249205e-05j),(8.236374763892703e-06-6.735142277793473e-06j),(5.121985336399094e-06-5.154830100366454e-06j),(-1.9121129534429772e-06+1.3151494993056423e-06j),(-9.524577662793491e-07+4.283339302063697e-07j),(-6.253198176676104e-09+2.404022356755139e-08j),(1.5183439436939599e-06+4.654239361400046e-06j),(-9.363576777576267e-06-1.1798840076638088e-05j),(0.0006436039796558407-0.00019344110049312216j),(-5.9116039271374e-06+9.374940186520409e-06j),(8.709194927163093e-07-7.40531635494812e-07j),(3.328826608004755e-08-7.208536192550927e-08j),(3.1090291604955985e-07-1.9695153758584186e-07j),(4.170721092411399e-05-0.00016971708421718265j),(-1.1098011963281526e-07-1.6650797623128347e-07j),(1.9940845116536406e-05+0.00013258998243105208j),(4.020994500628025e-06+7.802667482291448e-06j),(-6.76319569994064e-07+4.694643158349854e-06j),(-5.24703210151182e-06+5.622537466330578e-07j),(-0.00022935131243491055+0.00026389778621654263j),(-3.1780831665679884e-05+6.930054031351828e-05j),(2.9304651467887736e-05+6.296062891741684e-06j),(1.9356258646918654e-05+8.167903008804232e-06j),(-1.0417717463274196e-05-4.0366097736569976e-05j),(1.1576048347461917e-07-7.282718115546976e-07j),(2.46850603617782e-06+1.184154876527404e-06j),(1.0023942635973276e-07-2.1607819100387343e-08j),(0.002298330153705921-0.0034246019492009633j),(-5.384383954969482e-07+2.0319012931764254e-06j),(-0.00010037399183232662+0.001367217252583443j),(4.115991864729883e-06+1.1942007643031055e-05j),(2.833919957909409e-05-2.8958626586354013e-05j),(-2.132045140028646e-08+4.8955375822200066e-08j),(5.578817429715005e-07-4.129627904991321e-05j),(1.2831681776433256e-07+2.016775236119699e-07j),(5.441269844728768e-07-4.299336953498035e-06j),(1.486207421944434e-07-1.359758487222621e-07j),(4.266576331824563e-07+4.8168227394551376e-08j),(4.592479007839703e-07+1.2619127694438253e-06j),(0.028810145168544833-0.008945217881947111j),(-1.163413865185999e-05-3.291845088085781e-06j),(2.420568773399636e-07+2.746321415741759e-07j),(2.1684795286587823e-05+2.3425774217966223e-05j),(3.209218272241734e-05+0.00010479829850543498j),(-1.0138526138261697e-07-1.7145951760334741e-07j),(2.9583149882753378e-08+4.7162886751629516e-08j),(-0.0005920211759265954-0.0008051041492781097j),(2.7727031869222597e-06+7.314952854131313e-07j),(-1.5178896847183927e-06-2.658511054055497e-07j),(0.028457482644985075-0.00357386707102808j)
0.115,(0.0005785690813926436-0.011260011372388313j),(4.601639790596726e-06-3.5475646551087105e-05j),(7.968506175642791e-06-6.94529912764193e-06j),(5.010064189257258e-06-5.336768980163543e-06j),(-1.908406816497219e-06+1.3798674456688304e-06j),(-9.195116517585689e-07+4.258192113972411e-07j),(-5.792654686474172e-09+2.0761073193101486e-08j),(1.6689679594202147e-06+4.636280208827629e-06j),(-1.0270360606450084e-05-1.0959695321261536e-05j),(0.0006732740173141167-0.0002578175718908667j),(-5.73117868382095e-06+9.42327205374365e-06j),(8.376621035023055e-07-7.670962473825542e-07j),(3.039910075874315e-08-7.434362619985034e-08j),(3.0718902293213523e-07-2.0217522856177835e-07j),(4.6156195181987844e-05-0.0001792749344997742j),(-1.1933495913319782e-07-1.577874054155489e-07j),(3.8817382529137806e-05+0.0001317905184419156j),(4.577413296183749e-06+7.555453793001724e-06j),(-6.096002114332495e-07+4.769847824719845e-06j),(-5.353013299080629e-06+9.804211531055472e-07j),(-0.00022594942174957282+0.00029365477448793306j),(-2.8051068301951036e-05+7.441775152740997e-05j),(3.1340602987615834e-05+3.44414912023411e-06j),(1.950647913794963e-05+7.666790620468566e-06j),(-1.11239661103048e-05-4.171824848285353e-05j),(8.517275845779686e-08-7.696492508951575e-07j),(2.5500393597803133e-06+1.2008002192168504e-06j),(9.823396445417137e-08-2.6092227553755074e-08j),(0.0022272367545440536-0.0035952077501476775j),(-4.6987088604422353e-07+1.9754331221497764e-06j),(-2.0836781299589033e-05+0.0013369201816120781j),(4.5436191238271e-06+1.178139361468303e-05j),(2.7906997839436e-05-3.109590623238633e-05j),(-1.9239373531514585e-08+5.019467777713801e-08j),(-2.0666830997764275e-06-4.264578795039848e-05j),(1.412240681206892e-07+1.6766233906127873e-07j),(3.133268063548673e-07-4.375479684235279e-06j),(1.4241252148614683e-07-1.417878251993264e-07j),(4.1329949980275775e-07+4.0771305285761755e-08j),(5.090722262839126e-07+1.2304799150152049e-06j),(0.028629607765669716-0.009394504649712658j),(-1.2211532638732886e-05-3.020582729457655e-06j),(2.5484240657522607e-07+2.8423485616048276e-07j),(2.343830509040078e-05+2.3192766200354656e-05j),(3.462632142023099e-05+0.00010915764925360887j),(-1.1962153499998443e-07-1.6834501697944966e-07j),(3.1840008734946733e-08+4.8009439231155676e-08j),(-0.0006419128382414353-0.000825600261923251j),(2.8449706956457906e-06+7.708768358345175e-07j),(-1.6366777691625512e-06-3.4286285984972665e-07j),(0.028311860791264-0.0037184547151446106j)
0.12,(-0.0004581109565921443-0.010724644981138579j),(2.969236281095165e-06-3.5008343064878305e-05j),(7.674328692358057e-06-7.104807931229379e-06j),(4.874742068306465e-06-5.494641224189016e-06j),(-1.8994963834012896e-06+1.4422740510843775e-06j),(-8.821137396933956e-07+4.173792691805002e-07j),(-5.720541428602933e-09+1.728986945769605e-08j),(1.8125198740590211e-06+4.601391313438433e-06j),(-1.105201246809207e-05-9.991118374041726e-06j),(0.0007002175936095931-0.00032632106745809247j),(-5.5513967418693834e-06+9.423560299616068e-06j),(8.008360298507801e-07-7.881172133730852e-07j),(2.7370183064468662e-08-7.623974525524495e-08j),(3.032251713697362e-07-2.0615631991130914e-07j),(5.071555279608317e-05-0.00018906765566072998j),(-1.2648239062957017e-07-1.4804827586587493e-07j),(5.8446597130077524e-05+0.0001299064316452765j),(5.119284024076981e-06+7.26866820726629e-06j),(-5.398587324833559e-07+4.833383413042261e-06j),(-5.4230011311194464e-06+1.4083336799167224e-06j),(-0.0002207318170234093+0.00032417719045209337j),(-2.3967287453890067e-05+7.932461098422074e-05j),(3.302321659611405e-05+3.4472761217873333e-07j),(1.956075679537386e-05+7.170752980107161e-06j),(-1.1847371297990784e-05-4.30405583522623e-05j),(5.069236068154113e-08-8.091757208797144e-07j),(2.6320266410909145e-06+1.2115765858553276e-06j),(9.575765384436473e-08-3.039214536982839e-08j),(0.0021435070252533777-0.003759269191592654j),(-4.0692330769018873e-07+1.9039498055685722e-06j),(5.7301395096256166e-05+0.0012950829350329234j),(4.967194148426509e-06+1.1570950425053076e-05j),(2.731898204196445e-05-3.3221862108422586e-05j),(-1.7047066664023454e-08+5.121111627836763e-08j),(-4.68864060620287e-06-4.37368775646944e-05j),(1.48125050652232e-07+1.322071015793219e-07j),(7.948868133998586e-08-4.424916866449606e-06j),(1.3605242592624438e-07-1.4670463143845393e-07j),(3.9800277948181575e-07+3.5298639423678116e-08j),(5.532557841410098e-07+1.1920158069510619e-06j),(0.028442394458164977-0.00984248391747808j),(-1.2772882516345049e-05-2.7141475165208753e-06j),(2.6763344917152495e-07+2.9333841775994656e-07j),(2.5161703138044037e-05+2.269759598201824e-05j),(3.71852564719704e-05+0.00011323225604912867j),(-1.378482180702043e-07-1.630932635963183e-07j),(3.409879657819746e-08+4.8738982024173677e-08j),(-0.0006929362025308442-0.0008437627928460317j),(2.911341375802673e-06+8.109210431130462e-07j),(-1.7596091929290824e-06-4.230337980911544e-07j),(0.02816638819629742-0.0038609547177778482j)
0.125,(-0.0014326227871739351-0.010131371558921212j),(1.423225692404403e-06-3.429074025652402e-05j),(7.359667256353119e-06-7.212489528512135e-06j),(4.718180390975702e-06-5.626930073092519e-06j),(-1.885637118124362e-06+1.5021380648667603e-06j),(-8.407639010362772e-07+4.0275838835826536e-07j),(-6.053255719941537e-09+1.3682541009981357e-08j),(1.9477629933215415e-06+4.550605152495736e-06j),(-1.1691580381391188e-05-8.909626227316028e-06j),(0.0007241195085470505-0.0003986402366908538j),(-5.3771643465888454e-06+9.377734502676798e-06j),(7.611205780465215e-07-8.033169853418615e-07j),(2.4242898589676966e-08-7.776865203004481e-08j),(2.991718804521274e-07-2.0892349191501423e-07j),(5.536747442343871e-05-0.00019911210587423097j),(-1.3232738274099133e-07-1.3744538798968153e-07j),(7.87001638281131e-05+0.00012690592093886696j),(5.642040760532864e-06+6.945385706583286e-06j),(-4.6753284258626924e-07+4.8856470366824504e-06j),(-5.456157769798559e-06+1.8421431924656562e-06j),(-0.00021367068609176094+0.0003553086916975155j),(-1.9556958679921357e-05+8.398504495766548e-05j),(3.431404558839834e-05-2.950724560752485e-06j),(1.952244681024615e-05+6.688933720827249e-06j),(-1.2588397595505299e-05-4.4333322057229827e-05j),(1.2422831143850944e-08-8.465574482173051e-07j),(2.7145361927301e-06+1.2164232633091612e-06j),(9.284890231416918e-08-3.4464457135670425e-08j),(0.0020478342910899504-0.003916114743954105j),(-3.511513810132307e-07+1.8183058829728925e-06j),(0.0001328609145939506+0.0012420136289111572j),(5.38424252435464e-06+1.1313946547447012e-05j),(2.6580017603841998e-05-3.5326116635888156e-05j),(-1.4766196428381794e-08+5.199930645500434e-08j),(-7.276735138105581e-06-4.457513801029373e-05j),(1.4879974891389195e-07+9.628108465701993e-08j),(-1.5445774884372868e-07-4.447890360364007e-06j),(1.2965798960513386e-07-1.507767594194918e-07j),(3.8103871289286713e-07+3.192155522696777e-08j),(5.911226057441564e-07+1.1472862558561775e-06j),(0.028248613554273508-0.010288052146420689j),(-1.3316546897381749e-05-2.37492950126511e-06j),(2.803707687280582e-07+3.019378341055832e-07j),(2.6829365269063033e-05+2.1940849661248263e-05j),(3.9710521190841954e-05+0.00011701742747065433j),(-1.5580697781740719e-07-1.5576632391438337e-07j),(3.63516279313539e-08+4.9358029836548556e-08j),(-0.0007449083452808178-0.0008595268621179201j),(2.971659509395189e-06+8.518089681862941e-07j),(-1.8862733635203009e-06-5.057515985065929e-07j),(0.028021164745761756-0.004001188133203542j)
0.13,(-0.002342489679634699-0.009485075481046323j),(-9.744805769094792e-09-3.333691836723526e-05j),(7.0303485019296575e-06-7.2679661504265674e-06j),(4.542718293373138e-06-5.732419204278111e-06j),(-1.8671037309854026e-06+1.559262536121809e-06j),(-7.960056114124491e-07+3.8175154857628346e-07j),(-6.800335215258888e-09+9.994290558435342e-09j),(2.073629972181693e-06+4.485086116952472e-06j),(-1.2175004604788764e-05-7.733444549216796e-06j),(0.0007446814659425539-0.0004744569434059591j),(-5.213131036075323e-06+9.288362489456518e-06j),(7.192178373629456e-07-8.125159162556996e-07j),(2.1057193718177163e-08-7.893098776684668e-08j),(2.9518055062936047e-07-2.1052733603657816e-07j),(6.008877542807932e-05-0.00020942997256364308j),(-1.3679813346544567e-07-1.2613864517999852e-07j),(9.944972709135425e-05+0.0001227608902015039j),(6.1415602764881435e-06+6.588827632173032e-06j),(-3.9300807657209045e-07+4.9271423335200765e-06j),(-5.4520747283226125e-06+2.278138199002928e-06j),(-0.00020474403076853714+0.00038689367234788724j),(-1.4848448549734137e-05+8.83674562809712e-05j),(3.518624980216917e-05-6.387269206902225e-06j),(1.939591949701582e-05+6.229912391590993e-06j),(-1.3347942239305588e-05-4.5597440639541914e-05j),(-2.949238753981522e-08-8.815096728743422e-07j),(2.797640475446192e-06+1.2153108745541028e-06j),(8.954909406600499e-08-3.8271753469407194e-08j),(0.0019409350997631953-0.004065144004897809j),(-3.039989392401056e-07+1.7195493901549518e-06j),(0.00020472617414385306+0.0011781319117111309j),(5.792287728695675e-06+1.101363823036187e-05j),(2.5695700532698606e-05-3.7399414561733716e-05j),(-1.241924585432264e-08+5.255659893242508e-08j),(-9.803260676963943e-06-4.516924168429078e-05j),(1.4319562139785332e-07+6.083137980309028e-08j),(-3.8576184911185427e-07-4.44496492685547e-06j),(1.233271287840492e-07-1.540659327179761e-07j),(3.626932474194482e-07+3.0776414230829584e-08j),(6.221137065443045e-07+1.0971202259681532e-06j),(0.028048529746475436-0.010730337448572803j),(-1.3841151461466875e-05-2.0051025302432646e-06j),(2.9300734388795925e-07+3.100306678012235e-07j),(2.8417943277913287e-05+2.092137046694664e-05j),(4.215931929933958e-05+0.00012051149069088011j),(-1.7325471343726458e-07-1.464413139064614e-07j),(3.859211997384578e-08+4.987238978379651e-08j),(-0.0007976543440457662-0.0008728461215158912j),(3.0258461377854497e-06+8.936385036072321e-07j),(-2.0162916266937407e-06-5.90421301933771e-07j),(0.02787625108804493-0.004138962015103347j)
0.135,(-0.003185620175529978-0.008790746035516071j),(-1.3054251287612504e-06-3.216441612353288e-05j),(6.692200755376404e-06-7.271661418889102e-06j),(4.3508726302861245e-06-5.810192731904259e-06j),(-1.8441901786531702e-06+1.6134848137467063e-06j),(-7.48425951119935e-07+3.542044243239303e-07j),(-7.964457907213633e-09+6.279594871367612e-09j),(2.1892228148761524e-06+4.4061305114512275e-06j),(-1.2491117636278488e-05-6.482507683671353e-06j),(0.0007616220734234524-0.0005534462657409709j),(-5.063689641214636e-06+9.15865033447745e-06j),(6.758526800620958e-07-8.156322601727763e-07j),(1.7851575625134575e-08-7.973310201249239e-08j),(2.913934637117743e-07-2.110403549227901e-07j),(6.4850895881016e-05-0.00022004777240151717j),(-1.39846070179843e-07-1.1429305381546565e-07j),(0.00012056690094726278+0.00011744694829308884j),(6.614162037591181e-06+6.202361684978033e-06j),(-3.166177946591347e-07+4.9584794659491135e-06j),(-5.410772860930609e-06+2.712743850630628e-06j),(-0.0001939356668462158+0.0004187772630620917j),(-9.871020644282454e-06+9.244472434687696e-05j),(3.562459561781154e-05-9.906507014627798e-06j),(1.9186560293526668e-05+5.801704457215476e-06j),(-1.4127335133133005e-05-4.6834421470336705e-05j),(-7.48699511365394e-08-9.137566480747135e-07j),(2.881416098115361e-06+1.20824137867533e-06j),(8.590258972085629e-08-4.178233102022753e-08j),(0.001823549221435902-0.0042058276993371104j),(-2.667979282459386e-07+1.6089218591590988e-06j),(0.0002718455904079392+0.00110396896429637j),(6.188851129791467e-06+1.0673269497485886e-05j),(2.467235742663162e-05-3.943362295843523e-05j),(-1.0028515370743311e-08+5.288307983226832e-08j),(-1.2244060823938991e-05-4.553094326338137e-05j),(1.314276015335533e-07+2.678289654404773e-08j),(-6.118519910235897e-07-4.4170282274549755e-06j),(1.1713814189506062e-07-1.5664510650513193e-07j),(3.432670371553946e-07+3.196461408699395e-08j),(6.45787086054463e-07+1.0424098351574104e-06j),(0.02784241799525168-0.011168579388376721j),(-1.4345392618343311e-05-1.6067062303427827e-06j),(3.0550205251402894e-07+3.1761306478685506e-07j),(2.9903525865191112e-05+1.963576153272143e-05j),(4.449767086221229e-05+0.00012371011019631048j),(-1.899658905033404e-07-1.3520577083886534e-07j),(4.08143079676686e-08+5.028728039897042e-08j),(-0.000851005776720258-0.0008836865057067356j),(3.0738567847673435e-06+9.364476629923753e-07j),(-2.149306931531603e-06-6.765264210650426e-07j),(0.02773166863424636-0.004274069416564824j)
0.14,(-0.003960308088688885-0.00805347742302465j),(-2.4419622769503587e-06-3.0794230737247536e-05j),(6.351054034969147e-06-7.2248003467962246e-06j),(4.145337975181194e-06-5.8596352068838465e-06j),(-1.817209664146217e-06+1.6646765464299893e-06j),(-6.986556051295458e-07+3.2001338493421017e-07j),(-9.541442126354174e-09+2.592204776919431e-09j),(2.293812874904351e-06+4.315166554324244e-06j),(-1.2631644213406429e-05-5.178458650401987e-06j),(0.000774676842428379-0.0006352764961542057j),(-4.932976285682441e-06+8.992442360253365e-06j),(6.31772761394642e-07-8.126821722426278e-07j),(1.4663112277070753e-08-8.01870526180688e-08j),(2.879437828699949e-07-2.1055696240354385e-07j),(6.961990056024591e-05-0.00023099685130958887j),(-1.4144584964001838e-07-1.0207872326033249e-07j),(0.00014192326898265268+0.00011094340905460792j),(7.056608204201952e-06+5.789501925662974e-06j),(-2.3864318245393097e-07+4.98037512087785e-06j),(-5.332702362895911e-06+3.1425219413023567e-06j),(-0.0001812352240958434+0.0004508053310342079j),(-4.654835555785172e-06+9.619420510763391e-05j),(3.562545595839493e-05-1.3446577552301211e-05j),(1.8900769761017e-05+5.411761298372707e-06j),(-1.4928338848012995e-05-4.804637825010465e-05j),(-1.2348661379594452e-07-9.430316402997824e-07j),(2.9659438177416242e-06+1.1952480708674463e-06j),(8.195672631827112e-08-4.4970192468383193e-08j),(0.001696439648724228-0.004337707679432921j),(-2.4076840655422397e-07+1.487858318281816e-06j),(0.00033323159975980266+0.0010201674999295732j),(6.571451987241524e-06+1.0296072147698502e-05j),(2.3517045474205793e-05-4.142173122399396e-05j),(-7.616122805705408e-09+5.298157077243408e-08j),(-1.4578528799873391e-05-4.567507970386287e-05j),(1.1377809768768228e-07-4.9616375757960256e-09j),(-8.303355527817491e-07-4.365290824347499e-06j),(1.1114970954107455e-07-1.585984675478735e-07j),(3.2307544290484145e-07+3.5552588563722795e-08j),(6.618177278496982e-07+9.84110354927191e-07j),(0.02763056352908396-0.011602128982684708j),(-1.4828037507872938e-05-1.1816460087856454e-06j),(3.178196716887357e-07+3.2467975433862156e-07j),(3.126163863763356e-05+1.8078385896886852e-05j),(4.6700412286464155e-05+0.00012660628778726017j),(-2.0573254096709085e-07-1.2215765327140432e-07j),(4.3012645257383705e-08+5.060733163265982e-08j),(-0.0009048007215390198-0.0008920262322470591j),(3.1156814565665356e-06+9.802145810217823e-07j),(-2.284983830440756e-06-7.636289404473859e-07j),(0.027587399558176958-0.0044062893900814444j)
0.145,(-0.004665232505214105-0.0072784687569583196j),(-3.3999003357571122e-06-2.9250817905519733e-05j),(6.012740050970732e-06-7.1294093380244704e-06j),(3.928986620204064e-06-5.8804316168841635e-06j),(-1.7864946368328877e-06+1.7127436826515468e-06j),(-6.473688630848805e-07+2.791254945837565e-07j),(-1.1520246541118644e-08-1.0148548369362542e-09j),(2.38684085502848e-06+4.213754377593418e-06j),(-1.2591201313271012e-05-3.844649144925968e-06j),(0.0007835981882072511-0.0007196091414247342j),(-4.824870385944232e-06+8.794221137289577e-06j),(5.877485195998825e-07-8.037797087061513e-07j),(1.1527432431863487e-08-8.031060573890782e-08j),(2.849555526349352e-07-2.091934834918378e-07j),(7.43564789507523e-05-0.0002423133844587787j),(-1.4159535798073232e-07-8.967086586445856e-08j),(0.00016339038434368992+0.00010323329130813203j),(7.466103631392038e-06+5.353908774614722e-06j),(-1.5931325095122382e-07+4.993652509728888e-06j),(-5.2187427705262375e-06+3.5641709078232196e-06j),(-0.00016663814626703482+0.00048282447999351013j),(7.690491122740135e-07+9.959773107500525e-05j),(3.519681028967339e-05-1.694215926830905e-05j),(1.854596358411962e-05+5.066970211589624e-06j),(-1.575314862225511e-05-4.92360310086885e-05j),(-1.750792280501935e-07-9.690769292883878e-07j),(3.0513085394568473e-06+1.1763955824344817e-06j),(7.776181731636142e-08-4.781504652518874e-08j),(0.001560392596697698-0.004460396924593716j),(-2.2701854533682492e-07+1.3579872920717221e-06j),(0.000387960658284653+0.0009274817642726133j),(6.9376074519030145e-06+9.885265755070373e-06j),(2.2237552454453272e-05-4.335785108193648e-05j),(-5.204003386434849e-09+5.2857628867083894e-08j),(-1.6789607445291456e-05-4.56195702416342e-05j),(9.069699316418411e-08-3.352167699433207e-08j),(-1.038998919232768e-06-4.29128618037201e-06j),(1.0540089449583361e-07-1.6002143420880396e-07j),(3.024485321822236e-07+4.1571807545809474e-08j),(6.699975995671338e-07+9.232402104135573e-07j),(0.027413261844454806-0.012030448700759009j),(-1.528792400003662e-05-7.316930531283757e-07j),(3.2993087771421537e-07+3.3122404906882317e-07j),(3.2467244108118436e-05+1.624136650246329e-05j),(4.8751196321354316e-05+0.00012919036257785403j),(-2.2036426315786428e-07-1.0740534105738392e-07j),(4.5182003270118176e-08+5.0836584852990924e-08j),(-0.0009588837570769356-0.0008978558015832838j),(3.151344641840468e-06+1.0248575134390551e-06j),(-2.423008479152733e-06-8.513693164824029e-07j),(0.027443386796359128-0.004535386987552578j)
0.15,(-0.005299457783481915-0.006471024063395356j),(-4.162180475644583e-06-2.7562091810799734e-05j),(5.6830922056310525e-06-6.988316187430436e-06j),(3.704868576179628e-06-5.872567386326917e-06j),(-1.7523967924313195e-06+1.7576264706826234e-06j),(-5.952836193023249e-07+2.3153851229283067e-07j),(-1.3882970157834964e-08-4.489285022394912e-09j),(2.467916807273486e-06+4.103586026970297e-06j),(-1.2367298152523045e-05-2.5061395385555144e-06j),(0.0007881554298212704-0.0008060989226523827j),(-4.7429946512553384e-06+8.569107484082941e-06j),(5.445731759057417e-07-7.891368268956034e-07j),(8.478725638746726e-09-8.012723583458643e-08j),(2.8254369889779527e-07-2.0708815438377505e-07j),(7.901594524450475e-05-0.0002540383762691923j),(-1.403157107156707e-07-7.7249796963313e-08j),(0.0001848397697358932+9.430331885681649e-05j),(7.840295868944644e-06+4.8993890119423175e-06j),(-7.880483653396953e-08+4.9992413684391405e-06j),(-5.070202961163666e-06+3.974525829849847e-06j),(-0.00015014569108797325+0.0005146820502044692j),(6.368678745146639e-06+0.00010264161132026638j),(3.4358244620085444e-05-2.032446949105263e-05j),(1.8130572570861818e-05+4.773654409248077e-06j),(-1.6604392361453005e-05-5.040670610528331e-05j),(-2.29344744813991e-07-9.916438080368451e-07j),(3.137599316520743e-06+1.1517798807898919e-06j),(7.337115259180299e-08-5.030230793302169e-08j),(0.0014162175028792012-0.004573579541475543j),(-2.2654462841397292e-07+1.2211308013295664e-06j),(0.0004351732417793189+0.0008267775353865351j),(7.284832565890777e-06+9.444057668863354e-06j),(2.0842396736873573e-05-4.523721658131465e-05j),(-2.813909739321778e-09+5.251954672664082e-08j),(-1.8863789220399142e-05-4.5385416392195775e-05j),(6.280164620425487e-08-5.8038858131654856e-08j),(-1.2358074818667009e-06-4.196870659021471e-06j),(9.991114170391652e-08-1.6102065644621557e-07j),(2.817310792122748e-07+5.0018777034579046e-08j),(6.702356529059508e-07+8.608809803853902e-07j),(0.027190818705847532-0.012453112464271849j),(-1.5723960694934227e-05-2.584843312620264e-07j),(3.418122461122715e-07+3.372378449259165e-07j),(3.3494741695664346e-05+1.4114586197177236e-05j),(5.0642492058397e-05+0.00013145001099602725j),(-2.3368822178290168e-07-9.106763534360572e-08j),(4.731767151556496e-08+5.097849284562661e-08j),(-0.0010131059622490494-0.0009011779970516472j),(3.18090531167836e-06+1.0702348370513408e-06j),(-2.563088636723738e-06-9.394664774263212e-07j),(0.027299534048026774-0.004661113260283506j)
