t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.5,(0.2250519831989961-0.4799634563752074j),(-0.0815933134878774-0.7159810733360052j),(-0.48608690746421607-0.20699838111970775j),(-1.358144902454477-0.8368864594361274j),(-0.9244382017314178-0.5134075365302975j),(0.2250519831989961-0.4799634563752074j)
0.51,(0.23124025198048725-0.48344963442755784j),(-0.07790861612702096-0.7240090344682643j),(-0.48485813314648946-0.2162163443879176j),(-1.376312968453216-0.8246859242698074j),(-0.9297621886084911-0.514404312530351j),(0.23124025198048725-0.48344963442755784j)
0.52,(0.2374392280272097-0.4869293583279674j),(-0.07428921045389275-0.7320927626793098j),(-0.483591410773221-0.22543216754449824j),(-1.3944687151159425-0.8118601783667719j),(-0.9351893940754054-0.5152723845008593j),(0.2374392280272097-0.4869293583279674j)
0.53,(0.24365277551566153-0.4904274757910351j),(-0.07074078102512761-0.7402654493319651j),(-0.48229294227457586-0.23466152426626766j),(-1.4126338148525435-0.7983925300456116j),(-0.9407386627636387-0.5160156323159366j),(0.24365277551566153-0.4904274757910351j)
0.54,(0.24988524367356038-0.493968907061935j),(-0.06726925101460061-0.7485610407490326j),(-0.48096944886446125-0.2439202559441641j),(-1.4308283312117707-0.7842613136243062j),(-0.9464293473679246-0.5166367188361864j),(0.24988524367356038-0.493968907061935j)
0.55,(0.2561414453295045-0.49757856808013595j),(-0.06388082770751904-0.7570141739304137j),(-0.47962817110626166-0.25322432393216576j),(-1.449070013206796-0.7694398358994258j),(-0.952281209333614-0.5171369876557578j),(0.2561414453295045-0.49757856808013595j)
0.56,(0.2624266361702286-0.5012812988345803j),(-0.06058205326284571-0.7656601200919043j),(-0.47827687164804866-0.2625897613845169j),(-1.4673735603418845-0.753896376522307j),(-0.95831431681567-0.5175163590821833j),(0.2624266361702286-0.5012812988345803j)
0.5700000000000001,(0.2687464949169781-0.50510179724751j),(-0.05737986112669822-0.7745347368880378j),(-0.47692384089304724-0.27203262493229124j),(-1.4857498575182908-0.7375942486879219j),(-0.9645489392228027-0.5177732243436951j),(0.2687464949169781-0.50510179724751j)
0.58,(0.27510710458910775-0.5090645588510041j),(-0.054281638517389874-0.7836744300691352j),(-0.4755779058430761-0.2815689464345918j),(-1.5042051794343816-0.7204919283072755j),(-0.9710054374366797-0.5179043381607463j),(0.27510710458910775-0.5090645588510041j)
0.59,(0.28151493498062646-0.5131938224524418j),(-0.05129529544956746-0.7931161252135869j),(-0.4742484423230556-0.29121468501747466j),(-1.5227403649997753-0.7025432617007213j),(-0.9777041485795583-0.5179047099853418j),(0.28151493498062646-0.5131938224524418j)
