t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,A_0011,A_0012,A_0013,A_0014
0.7000000000000001,(0.6807369699157757+0.26192448559161374j),(0.0005402107590193035-0.0029527379562012124j),(-1.317118198551972+0.7978237624317943j),(1.3189605043234892e-06-9.532978508965365e-07j),(-5.9743184941001804e-05-9.980683485102726e-05j),(-0.0005227789255806309-0.00044500546717444783j),(-4.697839292773327e-05-9.73512565738224e-06j),(0.0006334439420408531+0.0003651669033153574j),(-0.003577237772065481-0.0025283543001958634j),(0.00031934372354225035-0.00028730470718055863j),(-0.00021395293667719864-8.510953775480077e-05j),(0.15709361761473567-0.08203376202467222j),(0.7143990934497635-0.9154749306069296j),(-0.004002509521216602-0.00037437369966979617j),(-1.5460704227686295e-05+7.718912096052986e-05j)
0.71,(0.7727021757549289+0.159408239961147j),(0.0003253643661499425-0.002863792347322165j),(-1.324160227081661+1.1432004506488769j),(1.2769988574863424e-06-1.1615048714352735e-06j),(-4.253521176906447e-05-0.00010028312671172556j),(-0.0006019193888274031-0.0004452124635249774j),(-4.171666700613642e-05-1.18676549193642e-05j),(0.0007709042002713309+0.00028843360890120533j),(-0.004540919458768615-0.0020970422170034065j),(0.0004142557563199206-0.00023660796858322633j),(-0.00022485849106803078-7.650536829917746e-05j),(0.1601224930495908-0.1142257829056482j),(0.6273873064583713-1.1660590020875516j),(-0.004377962560601417+0.00011119240143693076j),(-4.999712651455613e-06+8.619039993887852e-05j)
0.72,(0.8519474251096046+0.031722249494000265j),(0.00010774136439753294-0.002756960964200827j),(-1.2552917382758737+1.5186768325111795j),(1.1805472033367096e-06-1.3787823881889912e-06j),(-2.5928336828244563e-05-0.00010320766529571751j),(-0.0006879326516922963-0.0004174014051959966j),(-3.677258263128084e-05-1.4670557589924979e-05j),(0.0009011577573536272+0.000167050699707644j),(-0.005486307507563708-0.0013822469652693032j),(0.0005114784733938637-0.00020456414127265196j),(-0.0002347144306590252-6.658680287923878e-05j),(0.15733226814304435-0.14911526374919332j),(0.47658592082641854-1.418224733144494j),(-0.004687016538435615+0.000688738564304243j),(8.008711984743747e-06+9.357477181768388e-05j)
0.73,(0.9108893372252549-0.12122477626794181j),(-0.00011436136731116184-0.0026325589107199757j),(-1.0947973504293933+1.9062756965269112j),(1.0221789047452203e-06-1.586013421590492e-06j),(-1.036222416657691e-05-0.00010820337429605758j),(-0.0007703444810694359-0.0003587476906669083j),(-3.2259846748883037e-05-1.8033947437796574e-05j),(0.0010071767100556226-1.2189805009470503e-06j),(-0.0063187579286959235-0.0003564292834546984j),(0.0006063240220364294-0.000190430131639929j),(-0.00024316270206532385-5.544398364996393e-05j),(0.14762646121375933-0.18546089416309147j),(0.2550697611138111-1.6541383439797888j),(-0.0049026396146705405+0.0013478827773457697j),(2.329376884109491e-05+9.846908288407934e-05j)
0.74,(0.941883240815323-0.29751448199926733j),(-0.0003430945092364133-0.00249095238660782j),(-0.8310648959004515+2.2841880650921667j),(7.990418764503063e-07-1.7618145937666333e-06j),(3.7863534453115526e-06-0.00011483407369946272j),(-0.0008377119775439741-0.00026886016942579387j),(-2.826485477095919e-05-2.1842329222633705e-05j),(0.0010704831282706399-0.00021484008900361911j),(-0.006934991376093783+0.0009886705074796413j),(0.0006944333451154306-0.0001925490237005565j),(-0.0002498580228176445-4.325513940056371e-05j),(0.13020190393478606-0.22176453308675861j),(-0.04006247106217184-1.8542407258820035j),(-0.004999903553838714+0.002071852596311788j),(4.037751067682291e-05+0.00010004422615742501j)
0.75,(0.9376906268020546-0.49002397785818286j),(-0.000581283510075863-0.0023306215232567385j),(-0.466526932202285+2.622826712835923j),(5.245916309271118e-07-1.887312404057474e-06j),(1.6322232559244818e-05-0.00012268730023404893j),(-0.0008816789539860838-0.00015527529099875544j),(-2.477551917125581e-05-2.597111011143221e-05j),(0.0010767311689367767-0.0004570863772122782j),(-0.007231004250968439+0.0025774089403898083j),(0.0007733646953578151-0.00020813762255910673j),(-0.00025429114391422767-3.0220517869052676e-05j),(0.1050521404450809-0.2560382210963852j),(-0.39850153135812005-1.9968052969795431j),(-0.004961139824887285+0.0028297801638033243j),(5.8248243998543946e-05+9.781893579685051e-05j)
0.76,(0.8903747723163894-0.6906687830274664j),(-0.0008335141137950075-0.00214909424300118j),(-0.006992223541341769+2.8888246215124957j),(2.1641376189823418e-07-1.9452876592737344e-06j),(2.7046759726647673e-05-0.00013122082130159388j),(-0.0008955407418580516-2.7663083180821317e-05j),(-2.1783943887861505e-05-3.023429158893522e-05j),(0.0010153215885454702-0.000705760484560922j),(-0.007104560780838193+0.004298123491141671j),(0.0008401841125682181-0.00023402422803471394j),(-0.00025567634995728227-1.6442657569595688e-05j),(0.07225057299135655-0.2859576605112173j),(-0.8056596572738102-2.058096793957214j),(-0.004767586813683372+0.0035847495233547895j),(7.5703618770407e-05+9.141092323282818e-05j)
0.77,(0.7956993563268437-0.8892573910845517j),(-0.0011037142432847413-0.00194475319526442j),(0.5313429484465086+3.054312802559443j),(-1.0548368946303448e-07-1.925767583405666e-06j),(3.590576368142369e-05-0.0001399773966707512j),(-0.0008758362858173916+0.00010404839418647153j),(-1.926754620083817e-05-3.44937986093652e-05j),(0.0008835605332392181-0.0009391511048127287j),(-0.006503473737936869+0.0060251174225040855j),(0.0008929446887365413-0.0002667812496136454j),(-0.00025329766590302395-2.2299532985569238e-06j),(0.03260486560869885-0.3093846042288074j),(-1.2409013337121364-2.021923939796852j),(-0.004413019346790351+0.004296151781531338j),(9.155664590950331e-05+8.085038658156094e-05j)
0.78,(0.6532822600391162-1.0733872380577958j),(-0.0013950685133248988-0.001716868138511126j),(1.1214874508053674+3.0971422168768403j),(-4.185091775813823e-07-1.8262491021735812e-06j),(4.299702742024861e-05-0.00014859376031915484j),(-0.000822445054400024+0.00022963072483402915j),(-1.718686752372327e-05-3.8663430889450265e-05j),(0.0006868392195482822-0.0011360333367571541j),(-0.005427168551634682+0.007618362237362497j),(0.0009307700497963698-0.0003027203316441352j),(-0.0002465195210789397+1.1893075867411884e-05j),(-0.012311200170601305-0.32437998183910866j),(-1.677325027101557-1.8799363024723943j),(-0.0039043040352210495+0.004919617838535685j),(0.00010463618263726975+6.65948240202334e-05j)
0.79,(0.4665955668960885-1.2284447024264789j),(-0.001710018230584257-0.001465595940247359j),(1.7256552992593064+3.000883774827283j),(-6.974876524794759e-07-1.6516988430278516e-06j),(4.857028820257032e-05-0.00015680062043341899j),(-0.0007385870400202747+0.00033855513606520125j),(-1.5485573403529826e-05-4.270886290842413e-05j),(0.00043863393439068984-0.0012756686842099315j),(-0.00392668330843824+0.00892349767871893j),(0.0009538543556249716-0.00033789235333638447j),(-0.0002347867491837879+2.518578657137128e-05j),(-0.06015772531704788-0.3292038996244746j),(-2.081763185396096-1.6316242949498778j),(-0.003261399274437751+0.005407018388208102j),(0.00011378693247948853+4.9529033787011986e-05j)
