t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00
0.32,(0.38398336594492194+0.11301601618638639j),(0.6851178076101524+0.6689624355015147j),(-0.05251009670792586-0.5837473078949436j),(-1.9260718680937015+0.6445951996095415j),(0.38114839173485515+1.4570784355493624j),(-0.5232936676579787+0.8384497107559504j),(0.7214594626340101+1.4799642800445572j),(-1.1377597639601182+0.2249514297875963j),(-0.9307820414532562-0.730151828571513j),(0.05588928267686125+1.1138185317370286j),(1.4185830796659964-0.29812834318894516j),(0.3643884270015315-0.7926804403965684j),(-0.1288505877338393-0.6738030155729947j),(0.4747267485065479-1.223004751152714j),(-0.666456567536889-1.6477819583683777j)
0.33,(0.38884241517289325+0.0917612703613381j),(0.6960191108355271+0.6573073366997217j),(-0.05861889559855301-0.5848713900686168j),(-1.926909031264281+0.6408810769472637j),(0.39183513973563733+1.4535828750319675j),(-0.5246053516216425+0.8366826259671802j),(0.734508453405252+1.472991809890512j),(-1.1394380294822208+0.21644538552423037j),(-0.9276521011638797-0.7349054197990457j),(0.06248729774416211+1.1125882897306423j),(1.41428361240561-0.31998449499380427j),(0.3542606200673246-0.7983296726370824j),(-0.1327529105195201-0.6743422139964866j),(0.4638165831406362-1.2279307126797827j),(-0.6699202912886824-1.6470322902316865j)
0.34,(0.39264433349362193+0.07058316642173637j),(0.7066138850747337+0.6456579528082196j),(-0.06463329066455667-0.5858781732776148j),(-1.9276543646646018+0.6375144977119329j),(0.40247705018545915+1.4500621952536668j),(-0.5257259198012645+0.8350747703271189j),(0.7474257083985583+1.4659986724397267j),(-1.1409950455777842+0.20839591294291626j),(-0.924763424336518-0.7392894357181865j),(0.06911708777105866+1.111362035686788j),(1.4097740355535753-0.3412587015156225j),(0.344401495751236-0.8036603180462463j),(-0.13665939853718728-0.6748056383974079j),(0.4531538064809146-1.2326267592696147j),(-0.6734791265211366-1.6462170359869261j)
0.35000000000000003,(0.3954275019880311+0.049552014961475016j),(0.716899603498442+0.6340163202763477j),(-0.0705589078131724-0.5867711707713235j),(-1.9283165570201464+0.6344825675664736j),(0.41307245036415324+1.4465154194260943j),(-0.526658626452469+0.8336242835006151j),(0.7602103151818931+1.4589847243882261j),(-1.1424387492218104+0.20079507201912167j),(-0.9221120829810363-0.7433204253009127j),(0.0757762054343015+1.1101380267697274j),(1.4050690114418685-0.3619585722949284j),(0.33478384768981373-0.80870388602411j),(-0.14057318415340708-0.6751965786425532j),(0.4427298474723362-1.23710641627545j),(-0.677125372222558-1.645339676571394j)
0.36,(0.39723021184518964+0.028732131771123645j),(0.726875100817808+0.6223830064674771j),(-0.07640079372074246-0.5875541418556526j),(-1.928904083012629+0.6317717910374289j),(0.4236203052947941+1.442941090094624j),(-0.5274075735084207+0.8323284453147723j),(0.7728621048952667+1.4519490005092295j),(-1.1437767718180853+0.19363277135494905j),(-0.9196929866089393-0.7470154434934304j),(0.08246267472439195+1.108914259692147j),(1.400182068660878-0.38209387822603375j),(0.3253766733329449-0.8134918515463994j),(-0.1444969225493831-0.6755185958103431j),(0.43253541315282773-1.2413827436210783j),(-0.6808513570286752-1.6444037458543137j)
0.37,(0.398090664362312+0.00818183783792742j),(0.7365405732844734+0.61075710965901j),(-0.08216341583271618-0.5882310918930357j),(-1.929425203279995+0.6293680715149608j),(0.4341202177436984+1.43933726913837j),(-0.5279777105798249+0.8311836757589484j),(0.785381652250736+1.4448897136531509j),(-1.145016439199179+0.18689676817913542j),(-0.917499882233371-0.750392051216174j),(0.08917499094558237+1.1076884707151569j),(1.395125602059404-0.4016765515570329j),(0.31614517394385555-0.8180556551645168j),(-0.14843279172095655-0.6757755221908245j),(0.42256048865328927-1.2454683358008407j),(-0.684649439222639-1.6434128306368356j)
0.38,(0.39804697094475844-0.012046540654192306j),(0.7458975786905648+0.599136259042379j),(-0.08785066236364959-0.5888062723024298j),(-1.929887964416422+0.6272567112528502j),(0.4445724282204249+1.435701537770187j),(-0.528374834954927+0.8301855349847556j),(0.7977702755324029+1.4378042547475993j),(-1.1461647716264454+0.18057266834705243j),(-0.9155253543691149-0.7534683153638071j),(0.09591212071587579+1.1064581356482903j),(1.389910872744659-0.42072068588980344j),(0.30706148450832516-0.8224239895019815j),(-0.15238249247860608-0.67597146128567j),(0.41279433719759545-1.249375321879629j),(-0.6885120067350224-1.6423705706520353j)
0.39,(0.3971371531060347-0.03190667232463859j),(0.7549490363686936+0.5875166147230486j),(-0.0934658422972056-0.5892841805593159j),(-1.9303001989723192+0.6254224113684965j),(0.45497781497777445+1.43203099653667j),(-0.5286055915995134+0.8293287233060609j),(0.8100300365964164+1.4306891927973793j),(-1.1472284837900222+0.17464392634070625j),(-0.9137608250325935-0.756262808805221j),(0.10267350196702618+1.105220469849505j),(1.3845480080822676-0.43924253618000536j),(0.2981294115600909-0.8266091019969425j),(-0.15634724844744768-0.6761107878081785j),(0.40322550010259417-1.253115365492885j),(-0.6924314771438208-1.6412806585649151j)
0.4,(0.3953991424677922-0.05135822059613859j),(0.7636992271919578+0.575892867720514j),(-0.09901168538615401-0.5896695601956985j),(-1.9306695254543274+0.6238492718429183j),(0.46533789401178977+1.4283222653181546j),(-0.5286774731569106+0.828607081198986j),(0.8221637408709712+1.4235402748844892j),(-1.1482139848088313+0.1690918452687381j),(-0.912196553741869-0.7587946103835366j),(0.10945904394453834+1.1039724282251822j),(1.379046001696266-0.4572605187370817j),(0.28934225509401507-0.8306181472559205j),(-0.16032780606723496-0.676198147683275j),(0.39384179677810705-1.2566996648466016j),(-0.6964002976744514-1.6401468399724035j)
0.41000000000000003,(0.3928707807598281-0.07036684369474364j),(0.7721537935739402+0.5642582399683012j),(-0.10449034215237146-0.589967400800106j),(-1.9310033483253193+0.6225207915207525j),(0.4756548190617559+1.4245714833287164j),(-0.5285988199479861+0.8280135893019069j),(0.8341749373563081+1.4163524261681235j),(-1.1491273782305786+0.16389557686642325j),(-0.9108216375166428-0.7610833049161024j),(0.11626912720766794+1.1027107052301273j),(1.373412713469103-0.4747952112242582j),(0.2806925346006843-0.8344582403050294j),(-0.164324434592359-0.6762384580475104j),(0.38463032472692965-1.2601389527173223j),(-0.7004109451997539-1.6389729134033548j)
