t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00
0.9500000000000001,(0.33612922284547053+0.22083868333297893j),(0.6767894356832542+0.5047290688381222j),(1.0053237648314044-0.19976847031875883j),(2.617638831793944+0.4052081510473124j),(0.2451282158637196+0.40940220623797974j)
0.96,(0.33100735364753947+0.21160043681746918j),(0.6651846775942367+0.495140875818327j),(1.0111944201996284-0.2006440843375427j),(2.5907194336056567+0.4510199220839586j),(0.2373648969595853+0.3959904830378631j)
0.97,(0.32608249457316774+0.2022965276862773j),(0.6537565226758061+0.4855829344701232j),(1.0171348694571725-0.20146324215507475j),(2.5611501012367595+0.49505603956798216j),(0.22979091008465186+0.3825892327799243j)
0.98,(0.3213610027504174+0.19294402007372272j),(0.6425170545074022+0.4760672453996042j),(1.0231365356787168-0.20222240334759653j),(2.529173431623484+0.5370387335975844j),(0.22241516126044855+0.3692133732119121j)
0.99,(0.31684839591429165+0.18356012815710335j),(0.6314770184882313+0.4666061078625382j),(1.0291903809908838-0.20291871655024246j),(2.4950621059182487+0.57673144690141j),(0.21524570011492916+0.35587771478052244j)
1.0,(0.31254933904214355+0.17416215793837256j),(0.6206458322181608+0.4572120380634954j),(1.0352869598893817-0.20355007070878958j),(2.459110876693461+0.6139421607910422j),(0.20828971991258974+0.34259693173283445j)
1.01,(0.3084676368292181+0.16476745029523301j),(0.6100316054254016+0.4478976894460666j),(1.0414164785304518-0.2041151395259379j),(2.421628328999242+0.6485249550049341j),(0.2015535616759535+0.32938553565852896j)
1.02,(0.3046062317921344+0.15539332518765175j),(0.5996411683407754+0.4386757755333382j),(1.0475688593358468-0.2046134181523578j),(2.382928827798829+0.6803798774628869j),(0.19504272198698785+0.31625785090521996j)
1.03,(0.3009672077771951+0.14605702687300665j),(0.5894801074330929+0.42955899573142237j),(1.0537338101104534-0.20504525125504122j),(2.3433250090200737+0.7094512970227457j),(0.18876186410830978+0.30322799129213446j)
1.04,(0.2975517986429568+0.13677566996226817j),(0.5795528074547558+0.42055996437377985j),(1.059900896745093-0.20541185170382506j),(2.3031210952037213+0.7357249837455944j),(0.182714832114092+0.2903098375564858j)
1.05,(0.294360401881165+0.1275661861408431j),(0.5698624987968858+0.4116911431636024j),(1.0660596184689473-0.20571530924996093j),(2.2626072298434483+0.7592242038808521j),(0.1769046677671921+0.2775170149909292j)
