t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004
0.5,(0.0024821577399571824-0.00578166550006064j),(-2.7391115813103314e-06-5.1837092320232405e-06j),(7.292822188054103e-05-0.001512595300771924j),(5.175468132007583e-10+2.4891400759997925e-09j),(-0.0002684315064875969-4.9006059690878865e-05j)
0.51,(0.0013013994879737022-0.006460108409525317j),(-3.6846654391371814e-06-5.216414869236789e-06j),(-0.00022580917137986754-0.00146851371651037j),(8.521793805631882e-10+2.2915349313189627e-09j),(-0.0002965672499263328-1.1176267993486068e-05j)
0.52,(-5.8081550389279266e-05-0.006903001649449559j),(-4.715689767530442e-06-5.109055223048464e-06j),(-0.0005047718730976569-0.001367680542500459j),(1.1422947213845706e-09+2.05183381891154e-09j),(-0.0003208470759403819+3.4327516938780395e-05j)
0.53,(-0.0015526706273111782-0.007065465894663611j),(-5.821396861376303e-06-4.8346789724481795e-06j),(-0.0007539477098216994-0.0012156628904521245j),(1.3844165063752286e-09+1.7771377938852355e-09j),(-0.0003397274758046635+8.761211430053009e-05j)
0.54,(-0.0031282129593349917-0.0069094368240057435j),(-6.985909206485337e-06-4.363789933832591e-06j),(-0.0009645128625623458-0.0010196180730639899j),(1.5754236379058575e-09+1.474533093353056e-09j),(-0.0003514761567220519+0.0001485830210033143j)
0.55,(-0.0047206398367757646-0.006405898306601305j),(-8.186793148849271e-06-3.6645866029255067e-06j),(-0.0011290537745700705-0.0007881225529076556j),(1.7125049274689757e-09+1.1513406856959124e-09j),(-0.0003541662862110926+0.00021688767146016405j)
0.56,(-0.0062569743604974325-0.00553721115974831j),(-9.393314972048995e-06-2.7035323223347607e-06j),(-0.0012417842754201085-0.0005309683034543603j),(1.793230404786327e-09+8.153697123534771e-10j),(-0.0003456789874738369+0.00029184719678644367j)
0.5700000000000001,(-0.007656800064282321-0.00429952689712152j),(-1.0564403679616133e-05-1.4464336888210568e-06j),(-0.0012987584862810618-0.000258927032516707j),(1.8157441283099207e-09+4.751347374267098e-10j),(-0.000323717332345757+0.00037237284410647113j)
0.58,(-0.008834290671632048-0.0027052229891392156j),(-1.1646374831153403e-05+1.397957501855421e-07j),(-0.0012980722944791053+1.6531559957867477e-05j),(1.7790711345696059e-09+1.4000310081575292e-10j),(-0.00028583803098862655+0.0004568667008941661j)
0.59,(-0.009700906040247514-0.000785262198635968j),(-1.2570520502337054e-05+2.0844668919178826e-06j),(-0.001240041151384878+0.00028357641489514586j),(1.68352472364627e-09-1.797667330763094e-10j),(-0.0002295081921505988+0.0005431070301550086j)
0.6,(-0.01016885674262741+0.0014086685348563683j),(-1.325075234910669e-05+4.409291222767406e-06j),(-0.0011273371468060397+0.0005304122457700047j),(1.5311880732281944e-09-4.731378193591818e-10j),(-0.00015219611946628547+0.0006281202371795048j)
