t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019,B01_A_0000
0.48,(-0.40692134962576737-0.1482133495765344j),(-4.6286693489916734e-05+0.003892311369273221j),(2.727016215771666e-06+2.1912446528393027e-05j),(0.0007432036639524338-0.00043202013505097553j),(-0.0008277151643608171-0.0007108516486539801j),(-0.00010893555672946629-5.651640098185374e-05j),(-9.706130263415045e-07+1.2572174245802088e-06j),(-0.004579885463494467+0.004017021361162731j),(1.1594157813267216e-08-1.0705609700493223e-08j),(-4.259140359917931e-08-7.16131142945642e-08j),(-0.000601845760328659+0.00027878874120782307j),(1.0690536268645022e-09-1.1542154686053939e-10j),(-9.50397081680708e-08+1.0794099291893985e-08j),(-2.2523163943350067e-05-8.109849953361805e-06j),(-6.014923715050619e-19-2.5348177089510484e-19j),(-4.0512167612589524e-10+3.205028300601867e-10j),(-0.00013159289677975374+8.459170587847743e-05j),(2.733667382068158e-05+2.8729072887072675e-05j),(2.4432961613575195e-09+4.6338174279066825e-09j),(-2.3531556921164585e-06-2.116073587682628e-06j),(-0.40735805771796385-0.14712241921042726j)
0.49,(-0.36702619792994706+0.25729190030329535j),(0.003524315933593112+0.0028956898283438335j),(1.7858479312842042e-05+1.960926336612459e-05j),(0.00030728273201036604-0.0010995393545509466j),(-0.0009204640336010157+0.00016675942084275417j),(-9.491191929346762e-05+1.2788704027196452e-05j),(-5.228124398417628e-07+1.6331518179841114e-06j),(0.0002822923840539593+0.006924560613623606j),(1.2123170554419928e-08-1.0904205580778651e-08j),(-8.628321729899333e-08-4.314444431074804e-08j),(-0.00032882813690521273+0.0006984597957503439j),(8.709560346777839e-10-1.1803968797957703e-10j),(-1.6951139810722535e-07+7.37866931395348e-08j),(-2.1622909214122713e-05+1.209810300317144e-05j),(-5.55068417319472e-19+6.074819513454795e-20j),(-8.856135455744469e-11+2.4047642562873e-10j),(-6.96121684300344e-05+0.0001472970030358459j),(4.61679006177721e-05+1.898894894291345e-05j),(8.989301920240051e-09+1.6028463746335823e-09j),(-4.681468449840922e-06-2.070618874542198e-06j),(-0.3660657749178873+0.25845391441527j)
0.5,(-0.00022839469314702744+0.46351554446969057j),(0.0051992709455315-0.0011020387559479844j),(3.0497711270277623e-05+6.621198343204889e-06j),(-0.0007323805280927533-0.001300493054853821j),(-0.0003702580212780994+0.0006749827445037161j),(-5.511448588679453e-05+4.9587609083634275e-05j),(7.52189614719447e-08+1.841515782463049e-06j),(0.006290032329290462+0.004666856690248961j),(1.302931817723293e-08-1.0982030162674573e-08j),(-1.1135750293850205e-07+1.1786152576791538e-08j),(0.00023290056836893235+0.0008477707505283856j),(7.038555926687687e-10-1.1435590242591548e-10j),(-2.5222071674004286e-07+2.3332249676182612e-07j),(-5.309237659030377e-06+2.494474512965911e-05j),(-3.9233394728198907e-19+2.7973742360111216e-19j),(2.2949416430461305e-11+1.1455913842393409e-10j),(1.8565849471056155e-05+0.00016486797977144626j),(6.259691097145008e-05-2.663635646418664e-06j),(1.1779154833951213e-08-9.941812075532823e-09j),(-8.087208080602464e-06-5.219645885970868e-07j),(0.001652451655456097+0.4632556406779249j)
0.51,(0.39131898123888803+0.275935963586483j),(0.002753216342759915-0.00550802237519631j),(3.304376092657022e-05-1.4187957538714992e-05j),(-0.0018587675996810046-0.0004939405567072557j),(0.00023131617460256992+0.0005582815444021851j),(-1.4281726888044843e-05+5.508491012124428e-05j),(7.616908194763011e-07+1.819615840622789e-06j),(0.008511100097770433-0.0022054296311491833j),(1.438375875867302e-08-1.088703984838116e-08j),(-1.0181450476525083e-07+8.158741462463068e-08j),(0.0008166329231446475+0.000540517864443616j),(5.641487018870659e-10-1.0542321813976878e-10j),(-2.7035025652335054e-07+5.529699257816115e-07j),(1.5523313154032582e-05+2.101039441257319e-05j),(-1.7809406516582755e-19+3.797408293142062e-19j),(3.2972744698552254e-11+3.533878182400598e-11j),(0.0001009443997205599+0.00013052001295228087j),(6.904849206567811e-05-3.668718872788929e-05j),(4.659651516506508e-10-2.5226211576900477e-08j),(-1.1923054799042182e-05+3.957043961000788e-06j),(0.39234358994470697+0.2738248884814858j)
0.52,(0.46554358873118545-0.16532262622430502j),(-0.003000108363892933-0.006429216766082544j),(2.1119143197880148e-05-3.464881274539504e-05j),(-0.0020844684771634415+0.0012789167815392857j),(0.00043115088518308654+0.00012065054468534352j),(1.3451247513007073e-05+4.114543452206354e-05j),(1.447895159715029e-06+1.5255322880249433e-06j),(0.004044081505597424-0.008929631711882755j),(1.6252434390721917e-08-1.0538876030984465e-08j),(-4.831257362699892e-08+1.4490031430422412e-07j),(0.0010556655186091867-0.00015086525597965406j),(4.488983662434724e-10-9.29092593911396e-11j),(-5.919965056855403e-08+1.0638262099641827e-06j),(2.6535670250381766e-05+2.4887068604122394e-06j),(2.8158147269375234e-20+3.6720255967302427e-19j),(1.7237003271741128e-11+4.6481955212061856e-12j),(0.00014883328364966183+5.909483391410635e-05j),(5.650830261333593e-05-7.852625968373842e-05j),(-2.9081951743997573e-08-2.761996533898167e-08j),(-1.4150462955727799e-05+1.2799771575659245e-05j),(0.4641617924064916-0.16782014847083718j)
0.53,(0.13862378402857575-0.48976266915452693j),(-0.007911048844389887-0.0018715963204004936j),(-2.9591107191237924e-06-4.4763321318792244e-05j),(-0.0006087364654589992+0.0030106854619034507j),(0.00024381127945518545-0.00018712887222374858j),(2.493769667381384e-05+2.102906966504034e-05j),(2.0230561627784336e-06+9.495552143317188e-07j),(-0.004885595125880884-0.009692766370278907j),(1.8699780424802764e-08-9.824565674513924e-09j),(4.572401782733666e-08+1.73900631027428e-07j),(0.0007260929367022064-0.0008712275928034987j),(3.5515160683013046e-10-7.86387647695532e-11j),(6.455625337954583e-07+1.6656501684246433e-06j),(1.9983700887810824e-05-1.8332301296177792e-05j),(1.8240304288983361e-19+2.7045103768715853e-19j),(5.525626073912167e-12-1.7032386226778992e-12j),(0.00015023620223688573-2.1025952661707126e-05j),(1.8083953547613143e-05-0.0001169673883258784j),(-6.193609891642819e-08+3.2234418433831022e-09j),(-1.0891818136571832e-05+2.624716603405793e-05j),(0.13522253495605333-0.4901910432982015j)
0.54,(-0.3277612130893846-0.40835216880199643j),(-0.007255198048671696+0.0057632747637465145j),(-3.025153237105647e-05-3.806491624126814e-05j),(0.002251072812863216+0.003078735613757424j),(-1.2848028110725739e-05-0.00018795303545593559j),(2.4021534985782257e-05+3.934455324498371e-06j),(2.363959887484058e-06+1.2897586092504764e-07j),(-0.011670242986491086-0.00250774263670457j),(2.1772276088521775e-08-8.603417986751397e-09j),(1.5897179307535178e-07+1.4166643989427396e-07j),(-5.422460839940525e-05-0.0011764891741724048j),(2.8012873044211757e-10-6.385492808614373e-11j),(2.1231995634557152e-06+1.9862358464057838e-06j),(-5.90388296734216e-08-2.7553216045155756e-05j),(2.6121130194382247e-19+1.2924527902337266e-19j),(1.038217274021108e-12-1.2330821891308499e-12j),(0.00011336934854179164-8.311085348217638e-05j),(-4.592375525821616e-05-0.00013528656634772662j),(-6.175217743083609e-08+7.011446100782933e-08j),(3.063887348703089e-06+4.142445617083883e-05j),(-0.33059409312848653-0.4054251778554046j)
0.55,(-0.5368939652766974+0.030249498842111113j),(6.030818262081454e-05+0.010507783471253777j),(-4.934380748050177e-05-1.5570991598214623e-05j),(0.004661446233378759+0.0004669169108918992j),(-9.200857315695316e-05-3.169205570180094e-05j),(1.6832394844761583e-05-6.318357235363135e-06j),(2.356112270752477e-06-8.413887859529019e-07j),(-0.0101316727422714+0.008205137106026963j),(2.550692799852627e-08-6.707956757238425e-09j),(2.5141958816823223e-07+3.405369036257437e-08j),(-0.0008505028168195777-0.000838625621653468j),(2.2102127052262853e-10-4.954235329578349e-11j),(4.421808216646581e-06+1.278829295152172e-06j),(-2.061033611684787e-05-1.894277572817003e-05j),(2.620364235675726e-19-1.5413187286412397e-20j),(4.3128354871843514e-14-3.8124193818549146e-13j),(5.846379882417536e-05-0.0001140599779427556j),(-0.00012378163158010186-0.00011631614493984068j),(8.573890981285326e-09+1.3703989234864466e-07j),(3.1894614108235086e-05+5.0405590419129836e-05j),(-0.5361933582964423+0.034991730407027306j)
0.56,(-0.29519289062901616+0.4655450262092002j),(0.009381162975504724+0.00725726736181468j),(-5.2259411563004795e-05+1.4527590876403797e-05j),(0.004177087143457641-0.0038719053011497242j),(-6.701838283244583e-06+5.4732130572735726e-05j),(8.543054676958554e-06-9.983002064136597e-06j),(1.9214811038912204e-06-1.8078388390524083e-06j),(3.3589513462169585e-05+0.014144340374511549j),(2.996025515327974e-08-3.947847511287126e-09j),(2.716266673160091e-07-1.3669752308417066e-07j),(-0.001182525327091851-3.249224773631883e-05j),(1.747912942874113e-10-3.6507297312580447e-11j),(6.946970139954237e-06-1.4742301902038654e-06j),(-2.83934232740459e-05+2.1927279401060904e-06j),(1.9968978155264772e-19-1.298370892197763e-19j),(-3.8097857042605107e-14-7.046031838231849e-14j),(4.931365325582005e-06-0.00011603063794258279j),(-0.00019209716398108643-5.0723941999423434e-05j),(1.4641291322613398e-07+1.3198115297089078e-07j),(7.413106013615375e-05+3.998112482392745e-05j),(-0.2903359910758807+0.4683118349950909j)
0.5700000000000001,(0.21084639064875077+0.5231006224412739j),(0.012916224262300581-0.0032865134936872005j),(-3.819912908604025e-05+4.143754564616812e-05j),(-0.00021057125216944039-0.0068532859851915045j),(7.64798089205222e-05+7.335653495474955e-07j),(2.0942521435619667e-06-9.262999627496576e-06j),(1.0516956637682473e-06-2.5702264592454303e-06j),(0.011891709383057624+0.009538553292838713j),(3.522644039446082e-08-1.0280278928101825e-10j),(1.7449022223357707e-07-3.2214420853269115e-07j),(-0.0008549242774150538+0.0007604116669506039j),(1.3866733730101703e-10-2.519873423673319e-11j),(8.048367798460872e-06-7.041651407413644e-06j),(-1.8221454419891904e-05+2.2624152766105015e-05j),(1.0000087766889766e-19-1.9323466535984469e-19j),(-1.4500748694295708e-14-6.860488598169938e-15j),(-3.6955786643792e-05-9.93860769967367e-05j),(-0.0002217755205494638+5.506530930301757e-05j),(2.7664061243274094e-07-9.215454350773561e-09j),(0.00011694263037215284-4.447524473831247e-06j),(0.21684239756440032+0.5207009786288908j)
0.58,(0.5593238592201973+0.1370989440253783j),(0.005993552985934562-0.013655218533965278j),(-1.2525807611184437e-05+5.7287292518418405e-05j),(-0.006354911607128867-0.005143103881484135j),(4.726773886306919e-05-9.4473519210787e-05j),(-1.638300353165904e-06-6.5846358461191956e-06j),(-1.6185340191342565e-07-2.9145465413046337e-06j),(0.015945204804691655-0.0035003350904141157j),(4.146309719806056e-08+5.083103087703341e-09j),(-5.232424633918498e-08-4.402265968640809e-07j),(-9.423064352244591e-05+0.0010770050679405315j),(1.1034686040077618e-10-1.576398789345773e-11j),(5.010035363228512e-06-1.491932301604057e-05j),(3.967959997643062e-06+2.9484691512059695e-05j),(-7.546964830538727e-21-1.9973019023782206e-19j),(-3.4672046937895824e-15+7.362945768931454e-16j),(-6.609752274658236e-05-7.357521163639112e-05j),(-0.0001892272969096522+0.00017590045347584763j),(2.6677300462252537e-07-2.7152105295963903e-07j),(0.00013299556310754655-8.914235652368268e-05j),(0.5614955799577012+0.13003253956722666j)
0.59,(0.44649540056440257-0.38076011432779194j),(-0.007882137221737667-0.014628124271209538j),(1.7760575050082567e-05+5.9373511886984e-05j),(-0.009493718804392225+0.0017665840905366653j),(-5.7686212760998973e-05-0.0001098435777939608j),(-3.048630027151058e-06-3.694988858472482e-06j),(-1.513768774837784e-06-2.665797312381828e-06j),(0.0077607153348481644-0.01554200538122889j),(4.8930683580407746e-08+1.1900394801150712e-08j),(-3.6237002515378007e-07-3.9791568179533605e-07j),(0.0006196223472054812+0.0007839152208361598j),(8.801562022740795e-11-8.154214553918646e-12j),(-4.991138966818079e-06-2.2103615057525264e-05j),(2.478000700568738e-05+1.7992591459544173e-05j),(-9.663772988316791e-20-1.5709262066961013e-19j),(-6.209814755124085e-16+7.290827065377005e-16j),(-8.462199515826698e-05-4.260098558364541e-05j),(-8.854948491801175e-05+0.00027314423433192486j),(1.026066832481575e-08-5.131388696027391e-07j),(8.570937402895767e-05-0.00019803946958902005j),(0.44184645476207424-0.38773356447443297j)
0.6,(-0.04839697396496961-0.5947040600046662j),(-0.018173162421460054-0.003112654974985523j),(4.761801395529283e-05+4.776867509217054e-05j),(-0.0056030890397976395+0.009814096869070973j),(-0.00012861053969494534-2.6504674577756866e-05j),(-2.9983578854593277e-06-1.471376017385008e-06j),(-2.700072264405914e-06-1.7531048570228825e-06j),(-0.007618027381457806-0.01671755266185642j),(5.805461396050791e-08+2.0660052771154622e-08j),(-6.406260872464446e-07-1.3460834240731025e-07j),(0.0008954581396538007+0.00013637590404928047j),(7.028709315197875e-11-2.2172954790738646e-12j),(-2.2605679302303798e-05-2.2574068725533495e-05j),(3.119729897951918e-05-5.665134309288308e-06j),(-1.492538737030893e-19-8.294447876407552e-20j),(-1.7657888673056052e-17+3.2157355510717846e-16j),(-9.212020680807992e-05-7.1893113539917205e-06j),(6.133586759265205e-05+0.0003076910164830123j),(-4.5486345551196797e-07-5.044199306720652e-07j),(-5.2035172012983595e-05-0.0002818669534981896j),(-0.057756868295740144-0.5956627360587058j)
0.61,(-0.5180044808510773-0.31338592036050616j),(-0.015100442391351243+0.013670008792073684j),(7.290292875299626e-05+2.160717887085121e-05j),(0.004519084370566809+0.012300207780975349j),(-0.00010338786059687244+7.811225746190729e-05j),(-2.2954291225712514e-06-1.2345899939678834e-07j),(-3.3739179973900036e-06-2.674712108250096e-07j),(-0.018689633542644017-0.004847811989167612j),(6.953507144410626e-08+3.172099721782231e-08j),(-7.268304631241811e-07+3.262868582289448e-07j),(0.0006723485284357203-0.0004478954886137148j),(5.6085715015680235e-11+2.2056901420434932e-12j),(-4.32309481525244e-05-8.88579532527482e-06j),(1.819551653247333e-05-2.7579167961380808e-05j),(-1.5843445266300582e-19+5.410570850200155e-22j),(7.2147114868058e-17+1.0870879085297438e-16j),(-8.528222852643576e-05+2.9711761070936874e-05j),(0.00021927400489677237+0.00025611832582872544j),(-8.800489348903905e-07-7.474156194357018e-08j),(-0.0002672412641849714-0.00026350523942415995j),(-0.5254860147590142-0.3060728768427526j)
0.62,(-0.5643400959492639+0.23944477969778707j),(0.0015222021439580957+0.02234191715557457j),(8.578774708803179e-05-2.0556322004940267e-05j),(0.014165464705909446+0.005104590199893446j),(-1.1830479076175703e-05+0.00012095891560350075j),(-1.4792315999590777e-06+4.990414709198933e-07j),(-3.234401821869212e-06+1.5120613948979498e-06j),(-0.016246419259623484+0.011943723419191712j),(8.444898530001644e-08+4.5446570008780845e-08j),(-4.778970741909002e-07+8.429833892600885e-07j),(0.00018628330698475476-0.0006892034717796278j),(4.4599638968166767e-11+5.315087239412673e-12j),(-5.512591246313142e-05+2.3139177808456743e-05j),(-7.796203555670276e-06-3.376546965357894e-05j),(-1.282331410706739e-19+7.22619152138905e-20j),(5.725328439499915e-17+2.1194660424195957e-17j),(-6.250656108475445e-05+6.067524361630848e-05j),(0.00033485243715720276+0.00012261725027686588j),(-8.875592253098087e-07+6.993006976663025e-07j),(-0.00047896090782432045-7.230291553951577e-05j),(-0.5634666977888576+0.250934283721221j)
0.63,(-0.1377014891901523+0.6039990785663404j),(0.020177243806868594+0.013875635228129218j),(7.289525103931817e-05-7.396841797094637e-05j),(0.014810244722686444-0.008641103317724512j),(7.124559258267129e-05+8.318808572636328e-05j),(-8.132229392014952e-07+6.574989175163606e-07j),(-2.1313105880499247e-06+3.1366794339374586e-06j),(-0.0010703312251738577+0.020893450631199517j),(1.0441455688672761e-07+6.208064150636844e-08j),(1.4276320613606634e-07+1.16811661455726e-06j),(-0.0002612078782294458-0.000575106605668181j),(3.527383335559542e-11+7.314820213942487e-12j),(-4.187033699831803e-05+6.752906058285327e-05j),(-3.155444718588422e-05-1.8482360489676552e-05j),(-7.130647701070883e-20+1.167581874979073e-19j),(3.07239838399451e-17-8.377971963748668e-18j),(-2.8146078480029964e-05+7.712511306370635e-05j),(0.000366697592363877-5.939926504469525e-05j),(-2.1370151496497932e-07+1.4079758819600858e-06j),(-0.0005417028494592194+0.00029375044973227005j),(-0.12749961702633061+0.6113560306312134j)
0.64,(0.4126646921984835+0.46915957356770266j),(0.025469892755079833-0.007735867369854241j),(2.2649569258557196e-05-0.00012026136630358542j),(0.003239274414018281-0.019083500060890417j),(9.519345824670346e-05+7.272833799411806e-06j),(-3.6829436899085087e-07+5.844425849077835e-07j),(-1.6620155045267262e-07+4.069467320223099e-06j),(0.015940262947973852+0.014513951519884171j),(1.3179330459828546e-07+8.152907535811261e-08j),(9.861968222700986e-07+1.0302959214478418e-06j),(-0.0005008071957412634-0.0002672898223506983j),(2.7711759552882233e-11+8.407480750106099e-12j),(8.43629184557574e-06+0.00010332094573603337j),(-3.718304802366039e-05+1.107718362137261e-05j),(-4.932513759532929e-21+1.270452021602307e-19j),(1.1509365551287031e-17-1.38864774197973e-17j),(8.029782680719251e-06+7.476241743617268e-05j),(0.0002986671645925615-0.00023736539580515923j),(1.0053229890334792e-06+1.4572455643702077e-06j),(-0.00030783490178681996+0.0007087756075015629j),(0.42588335039850433+0.4658724196689442j)
0.65,(0.6261196651350307-0.06063461964986881j),(0.010712310755109103-0.026675217736511082j),(-6.030546379497084e-05-0.00012965280930015238j),(-0.014059894752444457-0.01648650342231362j),(6.233562320006641e-05-5.150203356136531e-05j),(-1.1620086132095711e-07+4.346595971489405e-07j),(2.251617827080681e-06+3.829789383733385e-06j),(0.021833372604183512-0.0031290865978462513j),(1.69889883365187e-07+1.0295459636761738e-07j),(1.7024541190893096e-06+2.7534450405375314e-07j),(-0.0005229984225862221+6.800137659743672e-05j),(2.1612480453053594e-11+8.79014166244992e-12j),(8.91716460487292e-05+9.84737930431393e-05j),(-1.8180927502573756e-05+3.713100340523697e-05j),(5.360193662493332e-20+1.0521077602770882e-19j),(9.3968666644292e-19-1.0842217991845338e-17j),(3.555228035354607e-05+5.652109862307904e-05j),(0.00014682331517130984-0.0003577318088892784j),(2.12592623153369e-06+4.5311655444968234e-07j),(0.0002556112315627289+0.0009204216923456156j),(0.6326141812185802-0.07376805824185671j)
0.66,(0.3184524878332832-0.5461754327997207j),(-0.015017652531582564-0.02691494223711615j),(-0.00014535140072661237-7.760263231344357e-05j),(-0.024060912475486883+0.00021078707871945764j),(8.928284469275752e-06-6.617934750546739e-05j),(3.053804862492277e-09+2.889111949041253e-07j),(4.434011956219674e-06+2.174341948995351e-06j),(0.01170756319216366-0.019095466316209203j),(2.230670987857938e-07+1.2410668522931496e-07j),(1.8339698816674449e-06-9.83051161395803e-07j),(-0.0003824438989932731+0.0003421223629771886j),(1.673432092784582e-11+8.645923046873315e-12j),(0.00016510807943709332+2.7153092217885105e-05j),(1.630961725539683e-05+4.107616176465766e-05j),(9.111431394477833e-20+6.082106152150154e-20j),(-3.3913685063818222e-18-6.012571779710597e-18j),(4.852119687995927e-05+3.09130828444749e-05j),(-4.5943530800589955e-05-0.00038465529549555296j),(2.25047712392261e-06-1.3791568082785653e-06j),(0.0009582294613238831+0.0006613147056420195j),(0.3122192009925896-0.5605527673897893j)
0.67,(-0.2581708179106895-0.579549785477303j),(-0.03229574211261812-0.0056829452467871844j),(-0.00018390636945312078+3.207667858517729e-05j),(-0.016881888420698293+0.02045711454603888j),(-3.0005710906832437e-05-4.483147719283296e-05j),(4.546261706389293e-08+1.7723957684396638e-07j),(5.551855926108049e-06-7.365189116142693e-07j),(-0.007227179594207411-0.021381876555284042j),(2.966055039739374e-07+1.403145910446157e-07j),(1.022859063963265e-06-2.2879388105672704e-06j),(-0.00012142143491249925+0.000507579207871804j),(1.2874405105305864e-11+8.136894222063921e-12j),(0.0001792549897835217-0.00010405471840174222j),(4.443937435155204e-05+1.630336326350769e-05j),(1.012102388556923e-19+7.718501941961902e-21j),(-4.082770457327901e-18-2.030641187143963e-18j),(4.7789901523741516e-05+7.183322597739722e-06j),(-0.0002250489688003221-0.00031146201817229373j),(8.097127723119805e-07-3.069247417771549e-06j),(0.0013916010442638117-0.00014729593551840225j),(-0.2741474686491065-0.5843430871218978j)
0.68,(-0.6225868892608108-0.1288899653083366j),(-0.02623093041071272+0.022571179173322097j),(-0.00013728957846509748+0.00015595908122664257j),(0.00521158927952935+0.028568238756876727j),(-4.105455122432106e-05-1.184512573937504e-05j),(5.055616127571238e-08+1.0254475071964548e-07j),(4.86962541938069e-06-4.250505486995338e-06j),(-0.021024225793887973-0.008186659522570198j),(3.9598977529068886e-07+1.4313828911293436e-07j),(-7.28405382484269e-07-2.9249858419973073e-06j),(0.0002093495044042427+0.0005037181608004623j),(9.865823534624905e-12+7.39979633228778e-12j),(8.417759502685414e-05-0.0002382257045844116j),(4.4585890589105705e-05-2.421851716000224e-05j),(8.503714386252534e-20-3.985174127289771e-20j),(-3.088876300797743e-18+4.070560952282209e-19j),(3.889943589134092e-05-9.277827141310442e-06j),(-0.0003421742013089016-0.00016088228148169518j),(-1.8432000440684442e-06-3.3062878424962234e-06j),(0.001123711739377471-0.0012211214446750391j),(-0.6373616121761887-0.11917050421957794j)
0.6900000000000001,(-0.4681429720753348+0.43099332060566753j),(0.0007884958527869072+0.03620266149703735j),(-8.43955055855528e-06+0.00022700344729882903j),(0.02739971128066266+0.0157556292800524j),(-3.071149600345276e-05+1.2780056686030952e-05j),(4.1489629886290887e-08+5.7043003916503924e-08j),(2.0456251902783008e-06-7.267485164164082e-06j),(-0.019633707416840812+0.010722347434956807j),(5.253163218474339e-07+1.1899656826452888e-07j),(-2.8691396244154577e-06-2.2092615629666847e-06j),(0.000496274203853688+0.0002856035680185091j),(7.565646394744886e-12+6.538789452636914e-12j),(-0.0001126756297684955-0.0002815952114837623j),(1.1674318154859504e-05-5.3105567258726585e-05j),(5.0119663651913206e-20-7.082457589902118e-20j),(-1.645407291837559e-18+1.4477143629320882e-18j),(2.7818348906501598e-05-1.8167426009404206e-05j),(-0.0003690712521968361+2.424824859427081e-05j),(-4.290131603653424e-06-1.2910575121946e-06j),(2.452412931528824e-05-0.0019433367173649597j),(-0.47021980188779655+0.44957131644724163j)
0.7000000000000001,(0.07757048010054901+0.6314166389716509j),(0.029456784530932513+0.023312210369326517j),(0.000148150370633899+0.00019396367646656778j),(0.03220967914137243-0.0115680187759841j),(-1.2826544975152002e-05+2.2045793586654185e-05j),(2.96546113255638e-08+3.116273325055395e-08j),(-2.5858720043166342e-06-8.485803436017788e-06j),(-0.004414549969315378+0.021552535457047477j),(6.842532286095797e-07+4.809169455789312e-08j),(-4.3442284516407455e-06+8.889318285275746e-08j),(0.0005873012555953496-9.121581425020436e-05j),(5.8419580756097415e-12+5.637203097569836e-12j),(-0.00032209980243842154-0.00015801812693215075j),(-3.510251159973517e-05-4.642928395056517e-05j),(7.699724859683037e-21-7.968843727510653e-20j),(-4.0617008626549507e-19+1.5290626630445146e-18j),(1.7787409769964404e-05-2.2062376401951088e-05j),(-0.00030306206279024815+0.00019495864819448524j),(-4.669299372093102e-06+2.4361880821852836e-06j),(-0.0014947349695026734-0.001682586011239727j),(0.09131077550039593+0.6455442501655831j)
0.71,(0.5579353937757466+0.304027947136864j),(0.03779979992858032-0.007968337036887473j),(0.00025133177310575924+5.804964901774109e-05j),(0.013027999124552178-0.03451607410135083j),(1.854230669129237e-06+1.9203124010915556e-05j),(1.9519441661426107e-08+1.7140377845476446e-08j),(-7.89185705918306e-06-6.822186350487827e-06j),(0.013233928758479957+0.016891852199145258j),(8.635511619133328e-07-9.523327212030382e-08j),(-3.971604767013066e-06+3.3680516026623734e-06j),(0.00040153325594493065-0.0004528736194704713j),(4.575766392723269e-12+4.754500864091878e-12j),(-0.0004009402962381364+0.00011978220400301159j),(-6.210810269818196e-05-3.330329609833524e-06j),(-3.0529110399031703e-20-6.71875532709014e-20j),(3.7867118752475784e-19+1.1057587427083424e-18j),(9.15370321374485e-06-2.3422569822685985e-05j),(-0.0001648666172333627+0.0003089092428808483j),(-1.8976192666347693e-06+5.8527930158983994e-06j),(-0.0025682988557467496-0.0002572266556719522j),(0.578572144155933+0.30217749514630043j)
0.72,(0.5706059704574864-0.2766096952188275j),(0.018462082223967745-0.03478284298690948j),(0.00024002213193938018-0.00012021978505471059j),(-0.019098748420408214-0.03470604079496577j),(9.206713818567624e-06+1.1087275371452894e-05j),(1.213909991782029e-08+9.746947446586767e-09j),(-1.2080334580492738e-05-1.9094199165788857e-06j),(0.02074238660873382+0.000872309713606587j),(1.0397334823710734e-06-3.393958867371454e-07j),(-1.1034933794187906e-06+6.133730037937264e-06j),(1.506397251970416e-05-0.0006023776430924187j),(3.662904213278756e-12+3.926820861420772e-12j),(-0.00024074728776586689+0.0004170483063615523j),(-4.516538190504041e-05+4.8544394473176334e-05j),(-5.542334405247217e-20-3.9375469511880897e-20j),(7.018946319687555e-19+5.342008431675419e-19j),(1.1145880993454152e-06-2.3050231499899757e-05j),(8.064340671358808e-06+0.00033945597257937956j),(3.2099447685464283e-06+6.384776693499419e-06j),(-0.0023408554737455426+0.0017746471632807226j),(0.5826233243521495-0.29469846801446375j)
0.73,(0.10601036989195681-0.6234840059406442j),(-0.014943724094614821-0.036879976651253j),(0.00011169403948446005-0.0002517566585670982j),(-0.04150515097916758-0.008592229850079501j),(1.013894341670122e-05+3.215749303147636e-06j),(7.213245111205858e-09+5.851093047437958e-09j),(-1.3156442634047846e-05+5.49266046861781e-06j),(0.013599264754043197-0.014562086000846545j),(1.1707788951097082e-06-7.087436843832171e-07j),(3.6903205197571395e-06+6.468111983507805e-06j),(-0.00036795864107919547-0.0004554757983034581j),(3.014675435715243e-12+3.171036930049951e-12j),(0.00013099280161474577+0.0005312939941772354j),(9.111150493542041e-06+6.988306038487784e-05j),(-6.239821476310594e-20-5.4320283802533325e-21j),(6.778170888600835e-19+4.0038601788818986e-20j),(-6.516200089906139e-06-2.0461479341589397e-05j),(0.0001703758624719831+0.00028095784186506234j),(7.827803911437327e-06+2.6180826950741476e-06j),(-0.000566563653294565+0.0032771663869242944j),(0.09898598664836644-0.6450506934236331j)
0.74,(-0.44481517882716376-0.4467535306077937j),(-0.03790318029476478-0.012350337026611924j),(-7.346771863239835e-05-0.00026904516199996903j),(-0.03570853101526006+0.027707787822666113j),(7.535552619339039e-06-1.8297307223480953e-06j),(4.093955179159063e-09+3.730885692187987e-09j),(-9.64519636526186e-06+1.3380068524369539e-05j),(-0.002035480153410242-0.018862334340630747j),(1.1955077710869921e-06-1.213595237030533e-06j),(8.349946650330715e-06+3.030447091048689e-06j),(-0.0005452238832020794-0.00010283225900848799j),(2.556766599789447e-12+2.4902706221500324e-12j),(0.0005212861435960954+0.0003256073364418649j),(6.324962016584879e-05+3.960626137248595e-05j),(-5.2034027877488164e-20+2.5058968076464744e-20j),(4.582739351435992e-19-2.710343934399452e-19j),(-1.2757210619884333e-05-1.5226954792989376e-05j),(0.00027901563647039264+0.00015059275562167746j),(8.487072944165789e-06-4.226365494903285e-06j),(0.002063172113658417+0.0031398734284202026j),(-0.46699043003543395-0.4548115970520336j)
