t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B00_z_0010_00,B00_z_0010_01,B00_z_0011_00,B00_z_0011_01,B00_z_0012_00,B00_z_0012_01,B00_z_0013_00,B00_z_0013_01,B00_z_0014_00,B00_z_0014_01,B00_z_0015_00,B00_z_0015_01,B00_z_0016_00,B00_z_0016_01,B00_z_0017_00,B00_z_0017_01,B00_z_0018_00,B00_z_0018_01,B00_z_0019_00,B00_z_0019_01,B01_z_0000_00,B01_z_0000_01
0.92,(-0.07570964633148872-0.2551093785682372j),(-0.17769036259614496+0.030840919194897082j),(0.20328015894118193-0.444224126841171j),(-0.035741996097971906+0.7146747266654985j),(0.9606741168408752+0.18551750920110927j),(0.39843715700140225+1.0720155491160948j),(-0.29638975841861864+0.03462550011421062j),(0.05870371737019318+0.30805311361343435j),(0.6355616124784152+1.2867279082462537j),(4.7727023689316805+2.7925570020666366j),(1.9959479078970042+4.892937725847306j),(2.2958957533896363-1.3984986490826194j),(-0.8458270923716807+0.9391585731543713j),(-0.34337425484477885-0.46980752857400676j),(0.43408341772008036-0.3363049568419949j),(-0.13114252901689852+1.0335008222502637j),(-0.37876166060264-0.43077298318442303j),(0.37898147723755443-0.8851760101298528j),(-0.8352662705709223-0.37341543866023424j),(-0.1056858952611968-0.7003362401491956j),(-0.32516935202293124+0.596863676849118j),(0.8886387459377656+1.016855484720847j),(-0.8949497791581937+10.370097144751808j),(-3.373277177081054-0.7554751058514475j),(0.19414341879672056-0.14642803688434292j),(0.18153665642634711-0.41003598306576106j),(0.48718550851286696-0.6548657223761016j),(-0.6685650610258873-0.3413280771842425j),(-46.05117046921828+27.849622881944956j),(-24.208081416304953-1.5997958637615164j),(-15.616262575281832+18.024787202368266j),(16.781161355147596+49.04611640758817j),(0.909956705834903+1.6064825590537462j),(1.0061053323849316+1.785152206453436j),(0.5335454599092189+1.225143038475835j),(-0.4881120217940834+0.8104242139850265j),(0.11947966826891646+0.5890924490823214j),(-1.4437148781775146-0.32695784052416477j),(0.171411758147074+0.16015764618589126j),(0.3848743859888568+0.10373618467246949j),(-0.07570964633148872-0.2551093785682372j),(-0.17769036259614496+0.030840919194897082j)
0.93,(-0.050408642143192975-0.2641934803590258j),(-0.17697335217964455+0.034533256772444225j),(0.22192064730161828-0.43907518070978435j),(-0.05501296205378014+0.7485537316245925j),(0.9641212503032884+0.20804918498752434j),(0.414407299877061+1.1291147843527032j),(-0.30507266117608084+0.009183016163501588j),(0.034263764243472834+0.33028631177826745j),(0.7518632325966781+1.3683274964436398j),(5.436821324589032+2.0546924688817843j),(2.3921225411484297+4.5843781069622995j),(2.0915188270259444-1.413543975895626j),(-0.8393268313959448+0.9171277582441201j),(-0.33610420556607923-0.4695320169522599j),(0.44416681035947403-0.32434081491367867j),(-0.13738898785195103+1.0835739690856827j),(-0.3421725490760545-0.4315904495583037j),(0.38372607959200045-0.8514088310432183j),(-0.8019535974448746-0.3928920695444654j),(-0.07653790762832029-0.6843051414233965j),(-0.35652731240172136+0.618338847716396j),(0.9322512107352768+1.0250678385187086j),(-0.9703810689237757+10.152321071547991j),(-3.412046533198227-0.9751567847476987j),(0.20967048683653902-0.1255434392966375j),(0.2070323220976923-0.3703780225131747j),(0.519125937395214-0.6362594078756404j),(-0.6399102568938908-0.33805450314643015j),(-45.64355856460979+28.075873306168805j),(-24.517682848601144-3.0788111446490802j),(-17.2691073246882+17.699256208648816j),(17.700300342996115+48.919774796310904j),(0.9639241825780458+1.6580482074884513j),(1.1060590517132811+1.8397953195263286j),(0.5162661871777772+1.2450258615156666j),(-0.5335089920222384+0.8422982065652279j),(0.08470512637143014+0.5705034965602729j),(-1.43927421364759-0.3168989888195492j),(0.1560311103933328+0.17964625969357761j),(0.3751813845993136+0.15182330660090038j),(-0.050408642143192975-0.2641934803590258j),(-0.17697335217964455+0.034533256772444225j)
0.9400000000000001,(-0.02443970843366757-0.2707402515507689j),(-0.17651284983442245+0.0386913555859428j),(0.23976153037552067-0.43358056538086226j),(-0.07362026852766045+0.7833257617412313j),(0.9678700845150039+0.23086233096824985j),(0.43572388974844095+1.1872752161987208j),(-0.31199743722789963-0.01726074301791567j),(0.00886899362262584+0.35076656707952086j),(0.8953130311665847+1.415337887415664j),(5.895515897984447+1.0832287158630773j),(2.734177236565371+4.255531686468512j),(1.9047472749237335-1.402639896364269j),(-0.8336879310539757+0.8945660095916629j),(-0.3283958466299996-0.46903014019840666j),(0.4532624724683302-0.312543992947687j),(-0.14040512100927766+1.136609255158464j),(-0.30612838014520816-0.43180156050004453j),(0.39034053061304536-0.8174011731925196j),(-0.7686277470113935-0.41172402048880746j),(-0.04736594418774433-0.6673880705581101j),(-0.38725006367913634+0.641638971686595j),(0.9793695453920864+1.0292529862574857j),(-1.0477548886471777+9.89399200143379j),(-3.417686835900843-1.188706901871916j),(0.222913373520191-0.1032586280807096j),(0.2302448606012602-0.32916710326189674j),(0.5494662585243987-0.6163356772279148j),(-0.6115220078584075-0.33396048449152765j),(-45.208681888800434+28.27369077527984j),(-24.776799126576982-4.537739760584314j),(-18.886733937312158+17.33049046127916j),(18.608449684568928+48.7374660764595j),(1.0269062334284331+1.7104078038705386j),(1.2199229349751621+1.8900737208034977j),(0.4971808927114439+1.2656773518866622j),(-0.5798205432694887+0.8748551890430506j),(0.05086158176798312+0.5499902030860855j),(-1.4349714624778906-0.30741872776404267j),(0.1385667942171884+0.19781587877990617j),(0.3626010063356511+0.1990328437997984j),(-0.02443970843366757-0.2707402515507689j),(-0.17651284983442245+0.0386913555859428j)
0.9500000000000001,(0.0019359888657199988-0.2747152386786103j),(-0.17638919863231362+0.043300952190412974j),(0.2567880858320119-0.4278122004764893j),(-0.09135348225101493+0.8192012451414984j),(0.9720097077991092+0.2539854731418441j),(0.46316913331078496+1.246410011506594j),(-0.31707957800158176-0.044567441662622914j),(-0.01728671526410698+0.3695163532490207j),(1.0500531216566549+1.4153497943721327j),(6.0425907263989656-0.023918019739685395j),(3.026535036400247+3.9150076997533163j),(1.7366245119712371-1.3713503033811267j),(-0.82885305904743+0.8714937501306321j),(-0.3202479325398623-0.468301250491398j),(0.461366335548278-0.30095579676736217j),(-0.13964006155165082+1.1929029012407266j),(-0.27063352662339807-0.43125787701331647j),(0.39861793741046764-0.7830877069723994j),(-0.7352750042725203-0.42985887780350907j),(-0.018212655392270027-0.6495377669837493j),(-0.4170824071544462+0.6670102475873706j),(1.0297833116091166+1.0289353177629512j),(-1.120329519998444+9.599489386148496j),(-3.3919104406415737-1.390369409075174j),(0.23375950940561957-0.0797807638609101j),(0.25091398715610314-0.2865039393972902j),(0.578205521928773-0.5952198231972471j),(-0.5834727416326859-0.32901665137345343j),(-44.748318331930385+28.442547047464522j),(-24.98885638167691-5.9713074272690685j),(-20.465692723657828+16.92585131019487j),(19.502810462587487+48.50173238999825j),(1.1001971506279267+1.7627297397826642j),(1.3488575234563878+1.9339785664132474j),(0.47613176959288217+1.2871070221095429j),(-0.6270631642596882+0.9082593034480922j),(0.018108401356292273+0.5275588698080333j),(-1.4307529264267256-0.29849004140549973j),(0.11913242082657138+0.21448740976091732j),(0.3472802205996776+0.24517860075494297j),(0.0019359888657199988-0.2747152386786103j),(-0.17638919863231362+0.043300952190412974j)
0.96,(0.02845843475351039-0.2761111906413378j),(-0.17668071996806187+0.04833741473401777j),(0.2729876305846715-0.42184075723681647j),(-0.10798694456360108+0.8564047862199761j),(0.9766460525624931+0.27744460415199235j),(0.49760225281621945+1.306342462411682j),(-0.32024951269213525-0.0725910212189568j),(-0.0440185888300106+0.38657741860852657j),(1.194521709009798+1.3666136777088636j),(5.841199592096065-1.1158356233392444j),(3.2741098362016903+3.5691437798482193j),(1.5871293931477428-1.3244161224172315j),(-0.8247635843980587+0.8479293289979765j),(-0.3116597084427286-0.46734287257567736j),(0.4684711546930323-0.2896132782845369j),(-0.13445828018101855+1.2527470904554459j),(-0.2357042467395203-0.4298268373618787j),(0.4083519123581538-0.748398262420436j),(-0.7018866136315511-0.44724539693677035j),(0.010871538262969969-0.6307059006213098j),(-0.44573024427654667+0.6946835573926533j),(1.0831887776474547+1.0236244510359296j),(-1.1823420779289902+9.27469699059548j),(-3.3378881206795867-1.5751022207514906j),(0.24211316503438265-0.05532853852562858j),(0.2687974614489104-0.24252656443037093j),(0.6053512076713585-0.573029757226788j),(-0.5558369485017111-0.32319682226085433j),(-44.264393140041534+28.58187242151476j),(-25.157717642992942-7.374682315153895j),(-22.00334904417348+16.492682497021864j),(20.380573984063567+48.21532088569353j),(1.1851799213980998+1.813827489479178j),(1.4938842986855743+1.9689705029503788j),(0.4529485773670464+1.3093211232912547j),(-0.6752654465045776+0.9426819766198734j),(-0.013389380148500508+0.503231404088407j),(-1.4265659157628032-0.29008782065411887j),(0.09785567935670454+0.22949425793787706j),(0.3293973617679293+0.2900987712154321j),(0.02845843475351039-0.2761111906413378j),(-0.17668071996806187+0.04833741473401777j)
0.97,(0.054871574470738455-0.2749471467847671j),(-0.17746229620694434+0.053766098189407384j),(0.28834899396551733-0.41573554145370706j),(-0.12327566546964051+0.8951745143695434j),(0.9819047101543311+0.3012608831539378j),(0.5399638726655661+1.3667788116921107j),(-0.32145335824638965-0.10117956836341978j),(-0.07115307794748932+0.4020085550705204j),(1.3100346447135622+1.2797281536014127j),(5.34510938168843-2.048137996937599j),(3.4817808674510213+3.222417559035216j),(1.4555598638649134-1.2657440634667185j),(-0.821359770921501+0.8238893292159687j),(-0.30263099295460727-0.4661506694548972j),(0.47456562806278807-0.2785486942506053j),(-0.1241230518066378+1.316421803408953j),(-0.20136841693260407-0.42739144420826025j),(0.41933612667623715-0.7132603803135296j),(-0.6684588994676384-0.46383384116879456j),(0.03982837016801452-0.610844059838678j),(-0.4728578090842415+0.7248646991716191j),(1.1391782674201867+1.012829683327338j),(-1.2294773228815485+8.926430010276416j),(-3.2598691024941835-1.7389753716872676j),(0.24789674697622716-0.030130476594591237j),(0.28367720994813794-0.19740832568088734j),(0.6309180026295329-0.5498757984567565j),(-0.5286911356674193-0.31647847596650974j),(-43.75896464563188+28.691056165629018j),(-25.28758496435522-8.743509449118532j),(-23.497865381689433+16.038233911387245j),(21.239042690781258+47.88123302498658j),(1.283266995936192+1.8620630491329369j),(1.6557406209795782+1.9918964924863187j),(0.42744719905070927+1.3323218150416898j),(-0.7244693479493651+0.9783016800569496j),(-0.043462825443552754+0.4770465867698704j),(-1.4223589262252074-0.2821887651917684j),(0.07487673892298834+0.24268391820956495j),(0.3091571726994668+0.3336596766965325j),(0.054871574470738455-0.2749471467847671j),(-0.17746229620694434+0.053766098189407384j)
0.98,(0.0809258861161097-0.2712672503042769j),(-0.17880402457280034+0.05954286868687334j),(0.3028619478184038-0.4095643975624858j),(-0.13695042813511324+0.9357613527532797j),(0.9879340255994973+0.3254473885103923j),(0.5912774661795008+1.4272746644393366j),(-0.32065340256844377-0.13017725841171768j),(-0.09852949163867263+0.4158832402620596j),(1.3876172850664865+1.1722766643208666j),(4.667955674601066-2.737554938502324j),(3.654084243334064+2.877858188729778j),(1.3408208148372174-1.198474462458086j),(-0.8185809622189345+0.7993888764291189j),(-0.2931622717613712-0.464718414916578j),(0.479633409553764-0.2677887709473032j),(-0.10777703829796846+1.3841834231398682j),(-0.16766504183074266-0.42385007128377256j),(0.4313640562615614-0.6776018087419903j),(-0.6349933336266022-0.4795763323250902j),(0.06859176302592469-0.5899048162604449j),(-0.49808655951684344+0.7577230672675391j),(1.1972312643584577+0.9960785166166729j),(-1.2590326488698864+8.561932856305814j),(-3.162764259255487-1.8793846078481236j),(0.2510519092595023-0.004423097412042811j),(0.29536519632697605-0.15135462183721832j),(0.6549266408260812-0.5258605837888386j),(-0.5021137181983202-0.30884323201965136j),(-43.23420841538473+28.76944887764844j),(-25.3829016337224-10.073931054684284j),(-24.94805816000178+15.569472322662557j),(22.075498594755313+47.50257751131698j),(1.3957979912845628+1.905242557772375j),(1.8346734196592296+1.9989269103190948j),(0.39942796489871957+1.3561061962134735j),(-0.7747316950114397+1.0153037156945663j),(-0.07194109008202232+0.4490611415563736j),(-1.418081839048499-0.274771290466712j),(0.050346449601921535+0.2539193590148954j),(0.28678544822171+0.3757584220352409j),(0.0809258861161097-0.2712672503042769j),(-0.17880402457280034+0.05954286868687334j)
0.99,(0.10638069626131091-0.2651393378745508j),(-0.18076996555369707+0.06561478431719599j),(0.31651658799109766-0.4033936281162691j),(-0.14871199803031254+0.9784281326012941j),(0.994908369045001+0.350004603635002j),(0.6526458223879369+1.4871937682939536j),(-0.31782831528852346-0.15942633130170172j),(-0.126001165668012+0.4282872443094072j),(1.4285042071565488+1.0611059599317771j),(3.9290299736208096-3.173939666296759j),(3.795057894777244+2.5374111581112073j),(1.2416273590339133-1.1250845421596585j),(-0.8163657607261763+0.7744419462092157j),(-0.2832548020588649-0.4630379735701055j),(0.4836520007068221-0.25735370323486395j),(-0.08441956977946068+1.456248829406198j),(-0.13464356689475004-0.41911635490507276j),(0.4442289622722394-0.6413529376317214j),(-0.6014965538834702-0.4944272082432949j),(0.09708799308076488-0.5678428602124795j),(-0.5209963921667214+0.7933790053607249j),(1.2567085484273182+0.972939325445748j),(-1.2698822391156992+8.188454569921017j),(-3.0517404352158053-1.9951078804984483j),(0.2515404638532823+0.021551045210835337j),(0.30370874709839507-0.10459842540772865j),(0.6774028060072864-0.5010790949297302j),(-0.47618485194576626-0.3002773307103083j),(-42.69239953934633+28.81636682456713j),(-25.448256975361577-11.362593351563959j),(-26.353378665677837+15.093064808330377j),(22.88736210660825+47.082644469122826j),(1.5238787903138413+1.940517553844411j),(2.0301609783801906+1.9855412838125832j),(0.3686737034335139+1.380665159932202j),(-0.8261259923416192+1.0538800150828216j),(-0.09865362687251253+0.4193505617958089j),(-1.4136861401893432-0.2678154368812436j),(0.024424371223203945+0.26308017731188554j),(0.26252352865765344+0.4163244486714092j),(0.10638069626131091-0.2651393378745508j),(-0.18076996555369707+0.06561478431719599j)
1.0,(0.13100622826185668-0.2566533558099592j),(-0.18341700677589304+0.07192091655124125j),(0.3293026508586701-0.39728791911357486j),(-0.15822429513004002+1.0234484266923762j),(1.0030313731209586+0.3749142362303239j),(0.7252395638976651+1.5456580140663951j),(-0.3129730879385191-0.1887690579124686j),(-0.1534362007407099+0.43931627929779893j),(1.439998022671386+0.9576642756154709j),(3.2160600435497115-3.395954842838878j),(3.9081865852415376+2.2022395182754027j),(1.15664093470516-1.0475003069511226j),(-0.814652203262323+0.7490616679782747j),(-0.27291072799824495-0.4610992893014507j),(0.4865915184965249-0.2472557938079879j),(-0.05288024173122978+1.5327732292002818j),(-0.10236301811334941-0.4131191370968353j),(0.45772414294557645-0.6044491556359542j),(-0.5679803222294681-0.5083433873746382j),(0.1252360121505553-0.5446161867360876j),(-0.5411298704862683+0.831890290871742j),(1.3168508547983224+0.9430478530373853j),(-1.2623212710711267+7.812743137123672j),(-2.931792477411508-2.086206576541655j),(0.24934507470637413+0.04754542601284231j),(0.3085950480129289-0.057394709290174664j),(0.6983761089438782-0.4756187748377977j),(-0.4509861928813295-0.290772106165111j),(-42.13589335760048+28.831097859351633j),(-25.48829607342465-12.606641225756245j),(-27.71382363553039+14.615301450049275j),(23.672196526244235+46.624854898777336j),(1.6681475641286359+1.9643167811030167j),(2.240561609935971+1.9466051534194007j),(0.3349474727654501+1.4059820247401442j),(-0.8787446216176793+1.0942289328457204j),(-0.12343256866093229+0.38800965183792147j),(-1.4091251544100842-0.2613027784770647j),(-0.002723338898201755+0.27006350705707843j),(0.2366228786775924+0.45532002694392365j),(0.13100622826185668-0.2566533558099592j),(-0.18341700677589304+0.07192091655124125j)
1.01,(0.15458538208919276-0.24591965065548396j),(-0.18679386042364135+0.07839329357352535j),(0.3412087552279321-0.39131026258939644j),(-0.16510636032038453+1.071104955151312j),(1.012538755351577+0.4001308922658295j),(0.8102734932848522+1.6014878686769092j),(-0.30609871226793806-0.2180496560329219j),(-0.18071781472325604+0.44907375445176556j),(1.430914237722805+0.8675155215988588j),(2.5770437600804454-3.4594130935057152j),(3.996407281441019+1.8729611685912844j),(1.0845556236202125-0.9672025178440609j),(-0.8133779352413159+0.7232606217893336j),(-0.26213320635654097-0.45889038303158824j),(0.48841334668960407-0.2374976032037567j),(-0.011788585344364243+1.6138192776705498j),(-0.07089099479158685-0.4058024296816644j),(0.4716434847703797-0.5668331043133623j),(-0.5344614297054583-0.5212847328510746j),(0.15294794292697253-0.5201873179045485j),(-0.558000101068679+0.8732384872812637j),(1.376783647255167+0.9061367058556489j),(-1.2377745639684188+7.440633621579962j),(-2.807394941460956-2.1537931442518294j),(0.2444697216526509+0.07331169137277396j),(0.3099545581389538-0.010013971776575526j),(0.7178791370884473-0.4495597276443493j),(-0.4266005866142162-0.28032444219385866j),(-41.56710493977902+28.812908471065743j),(-25.507636267306292-13.803702515263977j),(-29.029803014082397+14.141997466912182j),(24.42762974006541+46.13267712059185j),(1.8284610442719655+1.9723483266372952j),(2.4627085987604973+1.8765943355911943j),(0.2979899165510884+1.4320308782833275j),(-0.9327015253364442+1.1365550067078327j),(-0.14611524961315214+0.35515274405488073j),(-1.4043542894113312-0.25521632870618666j),(-0.030926146991959766+0.2747846687225924j),(0.20933995809956638+0.49273977973127725j),(0.15458538208919276-0.24591965065548396j),(-0.18679386042364135+0.07839329357352535j)
1.02,(0.17691525249683482-0.23306717821102277j),(-0.19094020892937924+0.0849579444632833j),(0.35222154528428723-0.3855218606461885j),(-0.16892290546643657+1.1216873291508038j),(1.0237000866474957+0.4255710703542564j),(0.908964930526087+1.6531333360480784j),(-0.29723161197281495-0.24711611812870354j),(-0.20774435935556895+0.45766868552836093j),(1.4089108930388816+0.7920266987507733j),(2.029339031897223-3.4166303979461943j),(4.062147531189177+1.5498296187026481j),(1.0241494067587986-0.8853201064732998j),(-0.8124803857387771+0.6970511268673439j),(-0.2509265426330132-0.4563973611046478j),(0.4890687070251081-0.228069436956335j),(0.04046009656065802+1.699314118924924j),(-0.04030253195982245-0.39712536913296265j),(0.4857823367661718-0.5284567827608178j),(-0.5009615512764164-0.5332144100908355j),(0.18012976406698722-0.49452453814355496j),(-0.5711027251953692+0.9173161981569227j),(1.4355295266818497+0.8620663898264185j),(-1.1984341129173919+7.076912313800367j),(-2.6823274140639843-2.19975314614918j),(0.2369399229209699+0.09860185691559693j),(0.3077631415921702+0.03726488097758827j),(0.7359465808518112-0.422974981992694j),(-0.4031116801799377-0.26893720090890494j),(-40.988487610572925+28.76105169356571j),(-25.510791866649477-14.951863814747075j),(-30.30212208493719+13.678524756372765j),(25.151496253686638+45.60966914480701j),(2.003513562433309+1.9597269206045596j),(2.6915062846133426+1.7700288562037387j),(0.2575161790545649+1.458774549580024j),(-0.9881354895474274+1.1810686448139114j),(-0.1665468162840045+0.32091355863930554j),(-1.3993312847922856-0.24954044124692126j),(-0.060011439474108835+0.27717755210476475j),(0.18093155344757456+0.5286093683070254j),(0.17691525249683482-0.23306717821102277j),(-0.19094020892937924+0.0849579444632833j)
1.03,(0.19780839898579936-0.21824166993231145j),(-0.1958860099213273+0.09153602138314405j),(0.3623247132850683-0.3799819928081818j),(-0.1691731884310724+1.1754888360170832j),(1.036818492362455+0.45109895255717286j),(1.0224662704753362+1.6985973053111303j),(-0.28641284862885297-0.27582191710318454j),(-0.2344290542314287+0.46521379256164824j),(1.3796440368526628+0.73028721034233j),(1.5722472475964597-3.3084029576664378j),(4.107379160163687+1.232868243120974j),(0.9743117398610462-0.8027090427134452j),(-0.8118969452056582+0.6704455200978758j),(-0.23929633730940209-0.45360443572961096j),(0.4884972349869263-0.21894593823167657j),(0.1057419529985584+1.7889897205572989j),(-0.01067885928324857-0.3870621368739161j),(0.49993871581255345-0.48928346570727704j),(-0.4675070415492477-0.5440992357732616j),(0.2066822079534029-0.4676031071401997j),(-0.5799321896605564+0.963916528041768j),(1.4920294726970253+0.8108557530462076j),(-1.146917504053605+6.725227802404399j),(-2.5595764457521386-2.226447672321677j),(0.22680270823379378+0.12317053194357393j),(0.3020427879109748+0.08416198767256988j),(0.7526144349235994-0.39593080821874704j),(-0.3806034583738322-0.25661961209825745j),(-40.40251049227671+28.674777912482j),(-25.502109489585283-16.04964053090294j),(-31.531891408185956+13.22977902382649j),(25.841817801027997+45.05942574585812j),(2.1904357641323022+1.92128843196606j),(2.9196318409597697+1.6221638946164445j),(0.21321230282330106+1.4861620988403483j),(-1.0452141615175627+1.2279856851642863j),(-0.18458287191169287+0.2854446814056315j),(-1.3940164602866456-0.24426070428257177j),(-0.08980686226344221+0.2771947295322117j),(0.15165069522923014+0.5629834963246194j),(0.19780839898579936-0.21824166993231145j),(-0.1958860099213273+0.09153602138314405j)
1.04,(0.2170938862411921-0.20160378976624552j),(-0.2016509674149467+0.09804497583667258j),(0.37149787298106723-0.37474782167187737j),(-0.1652779036580345+1.2328018536619696j),(1.0522267589608245+0.47650861969562136j),(1.1517619601541673+1.735356293438136j),(-0.2736971274317497-0.30402756082599175j),(-0.2606994905483193+0.4718238078125494j),(1.346901734586259+0.6804642998562778j),(1.1966428463771273-3.163466222949277j),(4.133676493200102+0.9219679864273168j),(0.9340557442815719-0.7200171473869231j),(-0.8115651473395031+0.6434564212553264j),(-0.22724964116045354-0.4504939589233125j),(0.48662572950818067-0.21008148242661814j),(0.18624280191747294+1.882300231955663j),(0.01789392396709314-0.3756018206319263j),(0.5139148411615306-0.4492893739450481j),(-0.4341286849074719-0.5539100086816638j),(0.2325018740659568-0.4394064227850384j),(-0.5840020166260806+1.0127262383546698j),(1.5451734912681603+0.7527090725960367j),(-1.0859710498190647+6.388141561038918j),(-2.4413450403807984-2.2364497390363094j),(0.21412633816803905+0.1467771413902643j),(0.2928608750434047+0.13040398750290727j),(0.7679192726707712-0.36848707851034634j),(-0.35915970566467653-0.2433876114994128j),(-39.811636230256454+28.55333825176985j),(-25.485708988593125-17.09594274893521j),(-32.72041384226637+12.800133695949697j),(26.496730163927964+44.485517508675954j),(2.3844678520996294+1.8521393036692504j),(3.137499387157917+1.4299326749998766j),(0.1647310208212761+1.5141256778102157j),(-1.1041389652900162+1.2775267497958909j),(-0.20009209103888473+0.2489166448535708j),(-1.3883729575046329-0.23936382719550808j),(-0.12014267060689826+0.27480730120914887j),(0.12174324135997833+0.5959433995553474j),(0.2170938862411921-0.20160378976624552j),(-0.2016509674149467+0.09804497583667258j)
1.05,(0.23461811743314226-0.18332730809307268j),(-0.20824417211345858+0.10439976468846673j),(0.3797152460927568-0.3698740993062159j),(-0.15656373070524526+1.2939113171039782j),(1.0702776710528141+0.5015027348440609j),(1.2975185440891959+1.7602887519106112j),(-0.2591516319108463-0.33160197153589754j),(-0.28649695431850797+0.4776140046423937j),(1.313053946020704+0.6405535317185667j),(0.8906920983645388-3.000819092674657j),(4.142272929768254+0.6169572617029413j),(0.9025208017723854-0.6377364811580619j),(-0.8114228564171537+0.6160969831995252j),(-0.21479511887983024-0.4470464716914913j),(0.48336738865948564-0.20140398832083992j),(0.28449295131021674+1.9783080493075313j),(0.04532623425338068-0.36274819708715855j),(0.5275189810960614-0.4084650456438733j),(-0.4008613916577092-0.5626218194056071j),(0.25748257020464-0.40992708783073084j),(-0.5828682317699211+1.0633241086460286j),(1.5938403038988789+0.688036587899462j),(-1.0182480640528464+6.067272803785631j),(-2.329135860163296-2.232342482809808j),(0.19899976957124446+0.16918811497803785j),(0.2803280162442707+0.17573114517165153j),(0.7818975925659434-0.34069765726658j),(-0.33886339635397955-0.22926411479550104j),(-39.21829832212186+28.395991123994474j),(-25.465435194425055-18.090035755864896j),(-33.8691743069364+12.393496065331547j),(27.114586502090507+43.891508354030414j),(2.5788497868201974+1.7484372274134445j),(3.333668412794137+1.193035916646221j),(0.11168684322693434+1.5425765656630044j),(-1.165151110944312+1.3299162850882909j),(-0.2129587372510399+0.21151660924706261j),(-1.3823669692142557-0.23483751922994883j),(-0.15085405842401378+0.27000447880862255j),(0.09144516530459858+0.6275939887986505j),(0.23461811743314226-0.18332730809307268j),(-0.20824417211345858+0.10439976468846673j)
1.06,(0.2502454850332111-0.16359731286585077j),(-0.2156639095963341+0.11051406202697459j),(0.38694411970669984-0.36541272437317474j),(-0.14224512282135268+1.3590854529589418j),(1.0913256911827556+0.5256685939873497j),(1.4598765269375906+1.7696289022951845j),(-0.2428547192850487-0.3584236722071655j),(-0.31177561508052637+0.48269894930081064j),(1.2794992018907834+0.6087187367977263j),(0.642701656010515-2.832469933502735j),(4.134112659062637+0.31765123319468486j),(0.8789694484803248-0.5562453210728341j),(-0.8114084610351003+0.5883811248494165j),(-0.2019432198079249-0.44324077026613995j),(0.478622077903052-0.19280668256876157j),(0.4033902024342+2.0755279531161817j),(0.07152642747747302-0.3485194181271889j),(0.5405675784175901-0.36681634710775013j),(-0.36774385170392376-0.570214330742543j),(0.2815168737490991-0.379167843310194j),(-0.5761544968080201+1.1151858080867787j),(1.6369445254868427+0.6174651986764748j),(-0.9461634420326461+5.763461977393457j),(-2.2238619064699643-2.2165751340692954j),(0.18153187089508196+0.1901790135569744j),(0.2645946151524421+0.21990383774849814j),(0.7945852318209505-0.31261081749685604j),(-0.31979602192210377-0.2142792153112293j),(-38.624878388199015+28.202009863807334j),(-25.444820061491793-19.031500291099242j),(-34.97978566162584+12.01332176778789j),(27.693956176422073+43.280924072437706j),(2.7650873177383337+1.6083049363382615j),(3.495833078238078+0.9149383699142302j),(0.053650328892291356+1.5714001214982611j),(-1.2285389330475933+1.3853811353361514j),(-0.22308501467860348+0.173446654824968j),(-1.3759679513961318-0.23067036027919963j),(-0.18178343779511302+0.2627929176592171j),(0.06098055088441058+0.6580608033672235j),(0.2502454850332111-0.16359731286585077j),(-0.2156639095963341+0.11051406202697459j)
1.07,(0.2638588646634766-0.14260847153117645j),(-0.22389763128264176+0.11630145407548965j),(0.39314302245546-0.3614120756991847j),(-0.12140288568846176+1.4285626808135372j),(1.115696523122866+0.5484539529764669j),(1.6381766225121075+1.758974713142371j),(-0.2248945097000379-0.38438176737667756j),(-0.3365016207616357+0.48719147052475914j),(1.247008963475456+0.58340682040924j),(0.44228941987303094-2.6657131659643087j),(4.109896112750474+0.023886183659872214j),(0.8627810975966708-0.47584172161424465j),(-0.8114610748578344+0.5603237447546511j),(-0.1887063542091196-0.43905399130398587j),(0.4722785516872383-0.184137316903371j),(0.5461958521467631+2.1717165855305987j),(0.09640223674683425-0.3329475878877081j),(0.55288760525007-0.3243650734940941j),(-0.3348181439485092-0.5766720240814946j),(0.30449790589919384-0.34714232071049195j),(-0.5635769287546702+1.1676961096180474j),(1.6734884842064846+0.5418364512079934j),(-0.8718145367270288+5.4769443575778425j),(-2.1259691995525665-2.1913759697778286j),(0.16185039546305283+0.2095365628916051j),(0.24584632522630367+0.2627081420811004j),(0.8060168450206973-0.28426967201835285j),(-0.3020368623047744-0.19847029296947924j),(-38.033683760068605+27.97068881212904j),(-25.42705322575775-19.920193233433054j),(-36.05389769963277+11.662593203199897j),(28.233542401731547+42.65720431508081j),(2.9336985654843697+1.4326638551253752j),(3.612377288910697+0.6034218755203997j),(-0.009858574864755242+1.6004493090858893j),(-1.294646841150946+1.4441484339159936j),(-0.23039318581019747+0.1349217045569314j),(-1.3691488099102314-0.22685166466726658j),(-0.212782641459126+0.25319581195216767j),(0.030560265899347742+0.6874869155256271j),(0.2638588646634766-0.14260847153117645j),(-0.22389763128264176+0.11630145407548965j)
