t,B00_z_0000_00,B00_z_0001_00
0.32,(1.000033585821224-8.523968393812155e-05j),(0.05543075381450154-0.4069121505093031j)
0.33,(1.0000349113946074-8.69602434167641e-05j),(0.058350581382773443-0.4155270248010459j)
0.34,(1.0000362150043731-8.86383008444386e-05j),(0.061298308254362444-0.423859843773015j)
0.35000000000000003,(1.0000374959893354-9.027663357078586e-05j),(0.06427074869594061-0.4319181492571954j)
0.36,(1.0000387540812388-9.187803226048598e-05j),(0.06726496176568822-0.4397109616054933j)
0.37,(1.0000399893995922-9.344528547678491e-05j),(0.07027826830300445-0.44724876989982787j)
0.38,(1.0000412024447587-9.498116584972908e-05j),(0.07330826583639108-0.45454351183413316j)
0.39,(1.0000423940894778-9.64884177228156e-05j),(0.07635284132237376-0.46160854360796666j)
0.4,(1.000043565568987-9.796974613984186e-05j),(0.07941018166887723-0.468458600337048j)
0.41000000000000003,(1.0000447184698955-9.9427807005975e-05j),(0.08247878203711946-0.47510974763522895j)
0.42,(1.000045854717951-0.0001008651982392225j),(0.08555745195571861-0.48157932515239377j)
0.43,(1.000046976564824-0.00010228445171144493j),(0.08864531931824941-0.4878858829616148j)
0.44,(1.0000480865740229-0.00010368802577077919j),(0.09174183236995939-0.49404911177527044j)
0.45,(1.0000491876060316-0.00010507829813240143j),(0.09484675981991231-0.5000897680332864j)
0.46,(1.0000502828027595-0.00010645755892965637j),(0.09796018924078277-0.5060295949473943j)
0.47000000000000003,(1.000051375571366-0.00010782800372169155j),(0.10108252393939224-0.5118912406042115j)
0.48,(1.0000524695675161-0.00010919172626996179j),(0.10421447849656779-0.5176981742284926j)
0.49,(1.0000535686781091-0.00011055071091119428j),(0.10735707318494699-0.5234746016880146j)
0.5,(1.0000546770035057-0.00011190682437793763j),(0.11051162747807151-0.529245381285547j)
0.51,(1.0000557988392698-0.00011326180694180398j),(0.11367975286382397-0.5350359408337316j)
0.52,(1.0000569386574243-0.00011461726278585105j),(0.11686334517043834-0.5408721969481071j)
0.53,(1.0000581010872116-0.0001159746495433027j),(0.12006457660456507-0.5467804774245953j)
0.54,(1.0000592908953343-0.00011733526697474572j),(0.12328588768889907-0.552787447493061j)
0.55,(1.0000605129656432-0.00011870024479262427j),(0.12652997927245893-0.5589200406604152j)
0.56,(1.0000617722782263-0.00012007052967944465j),(0.12979980477054054-0.5652053947772726j)
0.5700000000000001,(1.000063073887848-0.00012144687158456705j),(0.1330985627744669-0.5716707938831996j)
0.58,(1.0000644229016744-0.00012282980942313434j),(0.13642969015429865-0.5783436163086104j)
0.59,(1.0000658244562242-0.00012421965633876682j),(0.13979685576139042-0.5852512894375549j)
0.6,(1.0000672836934734-0.0001256164847292684j),(0.1432039548227345-0.5924212514658627j)
0.61,(1.000068805736051-0.0001270201112687169j),(0.1466551041060072-0.5998809204239239j)
0.62,(1.0000703956614605-0.00012843008219496618j),(0.15015463792359027-0.6076576706731117j)
0.63,(1.0000720584752787-0.00012984565915910394j),(0.1537071050359557-0.6157788170295739j)
0.64,(1.000073799083289-0.00013126580596306987j),(0.15731726650991698-0.6242716066187192j)
0.65,(1.0000756222625315-0.000132689176531803j),(0.16099009458549068-0.633163218517964j)
0.66,(1.0000775326312696-0.00013411410448692512j),(0.16473077260647706-0.6424807712037945j)
0.67,(1.0000795346179077-0.00013553859469844976j),(0.16854469607422712-0.652251337781495j)
0.68,(1.0000816324289228-0.0001369603172002543j),(0.17243747489115782-0.6625019689414472j)
0.6900000000000001,(1.0000838300159165-0.0001383766038527312j),(0.17641493687003132-0.6732597235541389j)
0.7000000000000001,(1.000086131041932-0.00013978444812917816j),(0.18048313259632684-0.6845517067862952j)
0.71,(1.000088538847231-0.00014118050838607496j),(0.18464834174361522-0.6964051155921638j)
0.72,(1.000091056414773-0.000142561114953982j),(0.18891708095500254-0.7088472914062185j)
0.73,(1.0000936863356928-0.00014392228135275497j),(0.19329611341668845-0.7219057798355785j)
0.74,(1.000096430775118-0.00014525971989136363j),(0.19779246026169475-0.7356083971214252j)
0.75,(1.0000992914387234-0.00014656886186384965j),(0.2024134139520356-0.7499833031076966j)
0.76,(1.0001022695404673-0.0001478448824902832j),(0.20716655379522808-0.765059080421357j)
0.77,(1.0001053657719874-0.00014908273068337926j),(0.21205976375530208-0.7808648195305393j)
0.78,(1.0001085802741827-0.00015027716364560424j),(0.21710125271864628-0.7974302093036947j)
0.79,(1.0001119126115252-0.0001514227862151913j),(0.22229957737046008-0.8147856326434209j)
0.8,(1.0001153617496665-0.00015251409479050617j),(0.22766366782766395-0.8329622667115996j)
0.81,(1.0001189260369074-0.00015354552556775058j),(0.23320285615828107-0.851992187196555j)
0.8200000000000001,(1.0001226031900936-0.0001545115067287483j),(0.23892690789495402-0.8719084759966641j)
0.8300000000000001,(1.0001263902854711-0.00015540651411808217j),(0.24484605662076792-0.8927453316065714j)
0.84,(1.000130283755005-0.00015622512985219406j),(0.2509710416681275-0.9145381813899628j)
0.85,(1.000134279388605-0.00015696210321258783j),(0.2573131489251014-0.93732379480443j)
0.86,(1.000138372342631-0.00015761241308824502j),(0.26388425468710835-0.9611403965065141j)
0.87,(1.000142557154976-0.00015817133115841598j),(0.27069687242342627-0.9860277781051675j)
0.88,(1.0001468277669117-0.00015863448494323154j),(0.2777642022456311-1.0120274071454047j)
0.89,(1.0001511775517815-0.00015899791980097627j),(0.2851001827661214-1.0391825316859173j)
0.9,(1.0001555993505027-0.00015925815891947647j),(0.2927195449161782-1.0675382785789453j)
0.91,(1.0001600855137072-0.00015941226033608933j),(0.3006378671508138-1.097141743260986j)
0.92,(1.0001646279502248-0.0001594578700278233j),(0.30887163129766604-1.1280420685112884j)
0.93,(1.0001692181814745-0.00015939327014213183j),(0.31743827810448416-1.16029050922316j)
0.9400000000000001,(1.0001738474012036-0.00015921742148778168j),(0.3263562612988801-1.1939404797519364j)
0.9500000000000001,(1.0001785065398892-0.00015892999947666884j),(0.33564509868899456-1.2290475798439688j)
0.96,(1.0001831863330057-0.0001585314227972549j),(0.34532541849814274-1.265669594504167j)
0.97,(1.0001878773922654-0.00015802287420930316j),(0.3554189987335987-1.303866462417596j)
0.98,(1.0001925702788539-0.00015740631297469593j),(0.3659487969326432-1.3437002066969286j)
0.99,(1.000197255577628-0.0001566844785768093j),(0.37693896710131236-1.3852348207789418j)
1.0,(1.0002019239712039-0.00015586088552650755j),(0.38841486005731357-1.428536101240817j)
1.01,(1.000206566312848-0.00015493980920870782j),(0.40040300270458706-1.473671418158817j)
1.02,(1.000211173697098-0.00015392626287529432j),(0.4129310510024007-1.520709412405782j)
1.03,(1.0002157375270737-0.00015282596604586056j),(0.426027710551422-1.5697196080115412j)
1.04,(1.0002202495775068-0.00015164530472156084j),(0.4397226178154413-1.6207719264425857j)
1.05,(1.0002247020525918-0.00015039128395633332j),(0.4540461740545985-1.6739360884707892j)
1.06,(1.0002290876378745-0.00014907147345019097j),(0.4690293231045702-1.7292808883059385j)
1.07,(1.0002333995455106-0.00014769394693866985j),(0.48470326325895147-1.7868733240172032j)
1.08,(1.0002376315523673-0.0001462672162367633j),(0.5010990827909791-1.8467775681718075j)
1.09,(1.0002417780305892-0.00014480016086548174j),(0.5182473082148449-1.9090537633467979j)
1.1,(1.000245833970398-0.00014330195423291084j),(0.5361773544102065-1.973756629065826j)
1.11,(1.0002497949950593-0.00014178198736515663j),(0.5549168664418472-2.04093387019711j)
1.12,(1.0002536573681013-0.00014024979118385078j),(0.5744909445804326-2.110624382410191j)
1.1300000000000001,(1.0002574179930166-0.00013871495830881372j),(0.5949212470012714-2.182856258463123j)
1.1400000000000001,(1.0002610744058213-0.0001371870653250969j),(0.6162249692725617-2.2576446104131214j)
1.1500000000000001,(1.0002646247609723-0.00013567559639988014j),(0.6384137064105463-2.3349892377649346j)
1.16,(1.0002680678112508-0.0001341898690653073j),(0.6614922122874721-2.414872190339835j)
