t,B00_A_0000,B00_A_0001
0.33,(0.0004525070327072077+0.021803818052676012j),(0.007893880044197967-0.30635437304537305j)
0.34,(0.0025538848420496797+0.021663044767271638j),(-0.006485363819663517-0.2967677318089723j)
0.35000000000000003,(0.004575518854289556+0.021332688162363517j),(-0.01993946834961742-0.286973799312116j)
0.36,(0.006504567355777281+0.0208309667848659j),(-0.032501443547503936-0.27701855537586156j)
0.37,(0.008331238075187195+0.020175706552874904j),(-0.04420483389804614-0.26694172662178367j)
0.38,(0.010048410935490297+0.019383979141826317j),(-0.055082939070134326-0.25677734712554223j)
0.39,(0.011651249253724323+0.018471832602144002j),(-0.06516816483527908-0.24655435653473443j)
0.4,(0.01313681376415715+0.0174541051847913j),(-0.07449149803127635-0.23629721940618734j)
0.41000000000000003,(0.014503690497527906+0.016344312424930087j),(-0.08308209813080494-0.2260265519496412j)
0.42,(0.015751640546056354+0.01515459731179622j),(-0.0909669972366941-0.2157597446063179j)
0.43,(0.016881277157400378+0.01389573368864328j),(-0.09817090001182797-0.20551157088591746j)
0.44,(0.0178937734652361+0.012577173726495429j),(-0.10471607505934223-0.19529477460233458j)
0.45,(0.01879060248183611+0.01120713126401166j),(-0.11062232950252775-0.1851206290755449j)
0.46,(0.019573309727846065+0.009792693888338849j),(-0.1159070588881575-0.1749994630100004j)
0.47000000000000003,(0.020243318019889954+0.008339957754832332j),(-0.12058536497755305-0.16494114863669238j)
0.48,(0.02080176343208609+0.006854180233063816j),(-0.1246702344340878-0.15495554834460237j)
0.49,(0.02124936124322105+0.005339946466018772j),(-0.12817277181306083-0.14505291646223506j)
0.5,(0.02158630072652594+0.0038013467965919614j),(-0.13110248057003848-0.1352442531205961j)
0.51,(0.021812167884199887+0.002242162719559395j),(-0.1334675859971863-0.12554160727758465j)
0.52,(0.021925895626544085+0.0006660595358344186j),(-0.13527539405357022-0.11595832605426541j)
0.53,(0.021925741400339104-0.0009232157971161265j),(-0.1365326799634719-0.10650924757065568j)
0.54,(0.021809292838746074-0.002521633021011555j),(-0.1372461002133095-0.09721083451754313j)
0.55,(0.021573502591468487-0.004124674658759022j),(-0.1374226211878053-0.08808124580619166j)
0.56,(0.021214754053747696-0.00572713168745938j),(-0.13706995716281012-0.07914034384354829j)
0.5700000000000001,(0.020728960197696655-0.007322901240248528j),(-0.1361970097374707-0.07040963532920806j)
0.58,(0.02011169806704945-0.008904789572926898j),(-0.13481430007309742-0.061912144001905284j)
0.59,(0.019358381669104665-0.010464324543834454j),(-0.13293438455072834-0.05367221451376169j)
