t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B00_z_0011_00,B00_z_0012_00,B00_z_0013_00,B00_z_0014_00,B00_z_0015_00,B00_z_0016_00,B00_z_0017_00,B00_z_0018_00,B00_z_0019_00
0.66,(0.9494235343002915+0.4462770120438717j),(0.5150594801001613+0.6340887945939928j),(1.2885267180748377-0.17223378960207203j),(0.6249335908207299+0.7804844354578749j),(0.009281270672569718+0.4027682000530097j),(0.3491986305748309+0.6937001950649497j),(0.11264212621124509-0.618251566945949j),(1.106307341063085+0.5709170879712449j),(1.195950095165857-0.2802559003895641j),(0.11602895740528772-0.008078228372452357j),(0.37507971390854483+0.17997353124121937j),(1.1526460764882536+0.8381930175571684j),(0.8778380007297046+0.8056447533761346j),(0.3975437473192971-0.4686215124222733j),(0.5726632126939941+0.6057468614155684j),(0.10699902292469086+0.5327662463717562j),(0.07001284315813713+0.4898737898572709j),(0.21819053127776883+0.5755018678800791j),(1.0867974195231216+0.4866741197193968j),(1.391561951119015-0.14826759260983202j)
0.67,(0.9435251809187989+0.4432212588275484j),(0.5077901548668252+0.6276098195194063j),(1.291008087830503-0.1738194176229182j),(0.6176577440318305+0.7714879063640616j),(0.003746957698119318+0.394219075756513j),(0.34231748370596077+0.6852603342613358j),(0.11877238631908896-0.6275606020483716j),(1.099255866550078+0.5656718750948578j),(1.1998811904550193-0.282256657686391j),(0.11624453697165345-0.013286736283640273j),(0.3716747573849915+0.178335146085148j),(1.1437037908434085+0.8280598471240245j),(0.869965846473+0.7963024648363979j),(0.4043550430163636-0.47312823639577306j),(0.5654252577487906+0.5999996925608999j),(0.10065565496387568+0.5243935307750663j),(0.06387693279871166+0.4814722189149102j),(0.2113991935053649+0.5678179688909026j),(1.0805304567547918+0.4827245371481394j),(1.3937391688323861-0.15002147916561034j)
0.68,(0.9374242904198948+0.4401362702307756j),(0.5003551609901529+0.6209061679327355j),(1.2936353614154525-0.17524429606537434j),(0.610119872499053+0.7623316094607535j),(-0.0017112495821533192+0.38532826213621213j),(0.3352958485242881+0.6765522466140738j),(0.12493413400002529-0.637310588085281j),(1.0919172452289712+0.5604910266365652j),(1.2040258825879409-0.28418652449312265j),(0.11656909790490366-0.01876329306466666j),(0.36826082558867196+0.17642309506097337j),(1.1343347396032752+0.8180306702516918j),(0.8617512828743106+0.7869178098202965j),(0.4112956466080435-0.47793994183272653j),(0.5580151036846527+0.594046613744765j),(0.0943136169142191+0.5156876720562743j),(0.05776965076492584+0.47273193209521347j),(0.2045586631389917+0.5598188572324612j),(1.0740191718063075+0.47882643738762276j),(1.3960566491393822-0.15153287956829356j)
0.6900000000000001,(0.931119725827595+0.4370149206893291j),(0.4927587041508709+0.6139692090270401j),(1.2964127852066178-0.17649866334139033j),(0.6023247020456494+0.7530079680371021j),(-0.007086088670383345+0.3760895779889335j),(0.32813916877619564+0.6675682099536151j),(0.13112897459572312-0.6475295955923314j),(1.0842906569682473+0.5553671146256398j),(1.2083933054215943-0.28603714394703383j),(0.1170088321112029-0.024515465574475197j),(0.3648432693488549+0.17422941507680753j),(1.1245432446208827+0.8080968292532893j),(0.8531986656287399+0.7774829845643442j),(0.41837585786127496-0.4830714402867062j),(0.5504363134300301+0.5878788162425654j),(0.08797974603461918+0.5066415760096411j),(0.05169806228778951+0.4636461158015685j),(0.19767527678360877+0.5514967527738368j),(1.0672617772143747+0.47497315628398296j),(1.398517229579396-0.15278931926460046j)
0.7000000000000001,(0.9246117612133564+0.43385003517188747j),(0.4850064193553305+0.6067916490691883j),(1.2993437495803533-0.17757285300510697j),(0.5942788497838135+0.7435107118762149j),(-0.012370030504706551+0.3664984005344443j),(0.32085409070857307+0.6583022116769488j),(0.13735841788972475-0.6582457870430032j),(1.0763771919858567+0.5502921950795893j),(1.212991875921284-0.28779973594214986j),(0.11757012649867613-0.030549757890017216j),(0.36142799946164805+0.17174723522471871j),(1.1143365714542623+0.7982492940864893j),(0.8443147586228632+0.767990801834443j),(0.42560623186257696-0.48853681449023867j),(0.5426939214258776+0.5814886657427099j),(0.0816614309383033+0.497249860198591j),(0.045669677970431984+0.4542096240881471j),(0.19075618311429107+0.5428455715898681j),(1.0602580727813096+0.4711575264949717j),(1.4011226423395222-0.153778705434715j)
0.71,(0.917902074497927+0.4306344361419486j),(0.47710532242559084+0.599367549298873j),(1.3024307083101725-0.17845730415717356j),(0.5859907477200113+0.733834870999033j),(-0.017555313797843128+0.3565516519509398j),(0.31344841365599446+0.6487499337093254j),(0.14362383731653486-0.6694874697627253j),(1.0681798157510856+0.5452578617365496j),(1.2178292152954469-0.28946507740969146j),(0.11825953477980589-0.03687160021013305j),(0.35802147112303984+0.1689708128714025j),(1.103724799948949+0.7884787151958416j),(0.8351086336106978+0.7584347083717401j),(0.4329975723239132-0.49434941543753436j),(0.5347943896275905+0.5748697305499528j),(0.07536657555470647+0.48750883934553485j),(0.03969241851055187+0.44441896473863707j),(0.18380930190858558+0.5338609199478471j),(1.0530094302239374+0.46737192527265436j),(1.4038734123683088-0.15448935265719524j)
0.72,(0.9109937309231316+0.4273609975354225j),(0.4690637484949261+0.5916923369856103j),(1.3056751012698646-0.17914257833118188j),(0.5774705491889379+0.7239767663459971j),(-0.02263398065327292+0.34624777576116705j),(0.30593102976555614+0.6389087270505236j),(0.14992642722662544-0.6812831570785974j),(1.0597033239611267+0.5402553146288358j),(1.2229120681523586-0.2910234887093633j),(0.11908374746944665-0.043485343880522345j),(0.3546306625930499+0.16589556365162308j),(1.0927206771041005+0.7787754979624546j),(0.8255915507117715+0.748808809637916j),(0.44056092435140415-0.5005218627038626j),(0.5267455501695558+0.5680168045655102j),(0.06910355930537117+0.47741649910148937j),(0.03377457666351682+0.43427227412747677j),(0.17684327657311677+0.5245400767266614j),(1.045518770115095+0.4636083348376873j),(1.4067687624350398-0.15491001680151922j)
0.73,(0.9038911568778621+0.4240227050827109j),(0.4608912782530792+0.5837628092594133j),(1.3090772813673406-0.179619383898473j),(0.5687300194422189+0.7139339969254419j),(-0.027597913186085423+0.33558670361020304j),(0.2983118537857962+0.6287775761120367j),(0.156267158047856-0.6936616375368259j),(1.0509542873866817+0.5352754423533256j),(1.2282462199128583-0.2924648273865946j),(0.12004956015294925-0.050394262403008684j),(0.35126304809452813+0.1625180850976882j),(1.0813394533017426+0.7691298962505334j),(0.8157768210809195+0.7391079005139252j),(0.4483075664408039-0.5070660476848662j),(0.5185565352936731+0.5609259244977925j),(0.0628811939680378+0.4669724587166648j),(0.02792477684495069+0.4237692813998006j),(0.1698674207957614+0.5148819645774757j),(1.0377905307492872+0.4598584145621075j),(1.4098065266341329-0.15502993836724357j)
0.74,(0.8966001038704918+0.42061272210164863j),(0.4525986529319849+0.5755771294258022j),(1.3126364467098306-0.17987860892759397j),(0.5597824120296049+0.7037054229689662j),(-0.032438870890790165+0.32456981313393923j),(0.2906017440374428+0.6183570532348022j),(0.1626467291540841-0.7066520519970694j),(1.0419409864409173+0.5303089165333618j),(1.2338364128210306-0.2937784905565696j),(0.12116384011778082-0.05760055822179459j),(0.34792656504771935+0.15883617370990144j),(1.069598703165198+0.7595321220276846j),(0.8056796534092207+0.7293275003873395j),(0.45624900146430164-0.5139931394180308j),(0.5102376953969393+0.5535943808120157j),(0.056708677736348564+0.45617792333589335j),(0.022151932783416414+0.4129112626959476j),(0.162891660051433+0.5048871103420615j),(1.0298306285908752+0.4561135838762517j),(1.4129830739103115-0.1548388963043216j)
0.75,(0.889127602562839+0.4171244597056155j),(0.44419767924082704+0.5671348155857422j),(1.3163505790834418-0.1799113633024254j),(0.5506423328757515+0.6932911446709014j),(-0.03714852851956986+0.313199877755845j),(0.2828124158390845+0.6076492639542552j),(0.16906551921814855-0.7202839783914975j),(1.032673335409187+0.5253462966450164j),(1.2396862610242614-0.29495342716484885j),(0.122433491460369-0.06510537501174686j),(0.34462957583737974+0.154848835350266j),(1.0575181324988714+0.7499724676291517j),(0.795316986190596+0.7194638909070463j),(0.4643969464125852-0.5213135926294481j),(0.5018005062844652+0.5460207220017367j),(0.05059554699956239+0.44503562682543296j),(0.016465203633074472+0.4017009863156363j),(0.15592646876248986+0.4945575954392982j),(1.0216464100126796+0.4523651145379728j),(1.4162932432586728-0.15432727311453762j)
0.76,(0.8814819069172684+0.4135516502156938j),(0.4357011256424547+0.558436721503313j),(1.3202163899159773-0.1797090307374796j),(0.5413255941673442+0.6826924761514589j),(-0.04171851425999999+0.3014810093648184j),(0.27495634877573016+0.5966577837454454j),(0.17552353378799496-0.7345875239162927j),(1.0231627963847814+0.5203781431076844j),(1.24579816534478-0.29597816134350363j),(0.12386541879735058-0.07290881513050435j),(0.3413808244004462+0.1505562889227864j),(1.0451193729470376+0.7404414369481129j),(0.7847073079229774+0.7095141545962308j),(0.47276332065332843-0.5290371576325952j),(0.4932574669160403+0.5382047518591936j),(0.04455162636767+0.4335497661948281j),(0.010873948943915378+0.39014264986080627j),(0.1489828039622472+0.4838969971062352j),(1.0132465941073066+0.44860423065691973j),(1.4197302923279325-0.15348613174919545j)
