t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B00_z_0011_00,B00_z_0012_00,B00_z_0013_00,B00_z_0014_00,B00_z_0015_00,B00_z_0016_00,B00_z_0017_00,B00_z_0018_00,B00_z_0019_00
0.44,(1.046450695382191+0.5188120642523877j),(0.6422108977583217+0.7516027126209008j),(1.256801447634212-0.11760771531502419j),(0.7329962172140929+0.9697525857328104j),(0.14056494430196406+0.5346096427336399j),(0.469182097092082+0.8471256239820079j),(-0.016518869795523375-0.46838510280508083j),(1.2143557647828744+0.7116906914286871j),(1.1404805021599227-0.23167054918750682j),(0.1300992835278532+0.06502959895071031j),(0.4436277364601329+0.17303462334999364j),(1.2728462066377109+1.103359195114202j),(0.9868976691482062+1.0253625181351766j),(0.26333679210701466-0.4088548809585572j),(0.6990431780726493+0.7100169944221544j),(0.24101610794443076+0.6664824724406542j),(0.2048073160879257+0.6217078123284725j),(0.35320098306156056+0.6994258528422934j),(1.1856949049183354+0.5939479455204367j),(1.3666141761150719-0.07755338592554538j)
0.45,(1.0422231981990044+0.5148667134546006j),(0.636918642620624+0.7456926838091993j),(1.2578664325081417-0.12008353638177763j),(0.7289839413407794+0.9597368959506709j),(0.13437041293222227+0.5293151120172723j),(0.4644229847155255+0.8395426828614483j),(-0.01088982820859749-0.47502459252982415j),(1.2096604168892464+0.7040000552486305j),(1.1426237357695241-0.23363899341857955j),(0.1288532503370638+0.062160092425701086j),(0.44073270108134466+0.1739227139074281j),(1.2680044657870653+1.0887639231346036j),(0.9827579737119626+1.013424976781338j),(0.2692790784554351-0.41156051465712357j),(0.6937256737784286+0.7047369263268735j),(0.2351063777261525+0.6606739084178279j),(0.19872519323321178+0.6161496508462466j),(0.3473892288623357+0.6938317518525137j),(1.1813479686611776+0.5880875960581212j),(1.3673030784294076-0.08088997227414027j)
0.46,(1.0381090251778653+0.5110169984295164j),(0.6316876694651267+0.7399991263285561j),(1.2589234304735089-0.1226314467031748j),(0.7250386303874737+0.9500525692214981j),(0.12819922321023194+0.524121828970953j),(0.45967726747907234+0.8322239739657608j),(-0.00522703670077453-0.48150906554354456j),(1.2051474430955642+0.6964535187852513j),(1.1447292967315112-0.23566247203208968j),(0.12766348600533906+0.05936751946156169j),(0.4378326998166575+0.17486695343746347j),(1.2634223720312452+1.074514295793646j),(0.9787652336699192+1.0018319789847348j),(0.27520908774905506-0.4141210166799831j),(0.6884808395086599+0.6996527220988691j),(0.2292022838948759+0.6550278143546396j),(0.19265358402501465+0.6107315140119453j),(0.34159273270810603+0.6884212167848853j),(1.1771541421584077+0.5823283304528298j),(1.367999196156499-0.08432258608718711j)
0.47000000000000003,(1.0340856990836114+0.5072582173429732j),(0.6264986276134115+0.7344955065886953j),(1.2599775958894859-0.1252413219273609j),(0.7211330781861441+0.9406643052709046j),(0.12204903033236145+0.5190027016982316j),(0.45493052747202994+0.8251345517172995j),(0.0004662634880509572-0.48786145942379455j),(1.200780433560578+0.6890470167210313j),(1.1468067956850432-0.23773698010821281j),(0.12652832933708497+0.05663390098364613j),(0.4349240538529347+0.17585129179224654j),(1.2590401444654018+1.0605877681730969j),(0.9748785125487316+0.9905532411857179j),(0.2811284462692049-0.4165576642236131j),(0.683288464113385+0.694741185779427j),(0.2232982999766855+0.6495134698068872j),(0.1865881726367865+0.605423931526343j),(0.3358021948414191+0.6831637931971583j),(1.173083960607637+0.5766690678314395j),(1.3687058509804666-0.08783560420356232j)
0.48,(1.030131159475206+0.5035855508440149j),(0.6213326604218038+0.7291555884552945j),(1.2610344338698614-0.12790276700136796j),(0.7172407443413249+0.9315380127514574j),(0.11591788251950096+0.5139307552013302j),(0.450168676167745+0.8182401510099179j),(0.0061871946285353575-0.4941055893213486j),(1.1965240241849284+0.6817767287794722j),(1.148866257241943-0.23985826247246575j),(0.12544650985334144+0.053940968356824034j),(0.43200329018230227+0.17685931994280166j),(1.2548003618241557+1.0469635465680192j),(0.9710581688693543+0.979559967902236j),(0.2870393877681736-0.4188921821419515j),(0.6781288341983936+0.689979286793176j),(0.21738923729676435+0.6441004147436908j),(0.18052500401401916+0.6001976319342036j),(0.3300086851159649+0.6780292776086313j),(1.1691086757977271+0.57110875356883j),(1.3694267975088428-0.09141307751709338j)
0.49,(1.0262238074955174+0.49999408890065844j),(0.6161714364839073+0.7239534707453044j),(1.2620998064997857-0.1306051645950369j),(0.7133357905872514+0.922640803311655j),(0.10980423815481413+0.5088792009553602j),(0.4453779939731709+0.8115072149538404j),(0.01193324438117341-0.5002660608057032j),(1.1923439450846938+0.6746391030215109j),(1.1509180979491096-0.24202184591268266j),(0.12441715252640688+0.05127023975508764j),(0.4290671532829075+0.17787433235442054j),(1.2506479529488124+1.0336225670307435j),(0.967265875982954+0.9688248312469421j),(0.29294472909040364-0.4211466487145681j),(0.6729827652095204+0.6853442000195862j),(0.21147027239846555+0.6387585079447056j),(0.1744605077301403+0.5950236057051296j),(0.32420367284918705+0.6729877703395806j),(1.1652003096252417+0.5656463811184407j),(1.370166249594472-0.09503879717786305j)
0.5,(1.022342554014221+0.4964788506767472j),(0.61099718933037+0.7188636281214567j),(1.263179932249205-0.13333772204364774j),(0.7093931319608562+0.91394099013698j),(0.10370698194144927+0.5038215120476054j),(0.44054517671655774+0.8049029309598655j),(0.017702264941464853-0.5063681826530081j),(1.188207075317007+0.6676308626966906j),(1.1529731012584337-0.24422306863161347j),(0.12343978148582434+0.04860309817679539j),(0.42611261894770686+0.17887939158564606j),(1.2465302160617286+1.020547450898244j),(0.9634646632548169+0.9583219451617304j),(0.2988478449972464-0.423343403014592j),(0.6678316408179906+0.6808133475671378j),(0.20553697549244593+0.633457992752896j),(0.1683915220744267+0.589873175083496j),(0.31837905995670357+0.6680097355494206j),(1.1613317103207952+0.560281000946661j),(1.3709288956443695-0.09869636016409891j)
0.51,(1.0184668708810394+0.49303479773706704j),(0.605792765006112+0.7138609551101563j),(1.2642813782442452-0.13608951619022328j),(0.7053885013198605+0.9054080900679212j),(0.09762543986519917+0.4987315032645889j),(0.43565738846572927+0.7983952743572379j),(0.023492469492265397-0.5124378806531508j),(1.184081502740844+0.6607489975306937j),(1.155042389401141-0.24645710631662082j),(0.12251432269643465+0.045920870662348484j),(0.4231369102781055+0.17985739494210012j),(1.2423968622552228+1.0077224382593306j),(0.9596189759382859+0.9480268339872213j),(0.3047526426735678-0.4255049545335799j),(0.6626574600598815+0.6763644421239333j),(0.19958533963812736+0.6281695695346176j),(0.16231531810274158+0.5847180700776563j),(0.3125272169827787+0.6630660679206207j),(1.1574766107934764+0.5550117172059246j),(1.3717199023746869-0.10236923340943496j)
0.52,(1.0145768449635983+0.4896568409776156j),(0.600541676774084+0.7089208129453155j),(1.2654110451866853-0.13884953553685683j),(0.7012985255874993+0.897012828472699j),(0.09155939273420237+0.49358341542319073j),(0.43070231994598057+0.7919530586912066j),(0.0293024260300312-0.5185016134590557j),(1.1799365878173014+0.6539907405308789j),(1.1571373921143404-0.24871899428237235j),(0.1216411055970339+0.043204908260498116j),(0.4201375157939926+0.1807911429995096j),(1.2382000786172978+0.9951333006265978j),(0.9556947509799091+0.9379163951747395j),(0.31066353635289884-0.4276538956457177j),(0.6574428915499465+0.6719755317502054j),(0.19361181030982647+0.6228644741029922j),(0.1562296233460283+0.5795305098636062j),(0.3066410215611891+0.6581281653493477j),(1.153609688436726+0.5498376729584551j),(1.3725449066784576-0.10604081566453578j)
0.53,(1.0106532345695884+0.48633984179173406j),(0.5952281660577406+0.7040190789212104j),(1.266576144839267-0.14160671916191336j),(0.6971008119491238+0.8887271461351636j),(0.08550908805958743+0.48835200315619814j),(0.4256682516980492+0.785545991795922j),(0.035131048652442494-0.5245862914365412j),(1.1757430301077318+0.6473535316048468j),(1.1592698122146508-0.25100364522766183j),(0.12082086367616177+0.04043666627988348j),(0.41711220954455297+0.1816634097904j),(1.2338946064681229+0.9827672344505108j),(0.9516595058981311+0.9279688561683247j),(0.3165854224492702-0.4298128174182493j),(0.652171333952324+0.6676250459731286j),(0.18761331495260603+0.6175145612623847j),(0.15013264483927824+0.5742832887817751j),(0.30071389876052873+0.6531680069142686j),(1.1497066256985184+0.5447580249445224j),(1.3734099954810828-0.10969449629836875j)
0.54,(1.0066775277870414+0.4830786080974827j),(0.5898372685961345+0.6991321979194073j),(1.2677841701176746-0.14434999192634862j),(0.6927740420693678+0.8805242075087841j),(0.07947525003827084+0.48301262527970357j),(0.4205441209877526+0.7791447366876393j),(0.04097758641071297-0.5307191994001028j),(1.171472936214141+0.6408349695047698j),(1.1614515880551546-0.25330586224214685j),(0.12005473395003245+0.037597784353875174j),(0.4140590730363928+0.18245701442603726j),(1.2294378302783766+0.9706127375243013j),(0.947482437790831+0.9181637257243742j),(0.3225236555302025-0.43200422920064774j),(0.6468269817517863+0.663291843041168j),(0.18158729209025334+0.6120923925337621j),(0.14402309110668887+0.5689498660101231j),(0.29473986269024616+0.6481582353039156j),(1.1457441707014095+0.539771909069885j),(1.3743216736623864-0.1133137103032963j)
0.55,(1.0026320022195563+0.47986788596348817j),(0.5843548846506568+0.6942372357574419j),(1.2690428579456092-0.14706829557674855j),(0.688298072250261+0.8723784097830715j),(0.07345908740258736+0.4775413367923418j),(0.41531959135502633+0.7727209762740271j),(0.04684160984064615-0.5369279240414774j),(1.1670998879223706+0.6344327538228306j),(1.163694852936037-0.25562034680125956j),(0.11934425529692896+0.03467016583957187j),(0.41097651872832863+0.18315489389947004j),(1.224789872988788+0.9586594707526651j),(0.9431345294607094+0.9084817401857596j),(0.32848402540836813-0.4342504823532653j),(0.6413948952334716+0.658955258192526j),(0.17553171951183014+0.6065713270258843j),(0.13790019271846152+0.5635044579052053j),(0.28871355867168313+0.6430722427928821j),(1.1417001972019956+0.534878397960572j),(1.3752868203185906-0.11688198885890841j)
0.56,(0.9984997855450737+0.47670234767557784j),(0.5787678519761003+0.6893119339894598j),(1.2703601451350124-0.14975061545338167j),(0.6836540373191394+0.8642653923057849j),(0.06746229891153241+0.4719149814873714j),(0.40998512357683475+0.7662474808296841j),(0.05272299529227616-0.5432402867762649j),(1.1625990093517342+0.6281446189609113j),(1.166011891565026-0.25794170159606145j),(0.11869136559282556+0.031636056066244984j),(0.40786331477708887+0.18374017678727303j),(1.2199136936516701+0.9468981081687025j),(0.9385886596097993+0.8989048054738398j),(0.3344727355709282-0.43657369840813653j),(0.6358610734510441+0.6545951527884669j),(0.16944514103595362+0.6009256143289743j),(0.13176372102255815+0.5579221319185823j),(0.28263030521536203+0.6378842597706325j),(1.1375537632019561+0.5300764520928172j),(1.3763126338183695-0.12038300492997392j)
0.5700000000000001,(0.9942649162869944+0.473576577180725j),(0.573064020156217+0.6843347657707183j),(1.2717441176472344-0.15238600262633342j),(0.6788244559286788+0.8561620459991099j),(0.061487076275374454+0.4661112841010639j),(0.4045320467214325+0.7596981771477659j),(0.058621907178985556-0.549684282651443j),(1.1579470319808434+0.621968262171213j),(1.1684150936805298-0.26026442815754275j),(0.11809839758486686+0.028478118945160932j),(0.4047186106566788+0.18419625753733293j),(1.2147751835686396+0.935320178456751j),(0.9338197140515927+0.8894159357936195j),(0.3404963831070623-0.43899570189103954j),(0.630212528847787+0.6501919641559615j),(0.16332669133521455+0.5951304882293658j),(0.12561400465196823+0.5521789009223894j),(0.2764861349950381+0.6325694447469005j),(1.1332851675606521+0.5253648661455226j),(1.3774065662706543-0.12380061352080618j)
0.58,(0.9899124041545008+0.4704850539241044j),(0.567232324810634+0.6792849923781067j),(1.2732029536715086-0.1549635914089282j),(0.6737933348774977+0.8480465224966771j),(0.055536104329228515+0.46010894087778514j),(0.39895262789628094+0.7530482182450335j),(0.06453877826371286-0.5562880258751686j),(1.1531223565034325+0.6159012679049065j),(1.1709169049580863-0.26258291934998385j),(0.11756807343287459+0.02517951145215165j),(0.4015419632178425+0.1845068709984294j),(1.2093432573994578+0.9239179015503217j),(0.9288046949263228+0.8799991902521702j),(0.34656194023716264-0.44153795797530093j),(0.6244373620970756+0.6457267559737406j),(0.15717611829851147+0.5891622599793462j),(0.11945194341557337+0.5462518167186017j),(0.2702778339736978+0.6271039746877684j),(1.1288760040082482+0.5207422123360878j),(1.3785762481653918-0.1271188863773713j)
0.59,(0.9854282892841997+0.46742213615545264j),(0.5612628601109928+0.6741427199572287j),(1.2747448610239405-0.1574726123320163j),(0.6685462700253806+0.8398982428069004j),(0.04961255830155163+0.45388770740643014j),(0.39324013924373297+0.746274052474737j),(0.07047428809273552-0.5630797024513348j),(1.1481051105644273+0.6099410308052129j),(1.1735297753198186-0.26489144692368993j),(0.11710349784449677+0.021723955497251278j),(0.39833336270449976+0.1846561668153037j),(1.2035899360575524+0.9126840241032768j),(0.9235228249850365+0.8706396087570243j),(0.3526767374927676-0.44422151508429664j),(0.6185248356527637+0.6411812690202724j),(0.15099380241783125+0.582998409809714j),(0.11327901919915165+0.5401190614650564j),(0.26400297781954274+0.6214651344799053j),(1.1243092120141873+0.5162067825824768j),(1.3798294040704617-0.1303221411145165j)
0.6,(0.9807996996969259+0.4643820448188916j),(0.5551469480042052+0.6688889560429787j),(1.2763780094234907-0.15990240080190807j),(0.6630705413878661+0.8316979053729523j),(0.043720098059807345+0.44742848257711476j),(0.3873889207219018+0.7393534908906058j),(0.07642933967707795-0.5700875303260737j),(1.1428772015294715+0.6040846797329237j),(1.1762661047579135-0.2671841444320416j),(0.11670814972714091+0.018095806702901285j),(0.3950932582028042+0.1846287832813856j),(1.1974904185786062+0.9016116577614948j),(0.9179556441327639+0.861323148679393j),(0.35884844854555004-0.4470669525110728j),(0.6124654444506494+0.6365379720804649j),(0.14478077270892775+0.5766176753469469j),(0.10709730353263118+0.5337600357309075j),(0.2576599647533662+0.6156314042804075j),(1.1195691240240302+0.511756531380408j),(1.3811737603679657-0.13339496494301992j)
0.61,(0.976014906271019+0.46135884915278735j),(0.5488772025338063+0.6635056653750954j),(1.2781104582419844-0.1622424018052933j),(0.6573552000549744+0.8234274934477758j),(0.037862859256807935+0.44071338752339373j),(0.3813944372265053+0.7322657717078335j),(0.0824050345084253-0.5773397273825988j),(1.1374223635447236+0.5983290052110035j),(1.179138186768061-0.26945498592986483j),(0.11638587227958261+0.01428011962437229j),(0.3918225819670291+0.18440992021150385j),(1.1910231405385527+0.8906941241787267j),(0.9120870955902419+0.8520366238284544j),(0.3650850766373442-0.4500943330796689j),(0.6062509821832726+0.6317801127795665j),(0.13853871871270343+0.5700001355954523j),(0.10090946152011274+0.527155441897749j),(0.251248043994254+0.6095825434893651j),(1.1146415086338703+0.5073890212909848j),(1.3826169460918716-0.13632223337369057j)
0.62,(0.9710633745260617+0.45834645511069566j),(0.542447587679709+0.6579758245034933j),(1.2799500803545079-0.16448217116283717j),(0.6513911446907945+0.8150702817315896j),(0.03204544134627548+0.43372583845534857j),(0.37525332866535055+0.7249916207250784j),(0.08840264598106952-0.5848644875549178j),(1.1317261982426359+0.5926703926173557j),(1.1821581494690379-0.27169776097833614j),(0.11614086144820085+0.010262708963823138j),(0.38852277204616087+0.1839854103699697j),(1.1841698169948434+0.8799248106163076j),(0.9059035992457157+0.8427676472818616j),(0.3713949425218287-0.4533231608331204j),(0.5998746015850188+0.6268917680777885j),(0.13226999817555066+0.5631272891707023j),(0.09471875187970245+0.5202873616524559j),(0.24476733901911496+0.6032996700844654j),(1.1095136093218108+0.5031013728984934j),(1.3841663879882815-0.13908912447727287j)
0.63,(0.9659358125086113+0.4553385976693075j),(0.5358534672042606+0.6522834746512447j),(1.2819044827367434-0.16661137396584885j),(0.6451711855352389+0.8066108422283278j),(0.026272892483495763+0.4264506123535241j),(0.3689634516915122+0.7175133066067636j),(0.09442359127440267-0.5926899652702704j),(1.1257762085390102+0.5871047633394095j),(1.185337894462283-0.27390604658491224j),(0.11597765267720186+0.006030206353378467j),(0.3851957926269837+0.183341788966691j),(1.1769154683187701+0.8692970397396426j),(0.8993941100203562+0.8335045795509115j),(0.3777866737924598-0.45677234369719594j),(0.5933308672151221+0.6218578941182398j),(0.12597764007148476+0.5559821255229458j),(0.08852902289956915+0.5131393263753669j),(0.23821886492314248+0.5967653340839459j),(1.1041741783971022+0.4988902210192324j),(1.3858292009621749-0.14168112947324923j)
0.64,(0.9606242140737908+0.45232883801384344j),(0.5290916450991735+0.646413772277357j),(1.283980924469315-0.1686197809542044j),(0.6386900940453086+0.7980350492663768j),(0.020550691374928796+0.41887390458290286j),(0.3625239119336648+0.7098146899785716j),(0.10046940173225409-0.6008442683746079j),(1.1195618250434975+0.5816275259315279j),(1.1886890334626756-0.2760731768042743j),(0.11590110588893536+0.001570112313163223j),(0.3818441515144063+0.18246636071673605j),(1.1692484276671005+0.8588039568779849j),(0.8925501593587988+0.824236483426747j),(0.38426919544070226-0.4604601610360652j),(0.5866157993138617+0.6166643750750301j),(0.11966534270500899+0.5485491879745424j),(0.08234470418317853+0.5056963793133924j),(0.2316045392619206+0.5899635839576531j),(1.0986135058571977+0.49475167882015186j),(1.3876120751038699-0.14408406060186074j)
0.65,(0.9551218968641215+0.4493105664858252j),(0.5221603953729922+0.6403530367588266j),(1.2861862328189146-0.170497263705467j),(0.6319446365775363+0.7893300835994286j),(0.01488472618753223+0.41098337759901044j),(0.35593508573029015+0.7018812653618443j),(0.10654169175631215-0.6093554596448771j),(1.1130744246678355+0.5762335390886211j),(1.192222822711349-0.27819221081734535j),(0.11591638863941336-0.0031291569723903238j),(0.3784709141883229+0.1813472639482747j),(1.1611603292004462+0.8484384375567622j),(0.8853658782752254+0.8149530866599034j),(0.3908517214635236-0.46440423598569697j),(0.5797269074320054+0.6112980705997711j),(0.1133374667190902+0.5408146275066479j),(0.07617079412824335+0.49794512854159706j),(0.22492718586953617+0.5828800248866906j),(1.0928234428600134+0.4906813113421211j),(1.3895211605087123-0.14628405739619432j)
