t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019
0.0,(3.1807122908762106e-07+5.290251280517225e-08j),(-3.3949539075058457e-09+9.410341076943883e-09j),(1.9947640864054753e-05-4.753440840579514e-05j),(8.903115640671503e-12+1.4360977220527347e-12j),(3.518355475221709e-06-5.258456660812012e-07j),(-4.9831231928917873e-11-9.120754609604366e-11j),(-1.0208862446861686+30.59727045814115j),(-2.891186998316087e-10+5.43656092063031e-10j),(0.0001511455273383662+5.221145495096833e-06j),(0.01206982876244818-0.0002935610190912314j),(0.0019627896557757635+1.0451750560749128e-05j),(3.6870003000707354e-14+3.320744770249253e-15j),(-3.1683180458650274e-13-1.4904362672425855e-14j),(0.12279015923270711+6.422973699739144e-05j),(4.3797904623610606e-08-1.4920280770942188e-08j),(2.6533856647091533e-07+9.796564602437108e-09j),(2.221436747418326e-07+1.6979948853391525e-07j),(9.074593133726145e-08-8.36655402616842e-08j),(4.067035309658147e-11+8.33005608160719e-09j),(6.612858934638605e-06-2.143611512944103e-10j)
0.01,(5.132917717565079e-07+4.9506923345860076e-08j),(-9.2184483014563e-09+1.9460719871430882e-08j),(-5.971621853777296e-05-0.0001278962693893054j),(2.3889965159453213e-11-2.6967700887505223e-13j),(-8.042739831477272e-06-8.682095759678068e-07j),(1.2780769089243406e-09+5.954235177127489e-10j),(3.5148830627219994+31.268374734734344j),(-4.353352613331106e-10+9.650995433030297e-10j),(2.6758100156958133e-05+7.031547824293193e-05j),(0.01532271989143656-0.006772519464701173j),(0.001114240984822662-0.0015309893372811786j),(3.819213019281011e-14-4.401027192913737e-14j),(-5.148183581615728e-13+6.064107518170059e-13j),(0.13349388442412818-0.027241199561808004j),(3.1078102325635816e-08-6.379519686767947e-08j),(4.724035813583326e-07+1.99809011310337e-07j),(2.3820059824079295e-06+1.2331123742415531e-06j),(2.406564799342839e-07-1.6444887562107456e-07j),(5.752540690918493e-09+9.221937713973964e-09j),(2.4681666275222538e-05+3.720957900147176e-06j)
0.02,(8.045536503452901e-07-1.0162919286812483e-07j),(-1.567622143752502e-08+4.223108328811521e-08j),(-0.00017191872220563678-0.0001445665917803736j),(5.861948892899894e-11-1.3974916528203336e-11j),(-2.8590231584897362e-05+2.5718944838597913e-06j),(5.188784914006077e-09+1.6300832753269827e-09j),(8.177409280190863+31.113229418566174j),(-2.607444771633045e-10+1.8578474345411226e-09j),(-1.944884301606362e-05+0.00018154627534343112j),(0.016685350378789165-0.014880538977794167j),(-0.000418533610283758-0.002640574680983182j),(-1.713049146877693e-14-8.931500909558727e-14j),(1.4104851158927257e-13+1.956274258300604e-12j),(0.136182274362257-0.056638647396558245j),(-2.8438461106988246e-08-1.2269410871171893e-07j),(8.745215248599693e-07+5.566224583757815e-07j),(6.801419148960668e-06+2.5817438249127148e-06j),(5.092684288429632e-07-3.5861554757798575e-07j),(1.2694548977161652e-08+6.5251506672058975e-09j),(4.093669171419157e-05-5.7946492442750095e-06j)
0.03,(1.1129201250302181e-06-4.957279076149132e-07j),(-1.6492781777563044e-08+8.650496118786185e-08j),(-0.0002822726699364113-9.359204945839277e-05j),(1.278260037284922e-10-6.603202975033068e-11j),(-6.156101688709679e-05+1.3921371291070939e-05j),(1.4582785408425748e-08+2.348667733160445e-09j),(12.800597051666863+30.109399709731623j),(7.605286728072273e-10+3.0689135204505627e-09j),(1.6559573589705127e-05+0.00029641832797017484j),(0.015609912203740892-0.024118109352437578j),(-0.0024682324339487644-0.0030725152431639834j),(-1.2119673112390856e-13-6.755984130309947e-14j),(3.185446528781612e-12+3.4091696446600963e-12j),(0.13086661047167486-0.08581028817397698j),(-1.610702469531472e-07-1.6493972651252434e-07j),(1.6253277646319394e-06+1.1591314561891922e-06j),(1.4910387405274453e-05+3.82372538439846e-06j),(9.43920989728036e-07-7.778769274693143e-07j),(1.877524574914592e-08-9.271816115055724e-10j),(4.933795979940699e-05-2.5103832348733343e-05j)
0.04,(1.294223704437721e-06-1.1934084152896222e-06j),(2.0061943326784043e-09+1.6245328392792626e-07j),(-0.00036019493561902766+1.4513606550423916e-05j),(2.4468467814912934e-10-2.1603656861961814e-10j),(-0.00011067845879938242+3.962131768087635e-05j),(3.453789268992804e-08+5.813085245749018e-10j),(17.215674168703597+28.271140151898628j),(3.1323351747685235e-09+4.014963040125151e-09j),(0.00012197417841771746+0.000377861318396867j),(0.011691819271551034-0.03382149651563592j),(-0.004789412474726077-0.0026413471524207983j),(-1.9090415650827266e-13+7.035813833819697e-14j),(1.0458177386081268e-11+2.2376301999048425e-12j),(0.1181700076124556-0.11263907869086422j),(-3.8777950200581376e-07-1.391448523006745e-07j),(2.9690118659441152e-06+2.0989785323058706e-06j),(2.8700203855411392e-05+4.049976608449549e-06j),(1.5848600354379588e-06-1.6067020599471158e-06j),(2.0978368648954004e-08-1.3153724007638567e-08j),(4.636556376514659e-05-4.8830423243271714e-05j)
0.05,(1.1528510004182519e-06-2.1832256470370934e-06j),(6.437154869057172e-08+2.788774791349921e-07j),(-0.0003838659839189929+0.00015838961758841906j),(4.026130115768533e-10-5.815617933370272e-10j),(-0.00017949396308747885+8.911985719845924e-05j),(7.330991244710474e-08-8.971790003600606e-09j),(21.259847529905855+25.649253522031884j),(7.045491775878279e-09+3.6427464713856593e-09j),(0.00027158886051168+0.0003995788130724333j),(0.004719959421426073-0.043208875021771724j),(-0.007080395600396582-0.0012451608525613446j),(-8.924832724713902e-14+2.675655043551134e-13j),(2.230957006416484e-11-7.934567921868535e-12j),(0.09922304741561967-0.13535022901327387j),(-7.09943729013935e-07+3.570375694632948e-08j),(5.277154751368593e-06+3.469592121565081e-06j),(5.079490929214965e-05+1.5238155278526825e-06j),(2.4421071802390726e-06-3.130026073327394e-06j),(1.5969476238224392e-08-2.836866557925633e-08j),(3.135859475185933e-05-7.09903040194931e-05j)
0.06,(4.751888938312147e-07-3.350119755173858e-06j),(2.0932531259151214e-07+4.3823954068738186e-07j),(-0.00034311926138358656+0.0003108102677784704j),(5.349141798287675e-10-1.3700154815764815e-09j),(-0.0002706932742640803+0.00017558141377531296j),(1.434278943923217e-07-3.74723479712415e-08j),(24.78465441519852+22.328786419747814j),(1.203926717497231e-08+5.618149157052205e-10j),(0.0004336186942012286+0.00034906720197871327j),(-0.00528897780444642-0.051443429197540275j),(-0.009012120732256566+0.001119488231907567j),(2.467254008434227e-13+2.870278562332406e-13j),(3.360405451317964e-11-3.805576000614041e-11j),(0.07553261402431613-0.15261547843394396j),(-1.089337321297432e-06+4.6963641526995235e-07j),(9.09400056269166e-06+5.346219564883166e-06j),(8.446533459940027e-05-6.7177842838495174e-06j),(3.4585262431122382e-06-5.762616371471377e-06j),(1.1354645272685808e-09-4.264335253647564e-08j),(6.283906248212352e-06-8.623452397777766e-05j)
0.07,(-9.205200846550721e-07-4.45989586937755e-06j),(4.919661236172993e-07+6.292211755965507e-07j),(-0.0002399943910679897+0.0004440655322987503j),(4.3938457901197734e-10-2.9124565102490612e-09j),(-0.00038515983908610956+0.0003165672617396347j),(2.6265607049268225e-07-1.0623733135860963e-07j),(27.663450914377133+18.424728903549937j),(1.6710393452186502e-08-6.618442163513438e-09j),(0.0005758551149148723+0.0002280320953830403j),(-0.01807876458427478-0.057708120113058446j),(-0.010260678564880046+0.004353421455975554j),(5.677436718832832e-13-2.3270347813727467e-13j),(2.696363343398708e-11-1.0214058568924146e-10j),(0.04883330090208053-0.16361567987992265j),(-1.4238238829129847e-06+1.2920523796751986e-06j),(1.5190667335359134e-05+7.754455346472344e-06j),(0.00013356110323697916-2.5343423640581597e-05j),(4.457450244598779e-06-1.0076983363099847e-05j),(-2.4115718132637768e-08-5.015872358016165e-08j),(-2.4950491695607315e-05-9.079892590370915e-05j)
0.08,(-3.126678315785999e-06-5.1676335636918745e-06j),(9.839223058164804e-07+8.169607894306409e-07j),(-8.71072947872016e-05+0.0005347411417181121j),(-3.469375432139433e-10-5.6887320219180225e-09j),(-0.0005208058652193799+0.0005346693812175051j),(4.544437342822735e-07-2.5312562661263654e-07j),(29.797551672549364+14.076033351248336j),(1.8579109747548142e-08-1.8769114999563402e-08j),(0.0006710646420105444+5.040429450260529e-05j),(-0.03316889993404444-0.06128290578222381j),(-0.010538838900673586+0.008262244841433793j),(6.308498756028889e-14-1.4503813277225522e-12j),(-3.640707810690357e-11-2.1055641399526592e-10j),(0.020933799855222753-0.16806169718376796j),(-1.5218787912083744e-06+2.6299583021469005e-06j),(2.4629968158322535e-05+1.0624499405511776e-05j),(0.000202347068286744-6.127374572699401e-05j),(5.075063700290753e-06-1.6827512632671393e-05j),(-5.713469795525229e-08-4.4219312340593166e-08j),(-5.74474697164513e-05-8.30169244825227e-05j)
0.09,(-6.093702224008616e-06-5.052293992893524e-06j),(1.7707488385813034e-06+9.314283596948916e-07j),(9.559852767862106e-05+0.0005671032063932148j),(-2.7383982503104374e-09-1.0327402086578536e-08j),(-0.0006711675526978179+0.0008581209492933039j),(7.472938666285819e-07-5.416265914409778e-07j),(31.120651464223084+9.43838382230714j),(1.420224897278591e-08-3.561635804803468e-08j),(0.0007007839900341122-0.00016140773308854857j),(-0.049898057884317434-0.0616145005274628j),(-0.00962210285492444+0.01257413247805787j),(-2.6580973432172586e-12-2.6316022167942903e-12j),(-2.2633361044106277e-10-3.546414152517125e-10j),(-0.0064328517728661355-0.16617255354942817j),(-1.080276866135858e-06+4.572109954428333e-06j),(3.884476820765476e-05+1.3726529331235904e-05j),(0.0002952464399833033-0.00012428691331963607j),(4.678829961118512e-06-2.6971737420359154e-05j),(-9.133244304014139e-08-1.899701059474567e-08j),(-8.63125449263428e-05-6.33572328312067e-05j)
0.1,(-9.59446802135989e-06-3.6724772635134165e-06j),(2.9463223028231046e-06+8.543481136990909e-07j),(0.00028488445028838926+0.0005346330729216903j),(-8.3725088894534e-09-1.7558800098470284e-08j),(-0.0008237111784292758+0.0013214492342814954j),(1.172243604304883e-06-1.0733423633651758e-06j),(31.60129696949806+4.676223495611385j),(-4.2295332793694643e-10-5.512160611385666e-08j),(0.0006570303789845648-0.00038109504629795323j),(-0.06749288470945736-0.05836752327203677j),(-0.007365350044134425+0.016964795806860642j),(-8.981584702594048e-12-1.1637606304569628e-12j),(-6.495081726942975e-10-4.792228453097418e-10j),(-0.03174334335880103-0.1586130749370777j),(3.30118050896414e-07+7.1183957139690865e-06j),(5.97337437425072e-05+1.65791063565697e-05j),(0.00041650895319586523-0.00022769646553799736j),(2.2715561332700294e-06-4.169540510344989e-05j),(-1.1641936673882295e-07+2.828946935822522e-08j),(-0.0001074760701780121-3.405286892053812e-05j)
0.11,(-1.3213367079562228e-05-6.320033808978977e-07j),(4.60438922116584e-06+4.0440554036455395e-07j),(0.00045811218625863546+0.0004397020212676396j),(-1.998129837544645e-08-2.809547696180749e-08j),(-0.0009576772900793155+0.0019662651704509815j),(1.7572891735765693e-06-2.004701033856534e-06j),(31.243327862180696-0.045419424445533485j),(-2.917730592339321e-08-7.297997318180139e-08j),(0.0005419522738099392-0.0005828346013794191j),(-0.085153726240142-0.0514463190270318j),(-0.00370784446043013+0.021084355285979055j),(-1.867554533285028e-11+8.377486429007205e-12j),(-1.4448555135307708e-09-4.4062172732393705e-10j),(-0.05379159756756507-0.14639924595660914j),(3.26561839173602e-06+1.0114826221723965e-05j),(8.977928176578979e-05+1.8315280602577263e-05j),(0.0005698203856548533-0.00038916470686699213j),(-3.6271683190560072e-06-6.245476131801743e-05j),(-1.1981012574326282e-07+9.528247119493944e-08j),(-0.0001182002241348987+1.527752273702835e-06j)
0.12,(-1.635874865818137e-05+4.358406378758172e-06j),(6.826987344168692e-06-6.809191760381324e-07j),(0.0005962409202988091+0.0002918004248465132j),(-4.1888783174760254e-08-4.2407781404595847e-08j),(-0.0010411237134781818+0.002842203598806859j),(2.5169698056997986e-06-3.568850350321102e-06j),(30.084358523335716-4.568782189510728j),(-7.490950773380332e-08-8.231246929113902e-08j),(0.0003658957469715161-0.0007446776674724336j),(-0.1021452688899694-0.0409812534065111j),(0.0013325847035497388+0.02458049610610928j),(-2.6938234153960052e-11+3.440879042523034e-11j),(-2.7595518362262333e-09+5.020609254001775e-11j),(-0.07176208015213642-0.13077860090732563j),(8.393113880106213e-06+1.3174346751990483e-05j),(0.00013218651855771655+1.748099201732253e-05j),(0.0007578268803993521-0.0006317719224073773j),(-1.514690079140089e-05-9.10525651092634e-05j),(-8.91094255242629e-08+1.7310754122894643e-07j),(-0.00011722305847001445+3.957528873012604e-05j)
0.13,(-1.8288776639150294e-05+1.1432038221191293e-05j),(9.667558085500882e-06-2.7698038612844206e-06j),(0.0006854907383148979+0.00010501929597860071j),(-8.067344550093976e-08-6.034937658988999e-08j),(-0.0010267060933128519+0.004007846486201553j),(3.4344741783560025e-06-6.103556946711764e-06j),(28.19250527239476-8.750424436917156j),(-1.3833438728581856e-07-7.358870588328773e-08j),(0.00014464515013310494-0.0008504796314535646j),(-0.11787815775704039-0.02727845312628999j),(0.007672833396990349+0.027113320113851397j),(-2.0125456082448836e-11+8.672008745293897e-11j),(-4.695532810752394e-09+1.4970033162068061e-09j),(-0.08526195212433502-0.11309644552339468j),(1.644895261097474e-05+1.5583317024672352e-05j),(0.00019102855842042+1.1732737197133432e-05j),(0.0009814722960284183-0.000985501395029444j),(-3.5326409096548684e-05-0.00012975904955339688j),(-1.524569917048398e-08+2.462270804240339e-07j),(-0.00010459489357310546+7.642110624652089e-05j)
0.14,(-1.8137155055216597e-05+2.0529241171229322e-05j),(1.3123024442539321e-05-6.3702863228487354e-06j),(0.0007176646730655711-0.00010446972622622102j),(-1.4605292822145975e-07-8.055667941563245e-08j),(-0.0008455823281801305+0.0055311490518706475j),(4.432191797834802e-06-1.0085577792935429e-05j),(25.66167170944027-12.467107466584883j),(-2.167367513978564e-07-3.4808827099586324e-08j),(-0.00010335123708506827-0.0008903821015698213j),(-0.1319648963119367-0.010736528536293505j),(0.015179555297520422+0.028358529007247585j),(2.927094796103108e-11+1.7180009330370703e-10j),(-7.2158779392394836e-09+4.695150237994199e-09j),(-0.09431121140575212-0.09466384420951598j),(2.8163396024191872e-05+1.619344694867028e-05j),(0.00027136466599353166-2.6082712267558436e-06j),(0.0012388812021310188-0.0014893321430957296j),(-6.854560505806706e-05-0.00018146531608310764j),(1.0441355143986591e-07+2.937497767958444e-07j),(-8.133372934313865e-05+0.00010889789936253331j)
0.15,(-1.4928308794203945e-05+3.135949653322749e-05j),(1.7083743001133233e-05-1.2175209104760333e-05j),(0.000689468756049854-0.0003203446783082365j),(-2.5205327659144114e-07-9.949007246703591e-08j),(-0.00039895600368617854+0.007488401536368531j),(5.324985312889247e-06-1.6170562256323e-05j),(22.605782076177576-15.620225180526186j),(-3.024209333505441e-07+4.796988481327781e-08j),(-0.00035916327517021194-0.0008602130889301376j),(-0.14423729501169524+0.008257966095937819j),(0.02367890549964068+0.027999683274757974j),(1.6711723662491362e-10+2.8389264119329583e-10j),(-1.000032100203288e-08+1.0809749042051498e-08j),(-0.09929323559206842-0.07663863610187073j),(4.413398620191473e-05+1.3302065173153477e-05j),(0.0003792650744231135-3.118058053210826e-05j),(0.0015233328496185021-0.0021940345986495224j),(-0.00012122780754568647-0.0002498075073039464j),(2.636589045370654e-07+2.9201077725561114e-07j),(-4.90519203439137e-05+0.00013445446810174462j)
0.16,(-7.585851823461446e-06+4.334156044466936e-05j),(2.1245828116656795e-05-2.1112424535829583e-05j),(0.0006013932581165021-0.0005271818358683614j),(-4.1849743465593994e-07-1.0991442812919603e-07j),(0.0004528671835669598+0.009960320990528175j),(5.749115466379114e-06-2.5234870506371653e-05j),(19.152390158902236-18.13863683013j),(-3.8086025897316787e-07+1.8954564295422395e-07j),(-0.0006046619701576992-0.000760385056337236j),(-0.1547179585463267+0.029439758372654015j),(0.0329550109865506+0.025713795718859633j),(4.5959160375046694e-10+3.9096994450799303e-10j),(-1.2238386712890881e-08+2.1447979340022717e-08j),(-0.10087249617338667-0.05993186809388616j),(6.462533532543212e-05+4.533115126102315e-06j),(0.0005216400693480398-8.239780895436395e-05j),(0.0018197121172955771-0.003165565584201023j),(-0.00020290742822550058-0.0003391348446587448j),(4.461811160069867e-07+2.178955572425651e-07j),(-9.683715639531421e-06+0.00015108637861150075j)
0.17,(5.044676485913505e-06+5.550401825917606e-05j),(2.4968315530868407e-05-3.4384125965186884e-05j),(0.00045670720705672256-0.0007107017778709712j),(-6.727735907117804e-07-9.853099324163423e-08j),(0.0019034337622514357+0.013023447487094664j),(5.058880973982761e-06-3.841169030234355e-05j),(15.436093897844493-19.97987300485112j),(-4.28624135109845e-07+4.035748183004861e-07j),(-0.0008229847540107262-0.0005948608369184902j),(-0.1635433449156946+0.05275994881793162j),(0.04273319686989797+0.02115707141880967j),(9.90046516184509e-10+4.155584122517851e-10j),(-1.2345065605771425e-08+3.8719308088858544e-08j),(-0.09989084875037027-0.04514838803408992j),(8.927020215377182e-05-1.3253798700665803e-05j),(0.0007057444571366947-0.0001684239204623254j),(0.0020986721948488074-0.004488637136851859j),(-0.00032772505708367054-0.0004541039720951811j),(6.25499113679886e-07+5.228219529605277e-08j),(3.46275606436845e-05+0.00015719401627313457j)
0.18,(2.4121728889794524e-05+6.634304840429014e-05j),(2.7062194378685615e-05-5.3464689459076475e-05j),(0.000260940444660554-0.0008575400218759951j),(-1.0516953668183917e-06-4.241443695351157e-08j),(0.004213664431281952+0.016734908622307403j),(2.184169127233182e-06-5.710829021290813e-05j),(11.592155613006266-21.129797838752577j),(-4.114096564346748e-07+6.992429398650428e-07j),(-0.0009985114292610138-0.0003705580744060645j),(-0.1708445700259033+0.07844689145527596j),(0.052647726102964275+0.013959851481113972j),(1.8480522782856298e-09+2.1134093456792442e-10j),(-7.576178499272215e-09+6.527574351815171e-08j),(-0.09725493182185063-0.032565450290295755j),(0.00011665269051851267-4.397719607537515e-05j),(0.0009382187695900707-0.0003062105737058283j),(0.0023077822162879914-0.006269565470122141j),(-0.0005163165600103116-0.0005985968326447688j),(7.657109162744728e-07-2.168539702584638e-07j),(8.149452542091952e-05+0.0001514811428351433j)
0.19,(5.0639392972956016e-05+7.366117289878847e-05j),(2.5512375573975547e-05-8.00129977612193e-05j),(2.1965398699307222e-05-0.0009549951992656224j),(-1.6030535727388013e-06+9.605946221128044e-08j),(0.007723381330518193+0.021108988757901872j),(-4.5534959253483694e-06-8.29850240290367e-05j),(7.750670924345359-21.600902413968996j),(-2.8284268506089707e-07+1.076281126276082e-06j),(-0.001116790079485904-9.73016240354423e-05j),(-0.17660092888336448+0.10701600316626805j),(0.06219873938461272+0.0037397906298067274j),(3.1082172106445367e-09-4.6249157887999433e-10j),(6.489663785464761e-09+1.0431762837596757e-07j),(-0.09382779399529388-0.022148935770419056j),(0.00014377560269139626-9.219942160654441e-05j),(0.0012235463778879844-0.0005184161890357914j),(0.002359232642959789-0.008637004234874178j),(-0.000797909637867747-0.0007736192990012689j),(8.225131868951055e-07-5.916604323055377e-07j),(0.00012817518065931573+0.00013297479590895157j)
0.2,(8.513513640787723e-05+7.444071864526694e-05j),(1.7156150551920983e-05-0.00011564811506447118j),(-0.0002495000815313606-0.0009911601736130114j),(-2.386237507462457e-06+3.759469626383634e-07j),(0.012857271655565414+0.026084832935630634j),(-1.7660620507665158e-05-0.00011787153812260355j),(4.031554407734095-21.429472343810513j),(1.4988626522273947e-08+1.518339458268623e-06j),(-0.0011648027734161264+0.00021184768160450025j),(-0.18048674577767637+0.13921833615101975j),(0.07070726391427347-0.009860322411469384j),(4.797312726805473e-09-1.9663438847677727e-09j),(3.6646261647179484e-08+1.59537487614448e-07j),(-0.09033679664646187-0.01360216657640851j),(0.00016544957425249787-0.00016276143124655372j),(0.0015618646570420862-0.0008339420757533158j),(0.0021142181345282455-0.011738762002294394j),(-0.0012122555938022372-0.0009738651940113131j),(7.441742585030175e-07-1.0614478600866134e-06j),(0.00017148936949914128+0.00010118476602914158j)
0.21,(0.0001272735792701965+6.482535958459858e-05j),(-2.62867097223583e-06-0.00016153932479579027j),(-0.0005393299212862324-0.0009556283321087681j),(-3.4711053664128395e-06+8.860189334292668e-07j),(0.020120962585878133+0.03148597585086976j),(-4.071069942966292e-05-0.00016359336454598516j),(0.540524954004514-20.671914439833852j),(5.481928023720245e-07+1.9852414011952625e-06j),(-0.001131749728474205+0.0005402387869480836j),(-0.18173413583470005+0.175924590084465j),(0.07727953989014791-0.027107499070061665j),(6.849419646264747e-09-4.8018247207015755e-09j),(9.298531527943692e-08+2.3494737068771326e-07j),(-0.08730647818989293-0.006438590057821256j),(0.0001736867936675469-0.00026010617035471706j),(0.0019461900065887924-0.0012877709000820544j),(0.001364840057431995-0.015732633585801833j),(-0.0018108079708046448-0.0011827207598413257j),(4.726552598764929e-07-1.5988131203939825e-06j),(0.00020784804048324553+5.635713015439425e-05j)
0.22,(0.00017534781888084032+4.028936904707761e-05j),(-4.0140785548727844e-05-0.00021778216836589568j),(-0.0008297549181245935-0.0008407464910492562j),(-4.9342478799438715e-06+1.75405549374408e-06j),(0.0300827620366104+0.036974361901584145j),(-7.857175344483624e-05-0.00022168546277298774j),(-2.633812823464934-19.40054272984672j),(1.3840080167436071e-06+2.4052680719506416e-06j),(-0.0010103084206471255+0.0008676138273341254j),(-0.17903699835209932+0.21795088668136872j),(0.0807938002023167-0.048088760999225905j),(9.04999261438237e-09-9.627385744107725e-09j),(1.9010071449996764e-07+3.3449784297966443e-07j),(-0.08502140110894896-6.810370916141126e-05j),(0.00015723479318516527-0.0003872394610109165j),(0.0023592597879890324-0.0019197809049178115j),(-0.00018459841930454184-0.020769320709241448j),(-0.0026563826530944567-0.0013657291434255453j),(-5.418786759577606e-08-2.15418778364747e-06j),(0.00023344212166244584-2.5867330943694217e-07j)
0.23,(0.00022578639961743822-3.948239252546591e-06j),(-0.00010337320736537837-0.00028256987681467196j),(-0.001099778837523737-0.0006431702204423988j),(-6.851940042164126e-06+3.1559819819203493e-06j),(0.04333725335922661+0.04200351380043492j),(-0.0001375748603104107-0.00029297687220092116j),(-5.421775031040891-17.699115828829907j),(2.5796402447279585e-06+2.669162800924124e-06j),(-0.0007981307364170959+0.0011707262241446776j),(-0.1705187040046728+0.2658430117308908j),(0.07992172321651211-0.07260554619506054j),(1.0971183501331731e-08-1.7266286985801044e-08j),(3.4858772533280743e-07+4.6136737611472386e-07j),(-0.08352053615129565+0.006114536514183673j),(0.00010142100779825207-0.000544337820188423j),(0.002770310786017174-0.0027722307680462894j),(-0.002933945309454313-0.026966080641337237j),(-0.0038204722974969647-0.001462896175886191j),(-8.977921750365949e-07-2.648918496730332e-06j),(0.00024458589437326725-6.622522732668398e-05j)
0.24,(0.00027278066868619-7.224996189636874e-05j),(-0.00020171710424802568-0.00035121516060864465j),(-0.0013263570830946395-0.0003653287444374758j),(-9.289516989908981e-06+5.323416561068067e-06j),(0.06044852041331886+0.04577729859365306j),(-0.00022556864571583862-0.00037705021694990816j),(-7.773347230624904-15.658390884244067j),(4.167400540656981e-06+2.627777091655676e-06j),(-0.0004991942215151943+0.001424686556983626j),(-0.15377668269781866+0.31964007443267556j),(0.07319185374993373-0.1000649082185929j),(1.1900644284720043e-08-2.8707227939309517e-08j),(5.968175096336681e-07+6.167540144794704e-07j),(-0.08261969015594703+0.012649043712582183j),(-1.1506834199482652e-05-0.0007270836133843008j),(0.0031323336620604596-0.003885777305899992j),(-0.007397641954063642-0.03437070502068842j),(-0.005377410661830414-0.0013805288015828836j),(-2.1098916558315846e-06-2.9679315892802054e-06j),(0.00023815487850085162-0.00013788973403623523j)
0.25,(0.00030815873977083145-0.0001676680033004188j),(-0.00034525573551581333-0.00041513496241302525j),(-0.0014862551186540127-1.642553034648261e-05j),(-1.2287572084063896e-05+8.547904434012319e-06j),(0.0818731309483365+0.047222045665356885j),(-0.0003517987373302371-0.00047160204643081796j),(-9.657984028295624-13.371917542216636j),(6.137466299935404e-06+2.0951632213201405e-06j),(-0.00012465469027153923+0.0016049370921761082j),(-0.1260121365432406+0.3786453076293164j),(0.05909846773093816-0.12938385573374578j),(1.0765543014090903e-08-4.509924561904617e-08j),(9.72890360367243e-07+7.979865400636672e-07j),(-0.08195672201471636+0.01994468308848976j),(-0.0002013826339930898-0.0009249010500698623j),(0.0033803965833533517-0.005294062636224468j),(-0.014205131545311576-0.042916857195911706j),(-0.007394825820900605-0.0009837312579681484j),(-3.7181900168183423e-06-2.954165665206596e-06j),(0.00021203514882419362-0.000210548468216442j)
0.26,(0.00032160939027949377-0.000290937128321269j),(-0.000543597010084606-0.00046095680102187773j),(-0.0015583268529386733+0.0003873215519004596j),(-1.5846152454942012e-05+1.3179906755869344e-05j),(0.10786577267056774+0.04498014936087184j),(-0.000526551655576262-0.0005717539057691062j),(-11.063606184938626-10.932246154418575j),(8.42041589884057e-06+8.583085431372107e-07j),(0.00030707481035436457+0.0016895960565593113j),(-0.08424237860599909+0.44123397629560723j),(0.03625253948022022-0.15892486426389157j),(6.053584926352271e-09-6.774311937094549e-08j),(1.5265735913522117e-06+9.95806787478628e-07j),(-0.08105194443869418+0.028236671719395534j),(-0.0004883722707511326-0.0011193429881121736j),(0.003431630608377076-0.007017103093947832j),(-0.024087107154447965-0.05237341536332946j),(-0.009920233106150419-9.101384640172652e-05j),(-5.7068356572450435e-06-2.4077215581378503e-06j),(0.00016549376356629142-0.00027879258974007495j)
0.27,(0.0003013106307575934-0.00043949630642111146j),(-0.0008042527577039396-0.00046993379334441606j),(-0.001525840348660742+0.0008233297956056582j),(-1.9909000667505932e-05+1.9621318509426737e-05j),(0.13837368131738273+0.03743253275431565j),(-0.0007605234351161715-0.0006693939610788526j),(-11.994964045161426-8.427671839050657j),(1.0872151208722264e-05-1.3062301002152828e-06j),(0.0007711322327417017+0.0016618024913688792j),(-0.025582782020766914+0.5047246370058145j),(0.003564536519564912-0.18647804651179462j),(-4.269407136963471e-09-9.808252765354582e-08j),(2.3209586361071613e-06+1.1907113770822507e-06j),(-0.07937525592303596+0.03756575724107382j),(-0.0008904741235036956-0.0012829256603450632j),(0.0031874621151362983-0.009054016875267398j),(-0.0378444251537682-0.062292101690455806j),(-0.012964134409863166+0.0015274404599690148j),(-7.99327207257303e-06-1.092704336072245e-06j),(9.939794975453848e-05-0.00033698347988745666j)
0.28,(0.00023495453511159067-0.0006067038774001353j),(-0.001130649136170824-0.00041785852365417044j),(-0.0013784787835135642+0.0012641364645133231j),(-2.435036195524989e-05+2.8311304654322607e-05j),(0.17292879785271595+0.02275530829305919j),(-0.0010639039288190127-0.0007526480358568612j),(-12.471542323972855-5.939584867187281j),(1.3263878194152789e-05-4.609636461766872e-06j),(0.0012378350133921841+0.0015117005793501411j),(0.052421870595422+0.5653354835063505j),(-0.03955601889568894-0.20930175520558447j),(-2.284816193200936e-08-1.3769693233947258e-07j),(3.4334965894997215e-06+1.3483126949022112e-06j),(-0.07641230370015813+0.04778023199351181j),(-0.0014203923964768593-0.001378716767208836j),(0.0025384828122875466-0.01137587811875219j),(-0.05629792396726562-0.0719589427167833j),(-0.016480573424652516+0.004146370730038846j),(-1.0404570580013261e-05+1.2459042791116417e-06j),(1.6244751205989966e-05-0.00037978218760423516j)
