t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019
1.6600000000000001,(-57.356689900187874+54.89164049621717j),(101.35484444586798+89.82389749414459j),(-0.006390044678145621-0.008082676535810115j),(-36.49429985018251-87.27837226668973j),(-1.3325857041269096+0.22540635613923163j),(-44.543887751223565+98.90052506795786j),(6.354906685098375e-20-3.57386675671351e-21j),(-13.632121664211871-5.724533416042586j),(-0.00020981827997472202+0.00025497155449145974j),(0.007028984764411256+0.006974034418177273j),(-18.059061420889172-14.80395168349347j),(-8.661854028845873-9.920797778633755j),(-54.08303734409542-41.691642437388374j),(6.937752007037243e-12-9.451491869096135e-12j),(157.80607048857527-39.248543055290845j),(-1.0861293095469324-5.865076493544824j),(11.33468379042742+3.4966642359215503j),(-59.925428725878284-35.47521586683034j),(24.766034774679802-7.566474537076304j),(0.009377462118150087+0.0016405503740508677j)
1.67,(-43.346517000625546+69.47862021567603j),(115.36891258941718+63.86222343631517j),(-0.007943208000212877-0.006414582431106222j),(-52.67406059091552-76.42042442696227j),(-1.1323033074152462+0.39714601196465865j),(-20.907556166079075+103.02041345879073j),(-1.013225897312156e-20+9.145318155887638e-20j),(-15.117430424356352-1.969393153389806j),(-0.00014564205337182034+0.00028196839049112696j),(0.006860761658004762+0.005085716650703549j),(-20.422535401738457-9.51831035431356j),(-11.619117791866243-8.189049618692572j),(-62.09721692267195-29.714814954762993j),(3.767335739999339e-12-6.4160224764300315e-12j),(142.7120032658067-72.44017145202056j),(-2.1814268841474256-5.027010815281157j),(10.765685101271437+1.125181954078073j),(-62.311698038325865-20.580175159682987j),(22.983639069876695-14.277981095276516j),(0.009539573124411293-0.0005154775097134078j)
1.68,(-25.458869468431477+80.58657016946209j),(122.98971932790504+36.03928278284742j),(-0.00910747926420005-0.00438587390101947j),(-65.87036687155538-62.665180555055976j),(-0.9256313317668201+0.5141726274943405j),(2.4553298469367846+101.64804789672411j),(-1.5004979145193283e-19-3.9345582727842734e-20j),(-15.565325509141893+2.2174066720723804j),(-7.700900429529756e-05+0.0002946139760622533j),(0.006439162703900873+0.003453987441274259j),(-21.3435046163327-3.9451144854971663j),(-14.282832004381888-5.577695469766388j),(-67.51877565251037-16.248783213543792j),(1.83065934272014e-12-4.17643024855865e-12j),(120.63797349558466-100.95027020912735j),(-2.9867810886774544-4.031615186238285j),(9.78948632928632-0.8980330072936233j),(-61.31330498891067-6.293483896809606j),(19.343189845269013-20.6495205154662j),(0.009185371061434534-0.002731413704605528j)
1.69,(-4.529290926185077+87.13836580918898j),(124.06942524336208+7.8985179532133785j),(-0.009780441925357937-0.002083797420374428j),(-75.59507055921918-46.798258051895786j),(-0.7237739560689093+0.5813438416801275j),(24.282988987694694+95.09166449508263j),(1.05659298711478e-19-2.8346997554450303e-19j),(-14.83580163152705+6.547767205075891j),(-7.247483585694689e-06+0.0002916163291107945j),(0.005834495138810664+0.00209472909725266j),(-20.81639889363479+1.5333772572776656j),(-16.39306646719055-2.1130362751252605j),(-70.08560449834354-1.8396882939157564j),(7.390921939470836e-13-2.5881568051179926e-12j),(92.91039213921172-123.29893356931568j),(-3.4921167883227073-2.9598714637190016j),(8.518159054951653-2.520256351450178j),(-57.305536625452+6.659656221642006j),(13.876132665303327-26.157612041100226j),(0.008279268656558795-0.004875955501953487j)
1.7,(18.29467684582866+88.24668937998752j),(118.83106756986196-19.040213470173924j),(-0.009877850634403074+0.0003711534125050604j),(-81.56281531886691-29.677729975422185j),(-0.5357612454664812+0.6053397034727853j),(43.4340738455554+83.95124483964256j),(6.226732961577104e-19+2.555109758527977e-19j),(-12.869036070447557+10.684057083007382j),(5.98083243330766e-05+0.0002725067078324433j),(0.00511369407597804+0.0010090003380720616j),(-18.936609124989634+6.547433799800184j),(-17.679770141536938+2.102404563181701j),(-69.64584842222155+12.925020631180999j),(1.8904707097468056e-13-1.5137242372904846e-12j),(61.17660530108583-138.36538991820592j),(-3.7078153429645693-1.8885917098246314j),(7.065712435012493-3.718571865818048j),(-50.81242310220425+17.689307993240995j),(6.76306559359433-30.26306691203375j),(0.006820320176000883-0.006799133347406286j)
1.71,(41.59186766964855+83.30786715976592j),(107.85137968538623-43.37070355386041j),(-0.009345230598069383+0.002828115179455996j),(-83.69847235080155-12.181843437729817j),(-0.3682474107800893+0.5940031165644908j),(58.957056036205444+69.08069743910167j),(-5.548877934749146e-19+1.5833093932185222e-18j),(-9.70397742621441+14.261268165841015j),(0.00012002991226466923+0.00023785258106261798j),(0.004337427710262284+0.00018479581846301624j),(-15.894594626022554+10.767068597904998j),(-17.884884839258703+6.881176786243885j),(-66.16252907177959+27.437227849105774j),(-4.206190595458365e-14-8.26297865441622e-13j),(27.309758359464738-145.46084080356232j),(-3.662181535795718-0.8854890966311855j),(5.5408354940822555-4.497951941005161j),(-42.46483271686068+26.37040200710865j),(-1.6524696152080471-32.453557845567275j),(0.004851055915651446-0.008341395230498537j)
1.72,(63.73498979924749+72.09022517855958j),(92.02112632350726-63.88412536846685j),(-0.008169607875873458+0.005112906686500501j),(-82.13082847152518+4.84273313378452j),(-0.22548529610376133+0.5556868201910418j),(70.14878677374827+51.53263893638379j),(-4.510787679538081e-18-8.5844516257903735e-19j),(-5.4909823857820665+16.916413017524693j),(0.00016929612531126154+0.00018941744585524318j),(0.003557766635458735-0.00040058040595356746j),(-11.962325882884759+13.9272829756788j),(-16.789006199361076+11.94849310769544j),(-59.71486441813819+41.08839228109116j),(-1.0577727512528185e-13-4.1457081556725254e-13j),(-6.704146599499651-144.3762365913132j),(-3.397730584270273-0.005234135797523298j),(4.040633444294039-4.8876310785228405j),(-32.95272892473994+32.46003168500891j),(-10.862173358321852-32.29368726366507j),(0.0024641394390213685-0.009346628896320978j)
1.73,(82.98770113401844+54.80768236764499j),(72.48491973258031-79.64056702657261j),(-0.006389865398326993+0.007039732784023699j),(-77.1733323423527+20.628331805462924j),(-0.10946261545608647+0.4986534795205751j),(76.59755691588524+32.48867590287942j),(-8.658827256179373e-19-1.3489525701926938e-17j),(-0.495608679276609+18.323652676395923j),(0.00020387383670290263+0.00013022955276614014j),(0.0028165765165392826-0.0007777049488586011j),(-7.4726339220041+15.849043391414979j),(-14.240822062631166+16.94818431512074j),(-50.49691231563353+53.28915662501356j),(-9.624481795420474e-14-1.8676213088537084e-13j),(-38.8903406605388-135.40020469210498j),(-2.9666381826899038+0.7132142762429087j),(2.6457629819437574-4.93614946647782j),(-22.975192957520033+35.90128752341808j),(-20.206682277334725-29.47931044584063j),(-0.00019483994734031582-0.00967876441046313j)
1.74,(97.62873945693008+32.16845535028075j),(50.56401486539244-90.02306151510376j),(-0.0041038541564087224+0.008427489305328675j),(-69.29356494571859+34.52608483465153j),(-0.02017276772799497+0.4305665328518433j),(78.20663518609726+13.179582839528223j),(3.8307160636129243e-17-1.7170120802785545e-17j),(4.908985235997753+18.232558115418104j),(0.00022085049035167704+6.452176454783521e-05j),(0.002144720198795213-0.0009820162141941375j),(-2.792761286613308+16.45383957464303j),(-10.186796395847455+21.458610730952635j),(-38.813972396505676+63.48823037088026j),(-6.524781078866219e-14-7.24968870594117e-14j),(-67.41248162303059-119.30410598859254j),(-2.4257710508977226+1.2478263278154547j),(1.4172372609135435-4.705529187838273j),(-13.19203404089492+36.813495126718585j),(-28.90749462309078-23.89137432259851j),(-0.002930202938240015-0.00924089085495618j)
1.75,(106.09701841491216+5.388679083822019j),(27.667158163205663-94.76977917876155j),(-0.001470226974025136+0.009119859576462672j),(-59.07429332274136+46.03526519402018j),(0.04401564846482054+0.3581006034524366j),(75.19561618374848-5.199124856865609j),(1.0427454506207345e-16+8.602332602023221e-17j),(10.262888747757025+16.505681251722063j),(0.0002185735301032991-2.487423888067454e-06j),(0.0015620870314325915-0.0010508287873038597j),(1.7058712360297825+15.770068781891407j),(-4.69763512836481+25.019395132493532j),(-25.077117372924+71.19092770428455j),(-3.641320958501371e-14-2.2089345610213355e-14j),(-90.69389425519243-97.29346956029144j),(-1.831752436077132+1.5932340871607895j),(0.3950240628512396-4.265112246741163j),(-4.180772146179138+35.46991163379842j),(-36.11847680163652-15.64305397671325j),(-0.00550616517820551-0.007994993776939928j)
