t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B01_z_0000_00,B01_z_0001_00,B01_z_0002_00,B01_z_0003_00,B01_z_0004_00,B02_z_0000_00
0.9500000000000001,(0.006742011111038393-0.8111561201396846j),(-0.644654393536648-1.024314800321232j),(-0.5751789180270324-0.9528337401936813j),(0.12287783590027293-0.7224738196214852j),(-0.2589629469486179-0.05103180104857726j),(0.666398659821758+0.28240338541646726j),(0.17785823677766593+0.17185236667623255j),(-0.43346793747357804-0.43255204671074404j),(0.5152471928915473-1.3703556451769443j),(0.7802704521752872-0.642839592547074j),(-0.49360562862561147-2.2142446773780837j),(0.7403110512010312-0.1529267733405729j),(0.7936755726722773-0.49685345578979506j),(0.3430054363167227-1.2344778638281029j)
0.96,(0.00758259155632307-0.8191817657484582j),(-0.6624931500969846-1.0456839006909364j),(-0.5947983029863615-0.9736994627857237j),(0.12378318116628197-0.743586419254611j),(-0.26823019574582535-0.06251466669096423j),(0.664685529476104+0.27616175180945074j),(0.16938546753257255+0.16212843216225759j),(-0.44343501245893335-0.4464062858054894j),(0.5297987164521718-1.4111262628578862j),(0.7892755014899964-0.6483061823492037j),(-0.5430331987903986-2.298917935753712j),(0.7542176033846723-0.15137228639848818j),(0.8083205628625564-0.5030829854719696j),(0.35301705785806103-1.2715249170148197j)
0.97,(0.009453553008094532-0.8275895533801687j),(-0.6820304338568794-1.0675919149944897j),(-0.6160559702138687-0.9949942527791175j),(0.12455921940551429-0.7647774829409624j),(-0.27798242565621106-0.07489716410402647j),(0.6631497284837521+0.2697874962987591j),(0.16063534478325397+0.15165605686291803j),(-0.45405759265182344-0.4609998595978736j),(0.5455716776746279-1.4531377240580121j),(0.7984173988221936-0.6538418026639049j),(-0.5974066311622944-2.3886600336652006j),(0.7688570883074163-0.1489432236370261j),(0.8237405230530671-0.5088879693908986j),(0.3634744777928552-1.310200788224312j)
0.98,(0.012328716762219066-0.8365448872127441j),(-0.7033855383147775-1.0899432635218351j),(-0.6389723124501199-1.0165506665519684j),(0.12520204724943196-0.7860063287070459j),(-0.2882114682673816-0.08812371345797922j),(0.6618303417063356+0.26336153843441346j),(0.15165105368667187+0.14047589609757943j),(-0.46535938001160015-0.4762284457485492j),(0.5627969173376226-1.4962037042826917j),(0.8077189365836989-0.659077423305712j),(-0.6571425168645617-2.483125872893077j),(0.7846029569337918-0.14586033937213366j),(0.8399627586057854-0.5140976087568802j),(0.37440467923973103-1.350575541947577j)
0.99,(0.016146457103761017-0.8461895957652021j),(-0.726659626271423-1.1126317714517449j),(-0.6635417951476438-1.0382069446750337j),(0.12571715618049442-0.8072331735062879j),(-0.29891152413670746-0.10212967364068466j),(0.6607670268100638+0.25696473320205926j),(0.14247758602084362+0.12863476859822184j),(-0.4773690938147973-0.4919809224132092j),(0.5814372412192867-1.5404774751911103j),(0.8169647210539198-0.6643116467918313j),(-0.723188344589717-2.58305276135192j),(0.8012622100152776-0.14186505418579526j),(0.8569110522119476-0.5186065387089135j),(0.3858364186194683-1.3927225568157913j)
1.0,(0.020812975227878113-0.8566315278993218j),(-0.7519254577422175-1.1355372681576665j),(-0.6897254621038499-1.0598154487788083j),(0.12611973653473668-0.8284188486782861j),(-0.3100843350555118-0.11684239224957693j),(0.6599989878829615+0.2506752171595207j),(0.13315960425351703+0.11618546197100499j),(-0.4901246005106825-0.5081454815979558j),(0.601578092895329-1.5858239385226307j),(0.8259438605091067-0.6694147247045633j),(-0.7961692956860238-2.688420508145859j),(0.819094724997931-0.13691520538177665j),(0.8746078548015994-0.5222117214403574j),(0.397800317788627-1.4367185045607174j)
1.01,(0.02620616035690505-0.8679438287436746j),(-0.7792276983403257-1.1585283024428166j),(-0.7174580552061514-1.0812414966192732j),(0.12643450206041346-0.8495246470653521j),(-0.3217398530642538-0.13218327259633605j),(0.6595644003736404+0.2445686196983975j),(0.12373910765628113+0.10318471337382334j),(-0.5036712837298456-0.5246103828555195j),(0.6232455659433184-1.632270025606426j),(0.8344960832637078-0.6745837928566216j),(-0.8771798606333295-2.7996087733204797j),(0.8380480727587545-0.13086067916987143j),(0.8930043857641595-0.5247276953098475j),(0.41032900057147764-1.482643457541359j)
1.02,(0.0321961128406022-0.8801603615403483j),(-0.8086040033256883-1.1814804028757557j),(-0.746706790126827-1.1023584642751276j),(0.12669456071260277-0.8705137272118667j),(-0.3338880214886329-0.14808573487472196j),(0.6594974759085808+0.2387201387152781j),(0.11425004475124154+0.08967770810816879j),(-0.5180458029600421-0.5412766450453598j),(0.646451280098082-1.6796624694718476j),(0.8423088029043195-0.6798661161150664j),(-0.9671084749419603-2.916629281108792j),(0.8583236422927633-0.1235243077446048j),(0.9121403328335895-0.5258620183608578j),(0.4234572266699798-1.5305810111944171j)
1.03,(0.03865450938407547-0.8932779467135317j),(-0.8400680780263272-1.2042614815847807j),(-0.7774503899717646-1.1230547065733698j),(0.12693954357775-0.8913521202269341j),(-0.34654063054294093-0.16448933728954154j),(0.6598276701655726+0.23320237960427193j),(0.10472251015814638+0.0757054093748047j),(-0.533284087070187-0.5580578515338819j),(0.6711854418087574-1.727990344752078j),(0.8492338480602192-0.6855610844262491j),(-1.0673685735632514-3.039724028099251j),(0.8798403566979572-0.1147181143738525j),(0.9319781226005599-0.5253388350321814j),(0.4372219288142499-1.5806182116899876j)
1.04,(0.04546696668059995-0.9072575779042834j),(-0.8735761677737146-1.2267218350926894j),(-0.8096518398776733-1.143234876076277j),(0.1272142996766167-0.9120065897184223j),(-0.3597273039700699-0.18133096290820516j),(0.6605781055728991+0.22808312648666396j),(0.09517374225416872+0.06131185725608361j),(-0.5494329570020923-0.5748711067479527j),(0.6973864306953236-1.776940953705244j),(0.8548441801479116-0.6917808061810907j),(-1.1789011549323827-3.1685576470080896j),(0.9029221957346653-0.10413445115187217j),(0.9526172529230524-0.5226595738588133j),(0.45166224548788786-1.6328453954630595j)
1.05,(0.05253575824993291-0.9220313703985068j),(-0.9090453839091139-1.248702065531932j),(-0.843271329462538-1.16281448665322j),(0.12756825476428074-0.9324461905490429j),(-0.37348964467772716-0.1985427618436884j),(0.6617669559712944+0.22342665244206125j),(0.08560981666852494+0.04654301464908261j),(-0.5665423980588121-0.5916320449186576j),(0.7249747965688997-1.826522210655576j),(0.8591256195837478-0.6990001085841969j),(-1.3036205895630497-3.303212485932905j),(0.9273461289527204-0.09153857808157256j),(0.9740119252251928-0.5174397715805698j),(0.4668197055020091-1.6873562749554747j)
1.06,(0.05977666007179561-0.9375124231743411j),(-0.9464107735263384-1.2700615866753022j),(-0.878298870008327-1.1817148152766066j),(0.12804920150570354-0.9526396569334307j),(-0.3878667728718508-0.2160831839311653j),(0.6634005189912833+0.2193021116466217j),(0.07603071906749251+0.031430413168933975j),(-0.584658515820447-0.6082861990950197j),(0.7537414269136358-1.8762672299893j),(0.861622227901821-0.7074522260696642j),(-1.442526487468413-3.442907912064923j),(0.9535097648404955-0.07641533758492583j),(0.9963014695829735-0.5088960730294542j),(0.4827382808994426-1.74424791704642j)
1.07,(0.0671235478134777-0.9536026140443618j),(-0.9855929873548155-1.2906587884229233j),(-0.9147214595182406-1.1998608982977579j),(0.1287040772393093-0.9725570746618301j),(-0.40289860382323434-0.23391393316346498j),(0.6654775369886725+0.2157743814622646j),(0.06643159695631225+0.01600301514194926j),(-0.603821450145888-0.6247870885315661j),(0.7834315189019779-1.9259788663251256j),(0.8623150474414931-0.7176133139901231j),(-1.5974258848466782-3.587044730771955j),(0.9813624990023775-0.05830707120535546j),(1.0194930530874695-0.496327806851488j),(0.49946431347582076-1.8036203674404567j)
1.08,(0.0745390744451683-0.9702120174767536j),(-1.0265042277761922-1.3103464136155427j),(-0.952525379010249-1.2171671594193807j),(0.1295817589866069-0.9921778173012387j),(-0.41861682410380896-0.2519605245827469j),(0.6680009221162786+0.21289794895575212j),(0.05680722310358681+0.0003008533833251392j),(-0.6240440080152576-0.6410483996238592j),(0.8138049376235591-1.9753734748372527j),(0.8613543940903247-0.7297604194932675j),(-1.7701128008535185-3.7345669053092623j),(1.010993540145908-0.036812487640207045j),(1.043559808380989-0.4790088328179404j),(0.5170465648040052-1.8655764589694925j)
1.09,(0.08200238472197105-0.9872467331742406j),(-1.0690340040886384-1.3289809740646952j),(-0.9916716881342219-1.2335435001968926j),(0.13072940970800892-1.011482455057531j),(-0.4350569029821045-0.27014208601529194j),(0.6709682874520805+0.21072493255777652j),(0.04714464506811655-0.01563528116235525j),(-0.6453366584577861-0.6569787774518924j),(0.8440162293484764-2.0238257888802784j),(0.8583798212157697-0.744406326060005j),(-1.9611981984834732-3.8838876487376273j),(1.0428284624784634-0.010588829030488404j),(1.0685069230144768-0.455654692976129j),(0.5355363506068315-1.9302217926310168j)
1.1,(0.08948719344525827-1.0045878028534712j),(-1.1130633814180937-1.3464521493028483j),(-1.0321133351754193-1.2489126326408997j),(0.13218302046929842-1.0304364652120008j),(-0.45227997326224906-0.28844192056201456j),(0.6743544233081251+0.20931679947497275j),(0.037416204945277615-0.031787030379838724j),(-0.6677514699024256-0.6725642695339804j),(0.8741200276670594-2.071422150739961j),(0.8545503730274066-0.7612923074257917j),(-2.1734214134593732-4.033395843769668j),(1.0767682428628929+0.020110195475343595j),(1.0939893854774245-0.42630970326020107j),(0.5549874476268144-1.997664398865263j)
1.11,(0.09698624174689682-1.0221377128516216j),(-1.158490678094588-1.3626400630859732j),(-1.0738019068510454-1.2631885513265646j),(0.13397857687817039-1.04901733351802j),(-0.47032123645620866-0.30680373010650414j),(0.6781418270543526+0.20872164263119408j),(0.02760552559317004-0.048125900341244185j),(-0.6912983434468467-0.6877475650006638j),(0.9028670592417721-2.1176065995412476j),(0.84963383645288-0.7808013725091162j),(-2.406881768253069-4.180952542279097j),(1.1134489963176666+0.05710939349448655j),(1.119720073013285-0.39012481201160504j),(0.5754557953838184-2.0680140001122447j)
1.12,(0.10451134501073821-1.039825383540982j),(-1.2052092508302394-1.377405362987952j),(-1.1166523526663223-1.2762727837342813j),(0.13615415565887454-1.0672176409717047j),(-0.48918355901287863-0.3251136675242151j),(0.682323485143606+0.2089734702673593j),(0.017707428195598465-0.06460810101156232j),(-0.7159373426015957-0.7024081560251867j),(0.9298363099081206-2.1626532333528625j),(0.8447090793864654-0.8026268457910294j),(-2.6640340137222913-4.324358571536345j),(1.1530484284297446+0.10064343172494714j),(1.1451916094605217-0.3480174382639274j),(0.5969996283131247-2.1413818408009857j)
1.1300000000000001,(0.11206661134651569-1.0575537986454326j),(-1.253067672760582-1.3906524716625417j),(-1.1605741104870355-1.2880849322062897j),(0.13873523227264603-1.0850117035711286j),(-0.5089045942720567-0.34331710454241304j),(0.6868704824472722+0.2101146576636589j),(0.007698005025463932-0.08120747913957692j),(-0.741676241339638-0.7165006078727152j),(0.9551120917012477-2.206288887814068j),(0.8401703728896968-0.8259774961579579j),(-2.9450013407924067-4.46015613565872j),(1.1970060551435024+0.15035967999025107j),(1.1708302463643199-0.3018950736258442j),(0.619679517055551-2.2178806247026195j)
1.1400000000000001,(0.11965685980520575-1.0752312659539862j),(-1.301949471722636-1.4022983599390042j),(-1.2055007491495071-1.298547379696317j),(0.1417403772327063-1.1023749603794675j),(-0.5295178509911841-0.361363339660555j),(0.6917555156948826+0.21217967761169185j),(-0.0024397909216644226-0.09789977229988414j),(-0.7685162833227578-0.7299818678948196j),(0.976694437846173-2.248928080364418j),(0.8361296766212243-0.8517865418717735j),(-3.252236183812818-4.586026908113482j),(1.2461065144302204+0.20764880456724766j),(1.197298029750821-0.253920416940209j),(0.6435578833692043-2.297623454018884j)
1.1500000000000001,(0.12729891685574182-1.0927888609392853j),(-1.3516901277229594-1.4122510844734282j),(-1.2513001522165847-1.3075833461139763j),(0.1451903155995074-1.1192952970562124j),(-0.5510245670962085-0.37915612226871903j),(0.6969572261334869+0.2151910998534892j),(-0.012713310389520395-0.1146495756636827j),(-0.7964195783556787-0.7427684105870893j),(0.9954752837086237-2.2895805713399806j),(0.8327595286803586-0.879094007671976j),(-3.580344039708722-4.695888498148042j),(1.303782191426526+0.2696181261738668j),(1.227647534828558-0.20950375024684967j),(0.6686984131375886-2.3807225797509597j)
1.16,(0.1350091841997941-1.1101552043198655j),(-1.4021005722486282-1.420438263499363j),(-1.297820252835097-1.3151323613760242j),(0.14909886725179125-1.1357556495186272j),(-0.5734239710445234-0.39661183834508146j),(0.7024426032623773+0.21916966489147352j),(-0.023133266207183353-0.13142554116822266j),(-0.8253471933167159-0.7548013061041486j),(1.0068420199288115-2.328430914210769j),(0.8298489533082645-0.9111032483597711j),(-3.930190601547638-4.78740625714811j),(1.3721496955528314+0.3364622143848859j),(1.2661865941806922-0.17335919182604553j),(0.6951664365659276-2.467289990320244j)
1.17,(0.14279406151280272-1.127258732530475j),(-1.453078169325808-1.426811208116806j),(-1.34499229649036-1.3211311128057734j),(0.1534673454137324-1.1517377731411915j),(-0.5967269273266865-0.41366240337290405j),(0.7081907634105213+0.22412693393125294j),(-0.03370126039220214-0.14819640231403797j),(-0.8552664531244563-0.766019097963051j),(1.0069435636178228-2.3636988938876216j),(0.8283053362843831-0.9505402689421768j),(-4.285744272571857-4.855079501746382j),(1.4549186530876723+0.4042765660233604j),(1.3189262020993309-0.1527118021204257j),(0.7230289433045042-2.557437398367477j)
1.18,(0.15066579882797626-1.1440404453961275j),(-1.504462054855403-1.4313303866381355j),(-1.3926845525461258-1.3255326926082447j),(0.1582975456721002-1.167229027280737j),(-0.6209225768389591-0.43022054910966523j),(0.714179454940848+0.23006520639604683j),(-0.04441494254356008-0.16492751742514022j),(-0.8861248531759767-0.7763547011248884j),(0.9853035158082131-2.3950972004058375j),(0.8323932740971398-1.0032373737176241j),(-4.6323739731119264-4.898892229957994j),(1.5521193995435727+0.46982856103633935j),(1.3901529078795098-0.15055464981027256j),(0.7523534173019499-2.6512737471130166j)
1.19,(0.15864123457976737-1.1604426517794084j),(-1.5560048342982884-1.4339750757191998j),(-1.4406827549947714-1.3283226191667548j),(0.1635903911208618-1.1822131280909711j),(-0.64598361715283-0.44620480075366187j),(0.7203661139191526+0.23698434962658582j),(-0.05527838965430719-0.18158954844840636j),(-0.9178610121003836-0.7857762911060964j),(0.9273033983991357-2.425424323279581j),(0.8524584631362104-1.0719663106565724j),(-4.951161532892348-4.923151195060078j),(1.6572497405853277+0.5313060137316649j),(1.4774958407470342-0.16307067078497042j),(0.7832067624763326-2.7489036220264804j)
1.2,(0.16672563585538805-1.1764075280924502j),(-1.6075589874865153-1.4347432437727994j),(-1.488862721077632-1.3294850833697884j),(0.16933357025723644-1.1966716377875035j),(-0.6718890358272187-0.46155247437196073j),(0.7267157643712103+0.24487775855169386j),(-0.06628754735397006-0.19815172508447615j),(-0.9504123385744286-0.7942496702103945j),(0.8216902468920266-2.4668504565429736j),(0.9009112076157353-1.146917200687118j),(-5.233086228479053-4.936067203456469j),(1.75866381874206+0.5895412394358549j),(1.567217783944311-0.17702873728452306j),(0.8156560757008445-2.8504288527895794j)
1.21,(0.17492176772759463-1.191901739865286j),(-1.659019100828084-1.433640800579058j),(-1.5371337802037346-1.3289923042547869j),(0.17551176774303226-1.2106051860511928j),(-0.6986045943539241-0.4761582130335557j),(0.7332365257765598+0.2537202432892343j),(-0.07741573016146261-0.21456495728686775j),(-0.9836954721748576-0.8016684217234665j),(0.6718959321294015-2.5389735365463166j),(0.9767781167374432-1.2070522150528122j),(-5.484961244636869-4.943501751960814j),(1.8468104917032557+0.6487967600301718j),(1.6475794653570555-0.17971163254567935j),(0.8497687100916866-2.9559485866004422j)
1.22,(0.18323482317156375-1.2068815779556978j),(-1.7102034232917254-1.4307017560411222j),(-1.5853338002070858-1.3268620821732138j),(0.18210838675997545-1.2240000314514043j),(-0.7260897307716496-0.48995472111593946j),(0.7398979584119479+0.26348750816484345j),(-0.08865412290291026-0.23079689170364154j),(-1.0176319023051479-0.8080056656057584j),(0.49706385734445035-2.65525215197516j),(1.0612529237676227-1.239304948662599j),(-5.711434072440447-4.947130291952227j),(1.9196787425153872+0.7119117796448569j),(1.7137949678080246-0.16527683723379133j),(0.8856117886544915-3.0655580649914227j)
1.23,(0.19167023105941597-1.2212898014828353j),(-1.760876729975479-1.4259876491865258j),(-1.633250054920968-1.3231550585852345j),(0.18910364187656484-1.2368253006020025j),(-0.7543015853992436-0.5029218383024339j),(0.7466272888751899+0.27415789788365075j),(-0.10001305337124757-0.2468337368778754j),(-1.052150671999896-0.8133192283190015j),(0.31501732594229676-2.8104585679293743j),(1.138258590190427-1.2497972053265287j),(-5.9117200109689465-4.947706983293176j),(1.9786843573233595+0.7785445489115917j),(1.7677121961930662-0.1362537109109145j),(0.923249654273777-3.179345194076685j)
1.24,(0.20022405356127337-1.2350950373566123j),(-1.8109299022346224-1.4195565107743036j),(-1.6807789459822469-1.3179008998607815j),(0.19647038110200568-1.2490714522344357j),(-0.7831885186634214-0.5150025085316041j),(0.753403965479642+0.285695411235013j),(-0.11147414739720213-0.2626396955569449j),(-1.0871613586416475-0.8175723482035547j),(0.12898551731210983-2.9907100330019945j),(1.2021031721621385-1.2498719409254724j),(-6.091503282043681-4.946144448613098j),(2.0237241270561253+0.8481047012215348j),(1.8080777574335989-0.09465868618031331j),(0.9627448254932609-3.297393576420646j)
1.25,(0.20889179156768384-1.248290245705716j),(-1.8602602041491576-1.4114771386487073j),(-1.7278210081622125-1.3111326078742125j),(0.2041819316801145-1.2607492802150533j),(-0.8126817899177339-0.5261002495548863j),(0.7602510885028585+0.2980491400749905j),(-0.12300002974128807-0.2781632318009687j),(-1.1225581828366105-0.820672931307969j),(-0.05801615901835347-3.18780116908371j),(1.2540180494007198-1.246886140800858j),(-6.255791432470992-4.942120300863412j),(2.0555049360377753+0.9199764618137899j),(1.8340818589396901-0.04302308348018993j),(1.004158572541509-3.419781893744019j)
1.26,(0.21766890551182905-1.2608498524822116j),(-1.9087361078560794-1.401840470424755j),(-1.7742482437126132-1.3029187044312305j),(0.21221016795348313-1.2718477541161632j),(-0.8427203234047561-0.5361783858554984j),(0.7671407779677621+0.31117299977024737j),(-0.13458014114931094-0.2933766835541931j),(-1.1582493614325235-0.8226236732330385j),(-0.258851565561411-3.3978231847320863j),(1.2960168056589225-1.2451805275118235j),(-6.413633209328193-4.936704484872908j),(2.073937091003901+0.9947797169151084j),(1.8434267430718756+0.01700919833580201j),(1.0475509091633934-3.5465838451162943j)
1.27,(0.22654995438808875-1.272729045579103j),(-1.9562101441300894-1.3907577073498238j),(-1.8199154095752872-1.2933593935908334j),(0.22052485923116383-1.2823332946372878j),(-0.8732525538325977-0.5452621538621816j),(0.7739930861209496+0.32502633856107904j),(-0.14623088734945605-0.30827647978187517j),(-1.194157481932708-0.8235200303795448j),(-0.4553550512469431-3.6146842571384377j),(1.3311042210868955-1.2452936142826216j),(-6.5633143536543255-4.926651614468698j),(2.0822342321825387+1.0712398925819118j),(1.8386208284568601+0.08129254183929037j),(1.0929810950520784-3.6778688858136124j)
1.28,(0.2355257892321278-1.2839092608726737j),(-2.002595741342763-1.3783351269815205j),(-1.8647310961228722-1.2825356305142788j),(0.22909492694554762-1.2921951439912454j),(-0.9042147162904668-0.5533365453171029j),(0.7807758304629039+0.33955883961172123j),(-0.1579461212478022-0.32284141438302194j),(-1.2301926643826162-0.8233772276314429j),(-0.6566697288788732-3.8329900004790716j),(1.361031933491185-1.2477468046168894j),(-6.708306285735277-4.913218451308601j),(2.081399693995504+1.1493277721608839j),(1.8200654464129749+0.14688692542179038j),(1.1405096781090058-3.8137078930421473j)
1.29,(0.24458616322552984-1.2944031734053139j),(-2.0478337200637897-1.364676426430286j),(-1.9086299269434368-1.2705230226939896j),(0.23789080892827766-1.301451543849731j),(-0.9355224872979128-0.5603395236315052j),(0.7875175250929766+0.35470904925173513j),(-0.1696927664909768-0.33703054984671094j),(-1.2662547091206697-0.8221426544513917j),(-0.8669072011521326-4.052654973738034j),(1.3864122707846438-1.2526768616110227j),(-6.853917832091015-4.895482709594791j),(2.0722896832718734+1.2309196139512542j),(1.7877379176677253+0.21208628683826025j),(1.190189302377741-3.954162914539312j)
1.3,(0.25372121515721824-1.304209788238579j),(-2.0918606232247505-1.3498950561118785j),(-1.9515404826224967-1.2574146546524305j),(0.24688378158718174-1.3101049122139454j),(-0.9671036827253915-0.566254935000644j),(0.7942071319722115+0.3704206776348403j),(-0.18146019146076497-0.3508218469271352j),(-1.3022568686255895-0.8198283890965334j),(-1.0801840099475428-4.264717516511547j),(1.4087186635198716-1.2592404682315066j),(-6.99693460901676-4.873669698654066j),(2.0564804967811474+1.3149603714679785j),(1.7447957105650367+0.27314076619165417j),(1.2420778411714555-4.099301965740739j)
1.31,(0.26292103077703216-1.3133136157186338j),(-2.1346184875212026-1.3341121672942065j),(-1.9933935834617145-1.2433157102959655j),(0.2560458120484175-1.3181409000853246j),(-0.9989010405257457-0.5711126542836963j),(0.8007917890374285+0.386643078658781j),(-0.19326108255459784-0.36421226819240926j),(-1.338125402805479-0.8165051447539649j),(-1.3014562931429714-4.47207625276339j),(1.4280142336498722-1.2674666490403428j),(-7.141305700292685-4.847301025077816j),(2.0339238536600046+1.4035931040552916j),(1.6917322046626255+0.3286470081000207j),(1.2962413442967602-4.249202754500841j)
1.32,(0.27217525690390965-1.3216956466784286j),(-2.1760624686136336-1.3174519615101896j),(-2.034130675836195-1.2283353447281875j),(0.2653498256049829-1.3255397189848173j),(-1.0308646250930997-0.5749629515215485j),(0.8072021500943496+0.4033281113554907j),(-0.20511952541759432-0.3772083200913588j),(-1.3737935330757391-0.8122646135615929j),(-1.5295725687094133-4.671529520289627j),(1.4446668464190868-1.2770428723162617j),(-7.287894151705437-4.815883211751479j),(2.0044479292326933+1.498332585459858j),(1.630256774480355+0.3765836116398852j),(1.352754038053705-4.4039526810928145j)
1.33,(0.2814728007226435-1.3293784077758712j),(-2.216187076853802-1.3000184437590174j),(-2.073734150194205-1.2125590653936196j),(0.2747713183633231-1.3323226386511995j),(-1.062921250458331-0.5777884527795737j),(0.8134523648799991+0.42042178455809887j),(-0.2170211039129932-0.3897892278795898j),(-1.4091889451289077-0.8070996874392464j),(-1.7607565981498239-4.860453546124265j),(1.459527110238646-1.2874499607293834j),(-7.433101831735338-4.780396781029393j),(1.9680502814311276+1.5984607780368125j),(1.563652637654904+0.414633569999941j),(1.4116983252357782-4.56364883820864j)
1.34,(0.290804170993221-1.3363862750519597j),(-2.2549955245633235-1.281909235681955j),(-2.1121948710168486-1.1960734221419915j),(0.2842884590875996-1.338511872415054j),(-1.0950038973947056-0.5795896570776422j),(0.8195501683080149+0.4378755615120943j),(-0.22895567415124624-0.4019397435500858j),(-1.4442538277981063-0.8010292611460132j),(-1.9984647838744065-5.040108366369151j),(1.4721339545252021-1.2989062788338654j),(-7.581874806610878-4.739459317213759j),(1.9223837044265921+1.7074814597463175j),(1.4921551564865472+0.44270057407109337j),(1.4731778416464165-4.72841150379528j)
1.35,(0.30016126611480887-1.342735061807684j),(-2.292495150626895-1.2632218927360974j),(-2.1495065800182713-1.178965986170059j),(0.29388200047925184-1.3441203209873631j),(-1.1270595132812917-0.5803900945682596j),(0.8254773665955019+0.4556453513464202j),(-0.24092933520504484-0.4136565673301467j),(-1.4789387848208064-0.7940969842859434j),(-2.2353794187037206-5.207045831016868j),(1.483495909520816-1.3109359679686083j),(-7.727385586412603-4.695234940187564j),(1.8671729516148419+1.823413727445591j),(1.41949494092246+0.4588092986903923j),(1.5373404280003873-4.898415856924448j)
1.36,(0.3095373424774833-1.348432429672182j),(-2.3286977792486407-1.2440537861526122j),(-2.1856662724299287-1.1613248965335274j),(0.3035352878559153-1.3491520036164917j),(-1.1590487316442355-0.5802349762222753j),(0.8311908784177693+0.47369130358005007j),(-0.2529639988848069-0.4249479435197142j),(-1.513202355428824-0.7863690863513045j),(-2.47462576206504-5.3628071199708325j),(1.4931215438727403-1.3237102708361055j),(-7.874438017678078-4.646337413998684j),(1.7978230255309338+1.9475797294258008j),(1.3460786732681458+0.46458706412761924j),(1.60427364023589-5.073789673109083j)
1.37,(0.3189267025925524-1.3534825586417405j),(-2.3636223158633833-1.2244994084176002j),(-2.220677099291938-1.143236217754721j),(0.31323401874123924-1.3536069026973894j),(-1.190941399082147-0.5791808850714223j),(0.8366346165534281+0.4919767195841957j),(-0.2650921887919115-0.4358294862351609j),(-1.5470092750165878-0.7779217205138925j),(-2.7089816555884902-5.5048359177838035j),(1.501573541191459-1.3371597848540566j),(-8.016735990876132-4.595402329070514j),(1.71511766223545+2.0785381694369898j),(1.2739537890905792+0.4586178783718757j),(1.6741315092120743-5.254734033782182j)
1.3800000000000001,(0.3283245377008795-1.3579205099078329j),(-2.397314261957477-1.2046248177239043j),(-2.2545718704556106-1.124761068906339j),(0.32296636179927646-1.3575164422799468j),(-1.2226959878986257-0.5772407829194229j),(0.8418120773307441+0.5104707440463189j),(-0.2773188325619103-0.44629812894312093j),(-1.5803337650104587-0.7687739347900832j),(-2.9392212509365807-5.634457490002444j),(1.5086880082532086-1.3511571051627378j),(-8.15650808232075-4.541924397240784j),(1.6134030596207725+2.2127408779086446j),(1.2041684817512937+0.44378796190429726j),(1.747151833645988-5.441540380465273j)
1.3900000000000001,(0.33772966536233506-1.3617886513885296j),(-2.429828549642492-1.184479019551082j),(-2.2873952775911635-1.1059469643162585j),(0.332724956708549-1.3609193508210256j),(-1.254283927071741-0.57443505742149j),(0.846725892367818+0.5291553142294404j),(-0.289646824437953-0.4563520731476179j),(-1.6131701221198962-0.7589519519519378j),(-3.1602827424382447-5.750393212650775j),(1.5145629416692117-1.3657643871937186j),(-8.290099986912171-4.487925032997008j),(1.4957642790503916+2.3477971806229063j),(1.137452627912768+0.420302263034807j),(1.8236561801125757-5.634590514768414j)
1.4000000000000001,(0.3471432127452248-1.3651232307457464j),(-2.4612184082192528-1.1641083250165822j),(-2.3191900779650965-1.086838860201968j),(0.3425054679454311-1.363848217429535j),(-1.2856859495075066-0.570790224225065j),(0.851364783757341+0.5480139037099625j),(-0.30209136634130485-0.465995190848776j),(-1.64551580580032-0.7484880875830404j),(-3.3716937515208687-5.854014071656396j),(1.5192602020507773-1.3806696293333216j),(-8.417617219220556-4.433766165869141j),(1.3598935063190258+2.4771061191892794j),(1.0747545264382923+0.39110678825163514j),(1.9040498830446797-5.834356598390195j)
1.41,(0.35656845097496853-1.3679550031434748j),(-2.4915355854577697-1.1435563420218269j),(-2.3499972563318203-1.0674789946938834j),(0.3523064373440869-1.3663301627933886j),(-1.3168906572595933-0.5663360349859661j),(0.8557062041739836+0.5670306508549038j),(-0.31467924762940896-0.47523610482037987j),(-1.677370105045407-0.7374172038547623j),(-3.571301044896889-5.945718910588491j),(1.522857323360339-1.395698427935486j),(-8.53756580836496-4.380538731988666j),(1.2096403898342893+2.5957458351537217j),(1.0165226124998283+0.35784475523804365j),(1.988822044733038-6.041401153117732j)
1.42,(0.366010795134101-1.3703092312477831j),(-2.5208303475972413-1.1228639752522096j),(-2.379856024933658-1.047906887835346j),(0.3621292840964715-1.3683868391795044j),(-1.3478945215293319-0.5611054773683877j),(0.8597163368743959+0.5861903588219006j),(-0.32744884509588756-0.48408818860987507j),(-1.7087341383870922-0.7257767095262599j),(-3.759255312217042-6.02662921026557j),(1.5255004583577234-1.4105374610216868j),(-8.649870368281334-4.328657993929556j),(1.0494966544973798+2.699775424911039j),(0.9631007854494622+0.3225959513219762j),(2.078545535326292-6.256377060826688j)
