t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B01_z_0000_00,B01_z_0001_00,B01_z_0002_00,B01_z_0003_00,B01_z_0004_00,B02_z_0000_00
0.84,(0.04022682903918125-0.7172234232889878j),(-0.5265530193187794-0.8425415166677012j),(-0.44713705191240843-0.7826582795855929j),(0.10909792410930895-0.5051701955891789j),(-0.18805151055985356+0.014245918702081672j),(0.6885316934307408+0.32792160012836385j),(0.24578725743323632+0.228259274727478j),(-0.3586262883744365-0.34258123884035924j),(0.4186102769151281-0.9834207320386005j),(0.71964660698173-0.5816823672248308j),(-0.15790853407484512-1.517864644813358j),(0.6377322323681012-0.13426322068280308j),(0.694254940392631-0.4212658433333493j),(0.25608253232481243-0.9174231178889222j)
0.85,(0.036086065295712184-0.7267881859391989j),(-0.5332520861586195-0.8544574366395536j),(-0.45368099680533447-0.7928121406731805j),(0.11045473366847539-0.5232839207045662j),(-0.19233730809587762+0.012104142845188522j),(0.6866463681599604+0.32575377906459746j),(0.24158389018979207+0.22623300387772335j),(-0.36322209324329696-0.34629840524417743j),(0.42462375045360734-1.014915458964489j),(0.7215567616030913-0.5868505789611529j),(-0.17724111809051274-1.567131719606037j),(0.6433716484781188-0.13853662436567327j),(0.6982267918842099-0.4276863182030508j),(0.26255698767007757-0.9403390408920576j)
0.86,(0.03186041347808955-0.7362093968654572j),(-0.5405194098505509-0.8673265367033023j),(-0.4610414098583388-0.803997861033143j),(0.11178100860002398-0.5417835496998146j),(-0.19700179375534574+0.009443941354212192j),(0.6847030837169108+0.32325425552125303j),(0.2370322476804347+0.22379414920356602j),(-0.368211073683898-0.3507244790428305j),(0.4307422733306765-1.0469916931731398j),(0.7242317832017013-0.5920910692497044j),(-0.1982336170584741-1.6186895034540107j),(0.6498237212983792-0.14228726976044362j),(0.7032332446234162-0.43429477920881554j),(0.26927081396895397-0.9642993768246311j)
0.87,(0.02762445593234185-0.7454358143319677j),(-0.5484125367819614-0.8811541125487791j),(-0.4692608071107752-0.8162666007482504j),(0.11309229659199983-0.5606593321056542j),(-0.20207208756016662+0.00616218182937818j),(0.6827031823756435+0.3203794353096918j),(0.23210153357661134+0.2208564157580417j),(-0.3736062766541815-0.355953659605724j),(0.4372324817734147-1.0796995322218403j),(0.7277285726751586-0.5974470536659279j),(-0.22117100625716296-1.672685489785606j),(0.6570044899402512-0.14555374071176636j),(0.7093075445602759-0.4410702048337504j),(0.2762375690385973-0.9893455649543733j)
0.88,(0.023467799593907313-0.7544295214110128j),(-0.5570007013926864-0.8959374116441301j),(-0.47839580213475064-0.8296499030251414j),(0.11439801887927273-0.5798963085432259j),(-0.2075697016337592+0.0021666448770729426j),(0.6806531305402624+0.31709631339899913j),(0.22676881666977444+0.2173407635926023j),(-0.37942117576912837-0.3620642955870062j),(0.4442264651943779-1.1130828629554892j),(0.7320040543052093-0.6029199004036283j),(-0.24616279082498088-1.7292850532648465j),(0.6648992430469871-0.14831827024765062j),(0.7164359799530066-0.44798987276781604j),(0.28347162681921517-1.0155209655090625j)
0.89,(0.019495075987633927-0.7631659259829527j),(-0.5663648261750086-0.9116656332358162j),(-0.4885171060351251-0.8441596941943236j),(0.11570147024353725-0.5994743107240811j),(-0.21351054020105248-0.0026239758901561005j),(0.678564518744924+0.31338247391598495j),(0.22101903087138186+0.21317540775711566j),(-0.38566967130075863-0.3691188849255677j),(0.4516792527568989-1.14718139682577j),(0.7368856846441159-0.6084837891073083j),(-0.2731204959014305-1.7886859468746261j),(0.673568609538553-0.15048184504425252j),(0.7245467041761765-0.4550500274318166j),(0.2909882289168244-1.0428709741859885j)
0.9,(0.015825941227779448-0.7716337607362246j),(-0.5765975216736587-0.9283199283486123j),(-0.4997095274495121-0.8597882837101727j),(0.11699981901331269-0.6193679614501817j),(-0.21990489958848544-0.008280073853600587j),(0.6764540616538371+0.3092260901451834j),(0.21484497521289686+0.20829581829986585j),(-0.39236609017813107-0.37716407484504166j),(0.4599145823830428-1.1820338056514694j),(0.7425959443173576-0.6141115535336562j),(-0.3025058718242196-1.8508888308944984j),(0.6829315716030372-0.15225384337862127j),(0.7336956867806544-0.46216415616855744j),(0.2988036009207487-1.0714432701452743j)
0.91,(0.012594813608131522-0.7798352166516517j),(-0.5878029977487467-0.9458734780766779j),(-0.5120715941835563-0.8765084228331468j),(0.11828410562266484-0.6395467525740454j),(-0.22675769875458326-0.014861035252937423j),(0.6743435352552255+0.30462603294962476j),(0.20824729546429846+0.20264494797190077j),(-0.3995255446466725-0.38623053047259415j),(0.4690968111017446-1.217710632421806j),(0.7491461377063241-0.6197875502441903j),(-0.33460244770517195-1.9160941978693427j),(0.6929604403434575-0.15366458936966998j),(0.7438709208963155-0.4692708299155286j),(0.30693496795628117-1.1012878447174212j)
0.92,(0.00993918819975224-0.7878012955655231j),(-0.6000917747350071-0.9642959644460767j),(-0.5256988284089625-0.8942700675424241j),(0.11953754315716271-0.6599798751807036j),(-0.23408174940972767-0.022409922675244897j),(0.6722558489858614+0.29960061300720103j),(0.20123288037397297+0.1961870621989658j),(-0.4071827497013275-0.396326029338323j),(0.47902576858059037-1.2543564789852375j),(0.7560867966603466-0.6255779375371989j),(-0.36932142870129886-1.9849482902342859j),(0.7036951430208831-0.15430896021407062j),(0.7549497146044202-0.47639226712627875j),(0.315400655080496-1.1324571425319592j)
0.93,(0.008001077693437851-0.7956055341446107j),(-0.6135810235039199-0.9835481080060292j),(-0.5406971242038024-0.9129863167388181j),(0.1207358800011576-0.6806351581801068j),(-0.24188849606802867-0.030953530369897488j),(0.6702161985176315+0.2941877234192601j),(0.19381465323724628+0.18890312394616118j),(-0.41537286442558696-0.40743867205630396j),(0.48998823745905046-1.2919671310708198j),(0.7636558701040155-0.6313550622548664j),(-0.4071604441705531-2.057372324277891j),(0.7151571180775057-0.1544485652133298j),(0.7669689144090599-0.4834100543531948j),(0.324220174513166-1.1650061939892693j)
0.9400000000000001,(0.006903708648805065-0.8033482761256289j),(-0.6283933026456135-1.0035764804650265j),(-0.557164488762113-0.9325490587766002j),(0.12185612008995554-0.701478162068691j),(-0.2501818515697959-0.04049911173202981j),(0.6682534035378084+0.28843553307521014j),(0.18601350996607507+0.1807874233846718j),(-0.42412451416180696-0.419534118910253j),(0.5020561534749405-1.3306134770563172j),(0.7717645747274657-0.6371123625595865j),(-0.44846975960582663-2.1336903223147514j),(0.7273522043532288-0.15402095820872105j),(0.7798916815921674-0.4902529111062705j),(0.333414366081367-1.198992855353366j)
