t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.25,(0.24326219568218505-0.5365736357467172j),(0.0008603437622409312-0.002342257378072375j),(-0.0015030455536384042+0.0033449151063422544j),(-0.010384752400965699+0.008400584142445643j),(-0.003430269737010157-0.005193577277563732j),(-1.2572187708616318e-05-5.0751210040591754e-05j),(0.0008548569922823894-0.00039286495732470414j),(-0.003408170287404267+0.0024567434402279283j),(0.3370314643514334-0.3255540553108408j),(2.1450438660923015e-05-1.944906586258046e-05j),(-0.11085510788927443-0.20461701802255355j),(4.500199394669956e-05+1.4771655554716473e-05j),(4.9772123385458254e-05+3.994771214873534e-05j),(0.23116872819571738-0.5278880630128393j)
0.26,(0.21169918069572666-0.5312155359811317j),(0.000996249165554976-0.002658956931846354j),(-0.0017526934128186693+0.003818196880492281j),(-0.01061834542514772+0.010380382951478456j),(-0.004186408446427426-0.005500925167529734j),(-1.9067488387546712e-05-5.297311497419547e-05j),(0.0008724021661582102-0.0005132708611212686j),(-0.0038986367782796938+0.002833499993629419j),(0.27905568217980514-0.32184614580712523j),(2.348521849449009e-05-2.408117466573383e-05j),(-0.08603464405235035-0.20086670208483126j),(4.9844133633197694e-05+1.575881460923737e-05j),(5.925513949908546e-05+4.324984459289686e-05j),(0.19883407297075312-0.5203787490232112j)
0.27,(0.18148604826920822-0.5248954283277892j),(0.0011436166492497552-0.0029978379167560796j),(-0.0020272893570736127+0.004330379642187862j),(-0.010654515142026824+0.012533045237240907j),(-0.005021365529309006-0.0057583987520254485j),(-2.6039776059256387e-05-5.437560329668036e-05j),(0.0008745567762083954-0.0006396589370359273j),(-0.004425862440171915+0.003261764817739939j),(0.22638609093065137-0.3211437807038171j),(2.4461286327826163e-05-2.8792986529587982e-05j),(-0.0651122754092044-0.19286089945340615j),(5.421600425566589e-05+1.5177386407822046e-05j),(6.861109738131612e-05+4.416762954328123e-05j),(0.1679660797243852-0.5116680484000048j)
0.28,(0.15261943862143645-0.5177548306788106j),(0.0013011761829269334-0.003358199009575704j),(-0.0023258926106609072+0.004881731971656877j),(-0.010468808690943058+0.014842824919827875j),(-0.005930269042566727-0.005955779292870992j),(-3.3363719646534725e-05-5.49028058547923e-05j),(0.0008606513151501967-0.0007698648733767731j),(-0.004987517072119379+0.003746323795968112j),(0.1799526896727518-0.3211332484220289j),(2.4421370001444385e-05-3.356384053186597e-05j),(-0.0489925583004434-0.1830521423360344j),(5.8296318942016934e-05+1.3177987305882385e-05j),(7.786903474434267e-05+4.2816245440248405e-05j),(0.13857630042445404-0.5019108237565487j)
0.29,(0.1250819502471763-0.5099214068087166j),(0.001467431767179588-0.003739010945850123j),(-0.0026471587839264144+0.005472154224067937j),(-0.010039933394042475+0.01729044906495629j),(-0.006906238534261811-0.006083619001827305j),(-4.091476868980573e-05-5.452208895826465e-05j),(0.0008303886832250783-0.0009017182385415851j),(-0.005580039944151851+0.004291980714121013j),(0.13939462883844086-0.32044086939045346j),(2.3487228462049287e-05-3.843829613485834e-05j),(-0.03730475536770511-0.1729440560243762j),(6.223543551437576e-05+1.0014096836795358e-05j),(8.715197346047138e-05+3.948958578957805e-05j),(0.11068035940234482-0.49124499158328083j)
0.3,(0.09884213991715074-0.5015089663744289j),(0.0016406614335922115-0.004138916519894988j),(-0.00298933987330419+0.0061011785295303905j),(-0.009349756756277122+0.019853117883965182j),(-0.00794038504360489-0.006133241040596153j),(-4.8569153347128183e-05-5.3224054379818266e-05j),(0.0007838441881987151-0.0010330424810178313j),(-0.006198639797290418+0.0049035572604041785j),(0.10382320006539075-0.3184890393636435j),(2.1767455120863807e-05-4.347736474356941e-05j),(-0.02915936614119417-0.16323569699567173j),(6.612865579159226e-05+5.899067404204552e-06j),(9.658255976023288e-05+3.4452826396312365e-05j),(0.0842663187688313-0.47979701039362604j)
0.31,(0.07385452267804132-0.4926174649152702j),(0.0018189172447407064-0.004556230584796685j),(-0.0033502842613164752+0.0067679687930943064j),(-0.008383306465405062+0.022504504733815607j),(-0.009021811100955977-0.0060967395208201235j),(-5.6203884394195434e-05-5.10225393551615e-05j),(0.0007214655453609941-0.001161654929382665j),(-0.006837294843547477+0.0055858930254215925j),(0.07226088991021068-0.3152127544699809j),(1.9316389168408917e-05-4.873795546713994e-05j),(-0.023590990396072806-0.1541026271397567j),(7.003309410002794e-05+9.58007056486447e-07j),(0.0001062582969665721+2.7850802500848993e-05j),(0.05930915591920792-0.4676846571851294j)
0.32,(0.050064393130727525-0.48333406249505767j),(0.0019999692790349678-0.004988888810864433j),(-0.003727358836506854+0.007471251826825731j),(-0.0071294122313417625+0.025216607789588452j),(-0.01013810598220013-0.005967512151871889j),(-6.370139305819278e-05-4.794808512086453e-05j),(0.0006439796739457505-0.0012854859639237666j),(-0.007489263081763286+0.006343581914388868j),(0.044026718831114184-0.3106780706884696j),(1.6125537343184904e-05-5.426088303343362e-05j),(-0.019940186977509378-0.14557979858372366j),(7.398510756514577e-05-4.770999336508019e-06j),(0.00011624070857318254+1.9691923016135747e-05j),(0.035779661457598394-0.4550149477120432j)
0.33,(0.027422071154487034-0.47373404076003195j),(0.002180823828595345-0.00543472805346479j),(-0.004116657002667855+0.008209597371520919j),(-0.005583257355259047+0.02796718442010735j),(-0.011277128618762232-0.005742958944290341j),(-7.09676549989813e-05-4.40311642291326e-05j),(0.0005521091800774977-0.0014030452164374484j),(-0.008148870302315946+0.007178915157306824j),(0.01856724611409355-0.30500230396086114j),(1.2152676443921852e-05-6.0085546571921584e-05j),(-0.01768039261432456-0.13764042879423102j),(7.801645691383353e-05-1.1290141435259606e-05j),(0.00012658524454435414+9.915128127701526e-06j),(0.01364443919695596-0.44188413648532726j)
0.34,(0.005870000997684845-0.46387840028104715j),(0.002358294030181159-0.005891852994777941j),(-0.004513693214006393+0.008981807766333482j),(-0.003743170614539623+0.03073399073029294j),(-0.012425889653787797-0.005422499676050745j),(-7.791642820917671e-05-3.9320257494292926e-05j),(0.0004468158688811617-0.001512964348935438j),(-0.00880974495519498+0.008092609509871947j),(-0.0045443890861842-0.29833513208131707j),(7.321046557660701e-06-6.625017715546334e-05j),(-0.01641691537666355-0.1302145556774376j),(8.215758705932225e-05-1.8641289836676594e-05j),(0.00013734294679436197-1.6115350539286121e-06j),(-0.007134093840936662-0.4283777167726489j)
