t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.8,(-0.2616533354994788-0.0011084272519711058j),(-0.009884277653157643-0.028313371300321227j),(0.010958109609821194+0.07020262645991822j),(0.23279307121226894-0.018091364438099992j),(0.0017714639034333585+0.010528894117103603j),(0.0001926050104450935-1.849441775772257e-06j),(0.00035987271876941965+0.002655593026636918j),(0.00750153585117362+0.035750864111672345j),(0.00031763556317916577+0.03852668972033322j),(0.019178897391010485+0.019211187935755037j),(-0.00108825702844268-0.0007589866664161354j),(-0.0052315995988724984-0.004260659399263906j),(-0.030672037613078663+0.018426212290535645j),(-0.04753456751651245+0.037588662825752725j)
0.81,(-0.25952909942781877+0.0020852047121708087j),(-0.010750618904618855-0.02900111847293426j),(0.0122932066606175+0.07203615798614499j),(0.23616115801266535-0.025095702301796256j),(0.0023878481222124417+0.00997289496455133j),(0.00019097298839308545-1.9764060099833512e-05j),(0.0005894167153892677+0.0025702558617907525j),(0.008417084722630672+0.03502198157089151j),(0.002424970404661598+0.03250452858115711j),(0.022577960018527327+0.016546186503289307j),(-0.0008594874722465291-0.000635662452326385j),(-0.005553590594507074-0.003759636056377886j),(-0.02837401125806252+0.022420162393020075j),(-0.04110506544808792+0.03638728585464959j)
0.8200000000000001,(-0.2578070030236682+0.004765903960388465j),(-0.011622536591419843-0.029620231261651815j),(0.013598110881063677+0.07364052759591665j),(0.23926084539267795-0.032062323122796214j),(0.002979343400648179+0.009445461684907314j),(0.00018794880463068265-3.741078981378838e-05j),(0.0008114355459808396+0.0024725144207526193j),(0.009295260640953377+0.03439634060002132j),(0.003655921564201179+0.027201770533161498j),(0.02537370687695646+0.013211569288193127j),(-0.0006705095624906887-0.0005309094187916802j),(-0.0057743651376815424-0.0032069248657418206j),(-0.025438167037904635+0.02581850725019785j),(-0.03516590797113845+0.03482713883613425j)
0.8300000000000001,(-0.2565301452789324+0.00696254742753118j),(-0.012492396082275804-0.030153632268086643j),(0.01487110988335106+0.0749607673876405j),(0.24208193814575985-0.03888507935558385j),(0.0035514745796923876+0.008948956152226769j),(0.0001836598345766006-5.4699375375928176e-05j),(0.0010269060112083645+0.0023641004819645937j),(0.010137197774933803+0.033874370994773695j),(0.004272601269365567+0.0226375229177343j),(0.02744160760172808+0.00940682409523197j),(-0.000515691956177672-0.00044175777405594465j),(-0.005889426794782832-0.00262359502553031j),(-0.02205035013312365+0.028524957489211897j),(-0.02973603439223335+0.03297421860399982j)
0.84,(-0.2557339289519097+0.008709716378243922j),(-0.013351077483436705-0.03058489281589639j),(0.016113516487007696+0.0759420222408709j),(0.24460925860569582-0.04544770679671196j),(0.0041102392673633935+0.00848387372734553j),(0.00017825051921185108-7.157150190732094e-05j),(0.0012374178077115669+0.002246455727953467j),(0.01094757583969325+0.03344998572678915j),(0.004484083466744948+0.018764599536829345j),(0.02872501321579114+0.005342368163449032j),(-0.0003911281487746317-0.00036578576341570905j),(-0.005901481422039234-0.002027013563807036j),(-0.018388999442377072+0.030495993074683533j),(-0.024824096220045538+0.030892146975707264j)
0.85,(-0.2554351500769603+0.010053055719994094j),(-0.014185686558278784-0.030900330495661512j),(0.017325576851120274+0.07653184123579648j),(0.2468260117813069-0.05163323025644945j),(0.00465972655462259+0.008047707366667042j),(0.00017183370467313693-8.799443953569449e-05j),(0.0014441427655081005+0.002120056750525774j),(0.011730929006461619+0.03310932748974984j),(0.004442466212987361+0.015511011038210095j),(0.029231325343248685+0.0012081166922350145j),(-0.00029216673386932545-0.00030106767594490126j),(-0.005815213049695508-0.0014363713537074664j),(-0.014621323177178675+0.03173817368510008j),(-0.020431151644787884+0.028643554896878667j)
0.86,(-0.25562642281646397+0.0110485055828549j),(-0.014978786795674232-0.031086639431301428j),(0.018505613241628565+0.0766820501233364j),(0.24869818410426417-0.05732607525771271j),(0.005205255997513148+0.007634609108055914j),(0.00016447018241824542-0.0001039853595266116j),(0.0016483805217796113+0.001984319298627017j),(0.012505133090467187+0.032830221262690626j),(0.004251875280591128+0.012791297368852605j),(0.029016965746606428-0.002830436351127968j),(-0.00021411871086167683-0.00024612078239849707j),(-0.005638040807909627-0.0008696547600516361j),(-0.010896125932639543+0.03229419457926929j),(-0.016550389182233047+0.02629013720019814j)
0.87,(-0.25628175178572327+0.011754523883987452j),(-0.0157117430173122-0.031132518088243757j),(0.019641200433195036+0.07635574991480082j),(0.2501957710581335-0.062427225853396134j),(0.005751865522387049+0.007237969696475804j),(0.00015619041799476107-0.00011955559863158783j),(0.0018512217012153194+0.0018381912618038892j),(0.013287706929530678+0.03259025878065954j),(0.003982447264909741+0.010520322238401079j),(0.028135182780493977-0.006639836379381138j),(-0.00015387546558416965-0.00019951514746528178j),(-0.005386716932337518-0.0003360364384715907j),(-0.007301717031363401+0.03222667475127252j),(-0.013166728328702807+0.023891785445294234j)
0.88,(-0.257356592325499+0.012231637524554771j),(-0.016364995209664477-0.031029266732702853j),(0.020707642510880645+0.07552834380663044j),(0.2512970733990871-0.066857031733431j),(0.0063036455441084875+0.006850674242509043j),(0.0001469940844872282-0.00013470082925075386j),(0.0020533608652646366+0.0016801715193799909j),(0.014092641431784257+0.03236779232148159j),(0.0036764483975043685+0.008624565766601923j),(0.026681938146178863-0.010114740724661333j),(-0.00010821696527791528-0.00016016399397466587j),(-0.005072722159007725+0.00015296925197186436j),(-0.003931547775712517+0.0316106019700683j),(-0.010255699382764745+0.021498747713652473j)
0.89,(-0.25878785050201003+0.01254244238972177j),(-0.016918058523985483-0.030770787431679786j),(0.021667972870144818+0.0741875371803965j),(0.25198869715590355-0.07055520822478545j),(0.006863738966053873+0.00646510222235664j),(0.0001368500625171509-0.0001494010594328554j),(0.0022550965121371667+0.0015083099404558267j),(0.014930399575671539+0.03214193470575881j),(0.0033558047991855172+0.0070426945153847335j),(0.024796339283254754-0.013174794831017165j),(-7.375215868768098e-05-0.00012729270370156868j),(-0.004701605447583545+0.0005836490153856606j),(-0.0008938180532390961+0.030527194681470686j),(-0.00778791699604168+0.019153808803454433j)
0.9,(-0.2604938831069332+0.012751603348655258j),(-0.017349523276312263-0.03035358405296235j),(0.022472954216845455+0.07233333760280078j),(0.25226555362996783-0.07348083629146449j),(0.007434341180111824+0.0060731274778382735j),(0.00012569644024299292-0.00016362063287525335j),(0.002456331076802705+0.0013202073839088083j),(0.01580791640994758+0.03189255929687022j),(0.003039478212547696+0.005722459834555556j),(0.022526888906430058-0.015795071557334284j),(-4.850510496834824e-05-9.9997494494591e-05j),(-0.0042991201356736165+0.0009554454471545973j),(0.0018285025352083907+0.02908209129068985j),(-0.005729542999305833+0.01689534375105286j)
0.91,(-0.262374734109641+0.012925768456321953j),(-0.017637065453361005-0.029776764499852358j),(0.023061280664522364+0.06997822700018339j),(0.25213093927710684-0.07561240676303416j),(0.008016699104061708+0.005666117713642664j),(0.00011344089760200818-0.00017730776900543762j),(0.0026565612884554713+0.00111302439013961j),(0.01672856923650282+0.03160019830329291j),(0.0027357206725498596+0.004621141366376786j),(0.0199619996009353-0.017947465105831468j),(-3.058834249493038e-05-7.752824736470647e-05j),(-0.0038798249944474385+0.0012662422112765834j),(0.004221291701042272+0.027357880500284072j),(-0.004042210556111226+0.014757059839063447j)
0.92,(-0.2643258074277221+0.013125254845471569j),(-0.017759077793614443-0.029041337290559036j),(0.02337203076341271+0.06716066817532464j),(0.25160492150605746-0.07695504488728923j),(0.008610790089419023+0.005234810342782484j),(9.997766026721067e-05-0.00019035065362140637j),(0.0028541724142043404+0.0008839435694498511j),(0.017687397883986912+0.031240171002366837j),(0.0024426624007724998+0.0037038914527235374j),(0.017272285890516322-0.01956806454105804j),(-1.7912145692215942e-05-5.9294106357518345e-05j),(-0.003439069947261238+0.0015093103813713852j),(0.006186285946531179+0.025384468091248377j),(-0.002685467415069868+0.012762898241277718j)
0.93,(-0.2662407405504631+0.013397435433358933j),(-0.017697115073434695-0.028149453865484998j),(0.023349238684310155+0.06394359063169458j),(0.25072757672163953-0.0775463731470908j),(0.009214382825925743+0.004770055091971596j),(8.519423885062225e-05-0.00020255455255008145j),(0.003046453110433447+0.0006301953152602714j),(0.018665004850960662+0.03078913238934129j),(0.002166761473683004+0.0029427263061712863j),(0.014501480303332998-0.020702817404096668j),(-9.351217884730338e-06-4.466521187827895e-05j),(-0.00300067757877609+0.0016886762306632182j),(0.0077777530042447895+0.02327119769392833j),(-0.0016199666135908678+0.010927673540508026j)
0.9400000000000001,(-0.2680222576518033+0.013782038420363742j),(-0.01743442852668586-0.02710765145534451j),(0.022950246845831836+0.06039907135515445j),(0.2495466367301962-0.07744224905129352j),(0.009823036757842227+0.004264334813020073j),(6.901886336490181e-05-0.00021368462367860963j),(0.0032300958489659597+0.00034954899480337366j),(0.01963367088587719+0.030231366255507628j),(0.0019089077225548957+0.0023139705396480405j),(0.011736038131195692-0.02136332822984017j),(-3.831375928237536e-06-3.308960001050723e-05j),(-0.0025741922613790693+0.0018069066453072391j),(0.009000332671115415+0.02107643565020842j),(-0.0008057676836313102+0.00926185866625081j)
0.9500000000000001,(-0.26958884012714973+0.014310585136035038j),(-0.016955787089061477-0.025927467029151108j),(0.022151107909915545+0.05660980402346265j),(0.24811705842520076-0.0767150633438964j),(0.010430149373129988+0.003711939454298532j),(5.143585688796789e-05-0.0002234642524174493j),(0.0034010635255949558+4.057847771296347e-05j),(0.02055810860712121+0.029557072076284656j),(0.0016691563200584502+0.0017977222947873376j),(0.009061869184282156-0.021569975153683033j),(-4.2813434999427793e-07-2.407510527157187e-05j),(-0.002166894486264309+0.0018677584066265694j),(0.009857758807551239+0.018848709259280276j),(-0.00020235766395123033+0.007771349177000606j)
0.96,(-0.2708747397290863+0.01500639601845155j),(-0.016247534100079255-0.024625456588883963j),(0.020946613787497115+0.05266906698919694j),(0.24650098742070467-0.07545368386342766j),(0.011026958949473671+0.003108962326193737j),(3.248570452448574e-05-0.00023157532483106353j),(0.0035545920598869054-0.00029733673268520416j),(0.021395519776450538+0.028762361649132796j),(0.0014494389191392974+0.0013771738375224685j),(0.0065221728412496955-0.021397164593317836j),(1.4289427393986375e-06-1.7174485905632854e-05j),(-0.0017929083706468055+0.0018793548263430916j),(0.010399155619502411+0.016670498995641814j),(0.0002264834006612638+0.006454557241471162j)
0.97,(-0.2718345542967607+0.015883420242006167j),(-0.01530526912246069-0.023223039057427564j),(0.0193574960923108+0.048669313461023114j),(0.24476443344535959-0.07375812047344345j),(0.01160304937371242+0.0024538302438416827j),(1.2285535532714655e-05-0.00023767925985796698j),(0.0036855107502234193-0.0006637154776563925j),(0.02210123216531337+0.02785320921132699j),(0.001247651152825616+0.0010374412660471388j),(0.004199261898061543-0.020829482392535778j),(2.317905191732721e-06-1.197999500266153e-05j),(-0.001447843826256538+0.0018462264916072394j),(0.010615101032327979+0.014524605926374869j),(0.0005120458500251154+0.005305164915517592j)
0.98,(-0.27244986349563444+0.01694330762416988j),(-0.014139892664202125-0.021740578323278102j),(0.01743647693070001+0.04467995737554875j),(0.24297504117602892-0.07173399976379596j),(0.012147708900965726+0.0017495822591451085j),(-8.935778344867367e-06-0.00024142877016676282j),(0.00378871359976291-0.0010565293145167781j),(0.022632862755986746+0.02685287504706648j),(0.001065447006896955+0.0007661131341482262j),(0.0021242938133188543-0.019964560175496995j),(2.563088827781368e-06-8.15355932048577e-06j),(-0.001143941038556778+0.0017776779986869266j),(0.010554441166929296+0.012489017426068333j),(0.0006846918634658763+0.004314774884310834j)
0.99,(-0.27272066425225566+0.018181344340733135j),(-0.012776332675686739-0.020200979256050043j),(0.015253217355055637+0.04076070810801863j),(0.2411961493639116-0.06948144849990988j),(0.01265069617422189+0.0010019896272963832j),(-3.086182944354782e-05-0.00024252769473212882j),(0.003859574137689237-0.0014725639278643972j),(0.022958341426876923+0.025788254385497516j),(0.0009016500557520569+0.0005519779347116184j),(0.0003335735627324304-0.01881979903202137j),(2.4396615771312808e-06-5.391795923518037e-06j),(-0.0008778783705361697+0.0016804570670111035j),(0.010239989270224755+0.010554758379542761j),(0.0007730266211420106+0.0034725592377289564j)
1.0,(-0.2726639652465574+0.019587982471980615j),(-0.011255435506729403-0.01863168072989999j),(0.012892586746134829+0.03696421494722987j),(0.2394842903934708-0.06709107576087817j),(0.013102384030288433+0.00021887416812145684j),(-5.309254066388206e-05-0.0002407527831176758j),(0.0038940965337698518-0.0019074656529720734j),(0.023059567709434396+0.02468678070128693j),(0.0007562413562928767+0.0003854477012715497j),(-0.001151840476798015-0.017463165989153494j),(2.1276410261822876e-06-3.447535790652463e-06j),(-0.0006527954582170917+0.001562480182197632j),(0.009706774689507399+0.008753507346794736j),(0.0007979594500873808+0.0027647707333744416j)
1.01,(-0.27231251944537205+0.02114801400464034j),(-0.00963357401116956-0.017062750654373418j),(0.010453063883016206+0.03333392503434989j),(0.23788931399632648-0.06464331212983339j),(0.013493997385600713-0.0005900464458399892j),(-7.515193711840941e-05-0.00023595777300728914j),(0.0038890016781061407-0.002355834807235422j),(0.022932079862259647+0.02357644862755199j),(0.0006283835610434923+0.000258056854566148j),(-0.002330977581895796-0.015937519908439782j),(1.7417272090714514e-06-2.1154345621050743e-06j),(-0.00046606011216597114+0.0014306458518239119j),(0.0089954134372584+0.007087143004218897j),(0.0007768541181337707+0.002177329957913955j)
1.02,(-0.2717072812313055+0.0228355212697037j),(-0.007977588249094308-0.01551357899666292j),(0.00803352005526585+0.029888421220785836j),(0.23645283105585124-0.06220479795177267j),(0.01382041548734918-0.0014130365101991844j),(-9.653139630977199e-05-0.00022810665105792247j),(0.0038425844800666193-0.002811761331514989j),(0.022583829228702453+0.02248552495401524j),(0.0005173253811641738+0.00016250216116991042j),(-0.003210034749266279-0.014303452309639756j),(1.3567463423994076e-06-1.2309536524997917e-06j),(-0.00031632663550366534+0.001291252760839067j),(0.008145603555558888+0.005571615921326593j),(0.0007260985467825168+0.0016957790335454725j)
1.03,(-0.2708923616331326+0.024621012232376477j),(-0.00635450727151452-0.014000784432747083j),(0.005723960336084898+0.026637768586994626j),(0.23520539552353817-0.05982829028809465j),(0.014078975904818254-0.002237755556742327j),(-0.00011671761710505074-0.00021727731893128675j),(0.003754360095353536-0.0032691532192054935j),(0.02203278638190178+0.021435921338064566j),(0.0004218577248095759+9.24423188202522e-05j),(-0.003817054169745846-0.012606859775458045j),(1.0112657386219896e-06-6.648837693087144e-07j),(-0.00019877172541099048+0.0011496049670957874j),(0.007206292400290082+0.004207172505931192j),(0.0006585458154198923+0.00130556875759098j)
1.04,(-0.26991058151677144+0.02647568707406909j),(-0.00482748161846075-0.012544236574243446j),(0.0036022700646685044+0.02359611234140139j),(0.2341673771664025-0.0575516776368081j),(0.014267256391568001-0.0030535497162679703j),(-0.0001352213803325669-0.00020365699476805537j),(0.0036244965739019837-0.003722058016124581j),(0.021304191510977524+0.02043925133794777j),(0.00034096924123967125+4.25338366918906e-05j),(-0.004178215787046616-0.010915035672226056j),(7.231479994499213e-07-3.1930282270353596e-07j),(-0.00011109666891455524+0.0010100879217414252j),(0.0062184495169020386+0.003015690067119625j),(0.0005816914260624586+0.0009935966391531447j)
1.05,(-0.2688018857196686+0.028370312883992856j),(-0.0034496254439455804-0.011163229177509441j),(0.0017286950827252682+0.020776758537655062j),(0.23335028473905384-0.05539960365131587j),(0.014383272589160827-0.0038505802684583182j),(-0.0001515894931641803-0.00018754097068767587j),(0.003453932354950903-0.004164683691947991j),(0.020427394591422343+0.019498819585423724j),(0.00027308022293353267+8.17302814301836e-06j),(-0.004341443054254832-0.009269472700556227j),(4.965300928687931e-07-1.200465418387133e-07j),(-4.65120869264308e-05+0.0008761123609994506j),(0.005232146525670292+0.001995505741248302j),(0.0005022244077207183+0.0007474149654290412j)
1.06,(-0.2676031584144382+0.030273615755666665j),(-0.0022437726027672673-0.009865160386943567j),(0.00012526459150576704+0.01817672470476875j),(0.23275498115808918-0.05338870615359002j),(0.014429100074160914-0.004620448617488735j),(-0.00016546146872492044-0.00016929520134704152j),(0.0032446838282162264-0.004592014043529357j),(0.019435588181992796+0.0186162850602883j),(0.00021700765588542027-1.4348764250480511e-05j),(-0.004338653250728559-0.007730702888677553j),(3.264179015373672e-07-1.5080399381566364e-08j),(-2.3626209759847415e-06+0.0007500734381664514j),(0.004278853352852531+0.0011670827186596694j),(0.0004260073901809012+0.0005550448435233579j)
1.07,(-0.26634628355670475+0.03215633313317328j),(-0.0012192497338662915-0.008655577861766774j),(-0.0012039029911502493+0.015791535478301994j),(0.2323751499659365-0.051528610675989274j),(0.01440763782609406-0.0053557958040037715j),(-0.00017656224747102719-0.00014934895275777995j),(0.002999229701252282-0.004999546279069492j),(0.018361266111241115+0.017790069761068724j),(0.00017121101833412358-2.8152615574262978e-05j),(-0.0042136703326030225-0.006331761236489512j),(2.0466343183744743e-07+3.2941621733561694e-08j),(2.6751681828258026e-05+0.0006335887674375622j),(0.003392856009531525+0.0005274976628915433j),(0.0003554057013949102+0.00040674891357393256j)
1.08,(-0.2650530452407712+0.03399076792338586j),(-0.0003750177732388506-0.00753903980828903j),(-0.0022650725593551914+0.013617406125583442j),(0.23220426959827997-0.049824320102363616j),(0.01431924738838858-0.006046616625816998j),(-0.00018469227058960728-0.00012821221591244339j),(0.0027203888971826192-0.005382740809203375j),(0.0172244173267737+0.017016555159452655j),(0.00013425679256674083-3.572455517642385e-05j),(-0.004009608162981663-0.005097983054833928j),(1.2123115619715845e-07+4.847100742001701e-08j),(4.485222251029665e-05+0.0005282139117020621j),(0.0026043835671518754+7.012599416421231e-05j),(0.00029157910129932584+0.0002943748229884048j)
1.09,(-0.2637405524220368+0.03575202219872974j),(0.0002999909938914844-0.006517791440872197j),(-0.003076686414128134+0.011649823359650185j),(0.2322307681071198-0.04827609271853867j),(0.0141646958359969-0.006683698587799672j),(-0.00018975510126013258-0.00010642257944793833j),(0.0024112444612120485-0.005737605243022152j),(0.016042999525404306+0.0162893880026041j),(0.00010494251346242338-3.890098825721353e-05j),(-0.003743376211598664-0.004043233459659021j),(6.671010505776781e-08+4.737836774004825e-08j),(5.365905147559341e-05+0.0004328963281135656j),(0.0019163783998149763-0.0002159906929603615j),(0.00023583307623564235+0.00021007705615855733j)
1.1,(-0.26242949004873767+0.037421332308556536j),(0.0008256466087407212-0.005591980611386034j),(-0.003671956262079043+0.009881091253395978j),(0.2324315141370534-0.0468802063571213j),(0.013949944366189706-0.007265562077437912j),(-0.00019177938500206373-8.444837252608001e-05j),(0.002074843351530855-0.006061550484057833j),(0.014848867414051788+0.015602042108572581j),(8.177131585127729e-05-3.9300964419554416e-05j),(-0.003465949590813911-0.0031565312997402033j),(3.294254756258626e-08+3.91431993804073e-08j),(5.7041525298565915e-05+0.0003498324613267904j),(0.001360298385904858-0.000366023759760045j),(0.000188568036857008+0.00014722024059442442j)
1.11,(-0.2611330181238743+0.03898130651218579j),(0.0012222694632077228-0.00475845111002501j),(-0.00408192023995641+0.008299832253605196j),(0.23278576936006792-0.045632753296736925j),(0.013679859030198084-0.007786774175798239j),(-0.00019087154836183097-6.277905805950224e-05j),(0.0017147497144920864-0.006351899662181695j),(0.013660423556922518+0.014949878855348092j),(6.378379493338842e-05-3.784277437599807e-05j),(-0.0031757752981793007-0.0024271537913731498j),(1.324312707050818e-08+2.907548891431525e-08j),(5.469108313035169e-05+0.0002765276030877323j),(0.0009186774363588409-0.0004050088127792635j),(0.0001488255485625873+0.00010152648313671562j)
1.12,(-0.2598571870110027+0.04041516356852767j),(0.0015077176695321435-0.0040096405224763305j),(-0.004331255927943822+0.0068911653885346535j),(0.23327587116860649-0.04453014379945445j),(0.013358017708395105-0.00823651950051362j),(-0.00018722337934210027-4.191789127163403e-05j),(0.0013351309755167706-0.006605852456957752j),(0.012481882015548305+0.014328751046668298j),(4.986199857632282e-05-3.536205135968108e-05j),(-0.002896796760562144-0.0018303467095557588j),(2.7300083221172343e-09+1.98119120962995e-08j),(4.858969739263274e-05+0.00021368724270307685j),(0.0005958188439061788-0.0003720599652226067j),(0.0001159102540474779+6.902685067573507e-05j)
1.1300000000000001,(-0.2586115241243915+0.041714422468670756j),(0.0017005003031071442-0.003342684573338874j),(-0.004448826310604677+0.005645724084142439j),(0.2338775981909225-0.04356531801737775j),(0.012990820731954941-0.008612828220710512j),(-0.00018110345145506488-2.2244453574599465e-05j),(0.000939481473872837-0.006821806437343341j),(0.011329254091709812+0.013733609048755344j),(3.9128118129512745e-05-3.2420262122842635e-05j),(-0.002633380658639644-0.0013462115757353276j),(-2.1322042914877303e-09+1.2366869635374576e-08j),(3.9059165565815316e-05+0.00016166757746495205j),(0.00037764089376346113-0.0002975432399511428j),(8.93811275430676e-05+4.579722959467807e-05j)
1.1400000000000001,(-0.25740447861648874+0.0428742798851071j),(0.0018189322134428195-0.002752990471015305j),(-0.00446304228536104+0.00455128049082366j),(0.23456619709025786-0.04273087556303439j),(0.012586250733177425-0.008915529788802208j),(-0.00017283335609315754-4.075115296380757e-06j),(0.0005316305289246877-0.006998645204848214j),(0.010216632949366507+0.01316149317436137j),(3.101510283340313e-05-2.9235330547383665e-05j),(-0.002379192497527495-0.000954298833976847j),(-3.8013110901266766e-09+6.958632975856989e-09j),(2.7732420841771003e-05+0.00011831409901924049j),(0.00023982479701612294-0.00020557234079433075j),(6.828854348082193e-05+2.9321902755639014e-05j)
1.1500000000000001,(-0.25624029916860575+0.04389123654092885j),(0.0018770838254624825-0.002233931446189114j),(-0.004394603222225914+0.003594539151477527j),(0.23532063933283917-0.04202046340347512j),(0.012151452114235375-0.009140595762644966j),(-0.0001627739461881054+1.2317489527952944e-05j),(0.00011577579927814921-0.007135252420112806j),(0.009148483730468105+0.01260939137419237j),(2.4911243789793036e-05-2.6204811309489014e-05j),(-0.0021397936651729676-0.0006389407936132074j),(-3.758230755499086e-09+3.380677359466847e-09j),(1.6214532625100726e-05+8.545823101302518e-05j),(0.00016816586896601914-0.00011805953711864173j),(5.160735168422928e-05+1.828288812330725e-05j)
1.16,(-0.255122916519303+0.04476571518395529j),(0.0018870006540994493-0.0017794457985443398j),(-0.004261518869853897+0.0027634131564999286j),(0.23612073197125066-0.04142648486646602j),(0.01169379033648424-0.009286811971057208j),(-0.00015130701346740007+2.6754424803544485e-05j),(-0.00030423866859213106-0.007231034103478066j),(0.008129210349167606+0.012074533888912789j),(2.0691431267338887e-05-2.3246492812791972e-05j),(-0.0019000440455974642-0.0003883971298904692j),(-3.0553292863426288e-09+1.2036506127470055e-09j),(6.4041829607380304e-06+6.0043491936540244e-05j),(0.00013214297860554886-4.135436419106884e-05j),(3.856940580616016e-05+1.1190937738020203e-05j)
1.17,(-0.2540576961647106+0.0455024009049778j),(0.0018605450347029488-0.0013840602140606601j),(-0.004082271946709772+0.0020455826177391487j),(0.23694569350160471-0.04094069270861952j),(0.011222334720053071-0.009358121378829872j),(-0.00013882402498333974+3.914399308704355e-05j),(-0.0007241865059427048-0.007286217007510296j),(0.007165475973846093+0.011556047700387012j),(1.8266809402537037e-05-2.0441393676617828e-05j),(-0.0016578000862786711-0.00019171740528300837j),(-2.193746177946719e-09+4.3809134068134976e-11j),(-4.7637478220271405e-07+4.221815592555254e-05j),(0.00011417337652942947+1.8467002131014452e-05j),(2.8593853139227628e-05+6.386998360818164e-06j)
1.18,(-0.2530476839942938+0.04610735270144536j),(0.001806951891348341-0.0010417443732807542j),(-0.003870765760248042+0.0014288981474709994j),(0.2377778747582617-0.04055528316438416j),(0.010745024144892226-0.009357224311660401j),(-0.00012569889809350675+4.945253985022973e-05j),(-0.0011399073932320844-0.007301205279340944j),(0.006259576820699712+0.011052789197626608j),(1.7873656386975063e-05-1.7337644947238556e-05j),(-0.0014063417323543995-3.608808788457242e-05j),(-1.4521260994495978e-09-4.917143445303078e-10j),(-4.269082380619292e-06+2.999877878993565e-05j),(9.628564670721967e-05+6.172125185884686e-05j),(2.101242015794483e-05+3.068315288145373e-06j)
1.19,(-0.252094112072985+0.046588421641328814j),(0.0017331958458393795-0.0007465290280652761j),(-0.0036371616907473862+0.0009022826934123995j),(0.23860260225163962-0.040261869413252785j),(0.010268184117326828-0.00928710908093119j),(-0.00011227199119043521+5.7720022778661935e-05j),(-0.0015479681050384587-0.0072766100348912255j),(0.005411864581597634+0.010563058855046902j),(1.9468314016556997e-05-1.262859965623318e-05j),(-0.0011530449193493078+9.166447734728392e-05j),(-9.061117807224367e-10-6.813806421932325e-10j),(-5.5155223046410654e-06+2.2120720677456658e-05j),(7.393342189191212e-05+8.67806855907718e-05j),(1.53104175305753e-05+1.123432992081446e-06j)
1.2,(-0.25119909485166947+0.04695579953689621j),(0.001645438591025397-0.0004933164188407268j),(-0.0033908602856973446+0.00045545348417358955j),(0.2394064652584583-0.04005151562898319j),(0.009798388989016766-0.009155030281426606j),(-9.88530775826753e-05+6.405137291498215e-05j),(-0.001944892996929163-0.007213778498765131j),(0.004623791839724973+0.010086693839515638j),(2.0513862034842642e-05-4.3814139679293625e-06j),(-0.0009155001350547883+0.00019480617391699772j),(-5.305706029190432e-10-7.069976752974344e-10j),(-5.299269286220927e-06+1.7210417751684834e-05j),(5.422986496321088e-05+9.531607421523614e-05j),(1.1081241761969806e-05+2.2988701478953616e-07j)
1.21,(-0.2503650196956427+0.04721999782729291j),(0.0015487137837051081-0.00027755989016052095j),(-0.0031394329868868216+7.897804935719254e-05j),(0.24017866776597574-0.039916233708996836j),(0.009342125422669373-0.008967668563740793j),(-8.57285053302615e-05+6.857943534380642e-05j),(-0.0023262490164539804-0.007114641563087309j),(0.003894329825769014+0.00962365865018606j),(1.5907170044126155e-05+4.894398086876894e-06j),(-0.0007034505113285596+0.0002697869978788919j),(-2.7562323708746417e-10-6.641241781244618e-10j),(-4.292973394109286e-06+1.4210389407721474e-05j),(4.3661445283652454e-05+9.369185331221467e-05j),(7.971458200202398e-06-1.466398208098961e-07j)
1.22,(-0.24959230545554534+0.047392340386555105j),(0.0014469892100548397-9.455882610170723e-05j),(-0.0028886184660160226-0.00023623226230667775j),(0.24091097023315886-0.03984755468809341j),(0.008903493000351226-0.008732636790777546j),(-7.311389315452365e-05+7.147242578703583e-05j),(-0.0026890641996171255-0.006981176641405083j),(0.003222555441532906+0.009173959011680246j),(7.4653493009547315e-06+8.134629322574896e-06j),(-0.0005212359487088266+0.00032072545472481634j),(-1.0169902899425422e-10-5.960815151007191e-10j),(-3.0056450838141865e-06+1.2255375767551068e-05j),(4.228852064106256e-05+8.708316793901097e-05j),(5.664546922747454e-06-5.360681754806044e-07j)
1.23,(-0.24887961212698384+0.047485055949709885j),(0.0013432608263153993+6.041528535890957e-05j),(-0.0026425615032548452-0.0004988595599020319j),(0.24159748965430272-0.03983651578429883j),(0.008484349041005373-0.008459068805016495j),(-6.115341098775716e-05+7.293224193473846e-05j),(-0.0030319014720947388-0.006815419002958319j),(0.002608091123876475+0.008737908549832578j),(1.7390147434672297e-06+6.252586020355207e-06j),(-0.00037119071172674544+0.0003501388613255531j),(1.6136588159632058e-11-5.257296304493684e-10j),(-1.6666465209339384e-06+1.0866174111997908e-05j),(4.642516815895624e-05+7.770947682739498e-05j),(3.9565706581127964e-06-7.862868416626727e-07j)
