t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
1.05,(0.003388577346624942-0.0009871253276398713j),(-0.003189364111079866-0.005089502712065179j),(0.0017623939897939847-0.0011647237835375353j),(2.9791592865329535e-07-2.695293814863275e-07j),(3.938076779146764e-08-5.105332885656092e-07j),(-5.114821863479003e-07+5.723199401042523e-07j),(5.63944989488282e-06-2.463601776404773e-06j),(-0.00014255895390513076+0.005259604721116316j),(-0.014977007018547515-0.009789596440207247j),(0.006969796873900497-0.014006125539623071j),(-2.2403040691935112e-06+8.016825645935216e-06j),(0.00042277962121399027+0.000594197835251657j),(5.184581773799706e-07+9.827892238514039e-08j),(7.285432078011794e-06+1.2365799508074427e-06j),(-5.700767735279533e-06-3.831074434249731e-06j),(-9.990861500622997e-06-4.9927638510367664e-06j),(0.00022093310707090757+0.0018430585111307008j),(3.245041102315252e-06+7.84311577096775e-07j),(-7.506153249685538e-07-6.131314154423288e-08j),(0.0045189395371102795+0.016209953841644927j),(6.608043469433666e-10-5.049554948287998e-10j),(0.000222890112670095+0.00021716879280082966j),(7.181905053702912e-09-7.838824751771776e-09j),(-5.878814476481569e-05+6.202462419614572e-06j),(1.8710094867228307e-06+1.7605697829792785e-07j),(-2.15412498934493e-09-1.466686642415907e-09j)
1.06,(0.0023882221593253907-0.0024791339427921765j),(-0.004901215068070526-0.002048814708471505j),(0.0009228369661136405-0.0017700476396959376j),(1.3248102871040865e-07-4.077075462551007e-07j),(-1.0397323746574325e-07-4.217804782786763e-07j),(-2.454502403675413e-07+6.026306184651399e-07j),(3.4690805006603388e-06-5.481089886718208e-06j),(0.00313950159599401+0.00360719698454231j),(-0.016443911012638063+0.0007185964920351782j),(-0.002987250239077109-0.013380248411523863j),(7.687646011752625e-07+5.806663286596321e-06j),(0.0006959834989898277+0.00026559699230449535j),(4.912075844740937e-07-3.314503546160049e-07j),(6.631924752683292e-06-3.639626488485983e-06j),(-7.045075909013753e-06+5.217477258364704e-07j),(-1.0511017771887455e-05+1.443745191616579e-06j),(0.0009464349650891077+0.0014492099326746599j),(3.1077800563302177e-06-8.027158686493375e-07j),(-5.577530800105628e-07+2.640611107147046e-07j),(0.012122380526283028+0.009252794625661873j),(3.855912775692411e-10-6.89302320657046e-10j),(0.00034488040171443536+9.585346177477859e-05j),(1.941356776332233e-09-9.459749215464801e-09j),(-6.959869988639293e-05+2.1452503739816804e-05j),(1.9867825993868025e-06-1.0440361522889074e-06j),(-2.6059157312242367e-09-8.291274077236522e-10j)
1.07,(0.000857577584401703-0.0033180712971865034j),(-0.00455579466844611+0.0008482256607768974j),(-5.3628818478243957e-05-0.001964837722800668j),(-1.0782747702080764e-07-4.412449244754964e-07j),(-1.9807986576188927e-07-3.162615573825892e-07j),(-1.325413641190451e-08+5.610868961438264e-07j),(-1.0162547025333598e-07-6.734960407830146e-06j),(0.004265966552244667+0.000499416839378018j),(-0.01209642595049176+0.008898008629418848j),(-0.009134349627210055-0.007429798598071093j),(2.5568522113417227e-06+3.3407704661208505e-06j),(0.0007391905501954914-0.00013641640748364767j),(1.3654148060302615e-07-6.484369100228507e-07j),(2.970044538238726e-06-7.218978477206985e-06j),(-5.382745292663861e-06+4.941080647061914e-06j),(-7.1999055721422115e-06+6.608010104947881e-06j),(0.0013642631246444548+0.00084064867657866j),(2.2550823219702334e-06-2.099559716719496e-06j),(-2.7575993600731784e-07+4.2287433651788244e-07j),(0.013731807592389953+0.00045779871059239974j),(7.92080565422249e-11-7.508190253564731e-10j),(0.000396213735585297-0.00010011932606152619j),(-3.3166869831269477e-09-8.314550583992165e-09j),(-7.880787869887197e-05+4.311288493657184e-05j),(1.374886099042946e-06-2.3883753521747025e-06j),(-2.9857422129349044e-09-2.0837781567134552e-10j)
1.08,(-0.0008520361782340836-0.0033895184896776853j),(-0.0028967598568301273+0.002711440621828904j),(-0.0009931106101752514-0.0016940189019104383j),(-3.5557913205802667e-07-3.2089931060777357e-07j),(-2.508391225406037e-07-2.045114493863386e-07j),(1.743152698122457e-07+4.4747451621221727e-07j),(-3.736820286091947e-06-5.6986970288086894e-06j),(0.00308354999575188-0.002235801743365311j),(-0.004784136511023343+0.012644636878709911j),(-0.009934460151063976-0.00011587009533800974j),(3.2087100392958436e-06+1.0167130881728832e-06j),(0.000565265968058569-0.000477211628724891j),(-3.812460907058238e-07-6.240491518439841e-07j),(-2.37573934176163e-06-7.77067342367741e-06j),(-1.2366820710406506e-06+7.5415549172918755e-06j),(-1.8942647088024355e-06+8.583972674320888e-06j),(0.0014674507472534873+0.00019696481250613593j),(8.932243453410266e-07-2.8200623009302712e-06j),(-7.901169668284924e-10+4.2069725174796904e-07j),(0.010311470378679993-0.006648634077172099j),(-2.1362278840195783e-10-6.886385609753789e-10j),(0.0003256487508535254-0.00032332551389661587j),(-6.761919251151327e-09-4.618658645365661e-09j),(-8.403316576758714e-05+7.242060243964224e-05j),(-1.5137640118347643e-07-3.4133242185406734e-06j),(-3.1200269020074216e-09+2.6864065885651675e-10j)
1.09,(-0.0024166817495216773-0.002707252061755322j),(-0.0008457010061818001+0.003216295965048828j),(-0.001613707232082648-0.001031629363105702j),(-5.009459069105662e-07-5.1767720170256436e-08j),(-2.652027400478806e-07-9.997404043524132e-08j),(2.7610586833092333e-07+2.844800105978547e-07j),(-6.011521043857339e-06-2.8423266298583385e-06j),(0.00060811864727559-0.0032611137243502082j),(0.00236156016400251+0.011728451570710938j),(-0.006459834518677951+0.005093495298630775j),(2.814186639015367e-06-9.357763034053098e-07j),(0.0002543653430719137-0.0006513918013408932j),(-7.624456293413962e-07-2.1451704073105402e-07j),(-7.144179946448961e-06-4.609469935391517e-06j),(3.840033845855532e-06+7.074141615750766e-06j),(2.981836851681389e-06+7.228590803318719e-06j),(0.0013275043318192036-0.000357653994199565j),(-6.311075897147863e-07-2.7816250348839112e-06j),(2.0093871817469221e-07+2.992322457607235e-07j),(0.004286474003824166-0.009971768576919086j),(-4.498371774175263e-10-5.26065766113737e-10j),(0.00011439948912501344-0.000502052972438619j),(-7.562301143554856e-09-9.445538078492057e-11j),(-8.214004947455299e-05+0.00011013751570541276j),(-2.3798794767503055e-06-3.6208490675402244e-06j),(-2.9481796626530947e-09+5.239935871855918e-10j)
1.1,(-0.0035403252859018955-0.0013669624563778548j),(0.0009256757854207564+0.0026407142814388078j),(-0.0018197863424272297-0.0002590047665988961j),(-4.547541503199263e-07+2.7584235348678377e-07j),(-2.537596853957265e-07-1.2617514721343632e-08j),(2.92681063836553e-07+1.3410637642921376e-07j),(-6.167949046356626e-06+4.823154902111735e-07j),(-0.001665429088294796-0.002480397047239798j),(0.007467502235680713+0.0074812688560750434j),(-0.0013509566591170686+0.006811760035995122j),(1.6705915549009782e-06-2.189382418304701e-06j),(-9.292883068447334e-05-0.0006430065644679672j),(-7.539114352325772e-07+3.7478575074503496e-07j),(-9.007202110928339e-06+1.202300987536364e-06j),(7.76744571889425e-06+3.6357076254138995e-06j),(5.628044694198705e-06+3.839753952000177e-06j),(0.0010349623713080687-0.0007674359655835353j),(-1.9233852389671457e-06-1.9793871499318115e-06j),(2.897231115502138e-07+1.1252380620676801e-07j),(-0.0020169331413583255-0.009387295257711634j),(-5.972603819549554e-10-2.9357868043330026e-10j),(-0.00019416590596829528-0.0005413313905300964j),(-5.890026562899119e-09+3.76255289522268e-09j),(-6.851581365973073e-05+0.00015642022294082308j),(-4.94288549588889e-06-2.447813875622509e-06j),(-2.7683089126196506e-09+7.276553603405622e-10j)
1.11,(-0.003937712739372853+0.00040928491418529246j),(0.001864601189854154+0.0013691917141192595j),(-0.0016927669306376688+0.00044293138162774224j),(-2.0656921853772447e-07+5.206373679093544e-07j),(-2.2588852495589586e-07+5.987144363509935e-08j),(2.637951979028025e-07+2.2033747143875944e-08j),(-4.701792319955028e-06+2.875160909763329e-06j),(-0.00268510982452939-0.00046758771859748425j),(0.00895767671174663+0.0018479710273067462j),(0.0029621429465567987+0.004992589355751597j),(2.3508101740732104e-07-2.62384617976499e-06j),(-0.00035584010388185153-0.000461162185313886j),(-3.2290168141188753e-07+8.163521399472593e-07j),(-6.660914066135115e-06+7.496028088020324e-06j),(9.1180661372567e-06-1.5740318495735227e-06j),(5.916483423817469e-06+2.5156936747988504e-07j),(0.0006701138359898595-0.0010241700461052579j),(-2.6173152456439005e-06-6.534844403887192e-07j),(2.6356100917220065e-07-6.635996806530503e-08j),(-0.006123561446131067-0.005667730816004906j),(-6.392448059741709e-10-3.1417390611330525e-11j),(-0.0005059874551171557-0.0003745997529231561j),(-2.566373043760707e-09+5.873715568934449e-09j),(-3.7172510491126946e-05+0.00021030972411580768j),(-7.082711352020654e-06+4.606202817251758e-07j),(-2.5550398747987927e-09+9.360347291049766e-10j)
1.12,(-0.0034514640708958044+0.002244800209732984j),(0.0019149614255888295+4.540645154246423e-05j),(-0.0013400855651432395+0.0009835615896350977j),(1.5091864637075563e-07+5.687923547946135e-07j),(-1.8460962066094916e-07+1.1847635659937502e-07j),(2.1562992258846048e-07-5.505998443683685e-08j),(-2.8405724431868826e-06+3.840421705715407e-06j),(-0.0020310941431938437+0.0015206989009984976j),(0.007312754240389864-0.002933319617201901j),(0.004684095928922517+0.0013955624248178722j),(-1.0982729857755324e-06-2.315398628586762e-06j),(-0.00047332680113969174-0.00019898169592240823j),(3.1036776626873093e-07+8.421861780154468e-07j),(-3.317762467348421e-07+1.1396985397660846e-05j),(7.434826905401411e-06-6.833004700567134e-06j),(4.552503397809547e-06-2.3756639566363294e-06j),(0.0002853269766439425-0.0011428739839541597j),(-2.518676935219408e-06+8.333801114779564e-07j),(1.535976627681559e-07-1.8374223348990054e-07j),(-0.0071677036037316655-0.0009610644050921414j),(-5.78789970139679e-10+2.1627486379799183e-10j),(-0.0006957723181099142-8.505890176187388e-06j),(9.988588972249013e-10+5.85016491319862e-09j),(1.9496177746316463e-05+0.0002686107375461184j),(-7.767718965375767e-06+4.9504947957337975e-06j),(-2.2851963591524296e-09+1.171338789947985e-09j)
1.1300000000000001,(-0.002112086069684593+0.0036995301514624913j),(0.0012949510857847616-0.0009172429632811018j),(-0.0008578706985571588+0.0013252518699366608j),(4.723663515457189e-07+3.925764604597211e-07j),(-1.2961830635431993e-07+1.6180915390107629e-07j),(1.601180033396591e-07-1.0676951491675636e-07j),(-1.5118401547821327e-06+3.9913017520224995e-06j),(-0.000200397582038788+0.002398734082888495j),(0.003702611239647831-0.005605876018329326j),(0.003641170884792693-0.0019183238275304391j),(-2.0443055925574277e-06-1.4574601305806102e-06j),(-0.0004377784814534017+6.041149192895082e-05j),(7.87517370722738e-07+4.2213083577489194e-07j),(8.084573046120744e-06+1.0780171911680687e-05j),(3.2150380313214208e-06-1.0735839051610153e-05j),(2.514863720892083e-06-3.7594174832970913e-06j),(-8.034817517400388e-05-0.0011445745101107375j),(-1.6548127275200712e-06+2.034451513864318e-06j),(1.2643119981700847e-08-2.1243671590012009e-07j),(-0.005444344424336984+0.002976209340480709j),(-4.309570033963393e-10+4.1315519687813767e-10j),(-0.0006075585619492299+0.0004423287588228152j),(3.733005934537014e-09+3.9968930704284966e-09j),(0.00011163784904194332+0.00032439877289550323j),(-5.8200346684811615e-06+1.0497360214868067e-05j),(-1.958957064713303e-09+1.4301790481494405e-09j)
1.1400000000000001,(-0.00018743911568538395+0.004370881273767295j),(0.00041348613966236405-0.0012495964750498002j),(-0.0003274637818404412+0.0014588399340744033j),(6.354264387883356e-07+5.6512326733408535e-08j),(-6.873820591855288e-08+1.8597623029756938e-07j),(1.0231969262155536e-07-1.3653601593010917e-07j),(-8.565662083810579e-07+4.311274469183048e-06j),(0.0015329748061806599+0.0016448517344667185j),(-3.707697976072354e-05-0.0056877739172461255j),(0.0011074690995571406-0.0032504722050138717j),(-2.419710507403941e-06-3.2426065603874426e-07j),(-0.00029232539290330913+0.0002265863294421794j),(8.520931706846496e-07-2.0902872254696185e-07j),(1.562212742572666e-05+4.3151480053451184e-06j),(-2.7899320102107266e-06-1.2268955342976896e-05j),(4.5973971814277534e-07-3.980330528420422e-06j),(-0.0004087128501953915-0.0010594144973617994j),(-2.628198346228739e-07+2.571080847023966e-06j),(-1.0476817409059262e-07-1.5835302838374252e-07j),(-0.002322267499144034+0.004761902567544197j),(-2.250132090575122e-10+5.32229784206455e-10j),(-0.00023549692754186837+0.0007967501433648542j),(4.935105656878937e-09+1.2047013882172061e-09j),(0.0002506516576504517+0.00036362111190950906j),(-3.326551404270305e-07+1.5711201235505076e-05j),(-1.5998555795849853e-09+1.683571417799899e-09j)
1.1500000000000001,(0.0018610549444272816+0.004042230030733659j),(-0.00038139927502378135-0.0010379342722816366j),(0.00017101467296496288+0.0014072889637995604j),(5.753818410786895e-07-3.1431784760323754e-07j),(-4.458964435217892e-09+1.8992879951089175e-07j),(4.406945692216606e-08-1.4763609079911793e-07j),(2.2862683379349629e-07+5.4767380837971476e-06j),(0.0021270124882650818-4.488369805606771e-05j),(-0.002854052036656533-0.003903884597158831j),(-0.0012342539047583562-0.0026313797634678207j),(-2.2163400291056764e-06+7.652489201336973e-07j),(-0.00010910196915005362+0.0002847594869563873j),(4.7011053236704224e-07-6.948794624521172e-07j),(1.8627263377962448e-05-7.093808154169065e-06j),(-9.561926606793782e-06-1.0865634580774897e-05j),(-1.2350638739519877e-06-3.4353053377820237e-06j),(-0.0006901958752407894-0.0009073021260676691j),(1.1765860514473234e-06+2.237835563666454e-06j),(-1.6140096852073007e-07-5.463177768982012e-08j),(0.0009057162408372876+0.004446165040772489j),(3.569852622898756e-12+5.596177300525702e-10j),(0.00033351931927073+0.0008366704006074483j),(4.433524566613203e-09-1.5742777838394152e-09j),(0.00044916643209946827+0.0003617507327741494j),(9.133386949048055e-06+1.842900369451272e-05j),(-1.254780380941882e-09+1.87693622180062e-09j)
1.16,(0.0034947188606924487+0.002778474741116299j),(-0.0007743247253198947-0.000488511996027898j),(0.0005910619027419099+0.0012094775330477407j),(3.1585061125899325e-07-5.871702782388785e-07j),(5.582206209781957e-08+1.7526527039854282e-07j),(-9.605553330903112e-09-1.4067119731876616e-07j),(2.950656381487985e-06+6.661954729380356e-06j),(0.0012988941834937116-0.0014740121051017474j),(-0.0038921515969788214-0.001270918595475859j),(-0.0022589382696468806-0.0009215843442256546j),(-1.5844861840261165e-06+1.5474803832706208e-06j),(3.649548863861615e-05+0.0002454262942082871j),(-1.0883671814655959e-07-7.819590536851356e-07j),(1.3666917485000026e-05-2.0399396058950365e-05j),(-1.5822469071706382e-05-5.71611508565438e-06j),(-2.4289986021612227e-06-2.3330724110083133e-06j),(-0.0009272025897284464-0.000705851046719976j),(2.1656867027502634e-06+1.1558275938911746e-06j),(-1.439864320662531e-07+5.12726626467449e-08j),(0.002925216498363476+0.002493692394166268j),(2.1754439639137664e-10+4.971667694442667e-10j),(0.0008676693103614307+0.0004966496906423405j),(2.651806156673937e-09-3.492184715051778e-09j),(0.0007114203181743347+0.00027485107535343524j),(2.1614811767976423e-05+1.6044658866510474e-05j),(-9.848941802157373e-10+1.975869253498468e-09j)
1.17,(0.0043078854799257545+0.000982520932108948j),(-0.0007636269877104898+2.8318070888753684e-05j),(0.0008974711516615382+0.0009040215490053428j),(-5.339516283763333e-08-6.672081986606669e-07j),(1.0974814666036382e-07+1.4264477679985578e-07j),(-5.538068254143701e-08-1.185931249046204e-07j),(7.417158634186716e-06+5.8318333153213275e-06j),(-0.0001604741284406937-0.0018247366095867725j),(-0.003525415418649786+0.0009472144456209208j),(-0.0019499525236490207+0.0007104665612750695j),(-7.693544011964105e-07+1.923295294601283e-06j),(0.00011646988120591028+0.00017307948809739077j),(-5.635134410205776e-07-4.707102468568596e-07j),(-4.792037063038156e-07-3.02979277029097e-05j),(-1.9690353951204666e-05+3.394032477918353e-06j),(-3.0046687639239923e-06-9.044917861719024e-07j),(-0.0011103419566415704-0.0004541116789832592j),(2.3480111866088387e-06-2.687620939530424e-07j),(-7.191149830082727e-08+1.1753370826449951e-07j),(0.0034252857560492264+0.00028004009880998196j),(3.8434612138893014e-10+3.5984582339729927e-10j),(0.0010815906118597659-0.00017634970643529342j),(2.8292679358221974e-10-4.074804174306293e-09j),(0.0010234592002425437+2.9754120561821214e-05j),(3.460762628971317e-05+5.941941324965725e-06j),(-7.517777304029961e-10+2.0353439432951173e-09j)
1.18,(0.004265425635838347-0.0008776959004511168j),(-0.0005372859148971568+0.000391611749092049j),(0.0010598665305475246+0.0005598186948437545j),(-4.069322484088712e-07-5.153815720005815e-07j),(1.5276431249467362e-07+9.11202837346014e-08j),(-8.957574041039022e-08-8.284999286558312e-08j),(1.1506570742561607e-05+1.5798494832935907e-06j),(-0.0013204369873285287-0.001046992908216077j),(-0.0022002505622721385+0.0027098064921819223j),(-0.000849010131424633+0.0015624970841582068j),(4.342651231775627e-08+1.925184360730654e-06j),(0.00016630583443179374+9.485590819756576e-05j),(-6.707495931429061e-07+2.9047147219374267e-08j),(-2.0696391824935873e-05-3.060264261527002e-05j),(-1.8604513191571883e-05+1.5740614164342682e-05j),(-2.915270667420041e-06+5.857654922355829e-07j),(-0.0012303276678473113-0.0001867392677164708j),(1.6819610298598553e-06-1.4907463938969925e-06j),(1.8163689286265836e-08+1.2367600200946616e-07j),(0.002685071932319057-0.0018552332308117156j),(4.808220505577282e-10+1.7381450059638474e-10j),(0.0008044917921765922-0.0009049673048114758j),(-1.872380605482097e-09-3.3371963613905232e-09j),(0.0013033107905643954-0.00046687026655379204j),(4.370456848044866e-05-1.3120421823393228e-05j),(-4.734348329781987e-10+2.046601896110939e-09j)
1.19,(0.0035179056744460814-0.0024588799212052026j),(-0.00022216173750916657+0.0005404599526222554j),(0.0010967617930899216+0.00022582127211020277j),(-6.090717639457964e-07-1.819339593949247e-07j),(1.7484795619364293e-07+2.5873983947911317e-08j),(-1.0707343638768943e-07-3.838918819229113e-08j),(1.2845794244847992e-05-5.598749633374263e-06j),(-0.0014986495317488525+0.00023708710844994572j),(-0.0002510176678698806+0.0035994123809178925j),(0.0003299294769595353+0.0014619464594738286j),(7.177610425584672e-07+1.6419226580415276e-06j),(0.00019041957593078133+1.9111711783104686e-05j),(-4.289390746084784e-07+4.35528118703353e-07j),(-4.172742911930492e-05-1.7946880273590678e-05j),(-9.621069652609968e-06+2.9100082917177355e-05j),(-2.1949049705120187e-06+1.8440793227252563e-06j),(-0.0012918023601621962+9.109415446368417e-05j),(4.809746361088865e-07-2.05445115028715e-06j),(8.876463935772451e-08+7.467176383796642e-08j),(0.0009716016832834896-0.0032323026643538266j),(4.957793106679544e-10-2.905003056056117e-11j),(4.907507874250144e-05-0.001300799303240284j),(-3.1840126722423834e-09-1.6511159044708152e-09j),(0.0013485607241534422-0.0012985714047484664j),(4.312693831962858e-05-4.019951811414708e-05j),(-1.1288704795645164e-10+2.0028729263311923e-09j)
1.2,(0.002272415639736926-0.0035883783990865504j),(7.778513174211345e-05+0.000509617216381845j),(0.001043581252841719-4.754025212411173e-05j),(-5.703053967861698e-07+2.0831194050415956e-07j),(1.6999046090535239e-07-4.489134508310867e-08j),(-1.0510792403110014e-07+7.519528463662529e-09j),(9.612884242437743e-06-1.3661993486970976e-05j),(-0.0007197019000256787+0.0011486352198155573j),(0.0020273376671397004+0.003331603059407389j),(0.0010190361794471384+0.0007211634977955398j),(1.1904288787430935e-06+1.166352683688372e-06j),(0.0001907934847825111-6.039434197827585e-05j),(-1.050897749001314e-08+5.556330869045457e-07j),(-5.599816077941016e-05+8.568001740868204e-06j),(9.83306083251156e-06+3.833106365571127e-05j),(-1.0217460775840314e-06+2.6294206115055013e-06j),(-0.0013000116435885126+0.00036529616608216135j),(-7.427290463905368e-07-1.8101193985609214e-06j),(1.1046922543639144e-07-5.9481676797045515e-09j),(-0.0013625444991077797-0.0034281832220541507j),(4.3173566004965886e-10-2.159135847404006e-10j),(-0.0008227544924131876-0.0010987637371062094j),(-3.3636634681505196e-09+3.501293180229988e-10j),(0.0008236257214180938-0.0023430843351742174j),(2.7189069919631513e-05-7.063068699049945e-05j),(3.2051944824305667e-10+1.903367680384443e-09j)
1.21,(0.0006863843456976333-0.004164634935059908j),(0.0002966281394192014+0.0003476887279535382j),(0.0009489290839660029-0.00024544864904274685j),(-3.025243092388627e-07+4.898475790028902e-07j),(1.3717526456019992e-07-1.0930043488887236e-07j),(-8.526540142470318e-08+4.613179496711226e-08j),(1.5290350267666621e-06-1.9737935683550156e-05j),(0.00038734813829378043+0.0011470953604544869j),(0.004005651485977129+0.0015573962267665603j),(0.001024862138928867-0.00013627679637733637j),(1.4272248472361497e-06+5.874241258021296e-07j),(0.00016075683072626088-0.00014223489851848984j),(3.44497739841776e-07+3.705590169484793e-07j),(-5.495254416142942e-05+4.6100344539700856e-05j),(3.852339028581096e-05+3.451324666249588e-05j),(3.439037920736256e-07+2.804310549071286e-06j),(-0.0012618349894578467+0.0006382280073832569j),(-1.5269081797119006e-06-9.495806693259172e-07j),(7.347902884316639e-08-8.017632354886565e-08j),(-0.003638573690094305-0.001970213804399592j),(3.030308091596626e-10-3.5831038110315693e-10j),(-0.0013282515548569585-0.00035453709661921755j),(-2.4698011391415325e-09+2.0254594018788824e-09j),(-0.0005532414138673355-0.00312890403785877j),(-7.97188010487557e-06-9.608482806549921e-05j),(7.711138627970563e-10+1.7532776367425605e-09j)
1.22,(-0.0010639893354101291-0.004069268327293396j),(0.0003938751727220613+0.00011641095015177053j),(0.0008483115248347636-0.0003820728655416256j),(7.523226374587135e-08+5.388428902457391e-07j),(7.997576253920917e-08-1.5724351401032328e-07j),(-5.351163476433931e-08+7.133269457918696e-08j),(-1.0164180944801353e-05-2.11259349680645e-05j),(0.0010370455370304664+0.0003571433296827136j),(0.004468560679997501-0.0015206746624852753j),(0.0005389728599039298-0.0006700965020431797j),(1.4217532920662001e-06+9.895285021784045e-10j),(9.271511045341586e-05-0.00021387006578915506j),(4.610405319037387e-07+2.0557119255410184e-08j),(-2.9594694232439742e-05+8.702881011243557e-05j),(6.693054440728466e-05+7.869304681097946e-06j),(1.6425183355286221e-06+2.3393773955776378e-06j),(-0.001173785150857625+0.0009092313061653562j),(-1.6439853200421189e-06+1.2509042430855003e-07j),(-5.410850813703319e-09-1.0916350080132878e-07j),(-0.00451649915811721+0.0010540618014069558j),(1.3362276339890426e-10-4.364195314224745e-10j),(-0.0012660506446702379+0.0004692127030523136j),(-8.953047514973781e-10+2.9013696425090658e-09j),(-0.00250358937105222-0.002966888738556408j),(-6.140878940805393e-05-0.00010519204065837876j),(1.1369007864781967e-09+1.56377510592072e-09j)
1.23,(-0.0027006786964565814-0.003203975628591157j),(0.0003549871981989558-0.00011432809267987093j),(0.0007481061517099342-0.00048512762915309997j),(3.877095260440939e-07+3.3990116779263344e-07j),(5.3893080457255004e-09-1.8089533479766776e-07j),(-1.7294398495053763e-08+8.112928808437406e-08j),(-2.3119382157129286e-05-1.6039245234693806e-05j),(0.0008359701415554968-0.0005893579042563436j),(0.00240807119360066-0.004403611726399424j),(-6.96132197489913e-05-0.0007100249466590073j),(1.2095735149924423e-06-4.940705320892369e-07j),(-1.1123253193366008e-05-0.0002520411941255679j),(3.100106264899838e-07-2.861634265754989e-07j),(2.7688729168695967e-05+0.00011590456514420393j),(7.443688212236654e-05-4.345219522376632e-05j),(2.635602201951358e-06+1.2838903498628148e-06j),(-0.001015839049080922+0.0011646674931721597j),(-1.1439498008146867e-06+9.92774980992502e-07j),(-8.444891278456968e-08-7.191194725275141e-08j),(-0.0027935945961415037+0.004179058779162215j),(-4.773986622414185e-11-4.413811360630829e-10j),(-0.000795074453094456+0.0010426233087648762j),(8.198257446927214e-10+2.7759032169266313e-09j),(-0.004296581054311687-0.0015231821390576472j),(-0.00012592366101446978-8.60480458653725e-05j),(1.343406575571933e-09+1.3616945176440607e-09j)
1.24,(-0.0038200587021843544-0.001602095484177138j),(0.00021108771447908334-0.0002743566049842803j),(0.0006363794445493571-0.0005492559857842764j),(4.938497222982798e-07-3.731096913099823e-09j),(-8.371620541454132e-08-1.7203346401125998e-07j),(1.8219286109268982e-08+7.682313685844901e-08j),(-3.4863560477854376e-05-3.6806765669469846e-06j),(-1.7042841801355284e-06-0.0009752171670943893j),(-0.0013655251460295698-0.004826865051210358j),(-0.00043417176689906824-0.000386966027722234j),(8.55843332399405e-07-8.294412871340887e-07j),(-0.00013195715990376534-0.00022633944277079544j),(7.614620331247696e-09-3.8458646011428523e-07j),(0.00011276555330243387+0.00010322585338491341j),(3.872169812568394e-05-9.752864995079455e-05j),(3.014638315596814e-06-2.948817209148425e-07j),(-0.0007910869849263163+0.0013510798298300242j),(-2.9380094610073613e-07+1.3660683367228559e-06j),(-1.060006990737897e-07+1.5556792257162093e-08j),(0.0009256154165418564+0.00499794642777317j),(-2.1195156676579692e-10-3.7658558710384426e-10j),(-0.00017418827608416067+0.001284341241026859j),(2.1381014459471987e-09+1.7845263089245892e-09j),(-0.005143517633372499+0.00091407094676435j),(-0.00018671346607716048-3.030447498097295e-05j),(1.5048068071546624e-09+1.1549164267645928e-09j)
1.25,(-0.004056111801427385+0.000397926685428175j),(1.348524028076383e-05-0.000335387583880373j),(0.0005386045547835886-0.0005865563270702434j),(3.5085757078593946e-07-3.2475287000069126e-07j),(-1.6811783681210235e-07-1.1340468540417154e-07j),(4.8739818922046086e-08+5.8611347051808376e-08j),(-4.266061762328889e-05+1.654260666918565e-05j),(-0.0007937265109033046-0.0005570217119781286j),(-0.0041220188415015775-0.0024835180066501423j),(-0.00047287612008087315-1.364360005477497e-05j),(4.5439867103884937e-07-9.740921998774631e-07j),(-0.00022038757248207444-0.00013755190221038726j),(-2.5126188030979376e-07-2.4453552024559174e-07j),(0.00018785465691990874+2.334492382548116e-05j),(-3.253738981708604e-05-0.00011513225270467158j),(2.4062319439651317e-06-1.9336641742702565e-06j),(-0.0005311970183552409+0.0014786038149966025j),(5.569853819653863e-07+1.170712510127921e-06j),(-5.3992637359501124e-08+8.361020863215785e-08j),(0.003895239528478143+0.0029689040273000377j),(-3.3403925125266204e-10-2.5542241345363024e-10j),(0.0004407601133420084+0.0012239938739606702j),(2.668001924544527e-09+2.7590364969870254e-10j),(-0.004548205926161609+0.003704001068451103j),(-0.00022356714740574276+6.335973689159543e-05j),(1.6279817471295825e-09+9.029332788043356e-10j)
