t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B00_z_0010_00,B00_z_0010_01,B00_z_0011_00,B00_z_0011_01,B00_z_0012_00,B00_z_0012_01,B00_z_0013_00,B00_z_0013_01,B00_z_0014_00,B00_z_0014_01,B00_z_0015_00,B00_z_0015_01,B00_z_0016_00,B00_z_0016_01,B00_z_0017_00,B00_z_0017_01,B00_z_0018_00,B00_z_0018_01,B00_z_0019_00,B00_z_0019_01,B01_z_0000_00,B01_z_0000_01,B01_z_0001_00,B01_z_0001_01,B01_z_0002_00,B01_z_0002_01,B01_z_0003_00,B01_z_0003_01,B01_z_0004_00,B01_z_0004_01,B02_z_0000_00,B02_z_0000_01
1.11,(-0.25952687217137616-1.147284607145643j),(0.4805713130407061-0.35688325060554277j),(-0.08179850250703292+1.8843946048260032j),(-1.3576749931923462+0.9794239585704428j),(1.1302545093630771-0.6957308756959127j),(0.8267446352955468-0.3348719317678535j),(3.0847833429742026+1.1035388712438616j),(-0.14259246403633188-0.5379757933392366j),(2.515256630857217+2.385488503182091j),(2.3923786216247054+2.007964019263299j),(3.2479090564545348+0.190177318966072j),(3.267499782923685-0.24720316481474713j),(-1.459372463111637-0.05600255106701991j),(1.4155389500007338-1.1084906221237614j),(-0.9462093810829241+1.475693613322135j),(-1.2874833361927964+0.22894934535724043j),(0.6526728648121078+1.6048689903567261j),(-0.9461162232564774+1.4371669875574906j),(-0.7105937148883074+1.544427896262708j),(-1.226663234568248+0.4031052768698693j),(2.7241159614407593-1.2751420424643j),(2.139064345907922-0.06966669896285377j),(0.993718003679153+1.9644248109437086j),(-1.0225377687058255+1.8439661287710214j),(0.010164061979576065-0.7658940647989673j),(-2.952623326034667+0.2866609019239219j),(-0.13153989695146748+0.8885813947219854j),(0.5100707290192258-1.8546710667231727j),(-0.5442822758071657+1.9471821322927398j),(0.15707651456694363-1.36989690358683j),(0.7796840698891683-1.9052406722515598j),(1.1940643707545027+1.4340997174244383j),(-0.45750267364627006+0.01613899773128454j),(0.962384139907142+0.27827442033277827j),(0.10676263741702574-2.850510984918085j),(-0.023462212245670102+0.9262603729831063j),(-0.4521334206620057+0.7473431966845767j),(0.007150066222032535+3.8279157799961827j),(0.7798832170017911+1.3622058519576898j),(-0.7582463320714145+1.4111507212505565j),(2.0067073038596215+5.334042237432944j),(4.453193649510628+2.145225505776615j),(-0.9924676294003285-0.46713125669872185j),(-0.0015963175271864489-0.6034233630849183j),(-3.390354397171922+0.9748113688973913j),(3.498292836922599+2.362778317102782j),(-0.1058778555372582-1.7793581058532166j),(0.5903736024490022-0.9807026744835042j),(1.5669866693890324+1.4328158968967948j),(-0.06503637534795062-2.0532718812236412j),(5.238097242803175+2.274430574591561j),(4.237393341236405+0.7446799625282249j)
1.12,(-0.26899269038433704-1.1353000643677253j),(0.5074640750449583-0.3317803249023478j),(-0.09795225636102281+1.8758400582475727j),(-1.3911827878345+1.0008488584189053j),(1.1279457317818116-0.7277483881491675j),(0.8578365842846752-0.3064204292872843j),(3.1023601175548805+1.09405107845083j),(-0.16489024348405892-0.4916197263162463j),(2.5265488293208493+2.361172705870028j),(2.433904410094852+2.0005635240663815j),(3.2044785815724564+0.22795623670595305j),(3.3015032971127183-0.3498051603468375j),(-1.4373368235903574-0.06131593831183047j),(1.420149208897486-1.1203812649506457j),(-0.9699838200001326+1.4518593554735069j),(-1.3247874871831065+0.22333308656339684j),(0.6395879402861386+1.5940931457283125j),(-0.9739038722561838+1.4750900866788568j),(-0.7469969202738583+1.5439167433396046j),(-1.2667716908698239+0.40471579994308793j),(2.743370156625902-1.2962849031901789j),(2.126303866908205-0.053338911560494015j),(0.9759464593767041+1.948049643149907j),(-1.0373503767264456+1.887605037737734j),(-0.016891284706567672-0.7903239182929217j),(-2.983967109940075+0.285065305718986j),(-0.15818454436000767+0.9029463495039755j),(0.48175236553724554-1.839491202307713j),(-0.540502573582733+1.9886828536548087j),(0.09531108381863389-1.3291029321974996j),(0.7675548922146392-1.904979906336032j),(1.2406672467044721+1.4998211898554112j),(-0.4516438224249713+0.025431929060282153j),(0.9837975362865824+0.26088736198348j),(0.04348225221505775-2.8369131484186614j),(-0.022781445056081037+0.9438516397916561j),(-0.46241679942837877+0.7141878491483162j),(0.048786777870185954+3.8968598807810553j),(0.7707076744278987+1.3571204248024789j),(-0.788450676110375+1.4507575590971786j),(2.0845912082339093+5.34397482304567j),(4.427256989812069+2.166759597107826j),(-0.9892741595530444-0.48739613816159366j),(0.035662880536109005-0.6322159425505853j),(-3.4169080827924825+0.9747493854507019j),(3.485705229643658+2.3502194168250017j),(-0.1666124320008613-1.7217232037224537j),(0.5873225350331348-0.9506200411428993j),(1.5746059277246258+1.3829729550869325j),(-0.08282480894448564-1.966935420956975j),(5.371562646633151+2.0351192701302527j),(4.247463910126419+0.6970933757825202j)
1.1300000000000001,(-0.27744115621619975-1.123379537971134j),(0.5350388291558289-0.30667579841416304j),(-0.1149297169189166+1.8663345338061j),(-1.424896185047056+1.018610750857027j),(1.119972329347848-0.7584172541849206j),(0.8882446480444499-0.2803309241905475j),(3.117153422404999+1.0788881444840466j),(-0.19126520704075373-0.4446770266738071j),(2.525436914670083+2.3366063475227805j),(2.481763092848343+1.988074609128645j),(3.1675612994263553+0.27261623703481447j),(3.320792052625066-0.45229381804874885j),(-1.4243770015730461-0.07125729625530881j),(1.419355458932148-1.1305136537882516j),(-0.9922936707655206+1.430908808630318j),(-1.3586470691687218+0.20964776950448927j),(0.6233655666120118+1.5834404497571368j),(-0.9995123167865297+1.507802305714494j),(-0.7807487936014014+1.5454886861711683j),(-1.312153191875766+0.403300751874977j),(2.7496067022199697-1.3123540012570791j),(2.1323561518900638-0.0327274905127796j),(0.9555923697654826+1.9332778081119213j),(-1.0474771861608487+1.9286697958048542j),(-0.04026540688727437-0.8189226857967521j),(-3.0206910827223528+0.2828044690925427j),(-0.1896383611331321+0.9171749023787706j),(0.4478695594742868-1.8238478067017947j),(-0.5297300883785301+2.0152800313788486j),(0.027243623374759766-1.3036225776193247j),(0.7542371238885419-1.8973691060663038j),(1.2984253833650155+1.56285508197677j),(-0.44005146761947167+0.03639921988313306j),(1.0032608820234181+0.23812344169202287j),(-0.021279018700637926-2.8182769594962522j),(-0.02697454017862134+0.9605251039072991j),(-0.47078979530038934+0.6923460701420038j),(0.0844393989014514+3.964476480062749j),(0.7567310340163265+1.354257851663622j),(-0.8182668986043922+1.4828990764849521j),(2.1619812778760004+5.350673522637749j),(4.402438839863852+2.190366896924523j),(-0.9861046849611168-0.5137054941879868j),(0.07599008854080837-0.6625707983277197j),(-3.443264275739075+0.9711096876653493j),(3.4736808695906483+2.336902112764028j),(-0.2213535591340131-1.6601036080411915j),(0.5844252066187234-0.9212133663673112j),(1.5808164618202987+1.3323417617754285j),(-0.09713937778293422-1.8810149453757978j),(5.488851477933653+1.784976740099976j),(4.256648173438898+0.6517349248360199j)
1.1400000000000001,(-0.28537645088276203-1.1119321986962611j),(0.5635320230562096-0.2824075171439818j),(-0.13387038036268803+1.8641411188450425j),(-1.4554795666252507+1.0371756320359515j),(1.1082393888244484-0.787158257360695j),(0.9185267237053116-0.2586663394532276j),(3.1307000567981804+1.0591674904050201j),(-0.22116142777316594-0.3948545773669507j),(2.5186782954572267+2.3155210038742804j),(2.5275454388962495+1.9646249331782506j),(3.1379825448880756+0.32270530306259826j),(3.322458285108086-0.5530367868141475j),(-1.4179970715653134-0.08340052648030795j),(1.418846356077993-1.139074225510937j),(-1.0189902472376613+1.4030290463892725j),(-1.4012910209234435+0.19317809594779234j),(0.607713622221599+1.5685384510286589j),(-1.0296517621256236+1.5413394031859338j),(-0.82252286311743+1.549438829364674j),(-1.3591604110134479+0.401397688784075j),(2.751584633242068-1.3255724846969676j),(2.148880506713059-0.013383118635533998j),(0.9349321659042931+1.9147613288983905j),(-1.058504325056235+1.9727955002637672j),(-0.06455979777223424-0.8540185985672771j),(-3.059577221063603+0.27729204271210167j),(-0.22311230783447927+0.9336319859425294j),(0.40811127561268723-1.8054294019004014j),(-0.5132404538658569+2.0336936697684265j),(-0.04538328397403499-1.2844944836368013j),(0.739764387849372-1.8885835569697733j),(1.3717395623534798+1.6158025452120737j),(-0.4204150207457266+0.04847339884869616j),(1.0195057021333187+0.2120586103202832j),(-0.08439001571170689-2.798469063530585j),(-0.034727758390798565+0.9752360545127152j),(-0.47733586450544474+0.6737743466837918j),(0.11607076839745477+4.0306954517404305j),(0.7432923786030659+1.3464536541559178j),(-0.8547721840110386+1.516794507332073j),(2.2400546231459226+5.355542445548277j),(4.377387349107522+2.2150818710236244j),(-0.9821792016360528-0.5394368492634362j),(0.11615212314169074-0.6868603647701169j),(-3.4684799004484006+0.9679779931366542j),(3.462529184010985+2.3224782881679964j),(-0.2697249360533572-1.5951028270907164j),(0.5817926711683303-0.8921341177024938j),(1.5867964553143061+1.2773999179510798j),(-0.11227485287400957-1.7941874254217698j),(5.5898489045422615+1.5293471551360773j),(4.265773915495952+0.6104368121540031j)
1.1500000000000001,(-0.29265591555658266-1.1015609436663962j),(0.591998946613516-0.26039989733999186j),(-0.15481663935394574+1.8623487665924305j),(-1.4892508061484722+1.056054195456977j),(1.0927468447671678-0.8120350726785117j),(0.946811758096393-0.24060206800623476j),(3.1411845103031184+1.0327945302892703j),(-0.25657763361040287-0.34600263875708304j),(2.505903785889062+2.2994424722442237j),(2.572722271790648+1.9348263553156961j),(3.1145077600849103+0.3738574619434047j),(3.313769920075439-0.6478704462876914j),(-1.4191619178394983-0.09505645251998893j),(1.4152529390392599-1.1471675479721513j),(-1.047734643291764+1.3773420607702989j),(-1.4368312681109292+0.1692440820315027j),(0.5854064977138784+1.553119520281465j),(-1.0572241144587287+1.5722316985824587j),(-0.8586401944541614+1.5523569905438372j),(-1.4119704818592749+0.3970733144697465j),(2.749756733182628-1.336702159099457j),(2.1748631637462217+0.005671938400426145j),(0.9067921005799181+1.8940631245747155j),(-1.0617333307705035+2.02037241688568j),(-0.0833203776665854-0.8923772281865868j),(-3.1041459360815526+0.2697505775846625j),(-0.25606190118196+0.9528545179928609j),(0.36155395977976534-1.783915812305712j),(-0.49208474859311824+2.03658275414513j),(-0.1194803150777617-1.274318970016132j),(0.7248313976247766-1.8733218566415037j),(1.4509134612829695+1.6610490441801702j),(-0.3914808001707094+0.05824715872335676j),(1.0333773868102634+0.18337369697149425j),(-0.1485869535052901-2.779344085286483j),(-0.046761329807756005+0.9895714514859265j),(-0.4807056704208324+0.6641629236371753j),(0.14048290018283258+4.098912303106553j),(0.7208806558314909+1.341725820656118j),(-0.8910782075367291+1.5450150104765286j),(2.3178623773174554+5.357787527027618j),(4.353090573268569+2.241429082685789j),(-0.9794549921374768-0.57211998869601j),(0.15533175086505965-0.7106987151608097j),(-3.493248907257658+0.9614781562385567j),(3.4525471750163232+2.306927956621848j),(-0.31117501007248577-1.526250889910609j),(0.5791494361164196-0.8634963523753086j),(1.5914399373805355+1.222130700887845j),(-0.12396766509069601-1.708715307392637j),(5.675059234233991+1.2764734164419134j),(4.27608901340804+0.5764163645328055j)
1.16,(-0.3009737022378237-1.0931583545967847j),(0.6197803605117828-0.24127169266950094j),(-0.18091306671312982+1.8695599556470899j),(-1.5269095567085844+1.078899874123863j),(1.076230703235348-0.8331124119220853j),(0.971524380528345-0.22613469642683312j),(3.1493886117972303+1.002531725954096j),(-0.29841608429657623-0.2990509931357299j),(2.494440080524113+2.284225151694274j),(2.6126565038122074+1.901679821127351j),(3.0991233045908637+0.4233209230322207j),(3.294614458921128-0.7355456916628859j),(-1.423352347750877-0.1088325112448031j),(1.409693117648829-1.1614854439486504j),(-1.0847502206883075+1.3434081809395921j),(-1.4724465146098864+0.14457501767153672j),(0.5535858856571121+1.5382125297797684j),(-1.0917218550170846+1.6074302651810581j),(-0.9003783343374467+1.5515808373335938j),(-1.46581013281841+0.38891464793733754j),(2.750933400237585-1.3483031776230552j),(2.199886218085868+0.021548419564985752j),(0.8680468908788318+1.871499026352951j),(-1.0596191879349626+2.0750246845755917j),(-0.10288050065529318-0.9367631386127969j),(-3.152483525849908+0.259541714634914j),(-0.284015934093661+0.9739264762698535j),(0.3103962224697801-1.7590103461558166j),(-0.4691276610778525+2.0348603589689054j),(-0.19041232352529236-1.2617457595051103j),(0.7154769594570584-1.8599327666371497j),(1.5374233896145952+1.6930712567280575j),(-0.3508737603755371+0.062419438089840636j),(1.0453960401068558+0.15468338651284963j),(-0.21076807912752385-2.7613322766169j),(-0.061580955611423537+1.00389668913536j),(-0.48260366282534745+0.6544321300790438j),(0.16243472532972042+4.167891180473335j),(0.6886772505239839+1.3419629278360319j),(-0.9387977120014125+1.5795435683553205j),(2.3962562919856114+5.358421170876611j),(4.328501888516901+2.2686977914530706j),(-0.9769107564322935-0.601352111177975j),(0.1940888335252027-0.728255914003314j),(-3.5168634141531574+0.9551485598812639j),(3.4433822809470853+2.2906371517084536j),(-0.34505243443844785-1.4547678834548794j),(0.5767690359734521-0.8348395553611736j),(1.5958962418994087+1.164361303522765j),(-0.13511729067325892-1.624209848904581j),(5.747474581536007+1.0315603028699258j),(4.289694535093038+0.551027399324838j)
1.17,(-0.31307677240475873-1.086120576164701j),(0.6448961550998422-0.22617503964042102j),(-0.21141895436545985+1.8800738066426892j),(-1.5732132136993608+1.105702486418515j),(1.0609987456596182-0.8522435043235403j),(0.9924317265174414-0.21288750160352415j),(3.154612411723897+0.9669715713956875j),(-0.34472910282358343-0.2571928967910668j),(2.4836965228867687+2.271865599904141j),(2.64599236268534+1.8682680397251608j),(3.093152552204127+0.4684918435442077j),(3.2679474587866784-0.8114939968693511j),(-1.428975410200114-0.12668502268885626j),(1.3994468468315397-1.1859829591915125j),(-1.1341673698759036+1.3066720320773546j),(-1.5035916914859124+0.1095991397192452j),(0.5132298298964901+1.5289434036282348j),(-1.1294100306876305+1.6431424153193939j),(-0.9526823076068246+1.5476061132968388j),(-1.5235106686377264+0.3693463645433552j),(2.7540457562909477-1.3631182317967423j),(2.222225553013696+0.03869655230492628j),(0.8210810762208066+1.851770921511107j),(-1.0474528595524355+2.127593117463166j),(-0.1230151517669626-0.9849000376043263j),(-3.203537526044232+0.24638913051444725j),(-0.3053135446671158+0.9984318768400142j),(0.2547933243620758-1.729784239917628j),(-0.4470338877871546+2.0236083766896753j),(-0.25778611296249737-1.2467253258436295j),(0.7093453294004325-1.8516823061250713j),(1.6217844607370069+1.71312916183476j),(-0.2979322649111699+0.0533233330684344j),(1.0608825184737158+0.12783371424619697j),(-0.27262291308831-2.745969148919197j),(-0.07838998909067212+1.016988746087406j),(-0.4863221449866691+0.6485658080546668j),(0.18002581053154681+4.2357784059873245j),(0.6472520654118658+1.3503125334232307j),(-0.9947832468606047+1.6158122087802003j),(2.4746845738153214+5.357058870223116j),(4.304138113645435+2.29721612789502j),(-0.9778327954332527-0.6339779257700229j),(0.22945356644298814-0.7433374632029646j),(-3.5397287997789433+0.9464024462856596j),(3.43552111039245+2.273361747360565j),(-0.37030068598298665-1.3803054053368697j),(0.574601600962585-0.8060294767372471j),(1.5994084930891803+1.1063390623466927j),(-0.14345600916730322-1.5417171547021105j),(5.808345098132918+0.7843558002136422j),(4.306574655869005+0.5273020817120276j)
1.18,(-0.32850900449957354-1.0786721083987343j),(0.6658446250897125-0.21312187316279135j),(-0.24752814166441697+1.8822931882912453j),(-1.6303017454909017+1.1397162816754933j),(1.0444907953861042-0.8749272260696668j),(1.0104962857399418-0.20131686819507266j),(3.1602932017292176+0.9292851578895429j),(-0.39102490215253954-0.22383738618382898j),(2.4727404851806805+2.253658865380691j),(2.6788000191005166+1.8456512654717796j),(3.0929059428707673+0.5094823312237841j),(3.2421146933132765-0.8774800155801916j),(-1.4392328478310972-0.14695877432301627j),(1.3777753186081425-1.2146035415544454j),(-1.179297819461157+1.2599509873028567j),(-1.5413632365094474+0.06693011897702508j),(0.4654974430296166+1.5247923861041177j),(-1.1643020053917448+1.6815684446892196j),(-1.0018812897829472+1.5315686354729794j),(-1.5851550859089505+0.34925320519157443j),(2.757812810674571-1.3828351901291693j),(2.2399529064894357+0.057279487748940414j),(0.7720621449979675+1.8314681640067791j),(-1.0301966925353234+2.1790262057198064j),(-0.13766477323054574-1.038294398750546j),(-3.2573017664914587+0.23093307013379238j),(-0.3187882588413504+1.0204937847648454j),(0.19650346253819753-1.701514822586367j),(-0.42233620721296217+2.002369402193476j),(-0.31355843026492003-1.2256243499602142j),(0.7071590399816463-1.8415651111689308j),(1.6991594136229509+1.7223168505136526j),(-0.24047136001239003+0.026811957291422044j),(1.0826750458638594+0.09573704163450565j),(-0.3358890163189443-2.735279818014431j),(-0.09938726906851698+1.0267577307111577j),(-0.4922995601108005+0.6416835624161848j),(0.19296055535919687+4.303228889771378j),(0.5929482616642042+1.3720070339535884j),(-1.0460639371728626+1.6563548197352223j),(2.553597068548097+5.35426368654181j),(4.279401971724251+2.3265519472302434j),(-0.980857157479961-0.6621017729419316j),(0.263255017178259-0.7544732345881309j),(-3.56153081114713+0.9375827313736838j),(3.428460120376004+2.2556515139853213j),(-0.3861282376889851-1.3051265048931697j),(0.5731315579421615-0.7769351645268312j),(1.6026128842174479+1.0470582451574715j),(-0.15047322195581253-1.4611210714806508j),(5.852129401764492+0.5315596875889308j),(4.323917140919253+0.5023324055078112j)
1.19,(-0.3475116944307893-1.0699955071621716j),(0.6812790169013113-0.2003330824544j),(-0.2910540922001304+1.8789837322870688j),(-1.6945416623623981+1.1779878193610938j),(1.0264565703464992-0.9025147345175336j),(1.0291193288186773-0.1899003846597701j),(3.1658897981883487+0.8911968185375285j),(-0.43346322262042575-0.19279741203472686j),(2.4647916398383796+2.236407736117734j),(2.7057858435425097+1.826856501647333j),(3.0992514193696175+0.5498685308224853j),(3.2147967190239974-0.9352454356743515j),(-1.4470080784603172-0.16896203861787332j),(1.3515520567820751-1.249968997307073j),(-1.2329771297669456+1.201556015529851j),(-1.5770430796323127+0.012438565672235564j),(0.41131203312036213+1.522576460197225j),(-1.1944993807892013+1.7209879638947911j),(-1.0588541163681162+1.5077600265747668j),(-1.6502853663286032+0.3187924242731829j),(2.7599428556703383-1.4089126331440105j),(2.2560610785494877+0.07991258286730615j),(0.724468891549379+1.813669384021186j),(-1.00910474774234+2.222995521968043j),(-0.14549142061947232-1.096650914466217j),(-3.30907451261305+0.21286010084492757j),(-0.3246573464099078+1.0463156560192823j),(0.13423561529457695-1.6691505542809626j),(-0.4015694642273341+1.9703208532148153j),(-0.3689235236377995-1.2018053322082023j),(0.7094263577364296-1.8259786958022344j),(1.7732445879303755+1.719718535570869j),(-0.1834938862286823-0.01468212682214826j),(1.1101260263718424+0.05955304112011221j),(-0.401493274688532-2.7304049357701876j),(-0.1225834320808624+1.0319373033468653j),(-0.49132940520938084+0.6371481437121785j),(0.1955774701877461+4.369205545767187j),(0.5296097797414709+1.3975103629354788j),(-1.0910751402436951+1.698990331527201j),(2.632649602825238+5.349865278144667j),(4.25451664975939+2.3569341761734175j),(-0.9910770850205859-0.6905683138994619j),(0.2922197983466538-0.7644446361969063j),(-3.5825439281358213+0.9268890704146477j),(3.4226423799836803+2.237220797579347j),(-0.3911044414700073-1.22952815316695j),(0.5724860740014223-0.7471509983555178j),(1.6050280810826072+0.9878796888381562j),(-0.15492770823504678-1.3829379831127375j),(5.875992346611785+0.2727496096328693j),(4.34032371266156+0.4748165619267021j)
1.2,(-0.3683112534396143-1.0597359047867183j),(0.6916272236391047-0.18508348719667717j),(-0.342628485570319+1.867964943958503j),(-1.7625839468092481+1.2208906792101337j),(1.0011337198869126-0.936118363563636j),(1.0493694829201023-0.18144115394729793j),(3.1735319707733955+0.8546170096373138j),(-0.47200419093669105-0.1618927014896318j),(2.458227945977457+2.218451687540264j),(2.7299954675621767+1.8124837697013898j),(3.1119474549244464+0.5909893579855714j),(3.186775922464247-0.987279748570875j),(-1.4506653614895137-0.19089210778710833j),(1.3210091506858042-1.2886045272983724j),(-1.291148093218441+1.1296883238146966j),(-1.608518961011588-0.05339244150751499j),(0.35274711711997353+1.5199273482807694j),(-1.2206318771400462+1.7630318734402264j),(-1.1211097713423774+1.473601927604647j),(-1.7164425271757702+0.2791894483400032j),(2.75768904605685-1.441388048726165j),(2.2726446155108944+0.10702816503943058j),(0.6808033617125571+1.7960078514458493j),(-0.9891620260283476+2.26504344695901j),(-0.1462611934380799-1.1598109596021036j),(-3.358439437157001+0.19212115504847144j),(-0.32274487850908834+1.07345573061025j),(0.06836681930415545-1.6322397113432503j),(-0.38501875954412873+1.9283006228899768j),(-0.4230344481277167-1.177030905604118j),(0.7174279329668494-1.7999394801223474j),(1.8460674616917931+1.7063851179385439j),(-0.1362832464105877-0.06253639545223051j),(1.1389757328836245+0.01727609140014675j),(-0.4691093986482562-2.7318072879588473j),(-0.14665940503265637+1.032309550539493j),(-0.48335595285164673+0.6354191709650879j),(0.1876230215761509+4.434289077157043j),(0.4589642661411424+1.4225462686447368j),(-1.126490691717995+1.7441719749599403j),(2.712231990339332+5.344264080118766j),(4.229026813947666+2.3880478354251036j),(-1.005054756466238-0.7118328841378363j),(0.31787940175904145-0.7722066016278849j),(-3.6025200061433003+0.9163539869769157j),(3.4175163198020604+2.218723891787659j),(-0.3850783518417646-1.15793985498321j),(0.5735700117876986-0.7172110257545833j),(1.6071649514070572+0.9281521270713836j),(-0.15790991093444776-1.307105683704859j),(5.880111138898351+0.009948570319491479j),(4.355922563650194+0.44481683099520836j)
1.21,(-0.3880564632505131-1.04838738612416j),(0.6987448977615432-0.16456108372966208j),(-0.39964993721616443+1.847810566004558j),(-1.8306700949692203+1.2675879812865534j),(0.9647358874240397-0.9739683580489875j),(1.0709892607898035-0.1797300625933952j),(3.1829955012817734+0.8209443409068666j),(-0.510471636026341-0.1278892322102513j),(2.4507095013530806+2.2004078119739834j),(2.7527907899553483+1.8003922152516767j),(3.13113684172636+0.6344513290110554j),(3.156846364395271-1.0348209040139322j),(-1.450687371707363-0.21274630978541897j),(1.2852168159079518-1.3294750357768266j),(-1.344956830166718+1.04352085724557j),(-1.633704413195087-0.1282164869606169j),(0.29232650199046406+1.5167328429925582j),(-1.2436648836650666+1.8078617866565092j),(-1.1823632082798547+1.4279068400020063j),(-1.7818076528141589+0.23349823710120343j),(2.7506893782896555-1.4783527852673113j),(2.29252954931769+0.13632830861488393j),(0.6373869619685438+1.7805071576276095j),(-0.9729719813171581+2.310716092685457j),(-0.13798321738747782-1.2245492388350112j),(-3.405315886997331+0.16993525626983055j),(-0.31261991814275314+1.100692639491759j),(7.873224784402891e-05-1.5909043951876816j),(-0.37254275696370637+1.8802464262992664j),(-0.4767407667423489-1.154076020916644j),(0.731846229718026-1.7607077219529677j),(1.9214164608370972+1.683535786615328j),(-0.10451554450436361-0.10653003487426146j),(1.163412020191024-0.02996165316186051j),(-0.5366301356299518-2.738592774627968j),(-0.17006876744351823+1.028965161859597j),(-0.4686833182926568+0.639633174678951j),(0.168724935201499+4.497017014846339j),(0.3890228384570543+1.443457898735189j),(-1.1546464251627042+1.793621987780731j),(2.7921204281382934+5.337330064200828j),(4.203006672644339+2.4201142019950783j),(-1.0270306527945756-0.7294553550533344j),(0.34155522002088684-0.7763828777268589j),(-3.6217238311790276+0.9046530604364028j),(3.4133979684757794+2.199882430094711j),(-0.3672406390904749-1.0905155441189613j),(0.5766789783747754-0.6865108676284596j),(1.6086665583203732+0.8687487695570575j),(-0.15868808235354115-1.2338276535141346j),(5.867675336890242-0.25237506704021206j),(4.372368356575915+0.4137595815518332j)
1.22,(-0.4045129192142322-1.0363971077571466j),(0.7050306550130153-0.13704020859314806j),(-0.45816436848287756+1.8174078675760474j),(-1.8951761516349086+1.3159161546706584j),(0.9167672780155213-1.0126259752695939j),(1.0922959391796807-0.18654645577871287j),(3.1937329617556816+0.7898276063541523j),(-0.551193448130132-0.09211028481450853j),(2.43865830639009+2.183732270606429j),(2.775831727364894+1.789062007862292j),(3.1573689362637762+0.6785113719823248j),(3.1247641172849216-1.0763140418652033j),(-1.4475984602704461-0.2376581604988569j),(1.2424794960531977-1.3713547887481659j),(-1.3878510204943058+0.9457301998419305j),(-1.6491014860979794-0.20858932792315898j),(0.22975243630231174+1.5140198949579822j),(-1.264755714722323+1.8547638436004286j),(-1.2373304760630188+1.371967911169182j),(-1.8435085159316118+0.18454003375349937j),(2.7388261917987795-1.5178858991235065j),(2.3182561354500097+0.1672551965490683j),(0.588146857638938+1.7690162913612888j),(-0.9601214542492371+2.3608581326496623j),(-0.1206595174611106-1.2881209104063727j),(-3.4509558477433186+0.14665341689790984j),(-0.2936067609892464+1.1261404113711613j),(-0.06702370544008948-1.544353113435498j),(-0.3653548907436779+1.8302106106255422j),(-0.5300644031121832-1.1333253430542984j),(0.7536453421919165-1.70943221270069j),(1.9968678509911033+1.654373619950002j),(-0.08878129098846974-0.14007361179406147j),(1.1801153547202057-0.08092190480031108j),(-0.6019665430731247-2.7484702623552835j),(-0.19131796170565027+1.0233353839688504j),(-0.4528976955055359+0.6494517490449618j),(0.14173705472901518+4.558039594603392j),(0.32120643595564635+1.4605737424890948j),(-1.1771862575726078+1.8469132065731093j),(2.872632235436094+5.3293119727627944j),(4.176155138971508+2.452890964480171j),(-1.05040829150944-0.7353924472066011j),(0.3598626701289342-0.7795177505273405j),(-3.6399679424849016+0.8934264698156902j),(3.4098015927224896+2.1813238000910053j),(-0.34245492731871613-1.033611012989731j),(0.5818687532102396-0.657248432932561j),(1.6098661830273222+0.8092698098487664j),(-0.15802882885624275-1.1630156517711163j),(5.844886850896007-0.5073075797982964j),(4.3928422242659755+0.38443527124707455j)
