t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010
0.38,(0.2989710602316662-0.3184878590912634j),(0.011094287936464841-0.0774534379145359j),(0.00562385243853468+0.043216827188497405j),(-0.0011776369176194445+0.0013265646776813808j),(-0.5068782605558477+0.1833505790396812j),(0.08942687614107835+0.005971795819414805j),(-0.0032994150705477343-0.19867666389419045j),(0.012146337725409196-0.005000419501387763j),(-1.4768839760489304e-05-4.43250055827866e-06j),(-0.00572642645221844+0.0013992588898000457j),(0.004562751934100696-0.004715276266459832j)
0.39,(0.28615204223167184-0.3125411577251543j),(0.01066430229946649-0.07664800765498797j),(0.006206203724000552+0.04396512577405032j),(-0.0011617890018512178+0.0013759570580190385j),(-0.5085873093859066+0.1959265153772768j),(0.09077013213350095+0.0047446420292088735j),(-0.0061328143936457725-0.20118052925201518j),(0.012461533128683377-0.005639309925254622j),(-1.5557296114590978e-05-3.997629710273236e-06j),(-0.00582003969070928+0.0014854602276181735j),(0.0045479640455058975-0.004995216334808173j)
0.4,(0.2738683203056952-0.30647946070507j),(0.010314862198303954-0.07583779054473538j),(0.0067837529204335+0.0446799973439952j),(-0.0011443928588355295+0.0014235491912305397j),(-0.5097818265643711+0.20836599018491614j),(0.09207151736701234+0.0035209766381354025j),(-0.008885110199075407-0.20345791451215225j),(0.012754913946834758-0.006298812691748525j),(-1.633238619522229e-05-3.5138500700239455e-06j),(-0.005908837990913612+0.001570452596621041j),(0.004521761302140747-0.0052735035620267295j)
0.41000000000000003,(0.2620988809714716-0.3003214608872521j),(0.01004071991609972-0.07502727962174535j),(0.007356735450930387+0.045363591403807774j),(-0.0011255784079997433+0.001469373918705756j),(-0.5104759989414207+0.2206680475127899j),(0.0933357256837298+0.0022998525970456558j),(-0.011549704640738147-0.20552248669583986j),(0.013025740609237599-0.006978768826947902j),(-1.7091378988619644e-05-2.9812257946828154e-06j),(-0.005993066395315962+0.0016541838381379324j),(0.00448431452992576-0.005549881292496393j)
0.42,(0.25082299399377106-0.2940833031952254j),(0.009836731594092677-0.0742198203144314j),(0.0079255402869783+0.04601799630564796j),(-0.001105462802557032+0.001513479557834303j),(-0.5106815213614189+0.2328339691513694j),(0.09456723393134177+0.001079862874753491j),(-0.01412166389323909-0.20738785502467982j),(0.013273298809910936-0.007679250231101595j),(-1.78316581219347e-05-2.399865797727577e-06j),(-0.006072988686658636+0.0017366061763058685j),(0.004435783922457498-0.005824185670161873j)
0.43,(0.24002021238439802-0.287778584619798j),(0.009697857231638105-0.07341761044165332j),(0.008490709948454564+0.046645239248359886j),(-0.001084150429506377+0.001555929902005539j),(-0.5104075966629127+0.24486727463140695j),(0.09577030196310782-0.00014085954196471108j),(-0.01659771815188704-0.2090675709206376j),(0.013496899507518593-0.008400559678628856j),(-1.85507218632344e-05-1.7699237489616517e-06j),(-0.006148887387941716+0.0018176762180696084j),(0.004376319041008564-0.006096345638531706j)
0.44,(0.22967037240219176-0.2814183542190612j),(0.009619160686207703-0.07262170021271729j),(0.009052940503626709+0.04724728627747187j),(-0.0010617329096325682+0.0015968042206085664j),(-0.5096609356786329+0.2567737212239357j),(0.09694897263785872-0.0013646416483699426j),(-0.018976261632694395-0.2105751280060423j),(0.013695878925369158-0.009143230818119333j),(-1.9246183121500932e-05-1.0915980745141713e-06j),(-0.006221063762423059+0.0018973549531816451j),(0.00430605881452761-0.006366382940678241j)
0.45,(0.21975359355302607-0.2750111131183895j),(0.009595809673389572-0.07183199222737575j),(0.009613081569152509+0.04782604228519643j),(-0.0010382890975062045+0.0016361972590322313j),(-0.508445757235494+0.26856130394026917j),(0.09810707181999638-0.0025942704217606413j),(-0.021257352572377135-0.2119239621035866j),(0.01386959855141601-0.009908028172333069j),(-1.9915769446631744e-05-3.6513195683996656e-07j),(-0.006289837813618304+0.0019756077542022084j),(0.004225131539639331-0.0066344121192376485j)
0.46,(0.21025027858980935-0.2685628145104407j),(0.009623075766888214-0.07104724147582751j),(0.01017213631007996+0.04838335101043027j),(-0.0010138850814836932+0.0016742192386651222j),(-0.5067637881545942+0.280240255532002j),(0.09924820837949389-0.0038329928214726836j),(-0.02344271322835496-0.21312745123632687j),(0.014017445138257303-0.010695947138200526j),(-2.055732302943957e-05+4.0918666528043276e-07j),(-0.006355548285300865+0.002052404376499265j),(0.004133654880644468-0.006900640516409921j)
0.47000000000000003,(0.20114011237626875-0.2620777047693943j),(0.00969677595144511-0.07026610457142496j),(0.010730894699497447+0.04892097235634469j),(-0.000988582608548193+0.0017109812337999554j),(-0.5046189126845447+0.29182086569477234j),(0.10037562298620722-0.005084074844299834j),(-0.025535687765555776-0.2141976192924846j),(0.0141389604215233-0.011506361469037238j),(-2.1169379210666662e-05+1.229729402288469e-06j),(-0.006418517239940279+0.002127786061588385j),(0.0040319444145993704-0.0071652263335012885j)
0.48,(0.19240194706098107-0.25556348790036926j),(0.009817012280202314-0.06949512749026279j),(0.011288504098003908+0.04944010334768899j),(-0.0009624585754177078+0.0017465039820536957j),(-0.5020363521871339+0.30329611926508215j),(0.10149265007376738-0.0063492292281595265j),(-0.02753793885604776-0.21513801624619494j),(0.014234070915392262-0.012328966962697838j),(-2.1753465688504828e-05+2.0890549894257075e-06j),(-0.0064788425667262894+0.0022022335272068806j),(0.003921183592028089-0.007427539953876593j)
0.49,(0.18402972010084853-0.24902293121149155j),(0.009983519335356551-0.06873785996212357j),(0.011847253645843233+0.049941363602060744j),(-0.0009354854343557107+0.0017808776387786376j),(-0.4990024917265326+0.31466283223143027j),(0.10260515126168931-0.007634577521846231j),(-0.02944730246862035-0.21595953131332082j),(0.014300897212712875-0.013167802294923306j),(-2.2306084085053756e-05+2.9914472054914484e-06j),(-0.006536810816728389+0.002275846927308485j),(0.0038005239838684473-0.007687838996790018j)
0.5,(0.17601916762682318-0.24245831683171012j),(0.010195441270274686-0.067996519281053j),(0.012409845869974406+0.05042521383531042j),(-0.000907614810627347+0.0018142007309900267j),(-0.4954975373640617+0.3259184909322648j),(0.10371845281253539-0.008947238617412813j),(-0.031262003377994-0.21667437525820238j),(0.014336867418703422-0.014029217197150385j),(-2.2822464052481838e-05+3.942574302129877e-06j),(-0.006592743696988881+0.002348657191064624j),(0.0036687890185082934-0.00794646320147328j)
0.51,(0.16836548102011722-0.2358727372874567j),(0.010451811058790289-0.06727330231610482j),(0.012978738714771433+0.050891970813742825j),(-0.0008787945656970752+0.001846558596695613j),(-0.4915036886624177+0.3370585879909667j),(0.10483690543614171-0.01029452157600432j),(-0.03298101658471545-0.21729407693550984j),(0.014338974888069235-0.01491869439368406j),(-2.3297568947159548e-05+4.94709107497204e-06j),(-0.006646944713658941+0.002420729755498251j),(0.003524865131287294-0.008203604690941233j)
0.52,(0.161063306912203-0.22927009550264593j),(0.010751550495203635-0.06657038551134076j),(0.013556145542023331+0.0513418073541171j),(-0.0008489687972286687+0.0018780233848956487j),(-0.487005138685673+0.3480766223158498j),(0.10596388428961818-0.01168392562785798j),(-0.034604067315157715-0.2178294832902433j),(0.014303778225002695-0.015840849601697553j),(-2.372609582965945e-05+6.008638863635848e-06j),(-0.006699699171998608+0.0024921645654838497j),(0.0033677017644969344-0.008459307971991872j)
0.53,(0.1541067471848131-0.22265510479867526j),(0.0110934701942817-0.06588992488583062j),(0.014144035130934134+0.051774752323646756j),(-0.0008180778390852142+0.0019086540555828897j),(-0.48198807399927596+0.35896409910016064j),(0.10710178897734844-0.013123140172303208j),(-0.036131631021520096-0.21829075935773287j),(0.01422740128318323-0.016799431531232326j),(-2.410247546475619e-05+7.129845551726066e-06j),(-0.006751274176376794+0.002563096073747429j),(0.00319631136738052-0.00871346993520633j)
0.54,(0.14748935896994034-0.21603328889442505j),(0.011476269591258161-0.06523405603365218j),(0.014744131678122887+0.05219069063999964j),(-0.000786058261329113+0.0019384963797425953j),(-0.4764406746700504+0.3697105298220786j),(0.10825204355098991-0.014620044777761592j),(-0.03756493338182816-0.21868738826363868j),(0.014105533165777319-0.017797321885198066j),(-2.4420872321426498e-05+8.312325566834318e-06j),(-0.0068019186302712776+0.002633693240866527j),(0.0030097693961331764-0.008965839854948886j)
0.55,(0.1412041546498377-0.20941098190625845j),(0.011898536941833404-0.06460489412389125j),(0.015357914797623651+0.05258936327129794j),(-0.0007528428702220805+0.0019675829393525275j),(-0.4703531142661963+0.3803034322447159j),(0.10941509650947377-0.016182709181746902j),(-0.038905950299933746-0.21902817122395069j),(0.013933428225438492-0.018836535359372707j),(-2.467518457284919e-05+9.556679880539096e-06j),(-0.006851863236268706+0.0027041595352702095j),(0.0028072143139018487-0.00921601938936695j)
