t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00
0.84,(-0.5362597592223926-0.7418125164090693j),(-0.29400932162916804+0.8822769173737937j),(-1.2949238840043786-0.26692894890488084j),(0.8543678719796493+1.5884328983523177j),(-0.13706197248309585+0.10105469290934863j),(0.6893954955908427+0.5492673133861775j),(-1.0288562820843499-0.09857527561786161j),(1.0565708592030632-0.09120832129213557j),(1.1605168917833943-2.3880220585203973j),(-1.4698922791449225+0.5034725746245565j),(1.4058971949002677+0.5449207677634396j)
0.85,(-0.5474530811668307-0.7415030876580024j),(-0.2891232885837367+0.8803438629186654j),(-1.2979251664192648-0.2622899934955953j),(0.8544863382853208+1.5865585377829154j),(-0.14600439908794052+0.10035295129590695j),(0.6866396584317808+0.5436330220607583j),(-1.030905502070435-0.09298136108026696j),(1.0478432116680387-0.08993282769024402j),(1.162494541575662-2.3876377795301793j),(-1.468889657323014+0.5061583272619926j),(1.402699360507012+0.5431778208683512j)
0.86,(-0.5584868709528363-0.7407066573038438j),(-0.28432258596622056+0.8781937624869507j),(-1.3007263896625545-0.25744603811741834j),(0.8545636877369659+1.5846732350686874j),(-0.15493086408754633+0.0998757681453895j),(0.683772542900977+0.5380355500751403j),(-1.0326853421534057-0.08727551662890018j),(1.0388826144676786-0.08864035559284306j),(1.164533348289786-2.3872724110893544j),(-1.467756927103077+0.508818293774739j),(1.3994464284106716+0.5414525015702576j)
0.87,(-0.5693131292330729-0.7394267877357427j),(-0.2796292509310201+0.8758330194013992j),(-1.303301512138817-0.2524107689636235j),(0.8545988746608403+1.5827847717419081j),(-0.16380790234307843+0.09963575211090608j),(0.6807950373786485+0.5324910221536818j),(-1.0341844675535468-0.08148245363454962j),(1.0296447235172772-0.08729975731350176j),(1.166624714530633-2.38691363943606j),(-1.466493942251036+0.5114386101599495j),(1.396153229555451+0.5397388887532217j)
0.88,(-0.5798928201174021-0.7376718054521683j),(-0.27506057882305746+0.8732676398858651j),(-1.3056282614113222-0.24719662651044494j),(0.8545905505737682+1.5808985911600428j),(-0.17260791004725298+0.09963909028068553j),(0.6777078397932051+0.5270117633535802j),(-1.0353937944722615-0.07562436695127153j),(1.0201027286913062-0.08588941906428736j),(1.1687642283439754-2.3865540612589387j),(-1.4651005291970574+0.5140072773615516j),(1.3928298060793252+0.5380340962288492j)
0.89,(-0.5901958711728841-0.7354548010609089j),(-0.27062912317777665+0.8705032330653075j),(-1.3076881342020417-0.24181480551707735j),(0.8545370641831425+1.5790177985057463j),(-0.18130914472433723+0.0998855481780756j),(0.6745114576212484+0.5216062990648713j),(-1.036306490092071-0.06972093491639j),(1.0102473538234156-0.0843972609557653j),(1.170951663216491-2.386191183697139j),(-1.4635764870355499+0.5165141612702454j),(1.3894814113140408+0.5363382727362884j)
0.9,(-0.6002011734237781-0.7327936292790731j),(-0.26634269572114355+0.8675450109657903j),(-1.3094663963916484-0.2362752550256762j),(0.8544364613869239+1.5771431607868642j),(-0.18989572523014947+0.1003684697615431j),(0.6712062078875723+0.5162793550104299j),(-1.0369179725766144-0.06378931935049702j),(1.0000868567064323-0.0828207369969991j),(1.1731909780757617-2.385827424340315j),(-1.4619215875251645+0.5189509927235044j),(1.3861085097851154+0.5346546019422306j)
0.91,(-0.6098965813515416-0.7297109089330885j),(-0.2622043663696457+0.8643977885144822j),(-1.3109520830195165-0.23058667836135766j),(0.8542864852736417+1.5752731068364325j),(-0.19835763175205906+0.10107477742467373j),(0.6677922171651632+0.5110318572459694j),(-1.0372259110706497-0.057844165557452434j),(0.9896470290923621-0.08116683509555049j),(1.1754903172902755-2.385470111228625j),(-1.4601355750887945+0.521311367505575j),(1.3827067772118373+0.5329893024409093j)
0.92,(-0.6192789128948308-0.7262340229587028j),(-0.25821246323029245+0.8610659835396569j),(-1.3121379982837222-0.22475653313219854j),(0.8540845761223937+1.5734037273126773j),(-0.2066907058089864+0.10198497199617226j),(0.6642694215751994+0.5058609321600422j),(-1.0372302257000519-0.051897602324383896j),(0.9789711966923884-0.07945207705747938j),(1.1778620106694249-2.3851314828527355j),(-1.458218166813575+0.5235907463474769j),(1.3792671005072665+0.5313516277541012j)
0.93,(-0.6283539494495005-0.7223951184009831j),(-0.25436057260061495+0.8575536167706924j),(-1.313020715541042-0.21879103122923627j),(0.8538278714028458+1.5715287746990148j),(-0.21489665025140292+0.10307313273986242j),(0.6606375667870517+0.5007599064740397j),(-1.0369330875718155-0.04595924192168701j),(0.968120219176872-0.07770251858734376j),(1.1803225734635074-2.384828688153816j),(-1.4561690524508835+0.5257864549270028j),(1.375775577778234+0.5297538663311255j)
