t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00
0.185,(0.22541594939083182+0.3638665731975804j),(0.21401772085371898+0.8365943883500818j),(0.30022708034800694+0.6008822065843274j),(-0.968589062957066+1.6584328510638686j),(0.3878557147926506-0.9744330823815563j),(-0.178814244573219+0.1564995794774059j),(1.1099397772516832-0.5399767127994317j),(0.5856708972747927-0.07329504299463996j),(0.4876549634740538-0.5068913928266134j),(0.25784911994187404-1.2066328030660116j),(0.8204142177875177-1.251029444330375j),(-1.238572523524964-0.21447807092209134j),(-0.2145006223222078-0.45268365615450307j),(-1.4213982382616002-0.7063735680275713j),(-0.5284241317013032-1.0669104565417324j)
0.19,(0.23289291043658872+0.35696546940948476j),(0.219331541963106+0.8342733379346932j),(0.3069983186991793+0.5963094702316143j),(-0.9689445544945205+1.6577046192437477j),(0.3815769976339459-0.9776346528372293j),(-0.17767751794326325+0.15439870868990774j),(1.1043494641156726-0.5518883647331354j),(0.5840995105147414-0.08734526261663628j),(0.4803814784362891-0.5149347942983324j),(0.25264915599838994-1.2083869970268821j),(0.8124614697295138-1.2567846701826935j),(-1.2372723006560966-0.2221548953943925j),(-0.214751091926763-0.45416276100293995j),(-1.4189077246909185-0.7119270637185326j),(-0.5269781074255594-1.0683082207789636j)
0.195,(0.2403545526387409+0.34983258711474297j),(0.22466220389398275+0.8319256484042094j),(0.3137678743811967+0.5916455052637474j),(-0.9692228502600587+1.657023360218007j),(0.3753799458345881-0.980744456937304j),(-0.17649727850135116+0.1523769900841255j),(1.0987097643164705-0.5636072099432502j),(0.5822427270181373-0.10120714701941202j),(0.4731369818900071-0.5227322773454324j),(0.24751013973375058-1.2100947861332032j),(0.8045744691768564-1.2624147725389547j),(-1.2359538582680054-0.22968860408322508j),(-0.21503704259199544-0.4555996740620781j),(-1.41645698336876-0.7173453206731937j),(-0.5255946428582176-1.0696637657879629j)
0.2,(0.2477900976563997+0.34246921824388843j),(0.2300075234372777+0.8295521335498834j),(0.3205320504562532+0.5868906043506609j),(-0.9694253566440079+1.6563884759473255j),(0.3692640961223437-0.9837648708456572j),(-0.17527297264362587+0.1504356690236679j),(1.093025442694951-0.5751340633758129j),(0.5801092733382751-0.11487006068784134j),(0.46592801185305677-0.5302876971398591j),(0.24243096812100492-1.2117571286367594j),(0.7967535261027325-1.2679222010353264j),(-1.234619816826551-0.23707901338608212j),(-0.21535861312071947-0.45699412433577324j),(-1.4140470196597064-0.7226292184995774j),(-0.5242733716548067-1.0709773531860005j)
0.20500000000000002,(0.2551883723683523+0.3348774066724926j),(0.23536537420690318+0.8271535670565471j),(0.32728720303232534+0.5820451477881823j),(-0.9695534744862176+1.6557993656919714j),(0.3632289476746159-0.9866982350851087j),(-0.17400403030383185+0.14857579607527904j),(1.08730113160131-0.5864698036395379j),(0.5777084938872892-0.12832398774118448j),(0.45876072294518866-0.5376050440399118j),(0.23741054778836296-1.2133749721611335j),(0.7889989113109585-1.2733093803315225j),(-1.2332727225511024-0.24432601387339653j),(-0.21571591198328752-0.45834587410370065j),(-1.4116787902634194-0.7277796740452105j),(-0.5230139077393318-1.0722492573505684j)
0.21,(0.2625378088730614+0.32705994822116513j),(0.2407336866397552+0.8247306825026107j),(0.33402974126317214+0.5771096034980328j),(-0.9696085990760613+1.6552554260117995j),(0.35727396211844437-0.9895468545374225j),(-0.17268986495331476+0.1467982270088385j),(1.0815413308950634-0.5976153730058176j),(0.5750503509361533-0.14155953193308768j),(0.4516408863880549-0.5446884435902439j),(0.23244779501919544-1.2149492537017064j),(0.7813108564359803-1.2785787101108042j),(-1.2319150474145353-0.25142957028854107j),(-0.2161090173175902-0.45965471892135473j),(-1.4093532032146414-0.7327976413971229j),(-0.5218158453042737-1.0734797654193804j)
0.215,(0.26982644448866533+0.31902039065555354j),(0.24611044799571358+0.8222841733600632j),(0.34075612734833516+0.5720845270278268j),(-0.9695921201524345+1.6547560507662542j),(0.35139856353050575-0.9923129984433064j),(-0.17132987360102162+0.14510362279736105j),(1.0757504079450486-0.6085717774087211j),(0.572145424614681-0.1545679166515842j),(0.4445738900052096-0.5515421565218626j),(0.22754163575203395-1.2164808996256564j),(0.7736895539428734-1.2837325650799782j),(-1.2305491891432336-0.258389721547828j),(-0.2165379769290563-0.46092048762004967j),(-1.4070711178831954-0.7376841118818489j),(-0.5206787588105899-1.0746691772903731j)
0.22,(0.27704192175297815+0.3107630336863433j),(0.2514937023576419+0.8198146929944721j),(0.3474628765331383+0.5669705615510723j),(-0.969505421903756+1.6543006311143678j),(0.34560213843711307-0.994998900402412j),(-0.1699234367935007+0.14349244961699711j),(1.0699325976294243-0.6193400864449958j),(0.5690049129115257-0.1673409849190925j),(0.43756473822210823-0.5581705787521283j),(0.22269100558057106-1.2179708256719601j),(0.7661351571273428-1.2887732949693986j),(-1.2291774712170882-0.2652065807405095j),(-0.2170028082906527-0.4621430423069188j),(-1.404833344973984-0.742440114065426j),(-0.5196022029877135-1.0758178056217043j)
0.225,(0.2841714884234893+0.30229292896925825j),(0.25688155063138746+0.8173228546649834j),(0.354146557108688+0.561768437867171j),(-0.9693498829679674+1.65388855551476j),(0.3398840358142161-0.9976067583733346j),(-0.16846991861490151+0.1419649788470322j),(1.0640920023356693-0.6299214333740665j),(0.5656406316741799-0.17987119939241797j),(0.43061805206610826-0.5645782413847558j),(0.21789484975366016-1.2194199369513916j),(0.7586477801157228-1.2937032245329652j),(-1.227802142869498-0.2718803351287772j),(-0.21750349854288445-0.46332227836491524j),(-1.402640646526991-0.7470667137533954j),(-0.5185857128335543-1.0769259758317542j)
0.23,(0.29120199747736425+0.29361588010505996j),(0.26227215054578124+0.8148092315243222j),(0.36080379041187294+0.5564789744014178j),(-0.9691268764325334+1.6535192097256397j),(0.3342435670874012-1.0001387346736132j),(-0.16696866668697496+0.14052128706988745j),(1.058232591960584-0.6403170151180354j),(0.5620650146089762-0.19215164236275217j),(0.42373806916646845-0.5707698107098133j),(0.21315212317531548-1.2208291279465238j),(0.7512274978649772-1.298524653548125j),(-1.2264253790873691-0.2784112461477627j),(-0.21804000449379474-0.4644581244528112j),(-1.40049373591728-0.7515650139908018j),(-0.5176288036144977-1.0779940260991254j)
