t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,A_0011,A_0012,A_0013,A_0014
0.1,(0.3026930615103151-0.16942296122234207j),(-0.0016564407649795148-0.00648383644308407j),(-0.0484036696318009+0.039656366951274544j),(2.7768645711160713e-07+2.1943763577114389e-07j),(-0.00241263122556436-0.003859024931931624j),(-0.011060625896674985-0.18028738492167568j),(0.00013335010793798544+0.00022648258999817867j),(0.012918740006058738-0.02564773251237408j),(0.005688736619123034-0.020039254415609456j),(-0.0005356483950311167+0.0005790792738893189j),(8.218558532762521e-05-3.643005805773705e-05j),(1.1307562334678709e-05-5.691257689542188e-05j),(-0.0018944501536901758-0.017359724243553164j),(-1.5751317425528213e-06-7.19095652145049e-06j),(0.00014116336013773748+9.497403220290076e-05j)
0.105,(0.2991529816886953-0.17762187316865452j),(-0.002152153107393703-0.0064901363525201134j),(-0.04746706560041689+0.04259860125874824j),(3.113301614641899e-07+1.9971027044385139e-07j),(-0.0029525902677644163-0.004313295188363415j),(-0.01828312754024705-0.19393586788171746j),(0.00015154628612312472+0.00024785951191616453j),(0.014547023234740528-0.026929189096184497j),(0.006324504437711407-0.022580602607998063j),(-0.000578270125276694+0.0007020858113227537j),(9.072827290005432e-05-4.4828761388871654e-05j),(4.146318591447949e-06-6.273580026652052e-05j),(-0.0033567015092981958-0.01931104048714326j),(-2.6851327414226237e-06-7.637008007079434e-06j),(0.00017146617581209546+9.091318107319438e-05j)
0.11,(0.29482294977242424-0.18539766955465065j),(-0.0026491445336604517-0.006431878802290798j),(-0.04617814422481351+0.04539537164655147j),(3.4258490642974486e-07+1.7479228763659106e-07j),(-0.0035858199922999367-0.004776845341259971j),(-0.026478272690566657-0.20750669441694355j),(0.0001718491149513758+0.000269711291029168j),(0.016271168420012076-0.028223258687945438j),(0.006942337428739273-0.025375910216634663j),(-0.0006143442427094028+0.0008429359244294482j),(9.933394275338307e-05-5.4575077558724544e-05j),(-4.366826806111916e-06-6.771382292603571e-05j),(-0.005125881582037952-0.021287646009139346j),(-3.940700215758456e-06-7.935425457941594e-06j),(0.00020433049273610096+8.216733321570411e-05j)
0.115,(0.28977614790286355-0.19269947523354214j),(-0.0031389247716585964-0.00630877081355809j),(-0.04454886988280671+0.0480184844371857j),(3.705035550986149e-07+1.4492328262679236e-07j),(-0.004323678242520498-0.005240696489778736j),(-0.03567192151648879-0.22089552297119963j),(0.00019451039526661372+0.0002918455752707495j),(0.0180908078192905-0.0295469742108645j),(0.007517624290769018-0.02844951006226191j),(-0.0006410542103852154+0.0010029030942391003j),(0.00010784945587081009-6.581030953143965e-05j),(-1.4177432569711101e-05-7.155649298023147e-05j),(-0.007231484294590635-0.023256397059341474j),(-5.328678757095004e-06-8.048778085878993e-06j),(0.00023936007824434876+6.784973775435767e-05j)
0.12,(0.28401886840398294-0.1995064065434055j),(-0.003614519050523539-0.006122410613027345j),(-0.04260190380703588+0.05044288405220635j),(3.943418039721016e-07+1.1049492847557354e-07j),(-0.005172663927438625-0.005702802245830943j),(-0.04585267497346962-0.23401278622538238j),(0.0002194879034339825+0.00031431362384713897j),(0.020007237362144666-0.030875307688613785j),(0.00805841173082568-0.03181248411281056j),(-0.0006571270554676901+0.001182969941766873j),(0.00011624786005717221-7.858589125898307e-05j),(-2.5230101798678445e-05-7.403844186324293e-05j),(-0.009688153315560317-0.025197930076436358j),(-6.837831187651006e-06-7.94981426217542e-06j),(0.0002762814430081394+4.738386718430076e-05j)
0.125,(0.2776017369815842-0.20579709348243483j),(-0.00406715371285041-0.005876884007326773j),(-0.040364773700766535+0.0526385639597649j),(4.134783247556928e-07+7.2464633618965e-08j),(-0.006143670029609235-0.006145809090778851j),(-0.05698255864989743-0.2467501251785646j),(0.00024695188508867+0.0003367801351290604j),(0.022012749016426303-0.032218707553957705j),(0.008528336366123246-0.03548162903099444j),(-0.0006579570548326862+0.0013833364587625386j),(0.00012426882221328882-9.29845276675338e-05j),(-3.72303319517796e-05-7.487385208553338e-05j),(-0.012512605712317791-0.027054815942693995j),(-8.421361773875371e-06-7.607798039511385e-06j),(0.00031385805083073375+1.9847098183205925e-05j)
0.13,(0.2705889577009917-0.2115501504344462j),(-0.0044886115933098995-0.005576874135057286j),(-0.03786582058845279+0.05457866523734135j),(4.274141402618533e-07+3.182444409199972e-08j),(-0.007246456790819493-0.006548500831976956j),(-0.06901938082728226-0.2590013543400885j),(0.0002771046886282007+0.00035883441908975675j),(0.024098930332248452-0.033596708548196096j),(0.008879607704208354-0.039473441104775214j),(-0.0006384299808422058+0.0016035385809225707j),(0.00013160856239160363-0.00010907548119629887j),(-4.984298667018826e-05-7.38150170559199e-05j),(-0.015717164645953297-0.028763503005981066j),(-1.002763030472261e-05-6.997820226826409e-06j),(0.0003506643324746238-1.5545972507760737e-05j)
0.135,(0.26304278186663227-0.21674813170198792j),(-0.004871817658767376-0.005227483095572648j),(-0.03513467734607993+0.05624094198523512j),(4.357939230622655e-07-1.0480607821205249e-08j),(-0.008488088821785348-0.006888979501273332j),(-0.08191622589321006-0.2706681348217498j),(0.00031010832835634734+0.0003800811352859132j),(0.026258314655177854-0.03502717730844329j),(0.009063805906503762-0.04380123226291563j),(-0.0005936602133655947+0.0018424703903110618j),(0.0001379726403148044-0.00012689552707845832j),(-6.273088574715404e-05-7.067669937591617e-05j),(-0.01930694858890794-0.030262225737591592j),(-1.1606263143787282e-05-6.103528488696904e-06j),(0.00038525211921195784-5.932464424628688e-05j)
0.14,(0.25502350802203544-0.22137753150634037j),(-0.005210839008282891-0.004834231948979467j),(-0.032202268701164424+0.05760776132656496j),(4.384059954878294e-07-5.3552503587448875e-08j),(-0.009872935102151526-0.007144665355009627j),(-0.09562145434134264-0.28165997433779777j),(0.00034608448448313176+0.00040014029285765734j),(0.02848438112623496-0.036526312367628176j),(0.009031881788308348-0.04847513007497943j),(-0.0005189907397795425+0.0020983841153597227j),(0.00014307595537582285-0.0001464489533411652j),(-7.555480512800229e-05-6.533613083973243e-05j),(-0.023279871324973646-0.03149100473224692j),(-1.3108153229303958e-05-4.917127345336173e-06j),(0.0004161506428245409-0.0001117621124889137j)
0.145,(0.24658948194983338-0.22542878398751603j),(-0.005500884873111173-0.004403060716137205j),(-0.029100811232753956+0.05866610340726905j),(4.3518232962866265e-07-9.65402384244457e-08j),(-0.011402668980491517-0.007292296874021069j),(-0.11007870277141771-0.2918942272049352j),(0.00038511450312482396+0.0004186472505285586j),(0.030771554681893885-0.038108644154494095j),(0.008734156818797106-0.05350207775133145j),(-0.0004099931549680827+0.0023688901308678814j),(0.0001466427466378348-0.00016770756080554546j),(-8.797347691013427e-05-5.773301243427546e-05j),(-0.027626641949293172-0.03239164670809571j),(-1.4485460074147251e-05-3.4393781725944203e-06j),(0.0004418665356038343-0.00017287546879103568j)
