t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B01_z_0000_00,B01_z_0000_01
1.02,(-0.6670739225649681-3.244971017278476j),(5.271083495018836-0.540669711138763j),(-1.9525561822117592-1.4232329989626404j),(-0.663820582762853-0.5290214846471193j),(3.2689577689770766-2.3462971885252806j),(2.4191450536482626-3.6146588447770034j),(0.07727160982074356+0.00330295821174182j),(0.17244680112570296+0.2679537116678606j),(1.255508135986468+0.6409712892796414j),(-0.17013875587627258+0.3784522632870275j),(6.670746856695318+0.12109586297112357j),(-2.945688087493934+0.9824498418951945j),(0.1520020663391004-0.8001614622188968j),(-2.6767240372002927-0.651107387531564j),(0.8776147884216268+1.3644648456729465j),(0.09893089113077967+2.1246014576730796j),(-0.7048129211823537+0.5475382821094786j),(-0.40709033859343896+1.8995580060979491j),(0.43210531712755473-0.8346219763383984j),(1.6087876261080456+0.02927891568231614j),(-0.6670739225649681-3.244971017278476j),(5.271083495018836-0.540669711138763j)
1.03,(-0.4322499976371412-3.3824972050344333j),(5.275056932896816-0.20357380108979378j),(-2.0070180324665547-1.3797813428787704j),(-0.6949735657046041-0.5119948893843306j),(3.4693182581104822-2.4154373667534266j),(2.6264030883782374-3.8137207508778195j),(0.08080630812135385+0.0023095296100721363j),(0.16710825119130499+0.253888565765901j),(1.2594738872605238+0.6294279709285538j),(-0.1607052015625485+0.34235577576530696j),(6.586508675089821-0.21751923935571726j),(-2.859404215705981+0.9866558532452543j),(0.1131190759956292-0.7718481036577151j),(-2.744222932584329-0.5264972918704819j),(0.8841100004319322+1.3193048812613672j),(0.12851383448580253+2.0313311476489493j),(-0.6551455994541425+0.5413406729871122j),(-0.36003782356824365+1.8481034686192506j),(0.4528444102741416-0.8473743290252702j),(1.5948909232879849+0.03537601708077956j),(-0.4322499976371412-3.3824972050344333j),(5.275056932896816-0.20357380108979378j)
1.04,(-0.18374518354340724-3.4849387386689354j),(5.22921066457024+0.12860230943444154j),(-2.0606195602011406-1.333013284679067j),(-0.725478727415555-0.4932945158477828j),(3.698088906813723-2.480314434074198j),(2.869817033777881-4.023137850831497j),(0.08413979064380801+0.0014777749369531588j),(0.1620216193435214+0.2398818996126823j),(1.263397423067445+0.6182539145422888j),(-0.15163968631865948+0.30667360794505677j),(6.485204444120591-0.5389461561705716j),(-2.7806590431797127+0.9849137510893171j),(0.07637946269824661-0.7395919524549304j),(-2.799806446081747-0.39325067100319383j),(0.8895966963990928+1.2773654626695958j),(0.15450661153293893+1.9437419201090511j),(-0.6088038111176853+0.5342395780142694j),(-0.3172147047305279+1.79794690409152j),(0.4735174100662855-0.8594602513122891j),(1.580637655724061+0.04080810155703721j),(-0.18374518354340724-3.4849387386689354j),(5.22921066457024+0.12860230943444154j)
1.05,(0.07019836104675084-3.5508283392195366j),(5.136741695415313+0.4453399879243845j),(-2.1130626467858273-1.2829599019820854j),(-0.7551701682618028-0.4729466055164821j),(3.9595993806688004-2.5371064963426435j),(3.1566153477266212-4.240747833648213j),(0.08726956836988102+0.0008011756506597753j),(0.1571932445998178+0.22595270466522044j),(1.2672879961729648+0.6074356103356339j),(-0.14290272578294344+0.2714166117888373j),(6.369345128793504-0.8431723690305402j),(-2.7094551941046148+0.9785198395278584j),(0.04241915612169103-0.7037020567756035j),(-2.8420390374754794-0.2531806811560701j),(0.8942338754535681+1.2383779730525148j),(0.17737862632702892+1.861414394019519j),(-0.5655900149006654+0.5264483785530971j),(-0.2782620631427525+1.74919528880687j),(0.494058806425697-0.8708926842572798j),(1.5660906636122227+0.04555607477760293j),(0.07019836104675084-3.5508283392195366j),(5.136741695415313+0.4453399879243845j)
1.06,(0.32154239193954676-3.5810989456783666j),(5.003537086946915+0.7377916587050968j),(-2.1640468415483123-1.2296885307534249j),(-0.7838831914483965-0.45099773702590246j),(4.258479385467398-2.580375029818686j),(3.4952742159587364-4.462650338550221j),(0.09019418101285999+0.0002728920006500981j),(0.1526284447310901+0.21211986725105972j),(1.2711537832237514+0.5969590351081492j),(-0.13445786175455385+0.23659480981251715j),(6.241149427588982-1.1304224863578074j),(-2.6456418635354897+0.9686375837516573j),(0.011809387553525653-0.6646204784025054j),(-2.869866995388728-0.10840111284648812j),(0.8981545152236649+1.202099552380234j),(0.197531894535501+1.7839648429828403j),(-0.5253123851669312+0.5181481742892888j),(-0.2428484252249767+1.7019249581461433j),(0.5144061925917401-0.8816897740806608j),(1.5513132353535517+0.04960803919611666j),(0.32154239193954676-3.5810989456783666j),(5.003537086946915+0.7377916587050968j)
1.07,(0.563232221854227-3.578740536691133j),(4.837308137630859+0.999490361283525j),(-2.2132747881052075-1.1733036438421818j),(-0.8114573673722215-0.42751510377402757j),(4.599312296721156-2.602524054240813j),(3.89541123943046-4.682383145514323j),(0.09291317047915583-0.00011416750483829414j),(0.1483315063268534+0.19840210696970406j),(1.2750019295767996+0.5868097466913578j),(-0.1262716723820902+0.20221762623328393j),(6.102547573116446-1.4010977815558099j),(-2.588946310340659+0.9563005829118367j),(-0.014977123428698273-0.6229035660852653j),(-2.8826915399620567+0.0387775488991835j),(0.901470163045341+1.1683104272306692j),(0.2153117002376328+1.7110425939754466j),(-0.4877864545302927+0.5094919628543368j),(-0.21066875665445942+1.6561870958807776j),(0.534500795072157-0.8918742573657257j),(1.5363682392112725+0.052959079045144436j),(0.563232221854227-3.578740536691133j),(4.837308137630859+0.999490361283525j)
1.08,(0.7897270742722253-3.548209991722293j),(4.646585927362496+1.2266228942346087j),(-2.2604579063078116-1.1139467550376716j),(-0.8377396914282526-0.40258623130368226j),(4.985973596480167-2.5931947344490247j),(4.367345696383153-4.889848991584143j),(0.0954270475332344-0.0003672785746069802j),(0.14430568241959385+0.184817913436284j),(1.2788385960892799+0.5769729689562707j),(-0.11831375581576081+0.16829408745986j),(5.955209674977372-1.6557027534173154j),(-2.539008643755311+0.9424107055087274j),(-0.03759307094520012-0.5791933360035368j),(-2.8804072481287393+0.1859714185760398j),(0.9042746637760488+1.136811486272811j),(0.23101540027736278+1.6423273956697273j),(-0.4528361815355898+0.5006083775903896j),(-0.18144314468224076+1.6120123726515856j),(0.5542878955337587-0.9014728043391076j),(1.521317322784799+0.05561093294399642j),(0.7897270742722253-3.548209991722293j),(4.646585927362496+1.2266228942346087j)
1.09,(0.9972055835532101-3.4947645976689468j),(4.43981209820872+1.41786865887647j),(-2.3053221249295093-1.051795281558895j),(-0.8625877177513547-0.3763181057199085j),(5.420484204862722-2.5387180200710584j),(4.92105965230294-5.070044466477482j),(0.09773725215702199-0.0004938361997604135j),(0.14055319762568025+0.17138548140876936j),(1.2826690070800726+0.5674336685008492j),(-0.11055668991687277+0.13483299185042175j),(5.800578218261026-1.8947933890524533j),(-2.4954091883731753+0.927742649423352j),(-0.05583340153728225-0.5341819844863888j),(-2.863400820386181+0.3308523685956493j),(0.9066471957885264+1.1074220962316939j),(0.2448997206979839+1.5775268477666977j),(-0.4202945756356671+0.4916050007943029j),(-0.15491529668811582+1.5694148401398327j),(0.5737171447157449-0.9105153410274582j),(1.50622019439284+0.05757157143760153j),(0.9972055835532101-3.4947645976689468j),(4.43981209820872+1.41786865887647j)
1.1,(1.183511941949391-3.423854787488991j),(4.224657445376654+1.573970809699371j),(-2.3476134420883352-0.9870603473304569j),(-0.8858725434625031-0.3488357130008277j),(5.901240575843567-2.4219008320666444j),(5.56424470965141-5.201834791192919j),(0.09984610810854115-0.0005012928816462331j),(0.13707526067052478+0.15812264440435556j),(1.2864974988657112+0.5581766241662949j),(-0.10297597043557903+0.10184304890158977j),(5.639888193587988-2.118957305090992j),(-2.4576841697458502+0.9129584734349194j),(-0.06964041070121371-0.48857357174767396j),(-2.8325110485037497+0.4712686631846098j),(0.9086547508900832+1.0799781454322763j),(0.25718682316711905+1.5163739463670367j),(-0.39000398632786254+0.4825712800136372j),(-0.1308509490378878+1.5283951813513577j),(0.5927427721513061-0.9190343695863217j),(1.4911339962741659+0.05885469796539665j),(1.183511941949391-3.423854787488991j),(4.224657445376654+1.573970809699371j)
1.11,(1.3479406063024766-3.340636162923257j),(4.007587072752411+1.6972024745595884j),(-2.38710308588159-0.9199835638738503j),(-0.9074815179311516-0.32028001986257204j),(6.420603031170352-2.222623303354727j),(6.299147321062582-5.257322180641607j),(0.10175677219652975-0.0003971005222713463j),(0.13387208407779239+0.14504680697768846j),(1.2903275684444977+0.5491864905260271j),(-0.09554992989915247+0.06933298821439815j),(5.474209131569043-2.3287740901926783j),(-2.4253476864718424+0.8986109609767308j),(-0.07909717805984584-0.4430471593972833j),(-2.788956404731162+0.6053444984257274j),(0.9103541658299621+1.0543302980442104j),(0.2680693658054214+1.4586247759585735j),(-0.3618161418504144+0.4735810804143177j),(-0.10903625390800578+1.4889434088782683j),(0.611323698561447-0.927064303982041j),(1.4761127754435037+0.059479192032574686j),(1.3479406063024766-3.340636162923257j),(4.007587072752411+1.6972024745595884j)
