t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B01_A_0000
0.21,(1.598454693363006e-05+8.466452197624694e-06j),(9.69517159064053e-12-7.785046283780064e-12j),(1.9260981006025456e-11-2.2499405559604702e-11j),(8.490231622159639e-08+3.868028701686516e-08j),(3.9823171251970496e-16-5.53433456060277e-16j),(3.07631609399001e-13-1.0710332013675559e-12j),(9.687938923114532e-11-5.623373115214834e-10j),(-1.012680400032635e-12-6.085830972207248e-14j),(1.561584373495317e-14+1.0141387636682112e-14j),(6.107036251052966e-08-1.3653030362380424e-08j),(1.5827933026061782e-05+8.451511427519115e-06j)
0.22,(1.438443709305541e-05+3.460744563175796e-06j),(8.009906097082014e-12-8.746822280193296e-12j),(1.3631062898322485e-11-2.4580028284522524e-11j),(1.2033262828814975e-07+2.531793140698321e-08j),(6.055369890314856e-16-7.044385028127966e-17j),(2.956176076311702e-13-6.935459477023144e-13j),(8.945194050130068e-11-5.299553064567399e-10j),(-5.896205317180995e-13-4.462685912880536e-14j),(9.415086347157488e-15+9.031559167037989e-15j),(5.401064470836018e-08-3.616011456486237e-08j),(1.4249711129413551e-05+3.4846581862116833e-06j)
0.23,(1.2124162742102835e-05-1.154501341966977e-07j),(6.341452991985562e-12-9.347203553609535e-12j),(8.128810515377088e-12-2.5291089992509682e-11j),(1.5983373437843226e-07-1.6482933719286368e-09j),(4.305003257733987e-16+3.6394542006201064e-16j),(2.587109075718031e-13-4.4104459610633604e-13j),(8.121687954414334e-11-4.963427556562669e-10j),(-3.4135554324588373e-13-3.4575330945621815e-14j),(5.2217306943303246e-15+7.484823625338464e-15j),(3.92234187535795e-08-5.481171943715295e-08j),(1.2016720198782953e-05-6.473826300570249e-08j)
0.24,(9.65057919246497e-06-2.4585725714963564e-06j),(4.751055582068802e-12-9.636883172490447e-12j),(3.0433818600211014e-12-2.483582934635589e-11j),(1.9984533720225617e-07-4.5852951709639116e-08j),(3.6841314996670177e-17+5.370786244560458e-16j),(2.1393611647272987e-13-2.743861559996981e-13j),(7.246912040702879e-11-4.6216962329830957e-10j),(-1.9653890153670035e-13-2.6960284488442546e-14j),(2.5071215136158218e-15+5.867486320661756e-15j),(1.8740102656305163e-08-6.721872401331472e-08j),(9.57180077305046e-06-2.3921489237426976e-06j)
0.25,(7.260937006227982e-06-3.811501823502735e-06j),(3.2805834199935145e-12-9.67008055337196e-12j),(-1.4285620929294495e-12-2.3454924444475957e-11j),(2.3515023710688163e-07-1.1021216082972369e-07j),(-3.4612452485271525e-16+4.012613206350703e-16j),(1.7018255585534493e-13-1.659736787429002e-13j),(6.34905802901762e-11-4.280089684095086e-10j),(-1.125161931357325e-13-2.0680755822394533e-14j),(8.445684421858539e-16+4.383064488535851e-15j),(-4.810490956076619e-09-7.197823703812172e-08j),(7.209269811652505e-06-3.738646598036681e-06j)
0.26,(5.130427749924174e-06-4.419396830536595e-06j),(1.9553795075791197e-12-9.500003549104994e-12j),(-5.175903808333492e-12-2.1396806241136865e-11j),(2.5897980005278616e-07-1.9628463907987063e-07j),(-5.337196454709477e-16+5.444891259242302e-17j),(1.315327815659114e-13-9.66015524162863e-14j),(5.4540189940386366e-11-3.943354941841269e-10j),(-6.401101758608164e-14-1.5486203090691698e-14j),(-9.695635445946401e-17+3.1262783184719886e-15j),(-2.8632017779490186e-08-6.874049176235166e-08j),(5.10245034824967e-06-4.347225321544397e-06j)
0.27,(3.3424871808233104e-06-4.503228633439898e-06j),(7.874739444674585e-13-9.175837527356965e-12j),(-8.159748436456831e-12-1.8895626877267694e-11j),(2.6335652560185285e-07-3.0363878514884335e-07j),(-4.500544171925505e-16-3.2861724309425396e-16j),(9.936425438881987e-14-5.3068190969554146e-14j),(4.58470357196941e-11-3.615291283474053e-10j),(-3.615115171195735e-14-1.1308814090260547e-14j),(-5.649621106407432e-16+2.1236434929807942e-15j),(-5.014158616968526e-08-5.8113507469927565e-08j),(3.333828840301875e-06-4.436691373739484e-06j)
0.28,(1.916986077894193e-06-4.2468850624952874e-06j),(-2.2124887515719647e-13-8.740998272720666e-12j),(-1.0397176919503503e-11-1.615695309081997e-11j),(2.396754402478082e-07-4.293154547863369e-07j),(-1.3758463322914131e-16-5.76152779908273e-16j),(7.36354537699681e-14-2.640706588815724e-14j),(3.760643074436876e-11-3.298822114537271e-10j),(-2.023656126912928e-14-8.065065537502817e-15j),(-7.379274321423719e-16+1.362486420308324e-15j),(-6.725365331693614e-08-4.14537900527891e-08j),(1.9230381107367e-06-4.1890006858672295e-06j)
0.29,(8.337907189946528e-07-3.793695726487224e-06j),(-1.0761840897526094e-12-8.232357174666985e-12j),(-1.1944732163965126e-11-1.335027901408028e-11j),(1.7949086404719902e-07-5.674756206930035e-07j),(2.757555515510221e-16-5.805109358969002e-16j),(5.364447475024365e-14-1.0599784452874568e-14j),(2.997851825703496e-11-2.99608990379576e-10j),(-1.1202437175344705e-14-5.628792637558056e-15j),(-7.398086567251063e-16+8.106155845464844e-16j),(-7.854608949729838e-08-2.05984452851355e-08j),(8.50199140379748e-07-3.7459055693421435e-06j)
0.3,(5.0859413982380906e-08-3.248791614030638e-06j),(-1.7875716998641259e-12-7.680162209569686e-12j),(-1.2883430554821729e-11-1.060694401946631e-11j),(7.544150477652108e-08-7.093074014522827e-07j),(6.302980874785871e-16-3.265303302128779e-16j),(3.8455872608743424e-14-1.6549900141675842e-15j),(2.3088903490704294e-11-2.708563071251633e-10j),(-6.112746272972005e-15-3.852010411567166e-15j),(-6.531995859114956e-16+4.288711436689945e-16j),(-8.33114094493651e-08+2.410395931697447e-09j),(7.382103484268241e-08-3.2113507850850255e-06j)
