t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B01_z_0000_00
0.28,(-0.4672966021679825+0.15166681525116876j),(0.839286635318955-0.05677393274702347j),(1.8217569378377703+3.111487484431209j),(-0.4179268904239071+0.24938380731131501j),(-0.2739253309121299-0.818172444683333j),(-0.06358646833836114+0.38953005910704663j),(-0.12870283071902697+0.41082060501402556j),(0.7431740468457828-0.827144661199187j),(0.9821588571634785+0.3720095873196632j),(-0.6097600351104596-0.4759055861533987j),(5.703819611165216+0.5246681064922041j),(-0.4672966021679825+0.15166681525116876j)
0.29,(-0.4785158559334506+0.13294771368211078j),(0.8393168735947063-0.03100274869187113j),(2.215824180594602+3.071360417354552j),(-0.4367525709110826+0.23465899082166183j),(-0.24786623267130253-0.8009310000581796j),(-0.09409429964975634+0.40072728819912873j),(-0.15987644416414107+0.4177051366076083j),(0.7265660122731058-0.8093778535470905j),(0.9911957003491263+0.37951166863519864j),(-0.5851912516055623-0.4828542581676937j),(5.723272718995198-0.36460074647644214j),(-0.4785158559334506+0.13294771368211078j)
0.3,(-0.48820272650411095+0.11360527672238528j),(0.8393310744273293-0.0051740729529665686j),(2.6405238606318564+2.9675844027642277j),(-0.4542851582533465+0.2188608218423912j),(-0.22098718575467757-0.7838505328473003j),(-0.12501473900909252+0.4098657603538386j),(-0.1911020494706668+0.4226324093700649j),(0.7122768511656651-0.7903214564158421j),(1.000868919455475+0.3859202330188383j),(-0.5598394776586156-0.4893803312795343j),(5.53229554065188-1.2237011555591075j),(-0.48820272650411095+0.11360527672238528j)
0.31,(-0.4963260973577354+0.09373637898291202j),(0.8393248697256215+0.02066420034118393j),(3.0847859430080877+2.784833878549969j),(-0.4704673860380689+0.20208366236196354j),(-0.19335893621459413-0.7667809981630801j),(-0.15617135517194278+0.41698627665028914j),(-0.22222759153856217+0.42566785955745434j),(0.7001836890123829-0.7700971406925418j),(1.0111751627914587+0.391181437981077j),(-0.5337056054323155-0.49540968370173766j),(5.159883329710192-1.9867580027531293j),(-0.4963260973577354+0.09373637898291202j)
0.32,(-0.5028605520039812+0.07343735307191035j),(0.8393001307344741+0.04646414760384321j),(3.530697850813336+2.5091086962080986j),(-0.4852490406263061+0.18442120883876595j),(-0.16505662793013454-0.749573695530544j),(-0.18739881035175093+0.42214241435586775j),(-0.25311332231674777+0.42688542014684j),(0.690156221282989-0.7488078912100488j),(1.0221044569467408+0.39524114589251286j),(-0.5067956481481197-0.5008638018027769j),(4.657066427690152-2.609909934738133j),(-0.5028605520039812+0.07343735307191035j)
0.33,(-0.5077860900887862+0.052804016603979056j),(0.8392649507316859+0.0721779622223157j),(3.9529738492730404+2.1310178218519535j),(-0.4985864333442688+0.16596624390735948j),(-0.13616103842115557-0.7320818409626424j),(-0.21854360824777472+0.4253984702782936j),(-0.28363192556889855+0.4263656466563622j),(0.682058645634513-0.7265399069627346j),(1.0336396365051725+0.3980453341011904j),(-0.4791214334421184-0.5056599026938878j),(4.081521775560842-3.0764288929663155j),(-0.5077860900887862+0.052804016603979056j)
0.34,(-0.5110878959798895+0.03193174212773963j),(0.8392335702054656+0.09775809407428553j),(4.3202169531372245+1.6498618001118417j),(-0.5104419015400807+0.1468104802663793j),(-0.10675971579972784-0.7141612919740795j),(-0.2494645273025125+0.426827468311448j),(-0.31366840731326023+0.4241939792706327j),(0.675751265916687-0.7033645466056688j),(1.0457558125045765+0.3995406038911867j),(-0.4507013387721108-0.5097111432209953j),(3.4845505614529126-3.392385553774712j),(-0.5110878959798895+0.03193174212773963j)
0.35000000000000003,(-0.5127561626615732+0.010915560092517353j),(0.8392262453730153+0.12315737376349165j),(4.598730214485332+1.077362124478055j),(-0.5207833466306077+0.12704448586638567j),(-0.0769479993409318-0.6956714343402414j),(-0.28003277590231995+0.4265092708341805j),(-0.3431197915707817+0.42045916053004617j),(0.6710918217034746-0.6793402764945202j),(1.0584198946378727+0.39967479335267075j),(-0.42156106237508933-0.5129269289876925j),(2.9042460470405076-3.577960324802861j),(-0.5127561626615732+0.010915560092517353j)
0.36,(-0.5127859729318145-0.010149714736240666j),(0.8392690616928212+0.14832911340826083j),(4.758738089928955+0.4392206545009284j),(-0.5295838155790108+0.10675767972828473j),(-0.046829900984481074-0.6764762351409186j),(-0.3101319085774012+0.4245288234357919j),(-0.37189465947789274+0.4152518199481241j),(0.6679365943733672-0.6545145883470906j),(1.0715901841351199+0.3983976969171389j),(-0.3917344206111716-0.5152133375702913j),(2.3645212110793716-3.658968373815431j),(-0.5127859729318145-0.010149714736240666j)
0.37,(-0.5111772391560394-0.031169342835472257j),(0.8393936943588107+0.17322717659404469j),(4.781413362817066-0.2271321973938648j),(-0.5368211306621385+0.08603838810892685j),(-0.01651882087904416-0.6564454615017813j),(-0.3396575428353135+0.42097455344626095j),(-0.39991256753515764+0.40866322991135323j),(0.6661413369734209-0.6289258610093721j),(1.0852160560347206+0.39566189140295827j),(-0.3612641594507132-0.5164736702371946j),(1.8775256770465314-3.660978028164449j),(-0.5111772391560394-0.031169342835472257j)
0.38,(-0.5079347021893643-0.052048514693814156j),(0.8396371183148238+0.19780601085230742j),(4.663981448160176-0.8787948401158018j),(-0.5424775712342098+0.06497395118718519j),(0.013861932970780855-0.6354560585745848j),(-0.368516914947462+0.41593693434648754j),(-0.4271033773470086+0.400784231829007j),(0.6655620707305443-0.6026051471079034j),(1.099237750999136+0.39142366489777086j),(-0.33020276438290946-0.516609146119831j),(1.44711542687204-3.6062430479196665j),(-0.5079347021893643-0.052048514693814156j)
0.39,(-0.5030679894771949-0.07269221003393402j),(0.8400412704634368+0.22202063706935837j),(4.420517848237192-1.4757395840490077j),(-0.5465396101426485+0.04365087094860324j),(0.04417885333250561-0.6133936731405827j),(-0.39662831081312994+0.409507221326671j),(-0.4534065255062044+0.3917043269275009j),(0.6660557861262941-0.5755778690306536j),(1.1135862977885758+0.3856440406882684j),(-0.2986132491959628-0.5155197517527782j),(1.0720128888971305-3.512677507243961j),(-0.5030679894771949-0.07269221003393402j)
