t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B01_z_0000_00
1.05,(-0.4426572027120079+0.1842945270705841j),(1.0535636810389792-0.5630357619883857j),(0.04255203892747632-0.541675068458804j),(-0.31541410970292794+0.30104207514468245j),(-0.4957797436485259+1.390024389115457j),(0.04780551967563884-0.32596936835727425j),(0.10023017017966579-0.27856821460388487j),(1.4961055888132746+0.5949872412750211j),(0.909351941651745-0.12734329211046216j),(-0.7725478907812625+0.41551450610798735j),(0.005321680101806217-0.5183132880191804j),(-0.4426572027120079+0.1842945270705841j)
1.06,(-0.4566061419466552+0.16698417072655858j),(1.0332130229482928-0.5651169562878022j),(0.07351509590651753-0.5192115586396708j),(-0.33926822031665677+0.29254932105660714j),(-0.4815668664430536+1.4431994656163307j),(0.07346558630111051-0.3046538309196164j),(0.12227269253030015-0.25327109135810344j),(1.5385946496147294+0.5343698391321401j),(0.9082891219944951-0.1083763624568908j),(-0.7908259899376127+0.40736489083451877j),(0.0370161888265213-0.49829525343666814j),(-0.4566061419466552+0.16698417072655858j)
1.07,(-0.4690963662388783+0.14887013724030046j),(1.0138669933160762-0.56518094681294j),(0.10376324042532407-0.4951460087557634j),(-0.362204436262198+0.28254870251816094j),(-0.462645687786859+1.4996539786759173j),(0.09752992253606128-0.2814030657285624j),(0.14229834553354184-0.22627117396960605j),(1.5773162186197243+0.46846238840278925j),(0.9074321972616298-0.08917712094721027j),(-0.8084671030332208+0.3992924306928862j),(0.06799367363196816-0.4765400255159051j),(-0.4690963662388783+0.14887013724030046j)
1.08,(-0.4800853162459012+0.1300501874357329j),(0.9955879632551088-0.5633342537080106j),(0.13311657049619133-0.4694373534388411j),(-0.3841255542751323+0.2711311359207406j),(-0.4384473216249588+1.5594568473266073j),(0.11979538366276016-0.25631355507650805j),(0.16012378504703698-0.19771502938989502j),(1.6115191775294346+0.397702903768075j),(0.9067650407206871-0.06978730295670435j),(-0.8254942080508495+0.3913298663434757j),(0.09807191141665104-0.4530119907991844j),(-0.4800853162459012+0.1300501874357329j)
1.09,(-0.48953678156014196+0.11062163763998178j),(0.9784210809332968-0.5596826495713958j),(0.1613880791209676-0.4420635344036596j),(-0.40494389398426284+0.25838954275543957j),(-0.4083238361584731+1.6226404592817796j),(0.14006620326444566-0.22950564872485982j),(0.1755805523463138-0.16777165019700024j),(1.6405044771452009+0.32266174709102025j),(0.9062744857382924-0.05024869540835273j),(-0.8419306999961446+0.38350711765340845j),(0.12706093542118901-0.4276944858836049j),(-0.48953678156014196+0.11062163763998178j)
1.1,(-0.4974205308985105+0.09068128046333933j),(0.9623955449225077-0.5543297642682186j),(0.1883857760301516-0.4130231474473459j),(-0.42458081125163644+0.24441803945965815j),(-0.37153841746576993+1.6891884373222537j),(0.15815752997635213-0.20112321693756857j),(0.18851851842602063-0.1366308217249935j),(1.6636533378844736+0.24403405560430716j),(0.9059504780905145-0.030603138945240874j),(-0.8578002209848925+0.3758514925077989j),(0.15476520523140413-0.400591554804126j),(-0.4974205308985105+0.09068128046333933j)
1.11,(-0.503711986692242+0.07032536744798208j),(0.9475259504858176-0.5473759929375726j),(0.2139151822745507-0.3823368268865801j),(-0.4429661707755911+0.22931126362711643j),(-0.3272548486953981+1.7590198494279188j),(0.17389898614160348-0.17133270591504474j),(0.1988090945242252-0.10450088305135102j),(1.680454062747364+0.16262519987271987j),(0.9057861914550118-0.010892520302746516j),(-0.873126514748069+0.3683878917421151j),(0.1809861616420039-0.37172944370068245j),(-0.503711986692242+0.07032536744798208j)
1.12,(-0.5083919489320219+0.04964964324122115j),(0.9338136671204086-0.538917683451521j),(0.23778216415234935-0.35004828524152765j),(-0.46003779790374255+0.21316382936198608j),(-0.27452658782082495+1.8319688896781885j),(0.18713813121454187-0.1403215769521533j),(0.2063480856499925-0.07160592059188636j),(1.690525475445032+0.0793295943883956j),(0.9057781054447075+0.008841242630874711j),(-0.8879333034688287+0.3611390086784208j),(0.2055251343186231-0.3411577475510824j),(-0.5083919489320219+0.04964964324122115j)
1.1300000000000001,(-0.5114463719888618+0.028749421161249622j),(0.9212482142702969-0.5290465758759502j),(0.2597960535519313-0.3162249290451392j),(-0.4757409267833586+0.19606990274537234j),(-0.21228596650575488+1.9077588146272728j),(0.1977437060467662-0.10829613673731081j),(0.2110580717822303-0.03818246136880247j),(1.6936351038849626-0.0048961746555247j),(0.9059260457354037+0.028556220312162383j),(-0.9022441838319978+0.3541255225777546j),(0.22818654994987952-0.30895012629578855j),(-0.5114463719888618+0.028749421161249622j)
1.1400000000000001,(-0.5128661970940974+0.007719690337847893j),(0.9098086100190428-0.517849464535081j),(0.27977298228314834-0.28095797974341574j),(-0.4900276590953515+0.17812288733746404j),(-0.13933440177477757+1.9859686411460715j),(0.2056085342276186-0.0754787943212661j),(0.21289021661911364-0.004475759342216444j),(1.6897105674105577-0.08906434735535346j),(0.9062331860522918+0.048210492681970266j),(-0.9160825406941367+0.34736628499013844j),(0.2487813686849796-0.2752045156154531j),(-0.5128661970940974+0.007719690337847893j)
1.1500000000000001,(-0.5126472423598329-0.013344755145255374j),(0.8994646745685322-0.5054080527167829j),(0.2975393400548439-0.24436204196674913j),(-0.502856445199015+0.15941520900498335j),(-0.054335070208657216+2.0659908130520797j),(0.21065196395643948-0.04210480848427005j),(0.2118254257163749+0.02926420987477446j),(1.6788431677244577-0.172189104138806j),(0.9067060120020463+0.06776216897201649j),(-0.9294714759894518+0.3408784987881706j),(0.26713065692208626-0.24004277069070434j),(-0.5126472423598329-0.013344755145255374j)
1.16,(-0.5107901514865552-0.034349174487001796j),(0.8901782763062493-0.491798970532344j),(0.3129352498375641-0.20657407973551617j),(-0.5141915971396426+0.14003818915185892j),(0.04418967797679443+2.146977765654294j),(0.21282174815007113-0.008418616005244798j),(0.2078748028834826+0.06278691408766668j),(1.6612833628004922-0.25331954718819916j),(0.9073542469563952+0.08716940324797279j),(-0.9424337510056584+0.33467788950707394j),(0.28306918822543875-0.20360969981755947j),(-0.5107901514865552-0.034349174487001796j)
1.17,(-0.5073004016800537-0.055198735020966935j),(0.8819045132361563-0.4770939276648483j),(0.32581794311728346-0.16775178399137375j),(-0.5240028410884141+0.1200819955303955j),(0.1578526856864696+2.227775142989723j),(0.21209528173645262+0.02533014605124891j),(0.20107938453189653+0.09584544845530481j),(1.6374285275832339-0.33157031568155343j),(0.9081907404367132+0.10639040291589376j),(-0.9549917405764909+0.3287788689583275j),(0.29644895151671113-0.16607146800657446j),(-0.5073004016800537-0.055198735020966935j)
1.18,(-0.5021883706966441-0.07579837291739434j),(0.8745928265278873-0.4613599744579752j),(0.3360649118117284-0.12807134090566705j),(-0.5322649150255137+0.09963566007058888j),(0.28838295607375686+2.3068395085184648j),(0.20848014167331863+0.05889079391772242j),(0.19150916382407274+0.12820059649633905j),(1.607804073028381-0.40614786788110163j),(0.909231319591403+0.12538342767788638j),(-0.9671673972753069+0.3231946911736022j),(0.30714243886864745-0.1276133777281077j),(-0.5021883706966441-0.07579837291739434j)
1.19,(-0.4954694623360136-0.09605266899039497j),(0.8681880459927656-0.44465984681578336j),(0.3435767139674408-0.08772463877259479j),(-0.5389572161408285+0.07878715360893368j),(0.43758571242330147+2.3821390113150693j),(0.20201390561732702+0.092015786217467j),(0.17926144778348127+0.15962463312486416j),(1.573039515662546-0.4763709362654078j),(0.9104946045721507+0.14410677675902087j),(-0.9789822245568106+0.3179376008785526j),(0.3150455853552902-0.088437062974267j),(-0.4954694623360136-0.09605266899039497j)
1.2,(-0.4871642890411439-0.11586574904867582j),(0.8626313695130974-0.42705237255493467j),(0.3482793187114441-0.04691597899498827j),(-0.5440635012326964+0.05762350785392488j),(0.6072710117122707+2.451037081783475j),(0.192763257382159+0.12446480643398923j),(0.16445861892024705+0.18990474930321755j),(1.5338414018894897-0.5416842649017105j),(0.9120017887330742+0.16251876268267595j),(-0.9904572574463568+0.31301897466333556j),(0.3200802406300018-0.04875716245080332j),(-0.4871642890411439-0.11586574904867582j)
1.21,(-0.47729890953732873-0.13514121841008458j),(0.8578612799350108-0.40859291906675294j),(0.35012589055927507-0.005858383284338227j),(-0.5475716425207878+0.03623097543130342j),(0.7991367172169436+2.5101625412892283j),(0.1808224187720441+0.15600860265137362j),(0.14724539618094382+0.21884599877572838j),(1.4909650720466772-0.6016653796881463j),(0.9137763846723825+0.18057767039588374j),(-1.0016130494624824+0.3084494553868798j),(0.3221960671658603-0.0087975648824026j),(-0.47729890953732873-0.13514121841008458j)
1.22,(-0.465905118543564-0.15378214049436817j),(0.8538144037918355-0.3893338643391082j),(0.3490979351331549+0.035230389095292296j),(-0.54947344053593+0.01469521930720508j),(1.014587807438662+2.5552755301113916j),(0.1663109762514428+0.1864324619541696j),(0.12778570721715202+0.24627369245357114j),(1.4451871150096838-0.6560247347063106j),(0.9158439371957536+0.19824170114768092j),(-1.0124696653604572+0.3042390799098268j),(0.3213717817971645+0.031212656600091846j),(-0.465905118543564-0.15378214049436817j)
1.23,(-0.45302078458555856-0.17169106967265949j),(0.8504263165562611-0.3693250755125778j),(0.3452057551509356+0.0761319836735741j),(-0.5497644952304861-0.00689847672769966j),(1.254471185958616+2.581148654153167j),(0.14937119489982037+0.21553921728954592j),(0.10625929392565928+0.27203519412638066j),(1.3972800619530155-0.7046000540939219j),(0.9182317043033169+0.21546890119098397j),(-1.0230466778665381+0.30039740092743195j),(0.31761568510289+0.07104348699638198j),(-0.45302078458555856-0.17169106967265949j)
1.24,(-0.43869023064987395-0.18877014881332452j),(0.8476322990105694-0.3486143810971916j),(0.33848819616095477+0.11663161320803887j),(-0.548444135996149-0.028464984502576774j),(1.5187058218854774+2.5814979270779164j),(0.1301649299000675+0.24315170933058522j),(0.08285817576891648+0.29600109955558895j),(1.3479904619875038-0.7473460094554885j),(0.9209683072945505+0.23221707610198367j),(-1.0333631685780422+0.2969336030961674j),(0.3109654546362888+0.11046824410259706j),(-0.43869023064987395-0.18877014881332452j)
1.25,(-0.42296465099702435-0.20492128214333716j),(0.8453680489750096-0.3272480250936603j),(0.3290116934670167+0.15652209979775644j),(-0.5455154109480681-0.04991910266371093j),(1.8057965332843973+2.549018703896851j),(0.10887025680284304+0.2691146535388578j),(0.057783091473999994+0.31806580790440836j),(1.2980210399473802-0.7843205286098626j),(0.9240833510567483+0.2484436922803929j),(-1.043437731680632+0.2938566140576071j),(0.30148721137252954+0.1492677393179015j),(-0.42296465099702435-0.20492128214333716j)
1.26,(-0.4059025556898196-0.22004639405829174j),(0.8435703518305964-0.30527109287990317j),(0.31686866297347654+0.1956076627130252j),(-0.5409851355262936-0.07117533032553247j),(2.112242475284061+2.4756053727471032j),(0.08567794515804986+0.29329589129851225j),(0.031240029555115935+0.3381475186197449j),(1.2480172157199183-0.8156690381607461j),(0.9276070155662165+0.2641057679974153j),(-1.0532884798044504+0.2911752109394954j),(0.2892739014444365+0.18723418449443016j),(-0.4059025556898196-0.22004639405829174j)
1.27,(-0.38757023244493527-0.2340477843316286j),(0.8421777126277642-0.2827279006544072j),(0.30217530666468084+0.233707332962947j),(-0.5348640001700592-0.09214765095968307j),(2.4318957791044564+2.3528519407245914j),(0.060787896774727776+0.31558703105870667j),(0.003436943455381155+0.35618770648709663j),(1.198557907021437-0.8416078322294959j),(0.931569619601615+0.2791597571944715j),(-1.0629330519879159+0.2888981227138544j),(0.2744430647371327+0.2241747199032251j),(-0.38757023244493527-0.2340477843316286j)
1.28,(-0.3680422132015953-0.2468285896677371j),(0.8411309515276683-0.259662341828359j),(0.28506892708505077+0.27065789558509107j),(-0.5271667365072924-0.11274933442049882j),(2.7553957307505113+2.1729268582721146j),(0.03440566064218367+0.3359035099056399j),(-0.02541927039341355+0.3721501424379955j),(1.1501502665953145-0.8624075721975332j),(0.9360011576640852+0.2935614300704055j),(-1.0723886226881962+0.2870341290244432j),(0.25713408684835215+0.2599144588466348j),(-0.3680422132015953-0.2468285896677371j)
1.29,(-0.3474017303412348-0.25829336061359626j),(0.8403737634073358-0.23611818541205107j),(0.26570486177192354+0.30631628645206016j),(-0.5179123410876817-0.13289276531126776j),(3.0698907013078975+1.9298635333587704j),(0.0067391221582680915+0.3541841263416405j),(-0.05512547288625529+0.38601953734020505j),(1.1032278265962767-0.878377696236394j),(0.940930811147942+0.30726575533698475j),(-1.0816719114008166+0.2855921560533505j),(0.23750504871946715+0.2942989710926413j),(-0.3474017303412348-0.25829336061359626j)
1.3,(-0.325741144943592-0.26834876147405295j),(0.8398532415484835-0.21213932303761504j),(0.24425315901392733+0.3405613976812949j),(-0.5071243552065668-0.15248930623096016j),(3.3593300567156907+1.6211822291467266j),(-0.02200455296351532+0.37039011029970464j),(-0.08548462162584534+0.39779989042720587j),(1.0581514306404427-0.8898522853787524j),(0.9463864349266098+0.32022678988137787j),(-1.0907991927931067+0.28458136990538746j),(0.21572929951113812+0.32719615558926474j),(-0.325741144943592-0.26834876147405295j)
1.31,(-0.30316232675587174-0.27690439880082635j),(0.8395203644964646-0.18776996281534714j),(0.2208951186636309+0.37329527429578735j),(-0.4948311986909932-0.17144920489904344j),(3.6055969990289514+1.2495587428258186j),(-0.05162165891733579+0.3845038067967828j),(-0.11630772857131133+0.40751262425223506j),(1.0152123128203907-0.8971777186960085j),(0.9523940207284963+0.33239758235613787j),(-1.099786306698873+0.2840112681063906j),(0.19199188094181655+0.3584974829083253j),(-0.30316232675587174-0.27690439880082635j)
1.32,(-0.2797769629416839-0.28387378134555147j),(0.8393304444878996-0.16305476972502936j),(0.19581981779858554+0.4044437116103726j),(-0.48106655470846293-0.18968155463060501j),(3.7905864129448785+0.8240404288617196j),(-0.08191433276010696+0.3965270546353902j),(-0.14741543204811314+0.41519458411943977j),(0.9746367146121279-0.9007022683742402j),(0.9589771390224986+0.34373009799518345j),(-1.1086486675439104+0.2838917697433532j),(0.16648592801275897+0.3881186156316752j),(-0.2797769629416839-0.28387378134555147j)
1.33,(-0.2557067702467256-0.2891754108782304j),(0.8392435352789508-0.1380389536751951j),(0.16922073121955009+0.43395628663843583j),(-0.4658698015818722-0.20709431812279971j),(3.8989880981615124+0.36021565970497094j),(-0.1126925571506059+0.4064793421456591j),(-0.178639193099012+0.420895973389652j),(0.9365914967794908-0.9007676426382094j),(0.9661563616212873+0.3541751726505667j),(-1.1174012728742018+0.28423330483759285j),(0.13940916020212496+0.41599944021775814j),(-0.2557067702467256-0.2891754108782304j)
1.34,(-0.2310835831534617-0.2927339988984487j),(0.8392247966798899-0.11276830782668122j),(0.14129254185712695+0.46180587658105116j),(-0.44928648631411505-0.2235944249677484j),(3.9211243913676657-0.12107949856301706j),(-0.1437757770934528+0.41439581866045155j),(-0.2098221377656751+0.4246782873208895j),(0.9011902881500369-0.89770238094995j),(0.9739486678726444+0.3636825046514164j),(-1.1260587107926308+0.28504690349665457j),(0.11096056292392754+0.44210356445765475j),(-0.2310835831534617-0.2927339988984487j)
1.35,(-0.20604928916248272-0.29448179916179823j),(0.8392448130949369-0.08728920091539566j),(0.1122282190364497+0.4879877321695364j),(-0.4313688329216612-0.2390879536325265j),(3.854953563171152-0.5964521822521682j),(-0.17499413928392457+0.42032523387847115j),(-0.24081957509399285+0.42661229814796864j),(0.868499803935305-0.8918169380489189j),(0.9823668381639792+0.37220069356888785j),(-1.1346351658088754+0.2863442854573836j),(0.0813373400951654+0.4664173501791283j),(-0.20604928916248272-0.29448179916179823j)
1.36,(-0.18075558176785747-0.29436003997557475j),(0.8392798630942322-0.061648528638405774j),(0.08221642290412132+0.5125181831239907j),(-0.4121762768411148-0.25348040883692063j),(3.7065124152330395-1.0433874487248045j),(-0.20618937429428308+0.42432786899341357j),(-0.2714992264487768+0.4267761339542591j),(0.8385460541696629-0.8834002553617883j),(0.991418839527399+0.379677335291158j),(-1.1431444227444363+0.2881379505616792j),(0.05073219909933863+0.4889485610947099j),(-0.18075558176785747-0.29436003997557475j)
1.37,(-0.1553635022603548-0.2923204335412271j),(0.8393121374849698-0.03589363018065645j),(0.05143927404556882+0.5354330575932109j),(-0.39177601446475063-0.2666771051289082j),(3.48862788213326-1.443423588301429j),(-0.23721535074507627+0.42647351340162076j),(-0.30174120473833843+0.4252534835341898j),(0.8113202422192627-0.872717603493357j),(1.0011072094095246+0.38605918292570945j),(-1.1515998683719861+0.29044127079779053j),(0.019331008890128048+0.5097247103953985j),(-0.1553635022603548-0.2923204335412271j)
1.3800000000000001,(-0.13004274344815991-0.2883267325497216j),(0.8393299034887569-0.010072176902272202j),(0.020070508987991186+0.5567858974651367j),(-0.3702435544774911-0.27858366705640497j),(3.218383049754381-1.7841885530321453j),(-0.2679383363466457+0.4268395307749007j),(-0.3314377832181326+0.42213195023480826j),(0.7867842212245605-0.8600094815348284j),(1.0114284451585613+0.3912923829011268j),(-1.1600144903984932+0.29326858453091204j),(-0.012689147347286808+0.5287911929200341j),(-0.13004274344815991-0.2883267325497216j)
1.3900000000000001,(-0.10497069202439059-0.2823562969131773j),(0.8393276131299092+0.015767959157095696j),(-0.011725974473423797+0.5766460475385361j),(-0.3476632549043562-0.28910665535436153j),(2.9142031234436474-2.0599312895051436j),(-0.29823700433216516+0.42550904786865484j),(-0.3604929926819239+0.4175015690072329j),(0.7648754318329568-0.8454913721937697j),(1.0223724084649592+0.3953227951802786j),(-1.1684008734405036+0.2966352935374877j),(-0.04516152067275777+0.5462092828896624j),(-0.10497069202439059-0.2823562969131773j)
1.4000000000000001,(-0.08033119182743317-0.27440162633546006j),(0.8393059545376745+0.041578848683303374j),(-0.043797192110332776+0.5950966899981507j),(-0.32412882698712014-0.2981543271619358j),(2.593369787812842-2.270756185472998j),(-0.3280022247690674+0.42256929007793914j),(-0.3888220839108956+0.4114534937978235j),(0.7455112880355511-0.8293541716979953j),(1.0339217558392704+0.3980964056597878j),(-1.1767711915657928+0.30055796356549197j),(-0.07793085669900601+0.5620540711171238j),(-0.08033119182743317-0.27440162633546006j)
1.41,(-0.05631301765434624-0.2644718079909406j),(0.8392718455863893+0.0673126518481921j),(-0.07600178941135166+0.6122328868529487j),(-0.29974378397505336-0.3056375360339885j),(2.270412712278122-2.421106922181037j),(-0.35713667989078635+0.41811007893674823j),(-0.41635088905916995+0.40407885616325157j),(0.7285930105233783-0.8117651365618327j),(1.046051408170458+0.3995598375541887j),(-1.1851371969034707+0.3050544290649449j),(-0.11085419003587722+0.5764124067173355j),(-0.05631301765434624-0.2644718079909406j)
1.42,(-0.03310805873101987-0.25259382328251817j),(0.8392383699314596+0.09292175979105909j),(-0.1082104284914402+0.6281596831208199j),(-0.2746218100558644-0.31147077461784795j),(1.9564262885351729-2.518071493010729j),(-0.3855543404458956+0.41222249948625905j),(-0.4430151122823777+0.39546779121073017j),(0.714008930290966-0.7928692131167157j),(1.0587280744070893+0.39966096678640867j),(-1.1935102038493899+0.3101439028319301j),(-0.14380130385372714+0.5893808980037845j),(-0.03310805873101987-0.25259382328251817j)
1.43,(-0.010909222187989105-0.23881365413556346j),(0.8392246561703066+0.1183589223812878j),(-0.1403058806637705+0.6429903131944829j),(-0.24888702193646314-0.315573359021583j),(1.6591009516638247-2.5699049515807713j),(-0.4131798372863335+0.40499773898853075j),(-0.4687595758313913+0.3857086233160495j),(0.7016373009087716-0.7727906385142086j),(1.0719098463457095+0.3983496440759624j),(-1.2019010683185616+0.31584709134152145j),(-0.17665489141487475+0.6010640164082335j),(-0.010909222187989105-0.23881365413556346j)
1.44,(0.01009192040025298-0.22319712814898426j),(0.8392557016158692+0.14357735405297337j),(-0.17218286247992656+0.656844542751539j),(-0.22267409332613955-0.3178707491035733j),(1.3831774704670485-2.5849466633823344j),(-0.4399477588297588+0.3965260936924698j),(-0.49353744402467553+0.37488720133200876j),(0.6913486675537929-0.7516347226776509j),(1.0855458832734999+0.3955785234932429j),(-1.2103201614347348+0.3221863165860477j),(-0.20931045955274938+0.6115723368897164j),(0.01009192040025298-0.22319712814898426j)
1.45,(0.029707706721290774-0.20583044367474462j),(0.8393621426884154+0.1685308101454049j),(-0.2037476538222756+0.6698471690966535j),(-0.19612821101804695-0.31829599331502256j),(1.1310716152929206-2.570943079136725j),(-0.465801901112122+0.38689613636223535j),(-0.5173094436824195+0.36308637138020416j),(0.6830078459442674-0.7294897388680681j),(1.0995762066497845+0.39130399371519736j),(-1.2187773369763584+0.3291856452884423j),(-0.24167601493897264+0.6210209383430049j),(0.029707706721290774-0.20583044367474462j)
1.46,(0.047757127053450005-0.18682032095740472j),(0.839579974266776+0.1931736269361935j),(-0.2349175356059064+0.6821266942995515j),(-0.16940483067941087-0.31679128005251145j),(0.9035012360109863-2.5347007327962823j),(-0.490694493348691+0.3761940346205444j),(-0.5400430959499529+0.35038557430959444j),(0.6764755659627908-0.7064288659489028j),(1.1139316259552365+0.3854872040878475j),(-1.227281891815477+0.3368710264215024j),(-0.2736715730845296+0.6295279787510775j),(0.047757127053450005-0.18682032095740472j)
1.47,(0.0640686732422401-0.16629373404343697j),(0.839950220772995+0.21746071960167832j),(-0.2656200823193164+0.6938141782126586j),(-0.14266920115163081-0.31330957021867006j),(0.7000285253157499-2.481969986963987j),(-0.5145854179304852+0.36450300834397836j),(-0.5617119712865565+0.33686055454751473j),(0.6716098339301318-0.6825121380892564j),(1.1285338171047619+0.37809517292802086j),(-1.235842518490346+0.345270438033631j),(-0.3052285277191052+0.6372134522013142j),(0.0640686732422401-0.16629373404343697j)
1.48,(0.07848321765707685-0.14439719027655817j),(0.8405185618181252+0.241347533249768j),(-0.29579234132173404+0.7050422723566264j),(-0.1160956283421652-0.30781627786831134j),(0.5194874035470562-2.417470123489071j),(-0.5374414402529711+0.35190291323894407j),(-0.5822949764844167+0.322583167232696j),(0.668267065012789-0.6577883680313737j),(1.1432955742190745+0.3691019603826901j),(-1.2444672489413524+0.35441404446065566j),(-0.3362889149114006+0.6441981286265496j),(0.07848321765707685-0.14439719027655817j)
1.49,(0.09085683727356221-0.12129553950390477j),(0.8413349152996925+0.26478994349309304j),(-0.3253799268983771+0.7159444308308467j),(-0.08986645397913963-0.30029095771510683j),(0.3602986328444606-2.3449888681847173j),(-0.5592354605085441+0.3384699373639557j),(-0.6017756800832808+0.30762127101982034j),(0.6663030334941253-0.6322970173903558j),(1.1581212538954118+0.35848988276832083j),(-1.2531633883046354+0.3643343650851856j),(-0.3668046024051621+0.6506026721413015j),(0.09085683727356221-0.12129553950390477j)
1.5,(0.10106349235400652-0.09717031305823845j),(0.8424529802996147+0.28774410429209646j),(-0.35433605279565406+0.7266542907100169j),(-0.06417073068864801-0.2907289505554896j),(0.22068993799338185-2.267512116334059j),(-0.579945796597986+0.3242763974595785j),(-0.6201416804401202+0.29203869468219823j),(0.6655736843802039-0.6060699939870634j),(1.1729074282460514+0.3462507398545101j),(-1.2619374375546724+0.3750664559552178j),(-0.39673643044636697+0.6565469300747263j),(0.10106349235400652-0.09717031305823845j)
1.51,(0.1089974677665991-0.07221761226400314j),(0.8439297419737761+0.31016624226256523j),(-0.38262052264199586+0.737305211770152j),(-0.039202583285067615-0.27914293067011764j),(0.09884229199568181-2.1873575971773005j),(-0.5995555047900061+0.3093906223814077j),(-0.6373840190087067+0.27589526656453534j),(0.665935844899711-0.579133360381987j),(1.1875437587618642+0.33238702131713915j),(-1.270795003523523+0.3866481055951352j),(-0.42605332611266955+0.6621493821337471j),(0.1089974677665991-0.07221761226400314j)
1.52,(0.11457548845941275-0.04664558640594445j),(0.8458249398789186+0.3320123981553716j),(-0.4101986934122559+0.7480299636486539j),(-0.01515925680832959-0.26556429363059264j),(-0.007017966868025811-2.106298671055452j),(-0.6180517426634704+0.29387691166781676j),(-0.6534966399447271+0.2592468969550479j),(0.6672478694275017-0.5515089405922516j),(1.201914097447372+0.3169130539030588j),(-1.2797406947265144+0.3991200465693896j),(-0.4547314090101437+0.6675267374134278j),(0.11457548845941275-0.04664558640594445j)
1.53,(0.11773842897486246-0.020671559609036834j),(0.848200500473415+0.35323811753725387j),(-0.43704042290941336+0.758960547565194j),(0.007761135637676693-0.25004431943421856j),(-0.09856505466369589-2.0256722876170308j),(-0.6354251770287347+0.27779555818660046j),(-0.6684758960539966+0.24214570450789727j),(0.6693702462670934-0.5232158142438305j),(1.2158978146885193+0.29985604710044145j),(-1.2887780011485996+0.4125261844677095j),(-0.4827531022998027+0.6727936660512244j),(0.11773842897486246-0.020671559609036834j)
1.54,(0.11845255006365059+0.005481116513509462j),(0.8511199337372561+0.37379809444637163j),(-0.46311900832192404+0.7702281392645123j),(0.029362138053538694-0.2326550450612572j),(-0.17734539911578723-1.9464696489416957j),(-0.6516694381061375+0.26120292481286356j),(-0.6823201002616337+0.22464017888897206j),(0.6721661893294079-0.49427168890879947j),(1.2293713450835817+0.28125699269756743j),(-1.2979091558937275+0.4269138461614435j),(-0.5101062594334974+0.6780626520513245j),(0.11845255006365059+0.005481116513509462j)
1.55,(0.11671021278818763+0.031586393496521224j),(0.8546476927939352+0.39364577329854106j),(-0.4884101195982694+0.7819631399309596j),(0.049451707406003485-0.2134897830029632j),(-0.24476610457955172-1.8694104732554349j),(-0.6667806200934993+0.24415156613583341j),(-0.6950291211608934+0.20677537283850758j),(0.6755022328982104-0.46469414205659376j),(1.2422099332391245+0.2611713729316866j),(-1.3071349762968907+0.44233404938039955j),(-0.5367833137560098+0.6834439540212506j),(0.11671021278818763+0.031586393496521224j)
1.56,(0.11253004105598687+0.05741893948833612j),(0.8588484945482104+0.41273291599394063j),(-0.512890728376452+0.7942953226767878j),(0.06784514261022537-0.1926632284898877j),(-0.302093969368742-1.7950027990781923j),(-0.6807568273857092+0.22669038725059856j),(-0.7066040207766676+0.18859311780326593j),(0.6792488421545281-0.43450172406113063j),(1.2542895516792272+0.23966963332911984j),(-1.3164546817465006+0.4588417958880536j),(-0.5627804551994183+0.6890456611278577j),(0.11253004105598687+0.05741893948833612j)
1.57,(0.10595652591689089+0.08275753066886474j),(0.8637865984542896+0.4310091428854069j),(-0.5365380286216356+0.8073540614517369j),(0.08436811473812891-0.17031110825337903j),(-0.3504607988215204-1.7235905784772767j),(-0.6935977650677262+0.20886483271270687j),(-0.7170467324124603+0.17013225817939623j),(0.6832810479843596-0.40371491585407304j),(1.2654889530297018+0.21683738008430445j),(-1.3258656850545498+0.47649639079597983j),(-0.5880968362880659+0.6949738325485396j),(0.10595652591689089+0.08275753066886474j)
1.58,(0.09705908780113565+0.10738831691749605j),(0.8695250397333331+0.4484214580470644j),(-0.559328345668186+0.8212686322489897j),(0.0988597140736181-0.14658933763720278j),(-0.3908721918621694-1.6553912378230264j),(-0.7053043718610164+0.1907170996956227j),(-0.7263597763142161+0.1514289000166051j),(0.687479109205315-0.3723569351315183j),(1.2756918091126273+0.1927752680602101j),(-1.335363353732499+0.4953617908617848j),(-0.6127338068576426+0.701332709663983j),(0.09705908780113565+0.10738831691749605j)
1.59,(0.08593063469923518+0.1311078646152051j),(0.876124812738495+0.4649137711382331j),(-0.5812360230241443+0.8361685740925346j),(0.11117542018628206-0.12167267033831214j),(-0.42421797848297477-1.5905251438808798j),(-0.7158784934090969+0.172286370296792j),(-0.7345460108557719+0.13251667075934595j),(0.6917292009087436-0.340454384552016j),(1.2847888811798562+0.16759855419424188j),(-1.3449407369683624+0.5155069849660573j),(-0.6366941751301398+0.7082249910633797j),(0.08593063469923518+0.1311078646152051j)
