t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B01_A_0000
1.03,(-0.054679908506041305-0.282802956048416j),(0.0013732598777448563+0.0004523368284681769j),(-0.21694590074290376-3.762273026354101j),(-0.1655349801643886+0.3621968607517561j),(-0.0008134400150039119+0.00016674846833723795j),(6.979825875825434-0.5537443997159852j),(-4.1097815668176585+0.022490131615596987j),(5.097473666858149e-05-3.055327451838997e-07j),(0.0036281058715941948+0.00879387919090455j),(-0.02997771811652549+0.030524476692759518j),(-2.029560686457867+4.455306009211786j),(-0.13113374166160838+0.35369134174885813j)
1.04,(-0.2546246730068731-0.09590826227502088j),(0.002027879481255052+0.00022542987650358778j),(-3.1232541171953914-2.8583286165183712j),(0.1833593977270513+0.3276075909014654j),(-0.00044103366161548214+0.00044715554588013653j),(4.468875849231679-5.468457764407539j),(-2.7312714433224996+2.926402504763087j),(3.315728214190722e-05+1.9367700923968666e-05j),(0.00751971681702095+0.008155096450957779j),(0.0012176760620102034+0.037645777087171296j),(1.928321709743298+5.0137956378080935j),(0.17507641405156868+0.3210362680685885j)
1.05,(-0.20735416600600073+0.15858898975177257j),(0.0027471607671431066-0.0003975621995665672j),(-4.727848647119774+0.14595254045370498j),(0.3520819221814901+0.043823248141122734j),(-9.704526134114857e-05+0.0004645840426672776j),(-0.8283324306511872-7.036101480680632j),(0.2299134485986154+3.8681926011315335j),(2.418740311011786e-05+4.272047695941411e-05j),(0.011794322151821905+0.005605735524817123j),(0.024703708702197322+0.02241544440272421j),(5.388023976994241+2.3360155408694947j),(0.34702971680633543+0.07630595494729256j)
1.06,(0.02161731419902413+0.2525889006086372j),(0.0033389232382859796-0.0015098172839502577j),(-3.6524057592877357+3.778342735926391j),(0.23169593470349634-0.24313422482912322j),(0.00012227862426462456+0.0003364364217130258j),(-5.606004008156743-4.304433893097322j),(2.839957196211889+2.4119822596645193j),(2.159098451017886e-05+6.770151473192823e-05j),(0.015348054080475897+0.0006113242090749899j),(0.0296587352549117-0.0016984156365987494j),(5.928773690355641-2.400719758624299j),(0.2777668626593582-0.2065211287305842j)
1.07,(0.21863806999730936+0.11762085682251233j),(0.0035398500210211915-0.003116582541487378j),(0.01208912034258569+5.805137631261868j),(-0.0531473434684219-0.3136845985615446j),(0.00020837819461905758+0.00017060526402524117j),(-6.9417946878365875+0.9872643888823194j),(3.5389138522541317-0.3622017184828128j),(2.292627430712156e-05+9.343240992301641e-05j),(0.016664376833270704-0.006630214008817715j),(0.01767527429269389-0.019864580706271433j),(2.6608975213644808-6.4099985611026025j),(0.02536836761363394-0.33711475845523636j)
1.08,(0.21599623785402491-0.11436888292002968j),(0.0030549322567977235-0.0050867742303261285j),(4.443905041445658+4.571350232622427j),(-0.2675336146452776-0.13872152016807793j),(0.00019918452142081905+3.393883279531841e-05j),(-4.103575522563656+5.5682728316259125j),(2.0725897657509456-2.660855046236918j),(2.595088690192124e-05+0.00011971648586461347j),(0.014332734100858023-0.014936452856244568j),(-0.0012387787342022522-0.023872048741358315j),(-2.902484422279894-6.916206830583889j),(-0.23326745146581712-0.23498181688738456j)
1.09,(0.027372969141495757-0.2397727630400039j),(0.001627330920067133-0.007121957655941866j),(6.95576033515467+0.22307693704552323j),(-0.257861617906345+0.12192805956226434j),(0.00014309426936957083-4.8842734592970604e-05j),(1.0740479953848863+6.701538248326386j),(-0.47148782377444554-3.143061334409778j),(2.8671025202901148e-05+0.00014655487703080678j),(0.007686709543718174-0.02225910749565792j),(-0.015828370767796925-0.014656570983003726j),(-7.481379162463359-3.030128719769915j),(-0.32445517039416844+0.022162577996280405j)
1.1,(-0.1789267172588789-0.15800338973736391j),(-0.0008679151918167638-0.008762542083945531j),(5.607921791849661-5.053500826497663j),(-0.057119285884904225+0.26354063342477907j),(7.81676650741024e-05-8.143437548693336e-05j),(5.4058291564647005+3.8337452134125276j),(-2.453029191495079-1.6958871314411241j),(2.946639536809119e-05+0.00017379412395247674j),(-0.0026952394967198227-0.026207397806618883j),(-0.019529831219312066+0.00036370012812201105j),(-7.960286347912813+3.3777191090135297j),(-0.1926008158618588+0.25600135113294065j)
1.11,(-0.23017244460244785+0.05386406694393638j),(-0.004324846305073534-0.009445283387614856j),(0.6013068734819607-8.112368337984126j),(0.1636731125169403+0.19503376916275142j),(2.5685214406715136e-05-8.007002938384152e-05j),(6.340844189053223-1.1575476446803026j),(-2.7272479479188956+0.61219602597869j),(2.712576407712848e-05+0.00020090160835984193j),(-0.014865157372039072-0.024829722961863247j),(-0.012630834093838063+0.012458675150764686j),(-3.47158474782841+8.540676405302873j),(0.06687106856990731+0.3093912038498498j)
1.12,(-0.09007697821338495+0.21636521062250644j),(-0.008334848629743485-0.008624620401601814j),(-5.522524051105074-6.729506332648253j),(0.23998412024507884-0.008474512945463517j),(-7.465196895646025e-06-6.205724621285714e-05j),(3.4741174141191307-5.198452261573101j),(-1.2929866747097374+2.2880230146555642j),(2.114255407860847e-05+0.00022697620342083998j),(-0.025880128856289143-0.017400093995394633j),(-0.0006031227893030277+0.01614997676251767j),(3.7591291269550187+9.0275164221572j),(0.2753292157523329+0.1503662880489886j)
1.1300000000000001,(0.12077455161657444+0.19886306288872851j),(-0.012178973588929831-0.005939476005778961j),(-9.178064818763405-1.148568441145684j),(0.1335258115903091-0.1827110310043018j),(-2.3162345558995043e-05-4.0141953942472115e-05j),(-1.3015848474817426-5.917991539332094j),(0.8082026960069453+2.3561278738557836j),(1.1849649680660711e-05+0.0002508702382769667j),(-0.032605515070225334-0.004884568775779927j),(0.009659595569532995+0.01116545674180783j),(9.50906334221375+4.00152990579336j),(0.2920731575488345-0.1093811208596538j)
1.1400000000000001,(0.23038471103260771+0.020889471153402478j),(-0.014916752627719859-0.0013943418360963058j),(-7.867014396019199+5.768725985128878j),(-0.05683491203865754-0.20547548870597143j),(-2.680266842061488e-05-2.1341409465273094e-05j),(-5.029733364388049-3.041822225338024j),(2.2110253696536577+0.9069387770068287j),(5.13094504524242e-07+0.00027155415376607075j),(-0.03270157911123944+0.010115612172220574j),(0.01344252287974025+0.0014981151089536989j),(10.06304536652509-3.984095865891972j),(0.10787453984691195-0.2917291718202969j)
1.1500000000000001,(0.15399754419069478-0.17135823928690058j),(-0.015582561206687162+0.004503801779391435j),(-1.8529662372399134+10.041838127041514j),(-0.18472006886136086-0.0788702554364078j),(-2.3895371004234232e-05-8.132993355602777e-06j),(-5.5093188789101255+1.529474043649536j),(2.0807337027458153-1.040178210542175j),(-1.0874257596268661e-05+0.0002884949763968809j),(-0.0254533680410043+0.02398401079724469j),(0.010025182036444697-0.007340454359037383j),(4.612631784392553-10.303107652991415j),(-0.15030363643252478-0.2724565541525415j)
1.16,(-0.04380323798076613-0.22563045964795347j),(-0.013466987459834153+0.010721866601175505j),(5.740964803282807+8.919597890241025j),(-0.16702566466083993+0.08909715188335934j),(-1.852632686190584e-05-3.0073878725215125e-07j),(-2.5887321263670504+4.94826564972876j),(0.5847027457194705-2.2210596794881923j),(-1.984150550723274e-05+0.00030183266366167345j),(-0.012140079281539047+0.03310510948612277j),(0.0022640114321035723-0.01121706115325287j),(-4.010889959004391-10.995612827670643j),(-0.3055173386808106-0.06461185084954955j)
1.17,(-0.20575681235188706-0.10203582262617177j),(-0.008416231457928693+0.015836642438090173j),(10.607552519653032+2.657109466365134j),(-0.03396209325281769+0.17525835572451254j),(-1.3096359929421345e-05+3.498114543892231e-06j),(1.81701455431931+5.170480086365953j),(-1.2686740264671712-1.911934610607748j),(-2.39504318369104e-05+0.00031232355706702314j),(0.004213946430016436+0.03493931222868775j),(-0.005406221448151061-0.009073880537344144j),(-10.849831029141498-5.270901962729612j),(-0.25030961900033966+0.19019057022863298j)
1.18,(-0.20660891840854684+0.10064575065302547j),(-0.0010534880504661428+0.01835337466850195j),(9.778504145380484-5.437332832294329j),(0.10764254418586787+0.12956259649509821j),(-8.67534479319145e-06+4.753998503808575e-06j),(4.951014000693198+2.1649892808450257j),(-2.286108716884862-0.34502311924241086j),(-2.0989503633127944e-05+0.00032113256763174723j),(0.019643073010024065+0.028817958762157862j),(-0.00933096056724772-0.0028853776188409734j),(-11.747933816029875+3.82716539452079j),(-0.019993738193848726+0.3168264207857072j)
1.19,(-0.047698444365706694+0.2252500901827488j),(0.007190008876863857+0.017148637508329612j),(3.47347288058367-10.819018973854021j),(0.15900807237572406-0.00030464320021292984j),(-5.509386882771822e-06+4.655025571758109e-06j),(4.91029992723421-2.123844608522699j),(-1.8248383417960177+1.468261169322378j),(-9.178895774700563e-06+0.0003293201809021651j),(0.030357060203818852+0.01617617885736459j),(-0.008216043718281435+0.0037787111196690227j),(-5.920075695701172+11.097674513695186j),(0.2294948386137994+0.22523075039493237j)
1.2,(0.14794610716098158+0.17726905149073924j),(0.014308169480038293+0.011929360107773722j),(-4.9001193339996405-10.355015530443815j),(0.09616409667766503-0.11529998751377121j),(-3.4443530676805365e-06+3.981364619847047e-06j),(1.785102546437646-5.005240614649809j),(-0.17187759649452228+2.3738904888058903j),(1.284145628783699e-05+0.00033743981647703776j),(0.033808762659941+0.00015934958076392267j),(-0.0033479871493323804+0.007682835687264801j),(3.4519962277112484+12.247618185873572j),(0.3255949029560772-0.026592436127176083j)
1.21,(0.23165579007037318-0.005632970644172092j),(0.018223988962509007+0.0035368903607454166j),(-10.665506167782905-4.210474845878036j),(-0.024299254026377545-0.13967527311208888j),(-2.197959584116027e-06+3.166416623067229e-06j),(-2.4299957559974716-4.700259287477076j),(1.6414902567857732+1.7819013706284939j),(4.609638307534672e-05+0.00034507153154603447j),(0.029385289889739014-0.01527509847990416j),(0.0024146827129147342+0.0073845614026480325j),(11.02472767458631+6.489596054397737j),(0.19667639676265503-0.2685345971522153j)
1.22,(0.1410684339791528-0.18506735153953846j),(0.017458434321402785-0.0060659285490495445j),(-10.594377911132685+4.196279062483834j),(-0.11494806301534984-0.06862179655280007j),(-1.497516129083392e-06+2.40713923104017e-06j),(-5.081751524356452-1.4259169798322173j),(2.468571496524137+0.029239342475611524j),(9.132338361400152e-05+0.00035047022462527473j),(0.018515726187698405-0.026468269215571678j),(0.006218005950165634+0.0036347078108682207j),(12.43973177550054-2.9337885055895225j),(-0.07574034514067551-0.33156719732913253j)
1.23,(-0.055446828422197586-0.22714003042871286j),(0.011757942695229022-0.014216100238642854j),(-4.790231607964093+10.171895972441764j),(-0.12023951315800172+0.0390756228598181j),(-1.1294062936039247e-06+1.7648481836612805e-06j),(-4.5011382606128185+2.7453221258734737j),(1.7496840300739176-1.810768509634784j),(0.00014881077567393454+0.0003503281479439699j),(0.00418661845753945-0.03103711021575112j),(0.006546038975993706-0.0013008192733050547j),(6.907987629529438-10.644173142267524j),(-0.3074626655382475-0.16400084748720126j)
1.24,(-0.21212291098808847-0.10122970225136775j),(0.0024210954262563894-0.018336201182326404j),(3.4014388104801627+10.475559602536942j),(-0.04797741423354161+0.1094116149137666j),(-9.425183971578278e-07+1.2370312082913724e-06j),(-1.047207705687506+5.168333098411016j),(-0.12250130061327212-2.5681500334501206j),(0.0002180574589877049+0.0003397468211341774j),(-0.009957756493309197-0.028435236127350848j),(0.0037370222611498704-0.004921538137935909j),(-2.3401187859717747-12.299129911698252j),(-0.3343074201292405+0.1279720199440256j)
1.25,(-0.2142835330590125+0.09982462690055435j),(-0.007890096715140078-0.016858306201091362j),(9.388843464768517+5.1547613321668555j),(0.0460570169866599+0.1032493476087976j),(-8.358804940836497e-07+8.016829612428363e-07j),(3.094160663102059+4.280208283085605j),(-2.003135964658847-1.7025617109397682j),(0.000296974387372834+0.00031234797424729035j),(-0.020638480148924797-0.019952028065208616j),(-0.00043765963537203186-0.005698836876225603j),(-10.000354678579201-7.11933158561045j),(-0.12651106890832162+0.34624299101771805j)
1.26,(-0.06090425518888437+0.22995071786660978j),(-0.015901872698027193-0.009948795060336873j),(10.009092535933515-2.5921186193149106j),(0.10149560151147415+0.0348168365831161j),(-7.448456629874069e-07+4.4050121000385326e-07j),(5.261770226911208+0.6128136303120604j),(-2.6738695029272024+0.3163313718240639j),(0.00038087652203134804+0.00026091928356455825j),(-0.025772925925236067-0.008200548995507158j),(-0.0038042632626066695-0.0036606675011413223j),(-11.833914154039093+1.7409498097126623j),(0.18367994848007335+0.33323123900105406j)
1.27,(0.13744409360172255+0.1961338834036843j),(-0.018858285410091113+0.00032246285804460057j),(5.2700119071608915-8.38769159831561j),(0.09095219533639669-0.04696273819287026j),(-6.32760454380032e-07+1.4751731999856397e-07j),(4.01399093980766-3.4937404650818307j),(-1.6206439465507874+2.2371790751119676j),(0.00046133380917611616+0.00017858811245165251j),(-0.024890988296236163+0.00371328829143154j),(-0.004866652299878852-0.00016995376688837662j),(-7.093129490509767+9.155589027154441j),(0.3846387143625898+0.0835392912485335j)
1.28,(0.24014193034775+0.02304572219660196j),(-0.015618806346312679+0.01055103489490987j),(-1.838787671245876-9.237053572584083j),(0.029265452158844-0.09398910924762201j),(-4.866711861163327e-07-7.227445770143777e-08j),(0.10349527323727373-5.352946749659876j),(0.5724149199853352+2.7808130687851285j),(0.0005253196914692363+6.0832080623889024e-05j),(-0.01905620684672557+0.013062804699509893j),(-0.0034271987820876436+0.0028950700764860493j),(1.1953380332872072+11.078509288104932j),(0.3276608589886743-0.24306582725285475j)
1.29,(0.17595266591703207-0.16774105997263072j),(-0.007243402487088617+0.017186026849403693j),(-7.254049453683668-5.130964563037763j),(-0.04385290520571104-0.08514978830964506j),(-3.141865498676005e-07-2.102216683178484e-07j),(-3.9384331881051087-3.6850146109074706j),(2.5143608933494543+1.4882924252219805j),(0.0005552467960739163-9.15523942250166e-05j),(-0.010375096618869966+0.018152710644599553j),(-0.0005180906875264766+0.004099466912340869j),(8.17726197934973+6.82420280195761j),(0.03453433217294548-0.4222179606737325j)
1.3,(-0.010030457424573813-0.24480322294254325j),(0.0032711915079329306+0.017911688031212406j),(-8.2297364823182+1.1968816832588156j),(-0.08948815606936664-0.030753738537232143j),(-1.3750548397699754e-07-2.632247725592579e-07j),(-5.41694617724723+0.47765955226659584j),(2.873421200075115-0.8940020802491235j),(0.0005307780920203536-0.0002689427907960509j),(-0.001293048385012368+0.01859628643388949j),(0.002239382938035959+0.0030853813731447294j),(10.084628825006286-0.7464558697648742j),(-0.30608167391031027-0.3169077003353172j)
1.31,(-0.1909638497438213-0.15650025748893928j),(0.012092129167722065+0.012627953957875655j),(-4.763275611765202+6.0771328697737586j),(-0.08677122892842712+0.0391236711025315j),(1.5522817236021943e-08-2.401410087670771e-07j),(-3.2798415840457134+4.394316640167823j),(1.2950109076607896-2.815773294275777j),(0.00043308042137863215-0.00044966445343014343j),(0.006088921969745823+0.015191220935977119j),(0.0034814287053061216+0.0006229509668466545j),(6.329009742004616-7.131221115836546j),(-0.4583830175113029+0.020831364719640203j)
1.32,(-0.2458568685254586+0.037218341868458876j),(0.016076939136157667+0.0035520293780559476j),(0.6994855529381034+7.076371935902216j),(-0.0377099931255707+0.08996503477265312j),(1.2167353679479136e-07-1.6243912954651493e-07j),(1.1054728164483056+5.413120244231353j),(-1.26612648189646-2.9266542795816717j),(0.0002519073766397936-0.0005987580322925923j),(0.010483723166864758+0.009497768363721994j),(0.0027342690986684763-0.0018799110919073582j),(-0.42070331496216706-8.916256601008596j),(-0.30038169511514584+0.3723818360281025j)
1.33,(-0.13905505000082133+0.20791458111959635j),(0.014068255057690052-0.005671716948968001j),(4.937915443028202+4.219020591826547j),(0.035313379377063914+0.09532090480860213j),(1.6976144593091862e-07-5.884336886163586e-08j),(4.804942812847123+2.790913579912832j),(-3.105304743617514-1.0375734762683568j),(-5.3101260695400765e-06-0.0006709003359395208j),(0.011580725410151971+0.0032947811741570418j),(0.0005598936726157075-0.0031218100144709644j),(-6.078741336972339-5.644414885647924j),(0.08254607978980398+0.4924251217911254j)
1.34,(0.0589960521317643+0.2440932675333338j),(0.007356508744735136-0.011499402807427112j),(5.872648294799918-0.3541333732328611j),(0.09618716705040702+0.04742584565052707j),(1.6257641267715331e-07+4.298772662996176e-08j),(5.295151238207772-1.737723428991413j),(-2.9118663204072055+1.658529533323175j),(-0.0003048186047994297-0.000619508742677109j),(0.009915953857067582-0.0019111193764554525j),(-0.0018044227965604473-0.0025327021106583796j),(-7.647675361418093+0.22529894610706558j),(0.44129066622483265+0.2777205895885432j)
1.35,(0.21944519236434318+0.1226881385393642j),(-0.0009234976385078886-0.01197631741324682j),(3.5683487835121968-3.899264664098664j),(0.10852159792192752-0.03465344409462213j),(1.1285806932440923e-07+1.2353299467133172e-07j),(2.2215145496675435-5.106126143862843j),(-0.7218275723476175+3.3386954365817454j),(-0.000582534348789992-0.0004126314111883066j),(0.006549353779966801-0.0051966505328675285j),(-0.00309784942607915-0.0004990153082722113j),(-4.828448710491472+5.072407775370716j),(0.5236047524336216-0.1501519593801959j)
1.36,(0.23856080277405584-0.0772900405145285j),(-0.00719629057511918-0.007509231802385098j),(-0.14379545088474-4.707902498014809j),(0.05639702967364906-0.10724904687294223j),(3.6069426624572066e-08+1.7397890023003753e-07j),(-2.323707919535216-5.027773361968576j),(2.0328173703687225+2.8058147538327534j),(-0.0007499288848068415-5.328772302170127e-05j),(0.0026822810564255933-0.006309519765748101j),(-0.002650470221919922+0.0018815155193135044j),(0.1446137136019443+6.3595170367964595j),(0.24892031333813933-0.5117907517259496j)
1.37,(0.10444642331207292-0.22600046514901648j),(-0.009003370540075595-0.0005768753666328956j),(-2.999529687233631-2.8883945850116763j),(-0.038409413276219606-0.12258087608513804j),(-5.6380434903561814e-08+1.93652544889952e-07j),(-5.2453354720350545-1.5913980421011418j),(3.476405662201242+0.363394370584291j),(-0.000713814937057812+0.0004020695617470612j),(-0.0006673296378439718-0.005564243070566639j),(-0.00067848046286808+0.0033648685351085946j),(4.150165142169324+3.957450760062929j),(-0.22266039181332345-0.5512402939367136j)
1.3800000000000001,(-0.0947113338468678-0.22686752902552287j),(-0.0060050232287335486+0.005457343712752071j),(-3.653409026911858+0.03300562530539963j),(-0.12055702763726428-0.06128877296398706j),(-1.606076987270736e-07+1.842990376388548e-07j),(-4.603435653820418+2.8145456145288437j),(2.6000642161571723-2.35172513280595j),(-0.0004100285587400672+0.0008366768425603136j),(-0.0028599053083005906-0.0036224379767917547j),(0.0018524506175330874+0.0031614511283505698j),(5.129968043984654-0.14150128733645173j),(-0.5825403152571629-0.2144391370080185j)
1.3900000000000001,(-0.22744732410059443-0.0806443391285939j),(-6.929555172927298e-07+0.007860901760569966j),(-2.249228372505214+2.2517218573595645j),(-0.13326283952598209+0.04623582315376113j),(-2.797949002195828e-07+1.439984525380355e-07j),(-0.9388944704647166+5.19858875718002j),(-0.013030984872839824-3.4958904321391944j),(0.00015617406301890894+0.0010886013475248655j),(-0.0036842095945829193-0.0012470838744260515j),(0.0037043949910699255+0.0012962783615989605j),(3.1139486090459867-3.3320785055952333j),(-0.574778395758336+0.29851009471026874j)
1.4000000000000001,(-0.20636606226103588+0.11336512921134387j),(0.005986249012975117+0.005681544481835654j),(-0.019876367437684672+2.7539711375417215j),(-0.06025268261492071+0.13246236099686218j),(-4.2131067202836116e-07+6.312673073085677e-08j),(3.173397741997358+4.050162382362098j),(-2.587459473439398-2.3066328000617737j),(0.0008778759666979822+0.000993702457719083j),(-0.003290699309503891+0.0008993461760558711j),(0.003948191679303926-0.0014202304424504942j),(-0.16896976133226427-4.023064047116578j),(-0.17524387320048657+0.6519047207427708j)
1.41,(-0.04869517849249569+0.22320400991820494j),(0.009093460702984184+4.7697252065810256e-05j),(1.6494763831813006+1.7000977565185253j),(0.05596513726084901+0.13741355272575181j),(-5.937687575556117e-07-7.713800526370473e-08j),(4.977635716209541+0.31466848142109627j),(-3.3979570451183156+0.3771413789629554j),(0.0015418693547320208+0.0004516511776109439j),(-0.0020588120112232343+0.002375930986662274j),(0.002381224507546155-0.0037750224973347878j),(-2.623770866607054-2.3674946152818253j),(0.3755979312226282+0.5938253020595002j)
1.42,(0.13377317187719384+0.17551682934324433j),(0.007835096622712385-0.006442113529938258j),(2.025893197646509+0.04881794567413866j),(0.13940899711954946+0.05387024313960431j),(-8.06399839312585e-07-3.042731915925086e-07j),(3.4245283435118283-3.3836652888057825j),(-1.9558364455414423+2.7268883831661745j),(0.001868409246293735-0.0005034652372479902j),(-0.0004510671335388398+0.0029978982976117483j),(-0.0003938788702753519-0.004699428281453231j),(-3.0795098517629564+0.18789500989910268j),(0.7179956319469993+0.13276203617541765j)
1.43,(0.21246403785415371+0.008477337248173955j),(0.0026453186705321053-0.01090395594409508j),(1.2623946792892424-1.1764892012087806j),(0.1341848549598691-0.06414225235487492j),(-1.0720564632469635e-06-6.531585371804166e-07j),(-0.2326079563099137-4.6243295163108185j),(0.6998410926512929+3.2044505084082946j),(0.0015985859827728555-0.0016585903671200465j),(0.001107771838637838+0.0028045952553344645j),(-0.0032453929640912276-0.0037315857641329188j),(-1.7587037295731227+2.0236546477256345j),(0.6081058358269216-0.4513776935650267j)
1.44,(0.13459967066919412-0.15442824076425504j),(-0.004417885685136768-0.011376466755376456j),(0.07247522958031766-1.4619778830082577j),(0.04509697513934924-0.13912498445920518j),(-1.4147778120835807e-06-1.1646439780339081e-06j),(-3.4522570449923258-2.7925067892152624j),(2.772617553761388+1.5863551856944111j),(0.0006113868692809172-0.002635733156941022j),(0.0023068350443023727+0.0019889316748808407j),(-0.00500396835612619-0.0011997742677889974j),(0.17920958722607713+2.314007058836515j),(0.08872205851321427-0.7787261220567824j)
1.45,(-0.03745803799506413-0.1942982778496789j),(-0.010602192048895516-0.007551408082483445j),(-0.8137423257965093-0.932872275984584j),(-0.06713740510913965-0.12533899344936514j),(-1.8820101642283238e-06-1.8833596940602663e-06j),(-4.1955145418759905+0.6710314083818303j),(2.9491481507963915-0.960831981529839j),(-0.000969838249838707-0.0029837941169673053j),(0.0029781713806471383+0.0008166574918382428j),(-0.004947295487917024+0.001934952495118894j),(1.5276714132693179+1.2955453746327341j),(-0.5230527651781363-0.617351139494216j)
1.46,(-0.1720530887330751-0.08545655209746794j),(-0.013580909883424124-0.0007860545028511787j),(-1.0402609261604052-0.09582537454893195j),(-0.13133080576823725-0.03828528543596981j),(-2.5615942513055355e-06-2.8516197130987003e-06j),(-2.2093617493437154+3.405618111858661j),(1.2331766821679047-2.739931025167621j),(-0.0027340051559303375-0.0023394513141633895j),(0.0030883555213583633-0.000443365411898322j),(-0.0030754988594824725+0.0044883186023591546j),(1.7189116628855627-0.14345141865354855j),(-0.831866962582108-0.04489783210705204j)
1.47,(-0.16756211441264668+0.08470926698922461j),(-0.012304775169746578+0.0065287469223768956j),(-0.693560088567991+0.5424858671396611j),(-0.11464722355257108+0.06225732833998733j),(-3.601929764250786e-06-4.094829609916001e-06j),(0.9920575114431418+3.7460825633065236j),(-1.1529534967438981-2.6668556240903816j),(-0.004045956615600645-0.0006125637379976474j),(0.0027071187475760654-0.0015679514984862652j),(-7.823475262553996e-05+0.0055280327668242365j),(0.9615342381367752-1.1295138755524565j),(-0.6211482734557259+0.5878366233780551j)
1.48,(-0.030594919572479642+0.1822642251244794j),(-0.007288288218092878+0.011925600159810996j),(-0.11678093867973183+0.7327433175936668j),(-0.037943002520880016+0.11775372502333543j),(-5.2318128418763555e-06-5.591155185079559e-06j),(3.280100051146544+1.7081729786865514j),(-2.6509842198754363-0.9194499495062534j),(-0.004230122449622802+0.001875361028604349j),(0.0019671456774906205-0.0024044994842692007j),(0.002968381249121909+0.004715990727873782j),(-0.09178615237494905-1.2717719140826778j),(-0.002791887102875521+0.875152893352576j)
1.49,(0.12822560149256623+0.13069938679310572j),(-0.00029411350562252424+0.013743514981957156j),(0.3448898174866507+0.5220998260637507j),(0.04832847238949187+0.10690941235299194j),(-7.771451422400126e-06-7.218616839028669e-06j),(3.317380913920915-1.206925402797602j),(-2.3854141489473863+1.281203207366794j),(-0.0028390893013943426+0.004376631610744247j),(0.0010257163546380135-0.0028757162720179294j),(0.0050300125182504716+0.002392466921857923j),(-0.8192931697949526-0.7288392835791013j),(0.6432610170622944+0.6188077599819028j)
1.5,(0.180250349399931-0.027740770333813072j),(0.006387490740099854+0.011626692701943874j),(0.5118276149986665+0.13214817118991334j),(0.10164021460836581+0.047864119026192156j),(-1.16188431083999e-05-8.674393331538074e-06j),(1.2994139893932113-3.1114348752948544j),(-0.6545829946394853+2.528733997408543j),(7.599912180775506e-05+0.005877990906299255j),(3.515400798040076e-05-0.002970711466954063j),(0.005486471018177579-0.0006051328262301199j),(-0.9436461008986569+0.03649554461007631j),(0.9064322712789172-0.03664106807380252j)
1.51,(0.08162613750480453-0.16326937025067448j),(0.01076032769994551+0.006514851540724151j),(0.39841112454257016-0.2044024976529797j),(0.10711357280251943-0.02567870582298093j),(-1.7188500931880603e-05-9.370782537065817e-06j),(-1.337748283759531-2.933404575528942j),(1.358401827917947+2.1225654019645894j),(0.003806095387166401+0.005433336767125425j),(-0.0008769515981794819-0.002728765499052578j),(0.004309322419261283-0.003289103557232426j),(-0.5690898847649726+0.583604710940757j),(0.6093361370275933-0.687473668465386j)
1.52,(-0.08814211396813505-0.1612842400837297j),(0.011743026196733425+0.00019861672933941914j),(0.14041919137722642-0.35385282429026726j),(0.07084316356232756-0.08708713806210894j),(-2.4772365720934235e-05-8.325262100790642e-06j),(-2.927984231924623-0.9773077392013906j),(2.392705341593656+0.43723363667396153j),(0.007046124248893942+0.0025936619240178576j),(-0.001617145296585793-0.002221207336721328j),(0.0020015818280659232-0.004880715580162847j),(-0.014183059879942452+0.7057064666596319j),(-0.07315878453080758-0.9238908170494636j)
1.53,(-0.1860196934247001-0.01777016371021707j),(0.009412186462042671-0.005349268312295529j),(-0.10644692941563205-0.3071729998906063j),(0.004339189069011519-0.11992547766036599j),(-3.4293449060462194e-05-4.086971628615089e-06j),(-2.6031624453571673+1.4089138017865785j),(1.8868507145033993-1.4001265473971054j),(0.008239846018655173-0.002210927648833121j),(-0.0021281341879749844-0.0015348721428464483j),(-0.0006454597131422073-0.0050441486068310915j),(0.407296339504244+0.4589936583575361j),(-0.719450934362046-0.5915554193785798j)
1.54,(-0.12119073618805681+0.15027359839883037j),(0.004841447183728341-0.00861567298911537j),(-0.24026509262922183-0.1418687665444392j),(-0.07831501505688532-0.10885528423413227j),(-4.493573832479578e-05+5.225800649019487e-06j),(-0.7276377845078049+2.7486540100030843j),(0.25993754789179135-2.257360480623558j),(0.00617563619729403-0.007526249813558016j),(-0.0023859654098376173-0.0007590925438599326j),(-0.002859291739151754-0.003926159645891328j),(0.5329890219721634+0.05676599313931759j),(-0.926291283898292+0.10718505764425446j)
1.55,(0.0635930965810233+0.1940223437101148j),(-0.0003562901840341473-0.008958628648241658j),(-0.2376152765680132+0.03908175521106168j),(-0.14936008036293216-0.040122914479245875j),(-5.4671311230671754e-05+2.1668687183443083e-05j),(1.442115752522156+2.325580632083612j),(-1.4211259792799624-1.6803793612459266j),(0.000672074258995767-0.011137635762680159j),(-0.002394264983605382+2.3652920355335112e-05j),(-0.004131527616415777-0.0020200206330007507j),(0.38150640509737616-0.27562941291063364j),(-0.5643740597899393+0.7390648096574041j)
1.56,(0.21478133486616516+0.057009167071913565j),(-0.0045930344655761325-0.006690172127948879j),(-0.13762427525701193+0.1573244434109655j),(-0.16343233050877126+0.0788067855269596j),(-5.9778805037472275e-05+4.6853724711152336e-05j),(2.5842656102988246+0.5335868385401896j),(-2.1322360272329566-0.1131093254559764j),(-0.006933956802636173-0.01080407409506012j),(-0.0021777531155229876+0.0007433813409829365j),(-0.004322095033627369+6.376162850089853e-05j),(0.09098754900079975-0.4055500288494715j),(0.13957675572594042+0.9131852393190658j)
