t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B01_A_0000
0.21,(-0.20836678270332795+0.04457284370648381j),(0.0005630109871038732+0.001028291119419433j),(9.577848618021747e-07-2.592943956466368e-07j),(0.06021736171046525+0.7015775535669768j),(0.00037308705377978155-9.713985332887099e-05j),(-0.7984913705016803-0.3244068798353147j),(1.1018911511760752+0.013928232602301471j),(2.023153555235934e-05+4.756887612476734e-05j),(0.0009643117800989515+0.000434544309435802j),(0.0014523816780892202+0.00023863020711620275j),(-1.4071284351098658e-09+6.4034776597992385e-09j),(0.05348508206335614+0.4183818353514147j)
0.22,(-0.14206279995238053+0.1993045987949521j),(0.0007535158173546945+0.0005456748508309444j),(6.150355936235998e-07-3.540968052428697e-07j),(0.6089794337601624+0.4067519205532148j),(0.0003068746104791213-0.00038795772840318323j),(-0.7884449473209897+0.3886179488810012j),(0.7479418113748771-0.8376317354258339j),(2.9748009137321366e-05+5.796164430738633e-05j),(0.0008241528103366589-0.00018751198333493742j),(0.0014033591190156366-0.0009473285137755262j),(-1.6545308103816876e-09+3.76691480367434e-09j),(0.3370131483421083+0.22690425499782585j)
0.23,(0.04800059449817652+0.2781011890739875j),(0.0006259557933388994+0.00019948649631392043j),(3.9565356470612874e-07-3.55398103488793e-07j),(0.721399352669127-0.235712962875442j),(1.112994938493202e-05-0.0006318621870336138j),(-0.22700301861598238+0.8614140639079151j),(-0.15407672930693994-1.1277408882861413j),(5.076358267710824e-05+7.160337831918511e-05j),(0.00036824335539306977-0.0005650053602769041j),(0.0004424398923044739-0.001887260594231548j),(-1.878001536118246e-09+2.1254409956309465e-09j),(0.378913872196521-0.10066672722707426j)
0.24,(0.2723619019131419+0.1750389337753689j),(0.00041040897664710853+0.0001714553097193856j),(2.675239667317478e-07-3.1119898667184415e-07j),(0.26265653395262856-0.7387743019506341j),(-0.0004791504242588383-0.0006478780452155465j),(0.5145095539081956+0.7365401175403259j),(-0.9735943004679761-0.6100026243838135j),(9.068149708130381e-05+8.184097737154145e-05j),(-0.0002011049389621801-0.0005694157696666407j),(-0.0010672632818331967-0.001942600917101349j),(-1.9521194173125125e-09+8.060768257616827e-10j),(0.16756904854697563-0.34005033773669535j)
0.25,(0.3533178555394733-0.10433221492714792j),(0.00042377701820794716+0.00041481988181930505j),(1.9844383824791778e-07-2.486381238148927e-07j),(-0.443276522631958-0.6754111325462492j),(-0.0009888272837323261-0.00028265748232933344j),(0.9003853171072927+0.07285493625983519j),(-1.0952951110817868+0.3708915825838707j),(0.0001546059985379317+7.433151612977777e-05j),(-0.0006481888158297749-0.00020668378232918953j),(-0.0023894112484831105-0.0008824689484437957j),(-1.6399593224476651e-09-3.4677451011199867e-10j),(-0.14181552598380232-0.33888827385148734j)
0.26,(0.16260756285482567-0.38246037142866035j),(0.0008766101408683265+0.0006292388658510462j),(1.6214983944972026e-07-1.8193832992500432e-07j),(-0.8290631349991122-0.04847865036791088j),(-0.0012253063689644799+0.00048569573086396355j),(0.623619881789493-0.6587030802868113j),(-0.39536853357815627+1.0927833805768177j),(0.00023895148169267047+2.6522169925113356e-05j),(-0.000782043323436617+0.000389539221491035j),(-0.002799237569651069+0.0009931671081353458j),(-8.476137264929649e-10-1.144079064220227e-09j),(-0.3387763233897229-0.11207352428745491j)
0.27,(-0.22233133194711086-0.40845454108941226j),(0.0016926237885903114+0.00038569622597144115j),(1.399967856055267e-07-1.1847141420466877e-07j),(-0.5412289138862235+0.6580365916320317j),(-0.0008711592185125608+0.001462383817720105j),(-0.1347649319802826-0.9013677267289317j),(0.6207436073337503+0.9887975469037931j),(0.0003230279348755469-8.814274102289528e-05j),(-0.0005160227200717482+0.001004573141877167j),(-0.0018642331273515562+0.0030286423375891795j),(2.420372621076831e-10-1.2921158196406941e-09j),(-0.29870491739099014+0.17750824156787598j)
0.28,(-0.5103353140124949-0.0803769826865769j),(0.0024503230588838352-0.0006323097549985668j),(1.2045444430083137e-07-6.251096782525577e-08j),(0.22596644459431764+0.8429400608492511j),(0.00026703660687329913+0.0022056562534305386j),(-0.8038613532595643-0.44307100132950894j),(1.1688421991393352+0.10849568657000075j),(0.00036184296054046327-0.00028864477025102806j),(0.00010829636118660983+0.0014115482083012529j),(0.0005288568736436872+0.004384795902097274j),(1.1798022153406045e-09-6.389903871672197e-10j),(-0.06017802460549519+0.3338565285408634j)
0.29,(-0.4082109712997406+0.3982612318317333j),(0.002512571752686846-0.002379557075859238j),(9.77992896399394e-08-1.7085577692860675e-08j),(0.8388064835240008+0.30572407592369194j),(0.002069520881866447+0.002082997219599734j),(-0.8451656236783589+0.3831825714213545j),(0.7944916300035878-0.8755943866018867j),(0.0002861303634245239-0.0005668878793989533j),(0.0009369727782134829+0.0014394178170978281j),(0.004094875954342942+0.003970551166394946j),(1.3950221097893495e-09+6.31312348049745e-10j),(0.20842463087098456+0.25856340550376244j)
0.3,(0.08907147260231355+0.6197599230164202j),(0.001320853944909835-0.0043302940710763585j),(7.073833670180618e-08+1.547447208026714e-08j),(0.7434515104093431-0.5292886940395147j),(0.0039014677085417292+0.0004716187620883601j),(-0.19364361962161186+0.9226179917989982j),(-0.23368711736825645-1.1705534862046278j),(1.7053567804270508e-05-0.0008644984313030373j),(0.001751047531164626+0.001020255630243063j),(0.0075935805713536085+0.0005067832601989074j),(4.4067000920795516e-10+1.9077209809306646e-09j),(0.3258525406410967+0.011459198151340467j)
