t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B00_z_0011_00,B00_z_0012_00,B00_z_0013_00,B00_z_0014_00
0.26,(1.3431611783886366+1.3478015968027532j),(0.4617851785963464+0.9180006190917411j),(0.3650663912780073+1.15622787111466j),(0.9513329649596594+0.1973851231294466j),(0.6950439989480116+0.9671170874650761j),(0.1366901270359533+0.7982370719786539j),(0.54873270507094+1.0815995163144714j),(1.1781229140907412+0.09216903324149138j),(0.358022934483559+1.07628989335434j),(0.21881529423959264+0.7318862030109441j),(1.4592845863686368+0.508124790177025j),(0.5428477309782621+0.9478853221432081j),(-0.7654536038552859+0.282213243594944j),(0.39658924163285175+0.6965501293918162j),(0.25843690488735055+1.0833581585218752j)
0.27,(1.3234687887941596+1.3239799842503701j),(0.45416363678816557+0.9024126039378672j),(0.36108788098999883+1.1342059794825232j),(0.9476527368921542+0.1966317524283095j),(0.6854396448225841+0.9511925499104057j),(0.13140846981011872+0.7834714309702946j),(0.5413100109196503+1.0620665407285856j),(1.1763440016623763+0.09208142831672449j),(0.3531530048118908+1.056344614514277j),(0.2120903884536879+0.7188974684490185j),(1.4491583886745398+0.5050631939571852j),(0.5346225900216723+0.9318867908959773j),(-0.7624790806275374+0.2745454834193184j),(0.38845465395858914+0.6856215367045922j),(0.2551836953546189+1.063003854920853j)
0.28,(1.305393376423281+1.301058544554329j),(0.44676368397644+0.8876644175160177j),(0.3571443502362952+1.1134181795159825j),(0.9441011569941029+0.19592692783422103j),(0.6762903018150043+0.9360950712483816j),(0.1260979957924485+0.7694241449671324j),(0.5341885493930486+1.0436032083071385j),(1.174635831737364+0.09187635484136514j),(0.3483453999335171+1.0375005157739792j),(0.20543282652722109+0.7065454827009096j),(1.439589712361206+0.5017318852226755j),(0.5266967346927488+0.9167483239997267j),(-0.7597611639279608+0.2669514010421016j),(0.3805075982718824+0.6752636488567545j),(0.2518595493573721+1.0437655321396075j)
0.29,(1.2888090851236944+1.2790079335507833j),(0.43957068052932635+0.8737147509179273j),(0.35323591096449447+1.0937919328040349j),(0.9406744993469106+0.19527377062700343j),(0.6675649755247873+0.9217865268437255j),(0.12076277636140946+0.756059108545501j),(0.5273473158917908+1.026151290920061j),(1.1729993514478287+0.09155782894060385j),(0.3435976274558626+1.0196956670928772j),(0.1988395319060611+0.6948001391817775j),(1.430563094446824+0.49815608703234543j),(0.5190499480823302+0.9024279086094485j),(-0.757284223626479+0.2594362593469089j),(0.3727364108961629+0.6654529041582438j),(0.24847263370595274+1.0255798073218867j)
0.3,(1.2735994301099036+1.2577963685963596j),(0.43257048407860355+0.8605235267941094j),(0.3493619041267701+1.075258539467466j),(0.9373687150705038+0.19467491623110483j),(0.6592342668590473+0.9082297079603244j),(0.11540621986371387+0.7433410254881966j),(0.5207663098629199+1.009655162069845j),(1.1714349477287214+0.09113007830384885j),(0.3389067161925092+1.0028710428635492j),(0.19230727299115677+0.6836317417149824j),(1.4220612471005707+0.49435927628445253j),(0.5116628936596016+0.8888848095837572j),(-0.7550329440818869+0.25200406052939583j),(0.365129734255012+0.6561657120355294j),(0.24502975353698767+1.0083862666037002j)
0.31,(1.259656287803724+1.2373903049223411j),(0.42574939813357127+0.8480517498260516j),(0.34552095703630126+1.057752721980438j),(0.9341794568133652+0.19413251004157117j),(0.6512702013685421+0.8953882336287251j),(0.11003115051810587+0.7312352958486337j),(0.5144264014496603+0.9940615248922937j),(1.169942472599024+0.09059752218077648j),(0.3342692498389056+0.9869702042470018j),(0.18583269800120178+0.6730109206296281j),(1.4140652797984232+0.4903632783284945j),(0.5045170194821024+0.8760794238995445j),(-0.7529923654742723+0.24465761095942035j),(0.3576765097609393+0.6473784031905169j),(0.24153648435177205+0.9921271422505844j)
0.32,(1.2468789803322826+1.2177549958817224j),(0.41909412694750303+0.8362613707444062j),(0.3417110348797122+1.041212253439408j),(0.9311021013667393+0.19364820688051024j),(0.6436460754945772+0.8832264683808506j),(0.10463988186723726+0.7197079137190393j),(0.5083092141275309+0.9793191669217902j),(1.1685212722758314+0.08996475446410092j),(0.32968139812285396+0.9719390139598616j),(0.1794123684957383+0.6629085571586901j),(1.4065549047146186+0.4861883763620849j),(0.49759447288892217+0.8639731478302278j),(-0.7511479190575484+0.23739858605569694j),(0.35036597210284415+0.6390671847194977j),(0.23799729024814523+0.9767470224221879j)
0.33,(1.2351734495549498+1.1988549583678423j),(0.4125917361683659+0.8251151634475816j),(0.33792948745486573+1.0255776260623404j),(0.9281317704054695+0.1932231738150723j),(0.6363363183602218+0.8717094463399458j),(0.09923428531941157+0.7087253756770021j),(0.502397021666041+0.9653787396775576j),(1.1671702196069493+0.08923652959965732j),(0.32513894598026283+0.9577253808584283j),(0.17304279170572118+0.6532957162731193j),(1.3995086265721344+0.48185343173806283j),(0.49087802479915965+0.8525282565425754j),(-0.7494854570823938+0.23022759492707437j),(0.3431876449539194+0.6312081005334317j),(0.2344156303009345+0.9621925909971102j)
0.34,(1.2244515152248108+1.1806543608326892j),(0.4062296188902005+0.8145766148311009j),(0.33417309208264123+1.0107917562874673j),(0.9252633494138357+0.19285809606278j),(0.6293163679370635+0.8608028020521891j),(0.09381585425014202+0.6982545998847837j),(0.4966726580362282+0.9521925613608087j),(1.1658877493124291+0.08841775100169308j),(0.32063732125870226+0.9442790320231882j),(0.16672045179814643+0.6441435880750453j),(1.392903918328232+0.4773760116612911j),(0.4843510028811376+0.8417077957995084j),(-0.7479912780919004+0.22314424458467416j),(0.33613133813003565+0.6237769973941908j),(0.23079405478646714+0.9484123952312062j)
0.35000000000000003,(1.2146302118950147+1.16311734809847j),(0.39999546679901654+0.8046098269860552j),(0.3304380935458828+0.9967997233393254j),(0.9224915049059077+0.19255318570696459j),(0.6225625606001184+0.8504727083592647j),(0.08838576407025582+0.6882628558126057j),(0.4911194391295189+0.9397144411544255j),(1.1646718955318989+0.08751346160184016j),(0.31617162141519944+0.931551310354257j),(0.1604418401833175+0.6354234378586384j),(1.3867173841388067+0.4727725210836119j),(0.4779972329876376+0.831475485484588j),(-0.746652148242625+0.21614720356861425j),(0.3291871462375641+0.6167494968547885j),(0.22713429273073926+0.9353566393153788j)
