t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014
0.26,(3.7276198753520086e-08-2.855439267146293e-08j),(0.0004277512569407938+0.0002321068869776093j),(-5.2251388002041424e-05-5.666346370516218e-05j),(-2.8039637942966445e-05+0.00048662806165697707j),(6.26540305822979e-05-4.786465705246364e-06j),(-0.005397855600360513+0.006370048067814112j),(-2.4544213041638385e-05+3.405665313453509e-05j),(-3.375253711236199e-05-6.47403273410739e-05j),(-1.5337759274924776e-05-9.140775784876368e-05j),(0.007021859235942413-0.003562737823866454j),(-2.57160335087021e-06+7.472037653669379e-07j),(-0.00015938536598479898+8.570207834037146e-05j),(-0.0015411980656242319+0.00026947891645882313j),(0.0012073760661973803-0.00047905946707044514j),(0.00018568049207108936+0.0001640957639684763j)
0.27,(4.061276983629453e-08-5.1032433680029826e-08j),(0.0005498787719808255+0.00019586391891540254j),(-6.879233428020587e-05-6.613320122490172e-05j),(0.00011975747887497812+0.0004986356587275197j),(7.777826401021615e-05-1.8878068737899993e-05j),(-0.0057034525484228+0.008683600160410589j),(-2.6748717832536734e-05+4.504294319599922e-05j),(-5.2301250650272496e-05-5.49711019464865e-05j),(-3.333716119073368e-05-0.0001065722471554069j),(0.008561509105002328-0.006000158050842917j),(-2.5780955003448865e-06+1.5519185180413157e-06j),(-0.00016800442398740684+0.00013547441740021258j),(-0.0016282733430223488+0.0002589496938550445j),(0.0007993961118451484-0.0008785717336218776j),(0.0002413860318631129+0.00020111278864571702j)
0.28,(3.805745602315463e-08-8.031283829639722e-08j),(0.0006806368231873463+0.00012788764654736608j),(-8.878762409088337e-05-7.512539017764614e-05j),(0.00026841727117006726+0.00046673203727346267j),(9.185639350417907e-05-3.9336401415637144e-05j),(-0.005641491887721874+0.011459230038437865j),(-2.7631849534404307e-05+5.791972279276611e-05j),(-6.765945710006278e-05-4.0260208704701325e-05j),(-5.731687680922121e-05-0.00012043864126942767j),(0.009865984978489938-0.009300227446480111j),(-2.363245606193343e-06+2.400124573577337e-06j),(-0.0001659852255584785+0.00019301636253122025j),(-0.001712861818874177+0.0002562982665006866j),(0.00017197535518287383-0.0011217155707204307j),(0.00031018808496210894+0.00024148204014237744j)
0.29,(2.663851532088534e-08-1.1584809320639474e-07j),(0.0008127304924926968+2.2353503314540024e-05j),(-0.00011225214585963235-8.283336708072629e-05j),(0.0004052949311511526+0.0003925567994826143j),(0.0001026657426917141-6.656488581643441e-05j),(-0.005062757191932015+0.01467722296403762j),(-2.668861799295251e-05+7.23691163502785e-05j),(-7.86320919712674e-05-2.172949111669839e-05j),(-8.782751682543112e-05-0.0001314178547858952j),(0.01068167822492734-0.013524356970201042j),(-1.9112304909218004e-06+3.2334127173276973e-06j),(-0.00015053212816934194+0.0002559990184479989j),(-0.0017946751851431115+0.00026273903843284513j),(-0.0006362275337760807-0.0011108885621403254j),(0.00039364049381387576+0.00028409082524879473j)
0.3,(3.260840954052821e-09-1.5613331455751273e-07j),(0.0009365056077620139-0.00012513865922400623j),(-0.00013889742190824965-8.833291742796473e-05j),(0.0005190733313165143+0.00028116124253682275j),(0.00010759773951007596-0.00010020237243530883j),(-0.003807734461524331+0.018279499106923013j),(-2.351379371048032e-05+8.782829118647082e-05j),(-8.441970195677554e-05-7.379287329278769e-07j),(-0.00012507837408840008-0.000137594358635008j),(0.010713898584020963-0.01867088959859043j),(-1.2217320837667633e-06+3.9899185601192446e-06j),(-0.00011941742606471087+0.00032112109142294935j),(-0.0018733206264798163+0.0002793516719526865j),(-0.0015504812184565183-0.0007552595963028521j),(0.0004930107502372662+0.0003275294803278328j)
0.31,(-3.499561440585413e-08-1.9861553641264872e-07j),(0.001040174559760944-0.0003167697427154171j),(-0.00016805066959162368-9.066828231977064e-05j),(0.000600560896735671+0.00014031904026547365j),(0.00010390440840312311-0.00013892379324934566j),(-0.0017159104949899147+0.022164415119034282j),(-1.791096892648372e-05+0.0001035008457442125j),(-8.464040321338948e-05+2.1249811508511295e-05j),(-0.00016881305614556706-0.000136792707592715j),(0.009642204691957647-0.02466016110078606j),(-3.1019764586008535e-07+4.608485479916566e-06j),(-7.131231984529861e-05+0.00038424554687879433j),(-0.001948282585160836+0.0003070607584951665j),(-0.0024609644298150875+1.726817074564806e-05j),(0.0006091850042255387+0.00037021082515754184j)
0.32,(-9.054747338342031e-08-2.396947666151009e-07j),(0.0011102904795689164-0.0005517413235474528j),(-0.0001985957429060061-8.897435658069687e-05j),(0.0006432060269406023-2.029162694982185e-05j),(8.90245753796375e-05-0.0001803207955177475j),(0.0013633127219470596+0.026183908635198455j),(-1.0005908772733684e-05+0.0001184107790038077j),(-7.931353009512641e-05+4.278318072457556e-05j),(-0.00021819538536669626-0.00012668798424303557j),(0.007140132068171354-0.03132355022663866j),(7.930214114589217e-07+5.032613425142112e-06j),(-6.084316409085244e-06+0.0004406426152385471j),(-0.0020189119172502232+0.0003466160559464871j),(-0.0032274654346034683+0.001248403728399625j),(0.0007426229452194357+0.00041052984028105386j)
0.33,(-1.6497984143095122e-07-2.748252217154019e-07j),(0.001132465959434052-0.0008256079414934684j),(-0.000228948356573914-8.263366436928535e-05j),(0.0006433345570525414-0.00018993544814051156j),(6.096633443233614e-05-0.00022089101650802235j),(0.005558621669409311+0.030143456268704783j),(-3.507578555976963e-07+0.00013150303287512002j),(-6.881405592301304e-05+6.252502798662884e-05j),(-0.00027172311344765044-0.00010495760898710049j),(0.0028982773657772014-0.03839780496581343j),(2.0444712998545286e-06+5.213897012389704e-06j),(7.497309586445135e-05+0.00048533459931366036j),(-0.0020844229866421376+0.0003985733991183037j),(-0.0036876342369624557+0.002939152202309997j),(0.0008933819908604562+0.0004470596241540302j)
0.34,(-2.587543738801728e-07-2.987066558042854e-07j),(0.0010923188424436586-0.0011298063212489805j),(-0.0002570839157648403-7.145600782793668e-05j),(0.0006001469597103026-0.0003576233825823181j),(1.8702395159029225e-05-0.0002561595006043444j),(0.01096466614140606+0.03380516389984559j),(1.0000490225017317e-05+0.0001417907543734811j),(-5.3808098486366236e-05+7.932615052174812e-05j),(-0.00032718030211862205-6.94693972646128e-05j),(-0.003351070235493251-0.04552548996074077j),(3.3901272466816475e-06+5.114758246012857e-06j),(0.00016901035698901467+0.0005135121412710925j),(-0.002143899136765137+0.000463276612694493j),(-0.003668275750548752+0.005042098127791255j),(0.0010612337061807367+0.00047874206420236905j)
0.35000000000000003,(-3.709741411217825e-07-3.0555260497425095e-07j),(0.000976580303966621-0.0014514183379962455j),(-0.000280623990850117-5.586816716307287e-05j),(0.0005155224248442186-0.0005128144856068016j),(-3.746022344588905e-05-0.00028093081394239995j),(0.017630498387473877+0.036893850703237654j),(1.946021337142534e-05+0.0001485402725672426j),(-3.517894137367222e-05+9.227390419814958e-05j),(-0.00038164594005916865-1.849202419410619e-05j),(-0.01180920314492371-0.05226163450168657j),(4.7683778716081864e-06+4.710342861081915e-06j),(0.000271611404546266+0.0005210047418331933j),(-0.0021963064125972705+0.0005408410882459901j),(-0.002998770422070406+0.007456733059083183j),(0.001245871587213769+0.0005050562691031864j)
