t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00
0.73,(1.0000936863356928-0.00014392228135275497j),(4.002596317002916-1.0848391612129495j),(0.14415360603004923-0.22624412782510972j),(0.32595329564267495-0.03232430463685133j),(-0.27517495201517145-0.27673305583725183j),(2.3274747025175966-1.97311929599669j),(-1.2916755538570872-0.11040988128822815j),(-1.986387549605161-0.5798299452377991j),(-2.4130918164956805+0.2515691811226148j),(1.0000936863356928-0.00014392228135275497j)
0.74,(1.000096430775118-0.00014525971989136363j),(4.056481844347414-1.0081565254177354j),(0.14649105158191864-0.2349600260611433j),(0.32641503569974734-0.03857590276789712j),(-0.27479073924731995-0.2880628980538432j),(2.394685727228712-1.9829385809651652j),(-1.2945054843306931-0.10121423182842874j),(-2.0102743467089637-0.5441079512620685j),(-2.3991023918130914+0.3091043339364645j),(1.000096430775118-0.00014525971989136363j)
0.75,(1.0000992914387234-0.00014656886186384965j),(4.108433725148712-0.9247850422979478j),(0.14893550824591315-0.2440233812334456j),(0.32696830269542054-0.04511017058566251j),(-0.2744637469886202-0.29974797389960844j),(2.4666798592392305-1.9904508988740108j),(-1.297169234395827-0.09170212788737932j),(-2.0334757626069573-0.5061045153068581j),(-2.3818434148611+0.3669101208169224j),(1.0000992914387234-0.00014656886186384965j)
0.76,(1.0001022695404673-0.0001478448824902832j),(4.1577116604918904-0.8346120939120081j),(0.1514920991114646-0.25344011164269076j),(0.3276194628962552-0.05192822271402848j),(-0.2742016456194569-0.3117965633027893j),(2.5436154831469677-1.9951586422431158j),(-1.2996415630357459-0.08187474429233728j),(-2.055768320277849-0.46576994437168573j),(-2.3612053418069916+0.42468760609541556j),(1.0001022695404673-0.0001478448824902832j)
0.77,(1.0001053657719874-0.00014908273068337926j),(4.2035147873795875-0.7376101747282381j),(0.15416603781222893-0.26321539991614296j),(0.3283750455143574-0.05903019197257285j),(-0.27401259264085925-0.32421637910368245j),(2.6256035473789243-1.9965004634202883j),(-1.3018961382761507-0.07173575754990996j),(-2.076908682990716-0.4230782140075476j),(-2.337114243400687+0.4821132275441128j),(1.0001053657719874-0.00014908273068337926j)
0.78,(1.0001085802741827-0.00015027716364560424j),(4.244991693073593-0.6338507521376653j),(0.15696261013792642-0.27335371436932865j),(0.32924171410943676-0.06641524410198178j),(-0.2739052535618097-0.3370145769090718j),(2.712693020947209-1.9938509407092957j),(-1.3039057877324962-0.061291537560751896j),(-2.0966360009276004-0.37803138787818114j),(-2.3095369659540252+0.538844161213818j),(1.0001085802741827-0.00015027716364560424j)
0.79,(1.0001119126115252-0.0001514227862151913j),(4.281253727370851-0.5235170516728243j),(0.1598871539581263-0.28385883189502775j),(0.33022623588385636-0.07408159624061056j),(-0.27388882254869784-0.350197764228871j),(2.804854595061095-1.9865229163333422j),(-1.3056427854236006-0.050551317537789874j),(-2.1146752254479675-0.33066395091331846j),(-2.278485364480308+0.5945248431022913j),(1.0001119126115252-0.0001514227862151913j)
0.8,(1.0001153617496665-0.00015251409479050617j),(4.311391414221293-0.40691542435871225j),(0.16294503741845007-0.2947338616930594j),(0.3313354489839316-0.08202653881874288j),(-0.2739730427135161-0.36377200811911187j),(2.901963078160717-1.9737732575525004j),(-1.3070791732542046-0.03952733551040046j),(-2.130741450956799-0.281046842378509j),(-2.2440193139113878+0.6487944627542122j),(1.0001153617496665-0.00015251409479050617j)
0.81,(1.0001189260369074-0.00015354552556775058j),(4.334493911996374-0.28448439274381454j),(0.16614163539112273-0.30598126913421786j),(0.3325762279196179-0.09024646050655676j),(-0.2741682259016674-0.37774284054722046j),(3.0037792151424765-1.9548127667681479j),(-1.3081871143220192-0.028234940679542235j),(-2.1445452960732676-0.2292909416779244j),(-2.2062482470982925+0.701295161941102j),(1.0001189260369074-0.00015354552556775058j)
0.8200000000000001,(1.0001226031900936-0.0001545115067287483j),(4.349671190202704-0.15680077009849458j),(0.1694823041864427-0.31760289904838385j),(0.3339554472105649-0.09873687582640914j),(-0.2744852718195005-0.3921152607029163j),(3.109931968146782-1.928820843330444j),(-1.308939273864674-0.016692658020001083j),(-2.155799273653555-0.17554973699683524j),(-2.1653310365912657+0.7516806010308916j),(1.0001226031900936-0.0001545115067287483j)
