t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00
0.24,(1.000022399987388-6.963128884499459e-05j),(1.9280911405652925-1.6146117153957074j),(0.10319348775030907+0.05985143623564645j),(0.35735748379719373+0.15136787426890178j),(-0.2881529638356045+0.13542070831905423j),(1.1199870112260466-1.2264502206269279j),(-1.0759020943824125-0.33939445490955333j),(-0.9411576276100356-0.9975477413851803j),(-1.4054709657139326-1.2060835373397605j),(1.000022399987388-6.963128884499459e-05j)
0.25,(1.0000238303245248-7.178386221743605e-05j),(1.9788968197125754-1.6249451589701982j),(0.10262692360337186+0.050634325844001064j),(0.3553513564607885+0.14458846792645497j),(-0.2883559691986648+0.12385314998690335j),(1.142767615218681-1.2436813440885601j),(-1.083662481495618-0.33768712222459807j),(-0.9631667699139196-1.005939254434485j),(-1.4455586224159103-1.2032951812324715j),(1.0000238303245248-7.178386221743605e-05j)
0.26,(1.000025258023719-7.387458245314964e-05j),(2.029373480086829-1.6341870912857615j),(0.10215586658638237+0.041733137607339044j),(0.3534659653655527+0.13809706035674812j),(-0.2885659979825354+0.11259453763550185j),(1.1653804977277997-1.2606498773084949j),(-1.09122167280763-0.33575570884049j),(-0.9853027635868925-1.013549011678499j),(-1.485471287470524-1.198852116461139j),(1.000025258023719-7.387458245314964e-05j)
0.27,(1.0000266793677282-7.590537241333434e-05j),(2.079380369156546-1.6423783937308494j),(0.10177612086236586+0.0331458175798037j),(0.3516943159340765+0.1318916879031527j),(-0.28877828010227213+0.10164083729900886j),(1.1877757207008113-1.2773548090323767j),(-1.098571847381003-0.3336151008656773j),(-1.0075174931862292-1.0203691528539012j),(-1.5250862267631795-1.1927762533667507j),(1.0000266793677282-7.590537241333434e-05j)
0.28,(1.0000280909875054-7.7878347675158e-05j),(2.1287849575451547-1.6495704747401563j),(0.10148355918867255+0.024869363545302513j),(0.3500295945377832+0.12596944608322402j),(-0.2889883790914087+0.09098728868098653j),(1.209905556957514-1.293797832748245j),(-1.1057069174092329-0.3312802301857816j),(-1.0297639599018409-1.0263962113783567j),(-1.5642861596942343-1.1851010616056321j),(1.0000280909875054-7.7878347675158e-05j)
0.29,(1.0000294898779225-7.979578974964313e-05j),(2.1774650610803534-1.6558237953616148j),(0.10127413835575162+0.016899805588745192j),(0.3484651897020802+0.12032648510148183j),(-0.28919218603128355+0.08062838788650477j),(1.2317251771913837-1.3099832387945367j),(-1.112622521019855-0.3287658975721534j),(-1.0519969317507667-1.0316310210242092j),(-1.6029609664126268-1.175870578501429j),(1.0000294898779225-7.979578974964313e-05j)
0.3,(1.000030873410253-8.166012013085036e-05j),(2.22531073077355-1.6612061521071646j),(0.10114391397941117+0.009232191615466895j),(0.3469947106663162+0.11495800916423152j),(-0.2893859130773856+0.07055787319287142j),(1.2531933237126605-1.3259177689285055j),(-1.119315995314325-0.3260866045859453j),(-1.074173574372449-1.0360785421638028j),(-1.6410092075063885-1.1651381646531287j),(1.000030873410253-8.166012013085036e-05j)
0.31,(1.000032239341569-8.3473875447474e-05j),(2.2722258684717946-1.665790778814873j),(0.10108905462531395+0.0018605781097341375j),(0.34561200335344794+0.10985827980649417j),(-0.2895660866264239+0.060768714277475745j),(1.2742729594905102-1.3416104393994064j),(-1.125786331246009-0.323256396553029j),(-1.0962540485356287-1.0397476112979542j),(-1.678339412960898-1.1529650485793985j),(1.000032239341569-8.3473875447474e-05j)
0.32,(1.000033585821224-8.523968393812155e-05j),(2.3181295400512183-1.6696543343615708j),(0.10110585523506778-0.0052219736363347735j),(0.3443111638254212+0.10502062339768821j),(-0.2897295401494375+0.051253105250918876j),(1.2949318818681297-1.3570723395927862j),(-1.1320341121782356-0.3202887184746532j),(-1.1182020615322767-1.0426506197518752j),(-1.7148711074926162-1.13941870927539j),(1.000033585821224-8.523968393812155e-05j)
0.33,(1.0000349113946074-8.69602434167641e-05j),(2.3629569724674586-1.6728748441282804j),(0.1011907498177891-0.012023395651268656j),(0.3430865493224454+0.10043744294818725j),(-0.2898734067027238+0.04200246177561687j),(1.315143291473204-1.3723164139714499j),(-1.1380614381257284-0.3171962853064201j),(-1.1399853611497022-1.044803129289361j),(-1.7505355507728022-1.1245711498328979j),(1.0000349113946074-8.69602434167641e-05j)
0.34,(1.0000362150043731-8.86383008444386e-05j),(2.4066602346869317-1.675529660341357j),(0.10134032336938126-0.018552605657092297j),(0.34193278700717694+0.09610023429416747j),(-0.28999511112037+0.03300742248486756j),(1.334886308270638-1.3873572352971146j),(-1.1438718377665706-0.3139909676011414j),(-1.161576162790465-1.0462234338702425j),(-1.7852761827696126-1.1084971166270963j),(1.0000362150043731-8.86383008444386e-05j)
0.35000000000000003,(1.0000374959893354-9.027663357078586e-05j),(2.449208614605206-1.6776935002822957j),(0.10155132298368512-0.02481949363260444j),(0.34084478055778444+0.09199960669406473j),(-0.29009236188997195+0.024257854855144173j),(1.3541464283399054-1.402210776961196j),(-1.1494701703231587-0.31068369308519905j),(-1.182951502444103-1.046932077798728j),(-1.8190487756903158-1.0912723171357657j),(1.0000374959893354-9.027663357078586e-05j)
0.36,(1.0000387540812388-9.187803226048598e-05j),(2.4905887138668263-1.679436612577198j),(0.10182066812467691-0.030834902572218343j),(0.3398177147762774+0.08812530782718987j),(-0.2901631427165426+0.01574286562508937j),(1.372915916736413-1.4168941916953106j),(-1.1548625193569526-0.3072843643369179j),(-1.204093510488063-1.0469513410521534j),(-1.851821304132096-1.0729716855647746j),(1.0000387540812388-9.187803226048598e-05j)
0.37,(1.0000399893995922-9.344528547678491e-05j),(2.5308042896555034-1.6808231111564031j),(0.10214546003643597-0.03661060350407007j),(0.33884705839960083+0.08446625314420754j),(-0.2902057037880977+0.007450815798222106j),(1.3911941336461326-1.4314256030070291j),(-1.1600560804128257-0.3038017923704708j),(-1.224989603588925-1.0463047026420809j),(-1.8835735535355416-1.0536677395940177j),(1.0000399893995922-9.344528547678491e-05j)
0.38,(1.0000412024447587-9.498116584972908e-05j),(2.5698758769121155-1.6819095048542227j),(0.10252299027704631-0.04215926488857166j),(0.3379285653200667+0.08101055948076095j),(-0.2902185527691054-0.0006306597873785517j),(1.4089877929007182-1.445823914449161j),(-1.1650590442951019-0.3002436456086352j),(-1.245632594176821-1.0450162924723063j),(-1.9142964935439744-1.0334290643113564j),(1.0000412024447587-9.498116584972908e-05j)
0.39,(1.0000423940894778-9.64884177228156e-05j),(2.607840226180017-1.6827434387862512j),(0.10295074837326842-0.04749441657421141j),(0.33705827443795044+0.07774558280990422j),(-0.2902004455638197-0.008514628390259262j),(1.4263111537289137-1.4601086403514256j),(-1.1698804775702718-0.2966164134583276j),(-1.26602071897678-1.0431103413752225j),(-1.9439914472544344-1.0123189513808994j),(1.0000423940894778-9.64884177228156e-05j)
0.4,(1.000043565568987-9.796974613984186e-05j),(2.6447495916726265-1.683362652277657j),(0.10342642860406986-0.0526304085403414j),(0.33623250838182234+0.0746579599764538j),(-0.2901503769092808-0.016214830913965625j),(1.4431861483307558-1.4742997600009922j),(-1.174530201681948-0.2929253834876889j),(-1.2861575898198174-1.0406106379018123j),(-1.972669089624976-0.9903942132857863j),(1.000043565568987-9.796974613984186e-05j)
0.41000000000000003,(1.0000447184698955-9.9427807005975e-05j),(2.680670901625067-1.683794147760532j),(0.10394793593232321-0.05758236470612349j),(0.3354478713407952+0.07173365422703921j),(-0.2900675708762166-0.023745649234680106j),(1.4596424494349438-1.4884175955353942j),(-1.1790186718424087-0.28917463104372804j),(-1.3060520713645412-1.0375399990962861j),(-2.000348308645531-0.9677041846172502j),(1.0000447184698955-9.9427807005975e-05j)
0.42,(1.000045854717951-0.0001008651982392225j),(2.715684839003323-1.684053556098287j),(0.10451339111461906-0.06236613212997229j),(0.3347012462568496+0.06895800432355902j),(-0.2899514713739985-0.031122069513105415j),(1.4757174834074238-1.5024827120871387j),(-1.183356856641573-0.2853670200443022j),(-1.325718091400002-1.0339197609945792j),(-2.0270549615624307-0.9442899152771314j),(1.000045854717951-0.0001008651982392225j)
0.43,(1.000046976564824-0.00010228445171144493j),(2.749884855676004-1.684144676470048j),(0.10512113502873023-0.06699822596411527j),(0.3339897916243726+0.06631577700486366j),(-0.28980173277210186-0.038359641735435476j),(1.4914563956996707-1.5165158370649843j),(-1.1875561190966621-0.28150421362500455j),(-1.345174390057412-1.029769293036631j),(-2.052820555815649-0.9201835544335989j),(1.000046976564824-0.00010228445171144493j)
0.44,(1.0000480865740229-0.00010368802577077919j),(2.783376137637665-1.6840591633677133j),(0.10576973226641659-0.07149577056382947j),(0.3333109381378004+0.06379122254162803j),(-0.28961821076423916-0.045474435764857664j),(1.5069119764445171-1.5305377939305433j),(-1.1916280996609419-0.27758669331660724j),(-1.36444421453678-1.0251055390600086j),(-2.0776808807809988-0.8954079193183652j),(1.0000480865740229-0.00010368802577077919j)
0.45,(1.0000491876060316-0.00010507829813240143j),(2.8162745331697567-1.6837763294296813j),(0.10645797404569363-0.07587643718024939j),(0.3326623854167261+0.06136813311230031j),(-0.2894009536117333-0.0524829942181689j),(1.5221445548170525-1.5445694444728182j),(-1.1955846015231497-0.2736137854673817j),(-1.383554965875433-1.0199425861218065j),(-2.1016746122848367-0.8699762395695864j),(1.0000491876060316-0.00010507829813240143j)
0.46,(1.0000502828027595-0.00010645755892965637j),(2.8487054502093794-1.6832630306894651j),(0.10718488050120205-0.08015837868929476j),(0.33204209902109993+0.059029903713416806j),(-0.28915019390924107-0.05940228251156237j),(1.5372218713733166-1.5586316324216103j),(-1.1994374783644322-0.26958369370165824j),(-1.402537803882438-1.014291261139636j),(-2.1248419075298446-0.8438920658074673j),(1.0000502828027595-0.00010645755892965637j)
0.47000000000000003,(1.000051375571366-0.00010782800372169155j),(2.880802723850091-1.6824736002387333j),(0.10794970241380993-0.08436016182735444j),(0.33144830794746133+0.05675959530511038j),(-0.2888663410183253-0.0662496364453056j),(1.5522189379575595-1.5727451202789196j),(-1.2031985245995078-0.2654935363158438j),(-1.4214272156784826-1.0081587543006354j),(-2.147223003849642-0.8171493304052206j),(1.000051375571366-0.00010782800372169155j)
0.48,(1.0000524695675161-0.00010919172626996179j),(2.912707449922154-1.6813497971548836j),(0.10875192244103041-0.08850069741714288j),(0.3308795027708734+0.054539999881957055j),(-0.28854997431252166-0.07304270771876839j),(1.567217894927754-1.586930510472992j),(-1.2068793680149177-0.2613393876501766j),(-1.4402605523622485-1.0015482673965002j),(-2.1688568308606113-0.7897325488585215j),(1.0000524695675161-0.00010919172626996179j)
0.49,(1.0000535686781091-0.00011055071091119428j),(2.9445667760210235-1.6798207396830926j),(0.10959125590830265-0.09259916907500927j),(0.3303344345668843+0.0523537071500493j),(-0.2882018373715823-0.07979940778500932j),(1.5823078753864104-1.601208141323422j),(-1.2104913646302577-0.2571163226332432j),(-1.4590775372213272-0.9944586847276184j),(-2.1897796423134457-0.761617151597577j),(1.0000535686781091-0.00011055071091119428j)
0.5,(1.0000546770035057-0.00011190682437793763j),(2.976532637150465-1.677802794966199j),(0.11046765121778207-0.0966749608943892j),(0.32981211471405386+0.050183172483044915j),(-0.2878228332528121-0.08653785046787252j),(1.5975848858153598-1.6155979478047122j),(-1.2140454955482347-0.25281846387142526j),(-1.4779197476674555-0.9868842639958132j),(-2.210023671428582-0.7327699383416327j),(1.0000546770035057-0.00011190682437793763j)
0.51,(1.0000557988392698-0.00011326180694180398j),(3.008760419269001-1.6751994019828484j),(0.11138128992619233-0.10074758459955636j),(0.3293118156410607+0.048010785822654715j),(-0.287414020954307-0.09327629377430112j),(1.6131517119918528-1.6301192766559673j),(-1.2175522655257278-0.24843903084194927j),(-1.4968300717499985-0.9788143446808895j),(-2.229615811851326-0.7031496499693137j),(1.0000557988392698-0.00011326180694180398j)
0.52,(1.0000569386574243-0.00011461726278585105j),(3.041407530417391-1.6719008097179364j),(0.11233258653672377-0.10483660665985828j),(0.3288330725439689+0.04581894118242031j),(-0.28697661316904294-0.10003308134037754j),(1.6291178582973034-1.6447906449444405j),(-1.2210216029900645-0.24397039094138617j),(-1.5158521387334518-0.9702330717743293j),(-2.2485763256726146-0.6727076561679413j),(1.0000569386574243-0.00011461726278585105j)
0.53,(1.0000581010872116-0.0001159746495433027j),(3.0746318557184664-1.6677837189188407j),(0.11332218804216701-0.10896157584767473j),(0.32837568605973644+0.04359010640760087j),(-0.28651197541081724-0.10682658395151716j),(1.6455995275011868-1.65962943068544j),(-1.2244627612415127-0.23940411233684294j),(-1.5350297218578577-0.9611191334249045j),(-2.2669175802921204-0.6413887606263413j),(1.0000581010872116-0.0001159746495433027j)
0.54,(1.0000592908953343-0.00011733526697474572j),(3.108590069375335-1.6627108230924528j),(0.11435097324771386-0.11314195171381757j),(0.32793972584241815+0.04130689283854421j),(-0.28602162657371805-0.11367514157531361j),(1.6627196467839451-1.674651483485386j),(-1.227884220623776-0.2347310187605336j),(-1.5544061100781041-0.9514455120362606j),(-2.284642817293314-0.6091321290395189j),(1.0000592908953343-0.00011733526697474572j)
0.55,(1.0000605129656432-0.00011870024479262427j),(3.1434357739050083-1.6565302527099686j),(0.11542005189241294-0.11739703444229845j),(0.3275255349496922+0.03895212452017488j),(-0.28550724096682106-0.1205970063398133j),(1.680607944115454-1.6898706423476837j),(-1.2312935915082872-0.22994124657587678j),(-1.5740234443430305-0.9411792496475389j),(-2.3017449589791044-0.5758723484818208j),(1.0000605129656432-0.00011870024479262427j)
0.56,(1.0000617722782263-0.00012007052967944465j),(3.179317434366259-1.64907493597174j),(0.11653076357840336-0.12174589653252274j),(0.32713373491026637+0.036508906596406564j),(-0.2849706518458752-0.12761028688049197j),(1.699401077075411-1.7052981467098078j),(-1.2346975180247763-0.22502430462082815j),(-1.5939220128754314-0.9302812300287914j),(-2.318205461787495-0.5415406295444208j),(1.0000617722782263-0.00012007052967944465j)
0.5700000000000001,(1.000063073887848-0.00012144687158456705j),(3.2163760735022504-1.6401619000161485j),(0.11768467650702466-0.12620731674110178j),(0.32676523130834184+0.03396069252568584j),(-0.2844138564444831-0.1347328944659053j),(1.7192428137150273-1.7209419254248495j),(-1.2381015825795434-0.21996913749784963j),(-1.6141394990033517-0.9187059818392411j),(-2.333993230451567-0.5060661647676905j),(1.000063073887848-0.00012144687158456705j)
0.58,(1.0000644229016744-0.00012282980942313434j),(3.254742692859625-1.6295915481974552j),(0.11888358601094612-0.13079971669757495j),(0.3264212196905088+0.031291349752890205j),(-0.28383902248926074-0.14198249129483395j),(1.7402842620172616-1.73680574674067j),(-1.2415102113337966-0.21476419312571776j),(-1.6347101744350516-0.9064015094350231j),(-2.3490636124356445-0.46937765804627507j),(1.0000644229016744-0.00012282980942313434j)
0.59,(1.0000658244562242-0.00012421965633876682j),(3.294535385524609-1.6171469620316117j),(0.12012951286177966-0.1355411005882558j),(0.32610319157405815+0.028485223473878888j),(-0.28324849616712955-0.14937644133665076j),(1.7626841407880653-1.7528882103694423j),(-1.2449265809670147-0.20939749549200934j),(-1.6556640305413788-0.8933091604787704j),(-2.3633574987698074-0.4314050395304343j),(1.0000658244562242-0.00012421965633876682j)
0.6,(1.0000672836934734-0.0001256164847292684j),(3.335856108711402-1.6025932905638016j),(0.12142470132340245-0.14044899827992216j),(0.3258129403144487+0.025527198132615767j),(-0.28264481149857423-0.1569317640614641j),(1.786609080241976-1.7691815605192476j),(-1.2483525272241935-0.203856723642063j),(-1.6770258403030516-0.879363542395363j),(-2.3768005647491037-0.39208137874892934j),(1.0000672836934734-0.0001256164847292684j)
0.61,(1.000068805736051-0.0001270201112687169j),(3.378787089738931-1.5856773050710813j),(0.12277161691254712-0.1455404122298574j),(0.32555256657418774+0.022402756297429004j),(-0.28203070105861217-0.16466509137718816j),(1.8122339349326022-1.7856702963647868j),(-1.2517884559402772-0.1981292980056363j),(-1.6988141442088207-0.8644925029237958j),(-2.3893026918006655-0.3513450048738639j),(1.000068805736051-0.0001270201112687169j)
0.62,(1.0000703956614605-0.00012843008219496618j),(3.423386847714792-1.5661272128255632j),(0.12417294382019825-0.15083176850044883j),(0.3253244831261386+0.01909803457310783j),(-0.28140910797742197-0.17259262805685321j),(1.8397420847830124-1.8023295540173532j),(-1.2552332574488414-0.19220247519114367j),(-1.7210401546869118-0.8486171935025217j),(-2.400757619771208-0.30914183687298946j),(1.0000703956614605-0.00012843008219496618j)
0.63,(1.0000720584752787-0.00012984565915910394j),(3.469685826326206-1.5436528395184497j),(0.12563158194000765-0.15633887216478504j),(0.32513141872156504+0.015599876219559505j),(-0.28078319914503497-0.1807301159010222j),(1.8693256915165406-1.8191232318524633j),(-1.2586842255131236-0.18606345236373276j),(-1.7437065757712602-0.8316522379336581j),(-2.4110428864250677-0.2654279174165809j),(1.0000720584752787-0.00012984565915910394j)
0.64,(1.000073799083289-0.00013126580596306987j),(3.517681651301138-1.5179463050021669j),(0.1271506434433039-0.16207686735407853j),(0.32497642075716443+0.011895880165978192j),(-0.2801563795390476-0.1890928018369225j),(1.901185867469791-1.8360018294194638j),(-1.2621369821626922-0.17969948226171725j),(-1.766806337819553-0.8135060325976662j),(-2.420020117380374-0.22017213256598175j),(1.000073799083289-0.00013126580596306987j)
0.65,(1.0000756222625315-0.000132689176531803j),(3.56733404999799-1.4886833300280602j),(0.12873344883429227-0.16806020215792739j),(0.324862856485838+0.007974446132111405j),(-0.27953230759070974-0.19769541010770156j),(1.935532701271526-1.852899969593357j),(-1.2655854100739474-0.173097999790126j),(-1.7903212513989013-0.7940812082767337j),(-2.427535734185991-0.1733590843468647j),(1.0000756222625315-0.000132689176531803j)
0.66,(1.0000775326312696-0.00013411410448692512j),(3.618559500592044-1.4555253210674417j),(0.13038352241366186-0.17430259854412578j),(0.32479441253266733+0.003824815595320553j),(-0.27891491150268233-0.20655211865197598j),(1.9725850699031355-1.8697335748308068j),(-1.2690215943911387-0.16624676095454852j),(-1.814220590126145-0.7732752871635342j),(-2.4334221497276642-0.12499206539065943j),(1.0000775326312696-0.00013411410448692512j)
0.67,(1.0000795346179077-0.00013553859469844976j),(3.6712257144080436-1.4181223841985646j),(0.13210458707397266-0.18081702741574088j),(0.32477509249997555-0.0005628916263635368j),(-0.2783084064308783-0.21567653971559048j),(2.0125701490090577-1.886396672295406j),(-1.2724357761386218-0.1591339946577034j),(-1.8384596194670386-0.7509815715671877j),(-2.437499517493017-0.07509606429628979j),(1.0000795346179077-0.00013553859469844976j)
0.68,(1.0000816324289228-0.0001369603172002543j),(3.725146096463783-1.376117415266936j),(0.13390055834582557-0.1876156888694085j),(0.32480921247268524-0.005197645369320694j),(-0.27771731244273923-0.2250817046743858j),(2.0557225129595453-1.9027578104447165j),(-1.2758163196145418-0.15174856757074506j),(-1.8629780973941559-0.7270903027643083j),(-2.439578093209435-0.02372070798870185j),(1.0000816324289228-0.0001369603172002543j)
0.6900000000000001,(1.0000838300159165-0.0001383766038527312j),(3.7800743748492667-1.329151399833525j),(0.13577553760989328-0.19470999766033764j),(0.32490139426648446-0.01008747785224026j),(-0.2771464731647134-0.2347800529791312j),(2.10228269334311-1.9186560829706243j),(-1.2791496963685771-0.14408016190818748j),(-1.8876987834328418-0.7014901288541144j),(-2.43946125284148+0.029056975642138813j),(1.0000838300159165-0.0001383766038527312j)
0.7000000000000001,(1.000086131041932-0.00013978444812917816j),(3.835699636914383-1.2768700307090914j),(0.13773380438642638-0.20211057381661213j),(0.32505655629545027-0.015239461248816826j),(-0.2766010750322608-0.24478342506217146j),(2.1524950400210265-1.9338967766364445j),(-1.2824204885371768-0.13611946547842294j),(-1.9125260049206723-0.6740699187257649j),(-2.4369491889577777+0.08313011341199086j),(1.000086131041932-0.00013978444812917816j)
0.71,(1.000088538847231-0.00014118050838607496j),(3.891642056225271-1.218931711473422j),(0.1397798076109289-0.20982723827851213j),(0.3252799019714971-0.020659690171894785j),(-0.27608666705615525-0.25510305897059116j),(2.206604704066948-1.9482466897298238j),(-1.2856114144220776-0.12785837285290563j),(-1.9373443430230415-0.6447209545987186j),(-2.4318432775327543+0.13836001792571626j),(1.000088538847231-0.00014118050838607496j)
0.72,(1.000091056414773-0.000142561114953982j),(3.947449634925829-1.1550169604296945j),(0.14191815580249237-0.2178690133684875j),(0.3255769055839831-0.02635326908849748j),(-0.27560918101896437-0.2657495904139434j),(2.2648535393028864-1.961429209873116j),(-1.2887033792333424-0.11929019590143213j),(-1.9620175156989872-0.6133395272543681j),(-2.4239510694664492+0.19457486365620458j),(1.000091056414773-0.000142561114953982j)
