t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B01_A_0000
1.1500000000000001,(-0.012245780989704837-0.026519025483660804j),(-5.43591045264919e-06-2.7618639720569502e-05j),(-0.003955939144137794-0.0009619179659943022j),(0.027344908188497156-0.03162375998058016j),(4.441249015481563e-05-0.0002760864975135595j),(-4.777949866598617e-08-3.4650527308634993e-07j),(0.0001333742602063683+0.00016933216150971192j),(5.3022370473871234e-05+0.00012873382522191924j),(0.00047718168195594806-0.0003473050452480309j),(-0.01744893411333365-0.025875002021475635j)
1.16,(-0.016123053567165674-0.024461518289589687j),(-1.2905919909157931e-05-3.194715185826766e-05j),(-0.003570324931393136-0.0005327406088369558j),(0.02217622552240145-0.03235922023412585j),(4.390653615902664e-05-0.00023969697888991462j),(-1.917503085865401e-07-3.794586848600459e-07j),(0.00010428221344026118+0.00017770089665220635j),(3.494341333312767e-05+0.00014336430527237123j),(0.0005363571759478768-0.00032591210201036476j),(-0.021133258326446018-0.022963729790999515j)
1.17,(-0.019605001907195278-0.021889802373600158j),(-2.237939534524116e-05-3.536949745187606e-05j),(-0.0031932840648855893-0.00018706374716480584j),(0.01729453168298405-0.032472092769771914j),(4.30090335129351e-05-0.0002078569950438615j),(-3.649536068626841e-07-3.6675926455989054e-07j),(7.458126624536904e-05+0.00018109190027984953j),(1.3989773114618824e-05+0.00015476535895308846j),(0.0005923027581321109-0.00029640679426898785j),(-0.024287154925383803-0.019597171082942573j)
1.18,(-0.022631335683614858-0.018884717640809474j),(-3.385017595384108e-05-3.741051178365005e-05j),(-0.002831971584951366+8.554628152973175e-05j),(0.012754760737578218-0.032044698622279495j),(4.180094150574774e-05-0.00018006146061279175j),(-5.559682727543864e-07-2.9551809498270254e-07j),(4.4941128774734544e-05+0.00017959017576086044j),(-9.290972804794741e-06+0.00016230418175449416j),(0.0006435335016657522-0.00025869964112164756j),(-0.02686669090082861-0.015876539255372368j)
1.19,(-0.025158133111374346-0.015532150408411629j),(-4.720971629767125e-05-3.758389203832294e-05j),(-0.0024915325011806494+0.0002951771613222444j),(0.00859587596687436-0.031160291382605534j),(4.0353423816105045e-05-0.00015584773586495553j),(-7.492844628982167e-07-1.5558081265350561e-07j),(1.596437032573111e-05+0.000173374040635081j),(-3.4262996584481115e-05+0.00016543735194043366j),(0.0006885865558100629-0.00021279645257495523j),(-0.028847007117132256-0.011903922864271985j)
1.2,(-0.027157584789651464-0.011919853294278544j),(-6.224460603970016e-05-3.5417429417091746e-05j),(-0.0021753795942038934+0.0004513328822539829j),(0.004842155001454625-0.029900477064949013j),(3.87287545089378e-05-0.0001347947509627722j),(-9.261238720061674e-07+5.932601571019026e-08j),(-1.182461655409102e-05+0.00016269637070115937j),(-6.0226920729683043e-05+0.0001637206821019899j),(0.0007260537251723217-0.00015877925257758212j),(-0.030221065650624233-0.007778885061412588j)
1.21,(-0.02861716268555042-0.008134564391288172j),(-7.864061787109555e-05-3.047823354165569e-05j),(-0.0018854750044024428+0.0005627692649616909j),(0.00150479408797358-0.028343107791214354j),(3.698100598469117e-05-0.00011652154706066552j),(-1.0655780461172046e-06+3.5074077493128396e-07j),(-3.798595476317941e-05+0.0001478657874794998j),(-8.644523390567549e-05+0.0001568137413794365j),(0.0007546117340228026-9.678529649200012e-05j),(-0.030997859995076295-0.003595584767040285j)
1.22,(-0.029538324826585922-0.0042595146705259965j),(-9.599296744820886e-05-2.2396139181049607e-05j),(-0.0016226022326732209+0.0006373937545621254j),(-0.001416291377983575-0.026560658887064895j),(3.5156626023259016e-05-0.0001006853651616995j),(-1.1459532060767511e-06+7.149880580084851e-07j),(-6.216638378025858e-05+0.00012922876146898534j),(-0.00011216715170949163+0.00014447952469026298j),(0.0007730495493647412-2.6985650904523518e-05j),(-0.03120024352737744+0.0005595205308180823j)
1.23,(-0.029934874507113893-0.0003723803351360945j),(-0.00011382197083154549-1.0883687558409157e-05j),(-0.001386618766662187+0.0006822192078369241j),(-0.003930580728291675-0.02461907302098297j),(3.329497317801311e-05-8.697940645985248e-05j),(-1.1461913852640042e-06+1.1431143227990671e-06j),(-8.40977310284602e-05+0.00010715338090482932j),(-0.00013665184950785412+0.00012657998882365768j),(0.0007802922719083343+5.043524869238628e-05j),(-0.03086252851327256+0.0046093699787445415j)
1.24,(-0.029831092900100588+0.0034562938081602063j),(-0.00013159288684659536+4.248590109803115e-06j),(-0.001176682869885005+0.0007033610284745067j),(-0.006055070692570101-0.022577034906889424j),(3.142885019144101e-05-7.513037584911722e-05j),(-1.0472362107101475e-06+1.6212309096832043e-06j),(-0.0001035924394408242+8.201530678300573e-05j),(-0.00015918922233498135+0.0001030683336556718j),(0.0007754212172202727+0.00013529777722902088j),(-0.030027996215566715+0.008487406536016614j)
1.25,(-0.02925975721678222+0.007164201222339548j),(-0.00014873846555107088+2.3082433763593905e-05j),(-0.0009914509662940871+0.0007060673652018014j),(-0.007812482741296424-0.02048562599674521j),(2.958505332114124e-05-6.489590553994721e-05j),(-8.332259222197943e-07+2.131215775253245e-06j),(-0.0001205368541907409+5.418621753267819e-05j),(-0.0001791175625920194+7.397898204304251e-05j),(0.0007576898987077336+0.00022744194553724712j),(-0.028746440618199268+0.012138137884067592j)
1.26,(-0.028260144563517955+0.010697934814304016j),(-0.00016468260407252226+4.558804039352974e-05j),(-0.0008292444302920982+0.0006947729668294985j),(-0.009229611921569745-0.01838830019497112j),(2.7784940525087408e-05-5.6061939954093974e-05j),(-4.92422617680492e-07+2.6516931028231137e-06j),(-0.00013488293934924315+2.402485389557284e-05j),(-0.00019583777136808727+3.941621243955925e-05j),(0.0007265356920163455+0.00032673802281527444j),(-0.0270718462316308+0.015517213366955872j)
1.27,(-0.026876106010999434+0.01401324560219503j),(-0.00017886353923783594+7.162604349672855e-05j),(-0.000688186131651424+0.0006731683569147594j),(-0.010335853633337111-0.016321114554019404j),(2.6044950675982984e-05-4.844012562055193e-05j),(-1.7820996748411204e-08+3.1591903309968176e-06j),(-0.00014664004590474942-8.128973265128579e-06j),(-0.0002088249240265752-4.576801320027285e-07j),(0.0006815892973051694+0.00043309505914773807j),(-0.025060276584736908+0.018591092560377276j)
1.28,(-0.025154283304901+0.017074983266593458j),(-0.00019075517027354767+0.0001009537482983244j),(-0.0005663027119011939+0.0006442769452600035j),(-0.011161910917571162-0.014313079234341176j),(2.4375787164946157e-05-4.18653132242518e-05j),(5.925722378373954e-07+3.629372327699405e-06j),(-0.00015589120280096148-4.195470980345424e-05j),(-0.0002176595784968557-4.5440309106672e-05j),(0.0006227197145720493+0.0005465392464271731j),(-0.0227680262262923+0.02133638764273401j)
1.29,(-0.023142516751775182+0.019856678196760524j),(-0.00019988499253094589+0.00013323825029256813j),(-0.0004616163433160927+0.0006105413860743726j),(-0.011738813484899541-0.01238682435929939j),(2.2784938545124994e-05-3.619432501870888e-05j),(1.3358178144636885e-06+4.038232787907261e-06j),(-0.00016275989410738387-7.717529839403281e-05j),(-0.00022200653938090486-9.531252351301507e-05j),(0.0005499522411756639+0.0006671724085038224j),(-0.02025006685750175+0.023738962499673808j)
1.3,(-0.020888436057670042+0.02233994925914825j),(-0.00020584863079446932+0.00016807119362642834j),(-0.00037220629653331486+0.0005738969561120236j),(-0.012096986758917844-0.010559245136797287j),(2.1277392800175473e-05-3.1302469147944566e-05j),(2.204395644114121e-06+4.3631722253351535e-06j),(-0.00016739841614644724-0.00011354875952857474j),(-0.00022161619642034603-0.0001498422706618597j),(0.0004634858634580048+0.0007951560110636047j),(-0.017558798672896024+0.025792867563588354j)
1.31,(-0.01843829687762622+0.024513740628703526j),(-0.00020832018706431948+0.00020498556896554422j),(-0.00029625110724283986+0.0005358467181656528j),(-0.012265565490418478-0.008842194656191602j),(1.9855645704896536e-05-2.708126347929403e-05j),(3.186786314949673e-06+4.5838973102792185e-06j),(-0.00016998797245120647-0.00015086402498443679j),(-0.0002163319672319084-0.00020879472280696602j),(0.00036370805318657013+0.0009307288142825341j),(-0.014743101760358172+0.02749918198974043j)
1.32,(-0.015836061011471975+0.02637343577584812j),(-0.00020705811017208303+0.00024347409012836032j),(-0.00023205756036461704+0.0004975328803105421j),(-0.012271917627560396-0.007243215010096769j),(1.8520168855950055e-05-2.3436642487273948e-05j),(4.268221777269785e-06+4.683091765265517e-06j),(-0.00017073125408371503-0.00018894098746401455j),(-0.00020608682093457798-0.0002719425226323625j),(0.00025118302881154954+0.0010742029061150233j),(-0.011847669787833168+0.028864825092245867j)
1.33,(-0.013122709287805831+0.02791991605164493j),(-0.00020190675877620535+0.0002830076028657122j),(-0.0001780771180240594+0.00045980094214382846j),(-0.01214132688491985-0.005766243885556374j),(1.7269830689769697e-05-2.028727543967849e-05j),(5.431527212616516e-06+4.646841057995787e-06j),(-0.0001698453405917706-0.00022762959512554975j),(-0.000190897285833228-0.0003390742602008329j),(0.00012663651017260301+0.0012259565133680335j),(-0.00891259916024498+0.029901388085663932j)
1.34,(-0.010335770846908756+0.029158608777975947j),(-0.00019279403326188287+0.00032305255821896524j),(-0.00013291271766256634+0.00042325611408930127j),(-0.011896809407907223-0.004412276300208977j),(1.610226610753942e-05-1.756301528664082e-05j),(6.657984822404197e-06+4.4648130282959815e-06j),(-0.00016755503397631387-0.0002668082006964485j),(-0.00017085535018889316-0.0004100011116463391j),(-9.062606942026046e-06+0.0013864242393637834j),(-0.0059732011060981485+0.030624026014338425j)
1.35,(-0.007509046645963268+0.030098561404735973j),(-0.00017972564008602443+0.0003630867613882083j),(-9.531844809165713e-05+0.0003883120053017559j),(-0.011559040183507362-0.0031799679726441906j),(1.5014194049245785e-05-1.5203487470811777e-05j),(7.928159165959226e-06+4.130214235781724e-06j),(-0.0001640867001042958-0.0003063813749896151j),(-0.00014611867432910093-0.0004845616907250422j),(-0.0001549231988053828+0.0015560854776070444j),(-0.0030600013307269767+0.031050439020471138j)
1.36,(-0.004672501482441234+0.030751569962228404j),(-0.0001627766744501341+0.00040261281101241917j),(-6.419418813622821e-05+0.00035523192943294425j),(-0.011146366229559432-0.002066172550704253j),(1.4001684975921443e-05-1.3156820430475677e-05j),(9.22263591044735e-06+3.6395546779382733e-06j),(-0.00015966265924935853-0.0003462773850595792j),(-0.00011689952327366337-0.0005626252635988764j),(-0.00030985500398433147+0.0017354518046661734j),(-0.00019889144407382652+0.03119996232273797j)
1.37,(-0.0018522973241395786+0.03113138218392275j),(-0.00014208126578117505+0.00044116885345799186j),(-3.857689142711567e-05+0.0003241634037396079j),(-0.010674885724186216-0.001066409545469142j),(1.306038192735104e-05-1.1378514321641058e-05j),(1.0522639593890696e-05+2.9922614040333827e-06j),(-0.00015449614058033614-0.00038644551985099425j),(-8.345280608813073e-05-0.0006440935519448137j),(-0.0004726933604856212+0.001925054163799411j),(0.002588602203669768+0.03109277578302862j)
1.3800000000000001,(0.0009290591394241782+0.03125298863040061j),(-0.00011782103226288593+0.0004783364756038612j),(-1.7629838407405272e-05+0.0002951665431894383j),(-0.010158574794284158-0.0001752633788658091j),(1.21856798136209e-05-9.830440970866273e-06j),(1.1810509669297875e-05+2.19018478637101e-06j),(-0.00014878679453246994-0.000426853422932756j),(-4.606357529677072e-05-0.0007289013987545212j),(-0.0006422250874571882+0.00212543061735209j),(0.005284963889140143+0.03074923689992695j)
1.3900000000000001,(0.0036524804446767603+0.03113200910851363j),(-9.02130458575594e-05+0.0005137457352555728j),(-6.308612450235527e-07+0.00026823710229569226j),(-0.009609446410750582+0.0006132834514903278j),(1.1372868047794014e-05-8.479965888325491e-06j),(1.3070026479560046e-05+1.2370405337847275e-06j),(-0.0001427167416818239-0.0004674845646043097j),(-5.034300197686431e-06-0.000817016595862822j),(-0.0008172150106145786+0.0023371153760697507j),(0.007876276085986782+0.03018933552175968j)
1.4000000000000001,(0.006301997292256292+0.030784176739558026j),(-5.9497929918225766e-05+0.0005470774726248247j),(1.3039718249443857e-05+0.00024332491485735258j),(-0.009037728544541835+0.0013055783259249398j),(1.061724168460545e-05-7.2991819882778995e-06j),(1.4286589100700589e-05+1.3782688075927173e-07j),(-0.00013644712624089243-0.0005083359559648053j),(3.932781560495984e-05-0.0009084391745634831j),(-0.0009964326416619864+0.0025606297139734403j),(0.010351773183504233+0.02943226445705488j)
1.41,(0.008864413209278315+0.030224918188228197j),(-2.5928609981882455e-05+0.0005780631553268711j),(2.3910914809169612e-05+0.0002203484432619296j),(-0.008452051285023791+0.001908081742601513j),(9.914186021045974e-06-6.264244211612075e-06j),(1.5447254765293845e-05-1.1017492398046385e-06j),(-0.00013011513563534417-0.0005494161768985912j),(8.672324784027687e-05-0.0010032004438893223j),(-0.0011786785437156166+0.0027964752558811623j),(0.012703381131777752+0.028496097344224387j)
1.42,(0.011328932665241702+0.029469025757015002j),(1.0239873761599879e-05+0.0006064825827172275j),(3.243231987395629e-05+0.00019920608845757964j),(-0.007859634922748328+0.0024271994946675965j),(9.259239237939293e-06-5.354794307482301e-06j),(1.6540654751935054e-05-2.4758098819095328e-06j),(-0.00012383144376638567-0.0005907437595736635j),(0.00013687211839179443-0.0011013620291292613j),(-0.00136280994799933+0.003045129988906659j),(0.014925258766972678+0.027397563451177016j)
1.43,(0.013686775478624506+0.02853041274674653j),(4.8758985652756404e-05+0.0006321602650839736j),(3.898439734000237e-05+0.00017978485295713805j),(-0.007266475578374842+0.002869153323702512j),(8.648134307728353e-06-4.553449105391668e-06j),(1.7556813535335397e-05-3.978787545193472e-06j),(-0.00011767813870432558-0.0006323448619976044j),(0.0001895241752025469-0.0012030129430831353j),(-0.0015477586076494548+0.003307041110389066j),(0.017013352871239045+0.026151908315693577j)
1.44,(0.015930782815066595+0.027421921423037815j),(8.939082653160373e-05+0.0006549640192733851j),(4.388666169794087e-05+0.00016196657048965203j),(-0.006677531689554137+0.0032398506101336388j),(8.076746581736413e-06-3.845238643990834e-06j),(1.8486971490353545e-05-5.605827020551874e-06j),(-0.00011171467957340537-0.0006742414964737875j),(0.00024444553848943277-0.001308251024442038j),(-0.0017324666406520132+0.003582586197952718j),(0.018964975766451456+0.024772829112761616j)
1.45,(0.018055076961226192+0.026155259265276398j),(0.00013191529072202805+0.0006747913518812337j),(4.7408513475350005e-05+0.00014563225627569959j),(-0.006096836665479906+0.00354488421527135j),(7.54112537940529e-06-3.2175447796173007e-06j),(1.932311624929607e-05-7.353097911997601e-06j),(-0.00010598278202106305-0.0007164683186815096j),(0.0003014375375744937-0.001417221971191671j),(-0.0019159827233589063+0.0038721962950535875j),(0.020778411495187596+0.02327247415971593j)
1.46,(0.020054672534323727+0.024740961996104392j),(0.00017613415341525678+0.0006915661295236199j),(4.977612088811422e-05+0.00013066646063867956j),(-0.005527687956703834+0.0037894820686311j),(7.037603477656211e-06-2.6596906414435665e-06j),(2.005763418598305e-05-9.21806753452582e-06j),(-0.00010049519113085689-0.0007590678293195672j),(0.000360352279906622-0.0015301038720688799j),(-0.002097476288739029+0.004176298128807617j),(0.022452554429645676+0.021661496875820335j)
1.47,(0.021925128063572108+0.023188417564568j),(0.00022187313914355224+0.000705233455462741j),(5.117885198127416e-05+0.00011695968570467542j),(-0.004972791517172291+0.0039784885816057615j),(6.562797074099376e-06-2.162631001446939e-06j),(2.068291062376576e-05-1.1199685627234575e-05j),(-9.523400676966358e-05-0.0008020869599217907j),(0.0004210969075484789-0.0016471002779219878j),(-0.00227623492243767+0.004495297232347259j),(0.02398658246208093+0.019949155653587413j)
1.48,(0.023662231305751052+0.021505946954142784j),(0.0002689830456700094+0.0007157530715715002j),(5.1775256941640536e-05+0.00010440982316488356j),(-0.004434379169761893+0.0041163737974540425j),(6.1136011748734625e-06-1.7187335187027225e-06j),(2.1190871446572353e-05-1.329848911607826e-05j),(-9.015025525750935e-05-0.000845576954204635j),(0.0004836393181404217-0.001768440886683804j),(-0.002451675334869126+0.0048295850081442535j),(0.02537966573948921+0.018143452351355695j)
1.49,(0.025261713580716015+0.01970092937672495j),(0.0003173395944051638+0.000723092938019745j),(5.169824007911335e-05+9.292295070343177e-05j),(-0.0039143098798199005+0.004207254728781467j),(5.687185876099775e-06-1.3215920303180785e-06j),(2.157249801835774e-05-1.551663145145073e-05j),(-8.516359834103446e-05-0.000889593333450345j),(0.0005480131967203325-0.001894382661547213j),(-0.0026233523494228303+0.005179547166814661j),(0.026630711167335584+0.016251303379058394j)
1.5,(0.026718995354240455+0.01777996702190069j),(0.0003668421460273205+0.0007272231756884052j),(5.1059505550231635e-05+8.241364261021208e-05j),(-0.0034141554816757647+0.00425492587355522j),(5.280993852553872e-06-9.658666232175474e-07j),(2.181731870613355e-05-1.7857838059571825e-05j),(-8.01621466394437e-05-0.0009341958486982875j),(0.0006143224318400703-0.002025211284598357j),(-0.0027909659053462895+0.005545573092585524j),(0.02773814257070017+0.014278738539873931j)
1.51,(0.02802896508805542+0.01574908536961666j),(0.00041741142851617363+0.0007281105242251586j),(4.9953357477895194e-05+7.280491582842686e-05j),(-0.0029352715444336337+0.004262896345672141j),(4.892739335389144e-06-6.471458021710778e-07j),(2.191287801529546e-05-2.032728803248811e-05j),(-7.500234604231824e-05-0.000979448320309746j),(0.0006827450034856092-0.002161242826551313j),(-0.0029543661267514903+0.005928065654933095j),(0.028699716410985777+0.01223112384406406j)
1.52,(0.029185793494056738+0.013613965779935773j),(0.00046898642707523435+0.000725713442864183j),(4.845992892506257e-05+6.402790532698347e-05j),(-0.0024788541338839785+0.0042344314216961835j),(4.520408779734547e-06-3.6182657378251e-07j),(2.1844182708290635e-05-2.2931419945960538e-05j),(-6.950890754787238e-05-0.0010254182657017685j),(0.0007535364402958956-0.0023028254977993413j),(-0.003113556557184149+0.00632745096943591j),(0.02951237325562083+0.010113405375278765j)
1.53,(0.030182785720903334+0.011380207581536825j),(0.0005215205846319065+0.0007199779623876979j),(4.6647906496171274e-05+5.602134132797348e-05j),(-0.002045983254316792+0.004172596593703034j),(4.162263298336279e-06-1.0700870988180305e-07j),(2.1593123421272397e-05-2.5677656789963966e-05j),(-6.34747543933587e-05-0.0010721762183669202j),(0.0008270329487814367-0.002450341336010142j),(-0.003268695699580306+0.006744187607999312j),(0.030172125730014352+0.007930371921231822j)
1.54,(0.031012274610346433+0.009053617134503754j),(0.0005749774610025264+0.0007108343848647202j),(4.457680913570764e-05+4.8730884679248406e-05j),(-0.001637653760738318+0.004080302435450158j),(3.816842771932751e-06+1.1960014604758942e-07j),(2.1137870332733255e-05-2.8574041576509337e-05j),(-5.6660965669995075e-05-0.001119794645366792j),(0.0009036543170081458-0.0026042076799918917j),(-0.003420097031791022+0.007178774767249452j),(0.030673984387941+0.005686934444350925j)
1.55,(0.03166555892487991+0.0066405212927870515j),(0.0006293260015560178+0.0006981949222689245j),(4.229887168734052e-05+4.210836471241257e-05j),(-0.0012547945380550006+0.003960348744829884j),(3.4829713425676903e-06+3.197714912477063e-07j),(2.045224248218223e-05-3.1628771412812076e-05j),(-4.87967034824415e-05-0.0011683463760043854j),(0.0009839066889610615-0.002764878277487646j),(-0.0035682276861763043+0.007631758921775939j),(0.03101192375955646+0.0033884205334447502j)
1.56,(0.032132891297050714+0.004148102293690531j),(0.0006845355753154808+0.0006819523642194543j),(3.986057649458084e-05+3.611095549403155e-05j),(-0.0008982767650333968+0.0038154665318822175j),(3.1597637551830465e-06+4.948376892659565e-07j),(1.9505052498047146e-05-3.484961386829546e-05j),(-3.957912154695499e-05-0.00121790246111494j),(0.001068385293076628-0.002932843874872285j),(-0.0037137059865486313+0.008103738513705688j),(0.031178891713018426+0.0010408817185851825j)
1.57,(0.032403521503499844+0.001584750318938135j),(0.0007405709606886867+0.000661979866608597j),(3.730387013730162e-05+3.0700320740960146e-05j),(-0.000568912129379964+0.0036483564927934824j),(2.8466317407769832e-06+6.457706237715882e-07j),(1.8259431891078005e-05-3.824318552481418e-05j),(-2.867326722349908e-05-0.0012685293902502954j),(0.0011577771889027361-0.003108632138498584j),(-0.003857298026032012+0.008595366259679441j),(0.031166866128335063-0.0013485890732261136j)
1.58,(0.03246580143102065-0.0010395712235721916j),(0.0007973874868845492+0.0006381319536549654j),(3.4667097553255884e-05+2.584175415227812e-05j),(-0.0002674419443679292+0.0034617226622320374j),(2.5432893406090795e-06+7.732590855559748e-07j),(1.6672146824396342e-05-4.1814068931380674e-05j),(-1.5712006483997233e-05-0.0013202856030015285j),(0.0012528640693227513-0.0032928067599478942j),(-0.003999913444817801+0.009107348688921182j),(0.03096696365491045-0.003771533610009233j)
1.59,(0.032307358671348034-0.0037129542715905613j),(0.0008549265825647738+0.0006102468219065715j),(3.1985682423621464e-05+2.1503339870953342e-05j),(5.48175874614615e-06+0.003258299986260962j),(2.249755770609929e-06+8.777862391656823e-07j),(1.4692920496004604e-05-4.556374110490723e-05j),(-2.9602218872568174e-07-0.0013732172410208976j),(0.0013545251222156578-0.003485965600258382j),(-0.004142600527541527+0.009640442560542584j),(0.030569605921876197-0.006217803016985294j)
1.6,(0.03191534593500449-0.006421177157023847j),(0.0009131120417437974+0.0005781500208398971j),(2.929258083416654e-05+1.7655156623701736e-05j),(0.00024932192492468106+0.0030408746237896877j),(1.96635414052275e-06+9.597079936282661e-07j),(1.2263786043317303e-05-4.9489284630080776e-05j),(1.800603996695107e-05-0.001427353099378948j),(0.0014637399149186239-0.0036887377312560085j),(-0.0042865406868325285+0.010195447844020747j),(0.02996474889621859-0.00867523772823927j)
1.61,(0.03127677327698439-0.009147349201876539j),(0.0009718473907610786+0.0005416595547473999j),(2.661853478091437e-05+1.4268548232067341e-05j),(0.00046368752061680103+0.0028122958839016006j),(1.6937041032447484e-06+1.0193325057783146e-06j),(9.318503213556597e-06-5.358185181835815e-05j),(3.9657176824469146e-05-0.0014826987503429817j),(0.0015815912176701415-0.003901779235723985j),(-0.004433042333797786+0.010773196984250673j),(0.029142181030275237-0.011129361482497319j)
1.62,(0.030378929331194147-0.011871582720118196j),(0.0010310148282904764+0.0005005923971674546j),(2.399215288661975e-05+1.1315482126091404e-05j),(0.0006483682718916846+0.002575478856236195j),(1.4327063537533904e-06+1.0570003714885372e-06j),(5.782082834118149e-06-5.782485389999116e-05j),(6.51512548380278e-05-0.0015392298302983646j),(0.0017092676287869825-0.004125767633057952j),(-0.004583534059618527+0.011374540212898028j),(0.028091895290052717-0.013563100443869717j)
1.6300000000000001,(0.029209913977171542-0.01457070661403797j),(0.0010904810367023544+0.0004547662714135157j),(2.1439925842972342e-05+8.768038765525776e-06j),(0.0008033782919092154+0.0023334055252729924j),(1.1845189444687071e-06+1.0731698977370048e-06j),(1.5702899958025996e-06-6.21919391855108e-05j),(9.501900216676081e-05-0.0015968864994173632j),(0.0018480843295076632-0.004361395967037237j),(-0.004739605102825403+0.012000319006658842j),(0.026804538985677008-0.015956541066515607j)
1.6400000000000001,(0.02775926443556667-0.017218029451730888j),(0.001150113213969954+0.0004040024754359806j),(1.8986094693369913e-05+6.598094821802752e-06j),(0.0009289921348317786+0.0020891192422444133j),(9.50507386118797e-07+1.0685020650434005e-06j),(-3.410751546455104e-06-6.664476236573835e-05j),(0.0001298415815110381-0.0016555547050325094j),(0.00199951365839286-0.004609331599031092j),(-0.004903061375550011+0.012651247256247309j),(0.025271943412165536-0.018286742955128967j)
1.6500000000000001,(0.0260185965743613-0.019783221037168664j),(0.0012097698023701697+0.00034815708186668003j),(1.6652071003863504e-05+4.776892431596362e-06j),(0.0010257537839560465+0.0018456595042768364j),(7.321866940659826e-07+1.0438994778800583e-06j),(-9.263682976405502e-06-7.112988858982698e-05j),(0.0001702168648548474-0.0017150460142864843j),(0.0021651107888240716-0.004870192904442298j),(-0.005075722842149637+0.013327902153279905j),(0.023487732539498003-0.02052762553946209j)
1.6600000000000001,(0.023982458830685154-0.022232311329463655j),(0.0012693194606993817+0.00028710689272677117j),(1.4456373240215056e-05+3.2748754457504754e-06j),(0.001094535908057252+0.0016060391548028052j),(5.311774681115075e-07+1.0005789531735363e-06j),(-1.6099876048056668e-05-7.55758368360143e-05j),(0.00021676765166486279-0.0017751040664414292j),(0.0023465598227399905-0.0051445690664200785j),(-0.005259543667363991+0.014030753198305752j),(0.021448006275281893-0.02264994967033502j)
1.67,(0.021649203406203115-0.02452782479310648j),(0.0013286570314846283+0.00022075035333781205j),(1.2414302659775741e-05+2.061730935554451e-06j),(0.0011365606119668576+0.0013731927352010336j),(3.491256459110093e-07+9.401250459321909e-07j),(-2.4038536864057956e-05-7.988963690318306e-05j),(0.00027013751774599077-0.0018353933676685465j),(0.002545679276672006-0.0054330035863265165j),(-0.0054566151093353105+0.014760124082089226j),(0.019152089109776588-0.024621416995700897j)
1.68,(0.019021907889209322-0.026629083887092307j),(0.0013877230450387123+0.00014900619215084973j),(1.0537643693184503e-05+1.1065753496967184e-06j),(0.001153407370603531+0.0011499163368311198j),(1.8760771956500963e-07+8.645249135336509e-07j),(-3.3205207448954815e-05-8.395306464541516e-05j),(0.000330983567590458-0.0018954866761323797j),(0.0027644226206950872-0.005735973637379531j),(-0.005669157147626369+0.015516148198980015j),(0.016603329248485777-0.026406910879715806j)
1.69,(0.016109323748465743-0.028492708419945164j),(0.0014465275330211233+7.180682556262759e-05j),(8.834440031102375e-06+3.7827075416062015e-07j),(0.001147007939892398+0.0009388029422895733j),(4.802487636230954e-08+7.761808772415515e-07j),(-4.372959076907952e-05-8.76186253050565e-05j),(0.00039996691983690995-0.0019548520228004945j),(0.0030048767765362243-0.006053866376144234j),(-0.005899507481596744+0.016298719216354562j),(0.013809926728228105-0.0279689023382156j)
1.7,(0.012926815659941646-0.030073334646817246j),(0.0015051777830273766-1.0915528563766282e-05j),(7.308875415503218e-06-1.5415290225235132e-07j),(0.0011196267883185923+0.0007421761984633117j),(-6.850982093252163e-08+6.778964202510307e-07j),(-5.574259390523617e-05-9.070536681181988e-05j),(0.00047774055952396865-0.0020128397107367106j),(0.003269258016195635-0.006386952097966114j),(-0.006150107221338563+0.017107437066205513j),(0.010785761685870825-0.029268042611480805j)
1.71,(0.009497246658081347-0.03132457266907701j),(0.0015639091075770135-9.925239119803136e-05j),(5.961280942302113e-06-5.210006427633828e-07j),(0.001073826255002688+0.0005620260248675971j),(-1.6128545695828484e-07+5.728321568524666e-07j),(-6.937249484360087e-05-9.299463249039626e-05j),(0.0005649342025461767-0.0020686697358825177j),(0.0035599046454820233-0.0067353541850427075j),(-0.006423482531780229+0.01794154993161573j),(0.0075511862127703964-0.030263960214234796j)
1.72,(0.005851755440182009-0.03220021264347027j),(0.0016231169588709045-0.00019335480144064114j),(4.788281535700579e-06-7.513769613391873e-07j),(0.001012416457813862+0.00039994977010696813j),(-2.3010118045684647e-07+4.644296674935867e-07j),(-8.474015819324063e-05-9.422588862469405e-05j),(0.0006621358529835418-0.0021214201834205888j),(0.0038792658120903817-0.007099015878849009j),(-0.006722221456203867+0.018799893042727108j),(0.004133735525631433-0.03091627426655226j)
1.73,(0.002030364546350313-0.03265567929666995j),(0.0016833877834578326-0.0002934839932851052j),(3.7830837082557743e-06-8.726514622752727e-07j),(0.0009383909128926534+0.00025710273363959487j),(-2.753594386093261e-07+3.563030384017292e-07j),(-0.0001019532545907748-9.409278325646296e-05j),(0.0007698697980999587-0.002170017272343753j),(0.004229885750339316-0.007477664014119496j),(-0.007048945146597369+0.019680825372707995j),(0.0005687071001613911-0.031185827373231285j)
