t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.98,(-6.078827478495976e-05-1.8487917985820566e-06j),(0.0011084993908931453-0.0006628697426822245j),(-1.5870367213623327e-06+1.698391124543057e-05j),(-0.0009945942006486744-0.0015462938530181472j),(-0.0246997030518009+0.00310243425844755j),(-5.037037398307125e-05-1.3000399571918846e-05j)
0.99,(-3.997511002748722e-05+2.5079235585604188e-05j),(0.0005249207122249285-0.0008860046069587685j),(7.996752853299124e-06+1.266531189172434e-05j),(-0.001751492081284196-0.0006219020217500402j),(-0.019700766388623697+0.012453061347132893j),(-3.8074995654121346e-05+1.3061943270657176e-05j)
1.0,(-1.486683802044876e-05+3.3265553254810963e-05j),(3.0988989205880425e-05-0.0008143336695349463j),(1.2325466894417171e-05+4.501139034953965e-06j),(-0.0017839079003457237+0.0005843231017535754j),(-0.011637174391994867+0.018314349480163312j),(-1.895532563017004e-05+2.452541740088906e-05j)
1.01,(4.706625615926455e-06+2.760122165737717e-05j),(-0.0002831050632183293-0.0005740996631403758j),(1.0930327021217403e-05-3.4752237647712125e-06j),(-0.0010650618646861083+0.0015663416140600838j),(-0.002457193399788932+0.019941082561066054j),(-1.825214730844429e-06+2.368867044915076e-05j)
1.02,(1.470189862510554e-05+1.5577077058677083e-05j),(-0.0004069705554346398-0.0002890760516405141j),(5.691152875686211e-06-8.228301405832457e-06j),(0.00011262440213572129+0.0019062318262044104j),(0.005879373389907584+0.01754703623368052j),(8.73117371315421e-06+1.5890898109728126e-05j)
1.03,(1.5890672753163242e-05+3.7011751248109597e-06j),(-0.0003836161983197418-4.788961257748653e-05j),(-4.526637240883765e-07-8.69869373977347e-06j),(0.0012594768537923023+0.0014537100674225682j),(0.011826109370001423+0.012154212284181988j),(1.2149849051348034e-05+6.502245625455619e-06j)
1.04,(1.1612046371345542e-05-4.29005130746952e-06j),(-0.0002775871579138395+0.00010672963551892373j),(-4.9214635455552255e-06-5.752742682626829e-06j),(0.0018958311302028747+0.0003912350842918276j),(0.01453639461132103+0.005276082135663594j),(1.0397651458204412e-05-8.620457019871132e-07j)
1.05,(5.569589522424151e-06-7.519736238448755e-06j),(-0.00014906837158097793+0.00017162402696772725j),(-6.426347694543708e-06-1.3663413144356349e-06j),(0.0017545883450410158-0.0008431851436075571j),(0.013958680220228822-0.0014740366032027156j),(6.250274900299306e-06-4.784692159081533e-06j)
1.06,(4.3703533498991413e-07-7.036331068255472e-06j),(-3.935715024945474e-05+0.00016816472894146106j),(-5.148316864933942e-06+2.4325517140497723e-06j),(0.0008920513430278566-0.0017409372919636478j),(0.01073989736597793-0.006748272124641186j),(2.0345474929108747e-06-5.5589080166811565e-06j)
1.07,(-2.579752716364932e-06-4.624143252547391e-06j),(3.247083093856605e-05+0.00012636096121582512j),(-2.2845562599249286e-06+4.368089179620384e-06j),(-0.0003387382552531552-0.0019349318964393405j),(0.005982769636272329-0.009720928106203421j),(-9.299611452691507e-07-4.340316109420603e-06j)
1.08,(-3.48798195092382e-06-1.8882847866675253e-06j),(6.526478572248643e-05+7.314574783812299e-05j),(6.858602862804283e-07+4.208115376994601e-06j),(-0.00143776463551105-0.0013486795210473576j),(0.0009342185748670476-0.010189490214957625j),(-2.3057702645220884e-06-2.388739073537462e-06j)
1.09,(-2.9579978516411436e-06+1.8871444893296993e-07j),(6.832482338146611e-05+2.652455799495055e-05j),(2.6443609234443127e-06+2.5667537814951387e-06j),(-0.0019646764157736077-0.00022186136612965758j),(-0.0033124037134359876-0.008518207206101927j),(-2.3993455708369833e-06-6.185298364339358e-07j)
1.1,(-1.8027988554405923e-06+1.2793080007753354e-06j),(5.429785942002251e-05-5.231938312072851e-06j),(3.1538403675962402e-06+4.3535508046147074e-07j),(-0.0017148713481824921+0.0009937562264819822j),(-0.006031814143215058-0.005461318616399159j),(-1.7676968220175683e-06+5.312970439044426e-07j)
