t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.7000000000000001,(0.48001808393939255-0.4027697769377749j),(0.02299748096478316-0.24632631364244972j),(0.7007529720272453-0.28740822188716186j),(0.5895029839112264-0.006708661898309256j),(0.046626363055078696+0.12034986315975507j),(0.48001808393939255-0.4027697769377749j)
0.71,(0.4884252347500505-0.4047041429417327j),(0.02931978001618352-0.2547873517892216j),(0.7064563787264532-0.28699895081050425j),(0.5896325085395274-0.004048364996045018j),(0.04359683066770262+0.11281012043561595j),(0.4884252347500505-0.4047041429417327j)
0.72,(0.49693711718989797-0.40690058663625966j),(0.03585116929352894-0.2634532720969133j),(0.7122527693695347-0.2867802318883297j),(0.5897011190244441-0.0015856049127933145j),(0.040776381060461594+0.1048989339914568j),(0.49693711718989797-0.40690058663625966j)
0.73,(0.5055627976002465-0.40936729822495005j),(0.04259414166108585-0.27233048645838914j),(0.7181486077447081-0.2867538190108182j),(0.5897119462734136+0.0006763640514925902j),(0.03817399759379209+0.09661781457779707j),(0.5055627976002465-0.40936729822495005j)
0.74,(0.5143113381258755-0.41211154681841594j),(0.04955092599238762-0.28142486196722144j),(0.7241501820084469-0.28692065067465855j),(0.589668370837403+0.0027350956053305885j),(0.03579823321651194+0.08796958721512158j),(0.5143113381258755-0.41211154681841594j)
0.75,(0.5231917682379972-0.4151396949436472j),(0.05672345525729383-0.29074174887193044j),(0.730263587258424-0.2872808629882175j),(0.5895740253254818+0.004588960782456899j),(0.033657183510003075+0.07895836480442632j),(0.5231917682379972-0.4151396949436472j)
0.76,(0.5322130541677486-0.41845721650340456j),(0.06411334047389984-0.30028600997501764j),(0.7364947052040616-0.2878338062953393j),(0.5894327922562339+0.006237154691908143j),(0.03175848539885833+0.06958952032213274j),(0.5322130541677486-0.41845721650340456j)
0.77,(0.5413840660407067-0.422068718034791j),(0.07172184995373102-0.31006205012302623j),(0.7428491808663031-0.28857806546630527j),(0.5892487971844217+0.007679700594773678j),(0.030109345262254082+0.05986965903319677j),(0.5413840660407067-0.422068718034791j)
0.78,(0.5507135425280536-0.42597796311945574j),(0.0795498945277664-0.32007384667631444j),(0.7493323963021477-0.2895114839035903j),(0.5890263970255253+0.008917451202406938j),(0.028716598744938766+0.04980659165451811j),(0.5507135425280536-0.42597796311945574j)
0.79,(0.5602100528561635-0.4301878998036789j),(0.08759801648147104-0.3303249787073888j),(0.7559494414145206-0.2906311913089059j),(0.5887701635874915+0.009952087094471103j),(0.027586802388310818+0.03940930876294548j),(0.5602100528561635-0.4301878998036789j)
0.8,(0.5698819560432633-0.43470069089526103j),(0.0958663824022752-0.3408186565776529j),(0.762705081973543-0.2919336352561419j),(0.5884848624065053+0.010786112161140437j),(0.026726354330322926+0.028687955925663634j),(0.5698819560432633-0.43470069089526103j)
0.81,(0.5797373572591603-0.4395177470158108j),(0.10435477769981417-0.3515577507887629j),(0.7696037250404762-0.29341461661173385j),(0.5881754270700893+0.011422845982299153j),(0.0261416378800927+0.017653808159960847j),(0.5797373572591603-0.4395177470158108j)
